Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.11022302462516E-16,-0.00302360042075001,-5.55111512312578E-17,0,0,0,0.315535261055246,5.55978934043807E-05,-2.21301947020217E-21,2.86161333089283E-22,0.000227649084365836,-9.09924908316124E-21,0.000187249617089345,0,0,0,0,0,0,package://Main Body URDF/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Main Body URDF/meshes/base_link.STL,,Main_Body-1;DS3218MG_MS24_Digital_Servo_270-2;DS3218MG_MS24_Digital_Servo_270-1;DS3218MG_MS24_Digital_Servo_270-3;DS3218MG_MS24_Digital_Servo_270-4,Global_Coordinate_System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_hip,0.0272971333033659,1.75159621585708E-05,0.00247430441137858,0,0,0,0.0474176719706317,2.17411039399834E-05,-7.54915453759263E-09,-3.88620482540352E-07,3.26033730626776E-05,1.65166872304555E-07,4.2637056945374E-05,0,0,0,0,0,0,package://Main Body URDF/meshes/fl_hip.STL,1,1,1,1,0,0,0,0,0,0,package://Main Body URDF/meshes/fl_hip.STL,,HipJoint-4,FL_Hip_Joint_CS,Front_Left_Hip_Joint,fl_hip,continuous,0.0984,-0.0030292,-0.060681,0,0,0,base_link,1,0,0,,,,,,,,,,,,
fl_top,-0.0327093590748004,-0.0129114746104738,0.00626100034714228,0,0,0,0.139807399014711,3.65926535985209E-05,-4.86382412840218E-05,1.9486191771268E-06,0.000125513458229608,1.26374835194812E-06,0.000148862975841844,0,0,0,0,0,0,package://Main Body URDF/meshes/fl_top.STL,1,1,1,1,0,0,0,0,0,0,package://Main Body URDF/meshes/fl_top.STL,,DS3218MG_MS24_Digital_Servo_270-6;Left_Thigh-2,FL_Top_Thigh_CS,Front_Left_Top_Thigh_Axis,fl_top,continuous,0.0386,-0.011483,-0.032232,0,0,0,fl_hip,0,-0.01495,-0.99989,,,,,,,,,,,,
fl_bottom,0.078482158861255,-0.0448672466577361,0.00348748963952544,0,0,0,0.0474313349742766,2.61536457002355E-05,3.60251937346389E-05,-5.38425820651276E-07,6.08830489314348E-05,3.54056592344967E-07,8.45670496666924E-05,0,0,0,0,0,0,package://Main Body URDF/meshes/fl_bottom.STL,1,1,1,1,0,0,0,0,0,0,package://Main Body URDF/meshes/fl_bottom.STL,,Leg_Universal-1;Feet-1,FL_Bottom_Thigh_CS,Front_Left_Bottom Thigh_Axis,fl_bottom,continuous,-0.12132,-0.072387,-0.013569,0,0,0,fl_top,0,-0.01495,-0.99989,,,,,,,,,,,,
fr_hip,0.027297131982034,9.90275998717094E-05,-0.00247238563061042,0,0,0,0.0474176723475862,2.17411062531901E-05,-1.07632885592874E-08,3.88545769681232E-07,3.26100851697042E-05,-3.07652923389513E-07,4.26303515792848E-05,0,0,0,0,0,0,package://Main Body URDF/meshes/fr_hip.STL,1,1,1,1,0,0,0,0,0,0,package://Main Body URDF/meshes/fr_hip.STL,,HipJoint-3,FR_Hip_Joint_CS,Front_Right_Hip_Joint,fr_hip,continuous,0.0984,-0.0030292,0.060681,0,0,0,base_link,1,0,0,,,,,,,,,,,,
fr_top,-0.0327864495707164,-0.0126313769769459,-0.00647693886353867,0,0,0,0.139807219355074,3.60145763368299E-05,-4.80987732569624E-05,-2.77517694329877E-06,0.000126140761129269,-1.63921611186352E-06,0.000148813501843454,0,0,0,0,0,0,package://Main Body URDF/meshes/fr_top.STL,1,1,1,1,0,0,0,0,0,0,package://Main Body URDF/meshes/fr_top.STL,,DS3218MG_MS24_Digital_Servo_270-12;Right_Thigh-2,FR_Top_Thigh_CS,Front_Right_Top_Thigh_Axis,fr_top,continuous,0.0381,-0.012136,0.032026,0,0,0,fr_hip,0,-0.032164,0.99948,,,,,,,,,,,,
fr_bottom,0.0791469661032436,-0.0433740165808617,-0.0042133669017476,0,0,0,0.047431300905697,2.48656407351239E-05,3.53612962863047E-05,1.13817640664229E-06,6.21887613940631E-05,-7.20454050525757E-07,8.45489651842451E-05,0,0,0,0,0,0,package://Main Body URDF/meshes/fr_bottom.STL,1,1,1,1,0,0,0,0,0,0,package://Main Body URDF/meshes/fr_bottom.STL,,Feet-4;Leg_Universal-2,FR_Bottom_Thigh_CS,Front_Right_Bottom_Thigh_Axis,fr_bottom,continuous,-0.121749494844511,-0.0718844345331731,0.0123443050311544,0,0,0,fr_top,0,-0.0321638727308673,0.999482608798649,,,,,,,,,,,,
br_hip,-0.0272971344226925,-6.43744326411511E-05,-0.00247351850938268,0,0,0,0.0474176686622597,2.17411069156438E-05,-5.31705130526738E-09,-3.88657711748625E-07,3.26034343522744E-05,1.67117958442211E-07,4.26370068764065E-05,0,0,0,0,0,0,package://Main Body URDF/meshes/br_hip.STL,1,1,1,1,0,0,0,0,0,0,package://Main Body URDF/meshes/br_hip.STL,,HipJoint-2,BR_Hip_Joint_CS,Back_Right_Hip_Joint,br_hip,continuous,-0.0984,-0.0030292,0.060681,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
br_top,-0.0331307458806611,-0.0121448427162066,-0.00584779936915039,0,0,0,0.139807219513831,3.34135369969368E-05,-4.57757281094289E-05,-4.20400289917178E-07,0.000128634824886818,-5.05556246790766E-07,0.000148920477468448,0,0,0,0,0,0,package://Main Body URDF/meshes/br_top.STL,1,1,1,1,0,0,0,0,0,0,package://Main Body URDF/meshes/br_top.STL,,DS3218MG_MS24_Digital_Servo_270-11;Right_Thigh-1,BR_Top_Thigh_CS,Back_Right_Top_Thigh_Axis,br_top,continuous,-0.0186000000001146,-0.0104099959720499,0.0325943550920316,0,0,0,br_hip,0,0.0181540508072637,0.999835201640394,,,,,,,,,,,,
br_bottom,0.0791720299116837,-0.043485483448343,-0.00202700123300074,0,0,0,0.0474313351974432,2.48249541491992E-05,3.53523648270132E-05,-6.41679591763938E-07,6.22138157655498E-05,4.05829964915507E-07,8.45649759822488E-05,0,0,0,0,0,0,package://Main Body URDF/meshes/br_bottom.STL,1,1,1,1,0,0,0,0,0,0,package://Main Body URDF/meshes/br_bottom.STL,,Feet-3;Leg_Universal-3,BR_Bottom_Thigh_CS,Back_Right_Bottom_Thigh_Axis,br_bottom,continuous,-0.12368,-0.067775,0.015883,0,0,0,br_top,0,0.018154,0.99984,,,,,,,,,,,,
