Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.71392,1.0029,1.438,0,0,0,0.8219,0.0013145,-4.0132E-08,-9.9213E-10,0.0023043,-1.9742E-05,0.0013647,0,0,0,0,0,0,package://URDF and Meshes/meshes/base_link.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://URDF and Meshes/meshes/base_link.STL,,Main Body Assembly-1,Origin_bl_hip,Axis_bl_hip,bl_hip,continuous,0.65325,-1.2466,0.99369,1.6621,0,1.5708,base_link,1,0,0,,,,,,,,,,,,
hipfr,0.032747,0.00029163,-0.0023623,0,0,0,0.096536,2.2833E-05,2.0337E-08,-3.8904E-07,3.7872E-05,-5.8131E-07,4.8375E-05,0,0,0,0,0,0,package://URDF and Meshes/meshes/hipfr.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://URDF and Meshes/meshes/hipfr.STL,,right hip-2,Origin_fr_hip,Axis_fr_hip,fr_hip,continuous,0.65318,-1.5269,0.99379,-1.599,0,-1.5708,base_link,1,0,0,,,,,,,,,,,,
thighfr,-0.0154492090074044,-0.00317139451254234,-0.0579467649483922,0,0,0,0.0755057669124192,0.000139885633460286,4.16203179965807E-07,1.44434985403259E-06,0.000138278054995352,-7.55227665162721E-06,1.12626170254776E-05,0,0,0,0,0,0,package://URDF and Meshes/meshes/thighfr.STL,1,1,1,1,0,0,0,0,0,0,package://URDF and Meshes/meshes/thighfr.STL,,Right_Thigh-1,Origin_fr_thigh,Axis_fr_thigh,fr_thigh,continuous,0.0428999999999999,0.0133015103843757,-0.0298001110872436,-1.67995098611259,-1.51437912000812,-1.5707963267949,hipfr,1,0,0,,,,,,,,,,,,
calffr,-0.014331,-0.031865,0.084376,0,0,0,0.046501,8.2914E-05,1.0805E-10,-2.4366E-10,6.9931E-05,2.8175E-05,1.5393E-05,0,0,0,0,0,0,package://URDF and Meshes/meshes/calffr.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://URDF and Meshes/meshes/calffr.STL,,calves-4,Origin_fr_calf,Axis_fr_calf,fr_calf,continuous,0,-0.0229813332935709,-0.13928362829062,0.602256283932225,0,0,thighfr,1,0,0,,,,,,,,,,,,
hipfl,0.033166,-0.0079109,-0.12355,0,0,0,0.096535,2.2833E-05,-5.0483E-08,-3.8628E-07,3.8009E-05,1.3284E-06,4.8238E-05,0,0,0,0,0,0,package://URDF and Meshes/meshes/hipfl.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://URDF and Meshes/meshes/hipfl.STL,,HIp Part-2,Origin_fl_hip,Axis_fl_hip,fl_hip,continuous,0.65318,-1.5269,0.99379,1.6337,0,-1.5708,base_link,1,0,0,,,,,,,,,,,,
thighfl,0.0134586186491167,-0.00317135892094966,-0.0579467596966203,0,0,0,0.0755059396121985,0.000139885731540346,-4.16248421854163E-07,-1.44436245702321E-06,0.000138278152977221,-7.55226325000534E-06,1.12626629678381E-05,0,0,0,0,0,0,package://URDF and Meshes/meshes/thighfl.STL,1,1,1,1,0,0,0,0,0,0,package://URDF and Meshes/meshes/thighfl.STL,,Left_Thigh-2,Origin_fl_thigh,Axis_fl_thigh,fl_thigh,continuous,0.0433999999999999,-0.0226201522727774,-0.152048058655485,-1.77915763399181,1.44502693130987,-1.57079632679489,hipfl,1,0,0,,,,,,,,,,,,
calffl,0.0124727555104056,-0.0318645488514981,0.0843759664309658,0,0,0,0.0465012723740253,8.29138714941338E-05,1.08388867279079E-10,-2.45042186880402E-10,6.99313857869423E-05,2.81749152511397E-05,1.53933309009629E-05,0,0,0,0,0,0,package://URDF and Meshes/meshes/calffl.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://URDF and Meshes/meshes/calffl.STL,,calves-1,Origin_fl_calf,Axis_fl_calf,fl_calf,continuous,0,-0.0229813332935703,-0.13928362829062,0.665062643185599,0,0,thighfl,1,0,0,,,,,,,,,,,,
hipbr,-0.034481,-0.0001582,0.0023734,0,0,0,0.096538,2.2833E-05,1.6274E-09,3.8956E-07,3.784E-05,1.3675E-08,4.8407E-05,0,0,0,0,0,0,package://URDF and Meshes/meshes/hipbr.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://URDF and Meshes/meshes/hipbr.STL,,right hip-1,Origin_br_hip,Axis_br_hip,br_hip,continuous,0.65325,-1.2466,0.99369,-1.737,0,1.5708,base_link,1,0,0,,,,,,,,,,,,
thighbr,-0.034975626794023,-0.00317139627313623,-0.0579467657182859,0,0,0,0.0755057501906937,0.000139885625498015,4.16200035001223E-07,1.44434946191899E-06,0.000138278046813943,-7.55227805126095E-06,1.12626144686545E-05,0,0,0,0,0,0,package://URDF and Meshes/meshes/thighbr.STL,1,1,1,1,0,0,0,0,0,0,package://URDF and Meshes/meshes/thighbr.STL,,Right_Thigh-2,Origin_br_thigh,Axis_br_thigh,br_thigh,continuous,-0.0443270345831046,0.0110000000000106,0.0109763134766172,2.5662721713198,1.5707963267949,0,hipbr,1,0,0,,,,,,,,,,,,
calfbr,-0.0352711850014683,-0.0318645461200311,0.0843759701496383,0,0,0,0.0465012815456296,8.29138844652739E-05,1.08359764688144E-10,-2.45483018022309E-10,6.99313982495227E-05,2.81749183319453E-05,1.53933308866605E-05,0,0,0,0,0,0,package://URDF and Meshes/meshes/calfbr.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://URDF and Meshes/meshes/calfbr.STL,,calves-3,Origin_br_calf,Axis_br_calf,br_calf,continuous,0.00141360721305017,-0.0229813332935683,-0.13928362829062,0.463611743275537,0,0,thighbr,1,0,0,,,,,,,,,,,,
