#,Category,Skill / Event,Difficulty dial,Notes
1,Body control,Sit to stand,-,
2,Body control,Stand to max height,-,
3,Body control,Max height to sit,-,
4,Body control,"Sit to max height, direct",-,
5,Body control,Hold any commanded height,Full height range,
6,Body control,Pitch and roll while planted,+/- 20 deg,
7,Body control,Yaw body while planted,+/- 25 deg,
8,Body control,Stand on 3 legs,Each leg lifted in turn,
9,Body control,Stand on 2 diagonal legs,Both diagonals,
10,Body control,Reach one leg out and hold,Forward / side / back,
11,Turning,"Turn in place, slow",-,
12,Turning,"Turn in place, fast",Up to max yaw rate,
13,Turning,Turn exact angles and stop,45 / 90 / 180 / 360 deg,
14,Turning,Turn while crouched / at max height,Both extremes,
15,Turning,Turn on slippery ground,Friction 0.3 down to 0.1,
16,Turning,Turn in a narrow space,Gap 1.5x down to 1.1x body length,
17,Feet,Lift one foot,-,
18,Feet,Lift each foot,All four,
19,Feet,Lift feet in sequence,Rhythm 0.5 to 2 Hz,
20,Feet,Hold one foot up 10 s,Each leg,
21,Feet,Place foot on a marked target,Target 60 mm down to 30 mm,
22,Feet,Step over a low object,Object 10 to 40 mm,
23,Feet,Paw or tap with a foot,-,
24,Walking,Step in place,20 s,
25,Walking,Walk forward,Slow to sprint,
26,Walking,Walk backward,Slow to fast,
27,Walking,Walk sideways,Both directions,
28,Walking,Walk diagonally,All 8 headings,
29,Walking,"Arc, walk and turn together",Radius 2 m down to 0.3 m,
30,Walking,Any speed + strafe + turn combo,Full command box,
31,Walking,"Instant start, stop, reverse",-,
32,Walking,Sprint to dead stop,From max speed,
33,Walking,Change direction at full speed,90 deg then 180 deg,
34,Walking,"Sneak, crouched and slow",Height down to 50% nominal,
35,Walking,Walk at max height,-,
36,Walking,Gait switching,Walk / trot / bound,
37,Walking,"Cross a cable, threshold, rug edge",5 to 20 mm lip,
38,Walking,Walk on a moving surface,Treadmill 0.1 to 0.5 m/s,
39,Disturbance,"Push while standing, light",dV 0.15 m/s,
40,Disturbance,"Push while standing, hard",dV 0.4 m/s,
41,Disturbance,"Push while standing, hardest",dV raised until it fails,
42,Disturbance,Push from any direction and height,Body and leg contact points,
43,Disturbance,Push while walking,dV 0.15 / 0.4 / max,
44,Disturbance,Sustained lean,"10% to 30% body weight, 10 s",
45,Disturbance,Tether tug,"Any direction, sharp",
46,Disturbance,Leg kicked mid-swing,"Swing leg, sideways impulse",
47,Disturbance,Ground yanked away,Friction 1.0 to 0.05 instantly,
48,Terrain,Flat hard floor,-,
49,Terrain,Carpet and rug edges,-,
50,Terrain,Grass,-,
51,Terrain,Gravel,-,
52,Terrain,"Sand or mud, foot sinks",Sink depth to 20 mm,
53,Terrain,Scattered blocks,10 / 20 / 30 mm,
54,Terrain,Rubble field,Up to ankle deep,
55,Terrain,Wet tile or ice,Friction 0.3 / 0.15 / 0.05,
56,Terrain,Loose plank or wobbly board,Free to tilt 10 deg,
57,Terrain,Narrow path or beam,Width 2x down to 1x foot spacing,
58,Terrain,Gaps and holes,Gap up to 1 foot spacing,
59,Terrain,Step into an unseen hole,Depth to 50 mm,
60,Terrain,"Curb, single tall step up and down",Height to 1x leg length,
61,Terrain,"Human stairs, up",Standard 175 mm rise,
62,Terrain,"Human stairs, down",Standard 175 mm rise,
63,Terrain,"Hill, up",10 / 20 / 30 deg,
64,Terrain,"Hill, down",10 / 20 / 30 deg,
65,Terrain,Side-slope traverse,10 / 20 deg cross-slope,
66,Terrain,Stairs while carrying load,+1 kg then +2 kg,
67,Payload,+1 kg centred,Applied across all skills,
68,Payload,+2 kg centred,Applied across all skills,
69,Payload,Off-centre load,Offset to 50 mm,
70,Payload,Sloshing load,Liquid dynamics in sim,
71,Payload,Load added or removed mid-walk,Step change +/- 1 kg,
72,Falls & recovery,Get up from belly,-,
