iteration,distance_mm,distance_mm_sd,distance_mm_worst,speed_mms,speed_mms_sd,speed_mms_worst,drift_mm,drift_mm_sd,drift_mm_worst,upright_min,upright_min_worst,height_mm,fell,fall_rate,foot_force_p99_n,foot_force_p99_n_sd,foot_force_p99_n_worst,joint_acc_rms,joint_acc_rms_worst,power_mean_w,cost_of_transport,track_mae_mms,track_mae_mms_sd,track_mae_mms_worst,top_speed_mms,top_speed_mms_worst,n_trials,grid,video
baseline,742.5,61.1,675.4,61.9,5.1,56.3,89.1,38.7,132.4,0.983,0.976,166.1,0,0.0,27.2,4.12,30.74,62.7,70.72,7.512,7.66,11.9,6.0,23.7,61.9,56.3,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/baseline_phase2.mp4
100,378.7,104.4,229.7,31.6,8.7,19.1,210.7,93.1,321.7,0.991,0.989,167.0,0,0.0,28.31,4.46,32.53,66.61,76.37,7.462,15.99,25.5,21.3,64.2,29.1,15.8,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0100.mp4
150,279.3,47.9,238.9,23.3,4.0,19.9,66.3,45.7,140.5,0.991,0.989,167.1,0,0.0,28.32,4.66,32.71,66.04,75.14,7.378,20.32,32.2,22.7,69.0,20.2,11.0,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0150.mp4
200,277.7,49.9,220.2,23.1,4.2,18.3,60.4,47.3,127.3,0.992,0.99,167.1,0,0.0,27.91,4.8,32.47,65.26,73.8,7.266,20.21,33.4,22.9,66.9,18.1,13.1,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0200.mp4
250,214.2,53.0,163.3,17.8,4.4,13.6,53.2,55.9,123.9,0.993,0.99,167.2,0,0.0,27.69,4.9,32.88,65.35,74.32,7.102,26.15,37.2,24.0,72.4,13.7,7.6,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0250.mp4
300,227.5,21.5,209.0,19.0,1.8,17.4,148.1,102.4,263.6,0.994,0.991,167.4,0,0.0,26.86,4.6,31.83,65.58,74.11,7.102,23.68,36.9,23.4,68.6,14.1,11.4,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0300.mp4
350,165.1,41.5,126.1,13.8,3.5,10.5,85.9,80.6,187.7,0.994,0.992,167.8,0,0.0,26.24,5.66,32.62,65.45,73.86,7.01,33.55,41.2,24.6,74.7,8.9,5.3,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0350.mp4
400,148.6,30.3,116.0,12.4,2.5,9.7,119.2,77.5,212.1,0.995,0.992,168.0,0,0.0,25.83,5.57,30.69,65.29,73.28,7.073,37.11,41.9,23.8,72.9,9.3,7.1,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0400.mp4
450,109.1,21.2,90.1,9.1,1.8,7.5,119.5,65.1,203.0,0.994,0.992,168.3,0,0.0,26.12,5.73,31.41,65.3,74.11,7.054,50.07,45.1,25.1,78.9,4.6,1.1,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0450.mp4
500,111.5,25.7,86.6,9.3,2.1,7.2,111.3,50.8,181.0,0.995,0.991,168.6,0,0.0,26.2,5.62,31.3,65.39,74.96,7.108,49.95,44.5,24.8,80.3,6.0,-0.3,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0500.mp4
550,141.4,51.4,76.9,11.8,4.3,6.4,86.3,65.1,184.5,0.995,0.992,168.3,0,0.0,26.08,5.71,31.95,65.02,74.33,6.985,41.97,42.6,24.4,78.3,8.1,1.7,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0550.mp4
600,166.9,41.1,117.7,13.9,3.4,9.8,63.2,55.3,145.0,0.995,0.993,168.2,0,0.0,26.07,5.81,32.82,64.43,73.93,6.895,32.7,41.0,23.6,74.6,10.3,5.4,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0600.mp4
650,144.5,44.6,82.0,12.0,3.7,6.8,74.0,49.1,148.5,0.995,0.992,168.4,0,0.0,25.97,6.01,32.39,64.58,74.8,6.933,39.63,42.0,24.1,77.0,9.2,3.0,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0650.mp4
700,167.3,27.0,141.5,13.9,2.2,11.8,54.3,51.0,120.8,0.995,0.993,168.3,0,0.0,26.15,5.99,33.38,64.03,74.35,6.854,31.45,40.3,22.8,71.9,12.2,8.1,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0700.mp4
750,178.2,33.3,130.3,14.8,2.8,10.9,44.1,39.7,91.3,0.995,0.992,168.4,0,0.0,26.42,6.25,32.47,63.59,73.72,6.815,29.71,39.5,21.3,70.2,14.9,9.8,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0750.mp4
800,182.6,25.8,138.2,15.2,2.1,11.5,46.7,48.6,106.4,0.995,0.992,168.6,0,0.0,26.58,6.66,32.41,63.76,75.04,6.806,28.61,39.0,21.4,71.4,15.2,8.6,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0800.mp4
850,155.8,15.5,133.3,13.0,1.3,11.1,60.1,47.3,127.7,0.995,0.992,168.6,0,0.0,26.52,6.61,32.15,63.29,74.27,6.707,32.69,39.8,21.2,69.1,15.2,10.9,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0850.mp4
900,185.8,17.0,161.5,15.5,1.4,13.5,66.7,57.1,146.8,0.995,0.993,168.8,0,0.0,26.81,6.59,32.08,62.89,74.23,6.69,27.29,38.2,20.6,64.1,17.1,15.9,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0900.mp4
950,193.9,23.1,168.7,16.2,1.9,14.1,67.5,72.3,157.6,0.995,0.993,168.9,0,0.0,26.87,6.85,32.53,62.76,74.31,6.65,26.12,37.8,20.5,63.8,17.4,16.2,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_0950.mp4
1000,191.9,16.8,165.7,16.0,1.4,13.8,64.5,58.6,132.4,0.995,0.993,169.1,0,0.0,26.87,6.94,32.45,63.26,74.66,6.667,26.34,37.8,20.8,66.5,17.1,13.5,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1000.mp4
1050,177.1,17.5,153.0,14.8,1.5,12.7,60.6,49.3,122.6,0.995,0.993,169.2,0,0.0,26.91,7.05,33.44,63.39,75.64,6.719,28.79,38.8,21.0,67.1,16.0,12.9,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1050.mp4
1100,217.8,39.0,169.3,18.2,3.3,14.1,57.1,71.6,152.4,0.995,0.993,169.6,0,0.0,27.34,7.27,33.58,63.69,76.39,6.673,23.71,36.5,19.6,62.5,19.7,17.5,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1100.mp4
1150,231.0,31.2,186.5,19.2,2.6,15.5,57.4,62.8,144.3,0.995,0.993,169.6,0,0.0,27.38,7.23,33.55,63.66,76.34,6.657,22.05,35.2,18.7,61.1,22.1,18.9,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1150.mp4
1200,233.4,37.7,192.8,19.5,3.1,16.1,49.2,59.4,139.1,0.995,0.993,169.8,0,0.0,27.44,7.06,33.08,63.73,76.88,6.633,21.84,34.9,19.0,62.0,22.0,18.0,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1200.mp4
