iteration,reward,episode_length,height_reward,upright_penalty,tipped_over,collapsed,exploration,steps_per_second
0,1.10099,23.030001,0.045782,-0.004643,9.583334,0.0,0.996384,38129.0
1,2.542024,44.689999,0.127911,-0.015285,42.708336,0.0,0.993758,104002.0
2,3.393869,57.18,0.184122,-0.017643,39.25,0.0,0.990995,99885.0
3,3.682451,61.240002,0.216368,-0.019107,32.666668,0.0,0.989092,97779.0
4,4.412697,72.169998,0.251003,-0.021126,26.75,0.0,0.984041,99598.0
5,4.987782,80.370003,0.282771,-0.022091,24.166668,0.0,0.979511,100653.0
6,5.542167,87.93,0.319008,-0.023483,18.875,0.0,0.975825,97344.0
7,6.770258,105.139999,0.378343,-0.025185,14.041667,0.0,0.972875,98378.0
8,8.25567,127.290001,0.430484,-0.026989,11.958334,0.0,0.96835,98325.0
9,8.337162,128.020004,0.482483,-0.027885,7.708333,0.0,0.964182,95731.0
10,9.389326,142.610001,0.521049,-0.029836,6.25,0.0,0.960414,78222.0
11,10.534419,158.850006,0.582435,-0.031167,4.833333,0.0,0.956814,116107.0
12,12.477107,186.460007,0.696354,-0.033987,3.782609,0.0,0.95276,118650.0
13,13.327782,197.070007,0.771315,-0.032272,2.782609,0.0,0.948627,115297.0
14,15.180521,223.029999,0.854421,-0.034342,2.090909,0.0,0.944379,118099.0
15,16.466303,240.630005,0.868155,-0.033139,1.95,0.0,0.940023,123445.0
16,18.167036,263.779999,1.041061,-0.036593,2.166667,0.0,0.937189,123945.0
17,20.82353,300.980011,1.232716,-0.042148,1.444444,0.0,0.933342,128065.0
18,23.494453,338.470001,1.391006,-0.040444,1.117647,0.0,0.929369,129270.0
19,24.158997,347.179993,1.348411,-0.037306,1.153846,0.0,0.924861,133034.0
20,26.728151,382.190002,1.630115,-0.044115,0.666667,0.0,0.919038,137744.0
21,32.464996,459.670013,1.754993,-0.038517,0.428571,0.0,0.914008,125920.0
22,35.443012,497.089996,1.843054,-0.037459,0.291667,0.0,0.909502,124711.0
23,35.791809,500.0,1.864488,-0.035991,0.041667,0.0,0.902897,117726.0
24,35.944431,500.0,1.863774,-0.034451,0.166667,0.0,0.894403,118974.0
25,35.910114,499.690002,1.856507,-0.032582,0.291667,0.0,0.889316,119074.0
26,35.516861,493.399994,1.849488,-0.031861,0.291667,0.0,0.884121,120203.0
27,35.955936,496.75,1.872676,-0.029549,0.125,0.0,0.874106,117098.0
28,35.777496,492.619995,1.852489,-0.028112,0.25,0.0,0.865423,108430.0
29,35.852436,492.700012,1.863724,-0.027332,0.083333,0.0,0.853768,111964.0
30,35.918625,492.320007,1.856821,-0.025863,0.125,0.0,0.84306,117416.0
31,35.820099,488.359985,1.844691,-0.026011,0.166667,0.0,0.834921,127869.0
32,36.302181,494.070007,1.868538,-0.025727,0.083333,0.0,0.827692,126396.0
33,36.491985,494.700012,1.870756,-0.024304,0.086957,0.0,0.817074,121793.0
34,36.68491,494.700012,1.897739,-0.022749,0.0,0.0,0.810033,121510.0
35,36.98436,497.649994,1.854351,-0.023528,0.045455,0.0,0.801282,122295.0
36,37.110363,497.649994,1.902823,-0.021758,0.0,0.0,0.791663,132228.0
37,37.129967,495.559998,1.825006,-0.021888,0.05,0.0,0.783673,132955.0
38,37.23843,495.559998,1.911383,-0.019658,0.0,0.0,0.774869,129974.0
39,37.336628,495.559998,1.908584,-0.019782,0.0,0.0,0.766212,131520.0
40,37.772591,500.0,1.916194,-0.019252,0.0,0.0,0.756194,138329.0
41,37.663383,496.220001,1.876535,-0.018733,0.058824,0.0,0.745618,135455.0
42,38.353935,500.0,1.92105,-0.018191,0.0,0.0,0.738264,137553.0
43,38.544388,500.0,1.924194,-0.017472,0.0,0.0,0.730801,120224.0
44,38.769032,499.540009,1.927677,-0.016609,0.041667,0.0,0.724156,111681.0
45,38.949158,500.0,1.926318,-0.016299,0.041667,0.0,0.708888,107560.0
46,39.109394,500.0,1.93325,-0.015884,0.0,0.0,0.700425,113118.0
47,39.303989,500.0,1.935311,-0.015244,0.0,0.0,0.691475,123900.0
48,39.440521,500.0,1.936455,-0.014861,0.041667,0.0,0.679206,122357.0
49,39.650555,500.0,1.939893,-0.01447,0.0,0.0,0.668589,130582.0
50,39.753426,500.0,1.94192,-0.01395,0.0,0.0,0.658255,129041.0
51,39.993473,500.0,1.945642,-0.013536,0.0,0.0,0.648547,130602.0
52,39.830044,496.75,1.938255,-0.013044,0.041667,0.0,0.646629,131383.0
53,40.231766,500.0,1.947504,-0.012654,0.0,0.0,0.633871,129771.0
54,40.369564,500.0,1.950054,-0.012058,0.0,0.0,0.624954,135896.0
55,40.51622,500.0,1.952412,-0.011816,0.0,0.0,0.617454,136079.0
56,40.646919,500.0,1.954186,-0.011234,0.0,0.0,0.61059,128598.0
57,40.794136,500.0,1.955985,-0.011079,0.0,0.0,0.602872,130885.0
58,40.939598,500.0,1.956046,-0.011039,0.0,0.0,0.592899,134240.0
59,41.049305,500.0,1.957266,-0.010465,0.0,0.0,0.582504,141717.0
60,41.169266,500.0,1.959122,-0.010144,0.0,0.0,0.572851,137184.0
61,41.269119,500.0,1.961071,-0.009604,0.0,0.0,0.562732,144532.0
62,41.447746,500.0,1.963123,-0.009254,0.0,0.0,0.554951,136147.0
63,41.868752,500.0,1.963492,-0.00924,0.0,0.0,0.546138,132397.0
64,41.999428,500.0,1.964758,-0.008811,0.0,0.0,0.537389,130893.0
65,42.198406,500.0,1.966236,-0.008605,0.0,0.0,0.530192,133174.0
66,42.382725,500.0,1.967726,-0.008244,0.0,0.0,0.52216,118581.0
67,42.471714,500.0,1.968529,-0.008022,0.0,0.0,0.513334,126083.0
68,42.644867,500.0,1.970024,-0.007688,0.0,0.0,0.506434,119465.0
69,42.737137,500.0,1.970148,-0.007369,0.0,0.0,0.499824,129062.0
70,42.944031,500.0,1.971869,-0.0071,0.0,0.0,0.492203,129354.0
71,43.00145,500.0,1.972458,-0.006945,0.0,0.0,0.485462,134318.0
72,43.155502,500.0,1.973791,-0.006757,0.0,0.0,0.479712,130945.0
73,43.267273,500.0,1.974273,-0.006493,0.0,0.0,0.4734,121569.0
74,43.416763,500.0,1.974869,-0.006218,0.0,0.0,0.467468,126436.0
75,43.531639,500.0,1.97641,-0.006012,0.0,0.0,0.460438,125722.0
76,43.621819,500.0,1.976211,-0.005883,0.0,0.0,0.454823,126258.0
77,43.740219,500.0,1.978373,-0.005879,0.0,0.0,0.449864,123628.0
78,43.834587,500.0,1.978101,-0.005648,0.0,0.0,0.44403,128777.0
79,43.942326,500.0,1.979558,-0.005383,0.0,0.0,0.43868,125530.0
80,44.03968,500.0,1.979023,-0.005183,0.0,0.0,0.433208,127040.0
81,44.121807,500.0,1.978954,-0.004931,0.0,0.0,0.428169,135465.0
82,44.183735,500.0,1.979924,-0.004725,0.0,0.0,0.42273,133175.0
83,44.294861,500.0,1.981018,-0.004713,0.0,0.0,0.416636,126275.0
84,44.599606,500.0,1.981897,-0.004512,0.0,0.0,0.410827,120228.0
85,44.710243,500.0,1.982309,-0.00449,0.0,0.0,0.406301,123940.0
86,44.833012,500.0,1.982849,-0.00433,0.0,0.0,0.401873,118783.0
87,44.905704,500.0,1.983581,-0.004142,0.0,0.0,0.39583,111069.0
88,45.012138,500.0,1.983791,-0.004054,0.0,0.0,0.38908,110455.0
89,45.094639,500.0,1.984337,-0.003967,0.0,0.0,0.383871,113246.0
90,45.21357,500.0,1.984664,-0.003807,0.0,0.0,0.379073,121211.0
91,45.269787,500.0,1.985002,-0.003743,0.0,0.0,0.37317,126848.0
92,45.346561,500.0,1.985513,-0.003626,0.0,0.0,0.368551,125158.0
93,45.43232,500.0,1.985747,-0.00355,0.0,0.0,0.363942,120436.0
94,45.506775,500.0,1.986122,-0.003471,0.0,0.0,0.358097,121873.0
95,45.617561,500.0,1.986772,-0.003401,0.0,0.0,0.352848,124455.0
96,45.661961,500.0,1.9869,-0.003316,0.0,0.0,0.348577,115966.0
97,45.73328,500.0,1.987198,-0.003222,0.0,0.0,0.344712,119671.0
98,45.804214,500.0,1.987508,-0.0031,0.0,0.0,0.339808,128174.0
99,45.882881,500.0,1.988464,-0.003005,0.0,0.0,0.335996,137652.0
100,45.954609,500.0,1.988261,-0.002926,0.0,0.0,0.332157,128702.0
101,46.013775,500.0,1.988735,-0.002818,0.0,0.0,0.327452,131119.0
102,46.076603,500.0,1.989106,-0.002822,0.0,0.0,0.322711,131851.0
