iteration,reward,episode_length,height_reward,upright_penalty,tipped_over,collapsed,exploration,steps_per_second
0,1.163869,18.129999,0.045884,-0.002,0.833333,0.0,0.995613,48150.0
1,2.654011,45.689999,0.12748,-0.011987,7.083333,0.0,0.992297,103672.0
2,3.994725,66.690002,0.208892,-0.017472,7.625,0.0,0.989908,108570.0
3,5.514442,88.849998,0.28581,-0.020832,8.041667,0.0,0.986279,106214.0
4,6.950521,108.470001,0.36097,-0.022279,6.708333,0.0,0.981566,101449.0
5,8.565285,131.679993,0.439335,-0.025756,5.583333,0.0,0.979619,102949.0
6,9.87265,151.229996,0.508728,-0.027106,4.833333,0.0,0.974335,105231.0
7,10.804795,163.070007,0.579197,-0.027634,4.166667,0.0,0.968485,106422.0
8,12.853065,191.779999,0.672169,-0.028794,3.291667,0.0,0.963216,103342.0
9,14.70436,216.619995,0.758468,-0.02957,2.625,0.0,0.958028,101004.0
10,15.902041,234.0,0.8426,-0.029835,1.625,0.0,0.951175,81983.0
11,17.003035,249.919998,0.896924,-0.030975,1.416667,0.0,0.950012,120483.0
12,18.525139,270.399994,0.980324,-0.030883,1.458333,0.0,0.946582,120824.0
13,21.076492,307.320007,1.113733,-0.033101,1.130435,0.0,0.94459,123422.0
14,21.996901,321.630005,1.15866,-0.037805,1.166667,0.0,0.94106,123689.0
15,23.945538,345.190002,1.258342,-0.036025,0.833333,0.0,0.937914,123424.0
16,25.34413,367.589996,1.307901,-0.043893,1.173913,0.0,0.934535,126061.0
17,28.187263,403.309998,1.493223,-0.032928,0.458333,0.0,0.929418,123998.0
18,29.387585,422.679993,1.530211,-0.041498,0.625,0.0,0.923476,123595.0
19,31.415112,452.309998,1.641859,-0.042307,0.272727,0.0,0.91859,126246.0
20,33.573879,478.160004,1.764715,-0.037343,0.333333,0.0,0.913793,121273.0
21,35.089931,496.809998,1.825465,-0.036558,0.208333,0.0,0.908855,123877.0
22,35.50333,500.0,1.837928,-0.03388,0.041667,0.0,0.902241,124031.0
23,35.4608,497.630005,1.838514,-0.034483,0.166667,0.0,0.896213,119176.0
24,35.625099,498.079987,1.84385,-0.033866,0.166667,0.0,0.88985,123736.0
25,35.976051,500.0,1.852681,-0.031985,0.083333,0.0,0.88051,107868.0
26,35.962917,497.579987,1.84148,-0.033859,0.083333,0.0,0.875303,108665.0
27,36.013905,497.98999,1.853064,-0.029933,0.083333,0.0,0.867877,105744.0
28,36.100616,497.179993,1.857749,-0.031446,0.041667,0.0,0.859123,106520.0
29,36.44849,500.0,1.870043,-0.029674,0.0,0.0,0.851787,106109.0
30,36.640675,500.0,1.871365,-0.028646,0.041667,0.0,0.844737,107703.0
31,36.843246,500.0,1.88287,-0.025731,0.0,0.0,0.836578,107203.0
32,36.466541,493.170013,1.843605,-0.024545,0.125,0.0,0.825469,107729.0
33,36.639614,494.209991,1.8728,-0.023556,0.083333,0.0,0.81614,108903.0
34,37.022385,497.390015,1.888439,-0.021898,0.043478,0.0,0.806483,109852.0
35,37.431736,500.0,1.899192,-0.021265,0.0,0.0,0.794911,83813.0
36,37.179703,494.809998,1.88736,-0.021058,0.086957,0.0,0.781601,125561.0
