iteration,reward,episode_length,height_reward,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
0,0.765316,14.83,0.023213,-0.001285,0.695652,0.0,0.993599,28433.0
1,1.715537,43.93,0.063105,-0.00745,7.416667,0.0,0.988184,50134.0
2,2.793571,65.410004,0.101932,-0.01068,10.5,0.0,0.986086,50379.0
3,4.273597,87.470001,0.138747,-0.012791,8.375,0.0,0.982849,52392.0
4,5.263831,105.57,0.176496,-0.013425,8.166667,0.0,0.977118,53049.0
5,6.612245,125.709999,0.205687,-0.014697,8.208334,0.0,0.971217,51663.0
6,7.196421,137.720001,0.234308,-0.01503,8.666667,0.0,0.966102,50597.0
7,8.24018,152.320007,0.259808,-0.015416,7.916667,0.0,0.961137,51419.0
8,9.401053,173.729996,0.294998,-0.018741,7.375,0.0,0.954422,50844.0
9,10.304904,187.309998,0.33346,-0.0199,5.0,0.0,0.95008,53332.0
10,11.662486,208.330002,0.372839,-0.020375,3.875,0.0,0.946338,46384.0
11,13.057865,232.979996,0.409798,-0.023647,2.958333,0.0,0.943337,53852.0
12,13.903695,244.929993,0.443124,-0.020144,2.791667,0.0,0.939957,54050.0
13,14.542418,250.410004,0.456905,-0.018195,3.043478,0.0,0.936966,50659.0
14,15.50205,268.399994,0.479143,-0.027036,2.166667,0.0,0.934137,53222.0
15,17.829462,301.589996,0.586621,-0.020764,1.4,0.0,0.929777,63680.0
16,20.477346,339.980011,0.636659,-0.020247,1.304348,0.0,0.925778,57123.0
17,21.377405,358.070007,0.626615,-0.024692,1.5,0.0,0.920536,58460.0
18,23.084299,385.480011,0.708516,-0.025095,1.142857,0.0,0.915978,58323.0
19,24.065815,398.0,0.724087,-0.022004,0.909091,0.0,0.907883,58921.0
20,26.327536,426.549988,0.793207,-0.020451,0.904762,0.0,0.900026,54556.0
21,28.398243,456.170013,0.908397,-0.020023,0.45,0.0,0.893935,55925.0
22,30.508236,487.5,0.874185,-0.025065,0.571429,0.0,0.887197,50924.0
23,31.080507,494.519989,0.934329,-0.021173,0.647059,0.0,0.877789,54160.0
24,32.67326,523.330017,0.995706,-0.028445,0.473684,0.0,0.872062,59078.0
25,33.981419,542.659973,0.986238,-0.024434,0.727273,0.0,0.865941,52211.0
26,35.523724,561.429993,1.05865,-0.023454,0.681818,0.0,0.856751,56039.0
27,37.804722,596.119995,1.144064,-0.039323,0.470588,0.0,0.847392,60809.0
28,37.956493,597.150024,1.110173,-0.020927,0.588235,0.0,0.839001,55288.0
29,40.405319,631.450012,1.243446,-0.020869,0.285714,0.0,0.83097,47821.0
30,41.902317,651.630005,1.304737,-0.025209,0.176471,0.0,0.824756,64924.0
31,45.240841,706.960022,1.341696,-0.027058,0.263158,0.0,0.814548,60914.0
32,46.682724,730.210022,1.380553,-0.029205,0.277778,0.0,0.806972,62597.0
33,48.096355,748.820007,1.440407,-0.02183,0.25,0.0,0.800058,60174.0
34,50.415264,773.960022,1.520001,-0.024042,0.222222,0.0,0.790521,60540.0
35,52.312923,796.809998,1.489234,-0.038459,0.25,0.0,0.781015,56825.0
36,55.079216,831.659973,1.614428,-0.022139,0.111111,0.0,0.775076,67967.0
37,56.41251,850.72998,1.632496,-0.028664,0.272727,0.0,0.764114,61104.0
38,57.703827,868.0,1.639211,-0.033883,0.181818,0.0,0.75517,55170.0
39,60.236927,903.940002,1.749629,-0.028367,0.047619,0.0,0.744095,57362.0
40,62.086754,933.039978,1.782545,-0.027975,0.142857,0.0,0.734887,69201.0
41,64.275696,964.780029,1.83592,-0.032194,0.055556,0.0,0.725767,67395.0
42,66.885674,989.039978,1.844391,-0.0294,0.136364,0.0,0.717145,61887.0
43,67.902946,1000.0,1.861071,-0.028931,0.041667,0.0,0.708437,55609.0
44,68.637703,995.820007,1.873716,-0.025376,0.125,0.0,0.696623,55767.0
45,68.966125,1000.0,1.869155,-0.027347,0.043478,0.0,0.689955,57469.0
46,68.768517,1000.0,1.878765,-0.025524,0.041667,0.0,0.683781,54341.0
47,68.447182,980.880005,1.856008,-0.02215,0.125,0.0,0.674503,53810.0
48,69.950844,1000.0,1.883898,-0.025893,0.0,0.0,0.666287,57805.0
49,70.481842,1000.0,1.876457,-0.026761,0.0,0.0,0.656425,54877.0
50,70.629875,1000.0,1.887983,-0.022046,0.041667,0.0,0.648173,54138.0
51,70.791527,1000.0,1.891855,-0.022194,0.0,0.0,0.641331,51492.0
52,71.846809,1000.0,1.907177,-0.016896,0.0,0.0,0.632951,53400.0
53,71.358459,992.72998,1.888778,-0.016336,0.041667,0.0,0.622432,53187.0
54,71.662239,991.359985,1.894263,-0.01685,0.041667,0.0,0.614292,48125.0
55,72.229439,1000.0,1.90203,-0.020424,0.0,0.0,0.608917,51198.0
56,73.059547,1000.0,1.918652,-0.014747,0.0,0.0,0.600172,53311.0
57,72.942863,992.710022,1.855277,-0.015112,0.045455,0.0,0.591299,55450.0
