iteration,reward,episode_length,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
0,-0.209026,21.120001,-0.001142,1.75,0.0,0.98485,48960.0
1,-0.252698,45.59,-0.006501,13.375,0.0,0.968252,25869.0
2,-0.169117,68.660004,-0.008674,16.541668,0.0,0.959188,26418.0
3,-0.000485,85.830002,-0.010324,15.291667,0.0,0.945893,36129.0
4,0.468009,108.779999,-0.011429,11.958334,0.0,0.93125,82477.0
5,0.497715,126.629997,-0.013133,12.333334,0.0,0.917702,80066.0
6,0.832292,147.100006,-0.014007,11.833334,0.0,0.90341,78013.0
7,1.080111,169.479996,-0.014127,9.166667,0.0,0.891342,83785.0
8,1.510231,183.5,-0.015221,9.25,0.0,0.878759,79305.0
9,1.807078,199.820007,-0.015632,8.333334,0.0,0.871135,75502.0
10,2.543353,218.169998,-0.016726,7.375,0.0,0.863796,76220.0
11,2.558464,239.570007,-0.017613,7.458333,0.0,0.85554,92248.0
12,3.242735,249.830002,-0.018861,7.625,0.0,0.847594,93824.0
13,4.15047,281.5,-0.019591,5.916667,0.0,0.839279,92351.0
14,4.531005,296.630005,-0.022119,5.958333,0.0,0.831603,89404.0
15,5.242748,329.559998,-0.0205,4.416667,0.0,0.82386,84641.0
16,6.031406,357.75,-0.022049,3.625,0.0,0.816521,91510.0
17,6.469584,359.040009,-0.023515,3.583333,0.0,0.808806,94663.0
18,7.109293,375.98999,-0.023186,2.625,0.0,0.801524,93754.0
19,7.99729,415.670013,-0.025757,2.833333,0.0,0.795436,90928.0
20,8.774602,448.450012,-0.024426,2.25,0.0,0.786646,84237.0
21,9.434605,468.299988,-0.026365,1.416667,0.0,0.779798,4995.0
22,11.100869,509.910004,-0.024613,1.208333,0.0,0.772301,93444.0
23,11.03567,511.019989,-0.026373,1.173913,0.0,0.766302,95279.0
24,12.005672,535.190002,-0.031034,1.25,0.0,0.760353,84818.0
25,13.179575,564.789978,-0.030313,1.0,0.0,0.755017,88304.0
26,14.071544,597.150024,-0.033216,0.956522,0.0,0.749384,91285.0
27,14.61591,623.47998,-0.030645,0.52381,0.0,0.743858,89725.0
28,16.648331,663.0,-0.024375,0.208333,0.0,0.738099,88567.0
29,16.832308,674.330017,-0.028348,0.5,0.0,0.732367,88321.0
30,18.37438,711.789978,-0.027879,0.086957,0.0,0.726458,90784.0
31,18.838015,714.789978,-0.031686,0.5,0.0,0.72061,83621.0
32,20.003727,762.320007,-0.036647,0.166667,0.0,0.715794,87249.0
33,21.08214,786.48999,-0.030729,0.166667,0.0,0.710967,88314.0
34,22.00058,816.669983,-0.027607,0.173913,0.0,0.705678,92315.0
35,22.72695,828.190002,-0.039981,0.217391,0.0,0.701209,81414.0
36,23.755545,860.809998,-0.035896,0.125,0.0,0.695765,89779.0
