iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error
0,0.675447,20.91,0.011445,0.010814,1.583333,0.0,0.989413,55490.0,0.007894
1,1.712228,46.23,0.031877,0.026993,14.166667,0.0,0.980731,80937.0,0.025808
2,2.772019,69.019997,0.052196,0.046088,17.916668,0.0,0.975657,81622.0,0.041106
3,3.907475,91.110001,0.070603,0.06381,16.375,0.0,0.967161,82100.0,0.053816
4,4.623646,103.480003,0.086064,0.079146,17.666668,0.0,0.960909,81456.0,0.066143
5,5.958598,127.919998,0.103771,0.096638,15.458334,0.0,0.953247,81585.0,0.077659
6,6.881118,146.300003,0.122498,0.115525,15.125,0.0,0.945136,82074.0,0.091704
7,7.573547,155.270004,0.135719,0.129439,13.791667,0.0,0.937838,82354.0,0.102102
8,8.108809,165.169998,0.151452,0.145539,11.875,0.0,0.929258,82150.0,0.113342
9,9.6025,190.070007,0.16892,0.163141,10.125,0.0,0.922229,82141.0,0.120978
10,11.17801,218.240005,0.181708,0.175804,8.333334,0.0,0.913906,4929.0,0.131295
11,12.167258,234.960007,0.195603,0.18903,8.666667,0.0,0.906498,91960.0,0.13688
12,12.666923,240.009995,0.207485,0.201504,6.625,0.0,0.900018,91931.0,0.146587
13,14.511866,267.850006,0.230904,0.225924,7.416667,0.0,0.89404,92123.0,0.156957
14,15.190681,274.290009,0.247006,0.241037,7.25,0.0,0.889698,91779.0,0.166792
15,16.717039,297.329987,0.259914,0.253948,6.416667,0.0,0.885427,91984.0,0.170794
16,19.204113,345.070007,0.290206,0.286061,4.833333,0.0,0.878685,89842.0,0.190875
17,19.588549,347.320007,0.310025,0.306166,4.041667,0.0,0.87244,92694.0,0.202015
18,20.586744,358.709991,0.317063,0.314512,3.583333,0.0,0.865745,91298.0,0.201421
19,21.538849,372.109985,0.338012,0.332987,3.083333,0.0,0.861355,93009.0,0.210509
20,23.800407,412.950012,0.354513,0.351187,3.5,0.0,0.856336,89547.0,0.221137
21,25.681597,435.410004,0.384954,0.382025,2.625,0.0,0.851337,91474.0,0.230286
22,27.857496,474.230011,0.421777,0.420242,2.26087,0.0,0.846558,91767.0,0.250304
23,29.263338,503.070007,0.448388,0.446563,1.304348,0.0,0.840997,93443.0,0.271027
24,30.807549,514.929993,0.466173,0.465795,1.045455,0.0,0.835846,91725.0,0.276971
25,32.043438,531.72998,0.471749,0.472113,1.304348,0.0,0.828573,87559.0,0.273724
26,34.681286,580.380005,0.53074,0.531665,0.652174,0.0,0.822995,88131.0,0.316432
27,37.115524,627.599976,0.555729,0.563292,0.652174,0.0,0.819139,88809.0,0.329512
28,37.161373,613.849976,0.545857,0.553981,0.782609,0.0,0.814007,87737.0,0.310183
29,40.680634,671.789978,0.611019,0.622115,0.608696,0.0,0.808541,88091.0,0.351121
30,42.080437,702.309998,0.631127,0.643382,0.285714,0.0,0.803893,93041.0,0.368023
31,43.93269,729.710022,0.64728,0.65702,0.391304,0.0,0.799446,88478.0,0.355728
32,45.44556,741.549988,0.66492,0.679321,0.409091,0.0,0.79591,90420.0,0.376014
33,45.052441,753.299988,0.689199,0.702839,0.5,0.0,0.791946,85891.0,0.38241
34,47.887871,793.75,0.738373,0.753666,0.227273,0.0,0.786801,91036.0,0.405545
35,49.924263,837.580017,0.761601,0.77223,0.208333,0.0,0.78277,79139.0,0.409649
36,51.780762,857.190002,0.783043,0.7944,0.190476,0.0,0.777947,93802.0,0.414604
37,54.086498,886.849976,0.804576,0.818211,0.125,0.0,0.774141,88995.0,0.429111
38,54.652813,903.200012,0.804907,0.821186,0.363636,0.0,0.76965,93647.0,0.43821
39,56.033409,923.77002,0.846839,0.863465,0.086957,0.0,0.765884,91849.0,0.453835
40,57.847431,960.669983,0.879695,0.899099,0.0,0.0,0.760391,96064.0,0.46775
41,59.171402,981.030029,0.889321,0.90452,0.125,0.0,0.757263,94654.0,0.469369
42,60.402672,987.940002,0.896085,0.914137,0.166667,0.0,0.753522,93351.0,0.467375
43,60.041103,999.309998,0.901048,0.918124,0.166667,0.0,0.750557,92963.0,0.458229
44,61.139446,1000.0,0.901657,0.920699,0.125,0.0,0.747912,93413.0,0.452758
45,61.443634,1000.0,0.899405,0.916895,0.208333,0.0,0.745004,86329.0,0.447499
46,60.281471,1000.0,0.903603,0.921369,0.166667,0.0,0.741308,79055.0,0.436776
47,63.686306,988.640015,0.899722,0.919671,0.25,0.0,0.739048,79810.0,0.429654
48,62.27309,1000.0,0.905934,0.927547,0.166667,0.0,0.73574,90775.0,0.430508
49,61.901337,1000.0,0.905142,0.927007,0.041667,0.0,0.733287,89201.0,0.423525
50,61.27182,981.919983,0.889181,0.909921,0.291667,0.0,0.730471,82030.0,0.410883
51,63.700447,982.570007,0.900893,0.920797,0.291667,0.0,0.728355,80877.0,0.40964
52,63.462265,1000.0,0.905797,0.929025,0.083333,0.0,0.725592,76509.0,0.40938
53,63.269005,971.27002,0.88948,0.910222,0.375,0.0,0.72359,78624.0,0.390532
54,64.205727,993.080017,0.903022,0.923562,0.125,0.0,0.721741,86192.0,0.396534
55,67.89048,996.150024,0.908931,0.927772,0.125,0.0,0.719657,85788.0,0.392699
56,64.27623,992.159973,0.907491,0.928922,0.083333,0.0,0.717718,3235.0,0.392432
57,64.635155,996.109985,0.89939,0.922655,0.125,0.0,0.715254,81584.0,0.39002
58,67.38485,999.690002,0.911479,0.93382,0.041667,0.0,0.712884,77941.0,0.390401
59,63.954918,1000.0,0.910323,0.93515,0.041667,0.0,0.710858,80711.0,0.384926
60,63.967331,985.960022,0.894298,0.915464,0.166667,0.0,0.708725,74812.0,0.376169
61,64.775131,991.619995,0.908748,0.932804,0.041667,0.0,0.70608,90843.0,0.382642
62,65.731018,1000.0,0.912126,0.934556,0.0,0.0,0.703833,90806.0,0.3822
63,67.313805,1000.0,0.911668,0.931703,0.041667,0.0,0.701358,90221.0,0.375956
64,67.57254,987.630005,0.90395,0.925105,0.086957,0.0,0.699089,87559.0,0.371395
65,64.433411,982.950012,0.904974,0.930635,0.090909,0.0,0.697291,94448.0,0.374137
66,69.402626,996.090027,0.911226,0.93448,0.043478,0.0,0.694646,83761.0,0.380441
67,67.340355,979.080017,0.899001,0.921232,0.173913,0.0,0.693457,84985.0,0.369065
68,69.307396,985.72998,0.902893,0.924648,0.086957,0.0,0.691684,86316.0,0.369348
69,66.619263,971.030029,0.891136,0.91476,0.130435,0.0,0.689584,84305.0,0.363505
70,67.553413,989.869995,0.914318,0.936374,0.043478,0.0,0.687627,83997.0,0.363643
71,66.17308,983.109985,0.891833,0.914564,0.173913,0.0,0.686049,76745.0,0.360783
72,68.980652,987.690002,0.917399,0.934997,0.047619,0.0,0.684313,82226.0,0.360137
73,71.441032,991.090027,0.900002,0.923798,0.086957,0.0,0.682387,78295.0,0.356615
74,70.393127,992.700012,0.915955,0.934346,0.045455,0.0,0.681072,87533.0,0.359031
75,70.498169,995.710022,0.916418,0.93665,0.0,0.0,0.679676,77223.0,0.365183
76,69.733078,996.719971,0.912537,0.933665,0.045455,0.0,0.677807,82615.0,0.362192
77,71.292114,996.830017,0.909163,0.934274,0.043478,0.0,0.676281,77670.0,0.364415
78,72.110374,992.450012,0.911546,0.933206,0.045455,0.0,0.674434,81560.0,0.36019
79,71.227898,1000.0,0.917186,0.9377,0.0,0.0,0.672899,87180.0,0.358436
80,73.195267,997.210022,0.911344,0.935716,0.047619,0.0,0.671447,88122.0,0.360415
81,72.835426,987.650024,0.903366,0.922688,0.086957,0.0,0.669682,88917.0,0.348641
82,73.578514,992.98999,0.919792,0.938065,0.0,0.0,0.668279,87793.0,0.352524
83,73.605186,1000.0,0.917628,0.937737,0.0,0.0,0.667082,88065.0,0.352388
84,73.999374,1000.0,0.918219,0.938873,0.0,0.0,0.665854,87937.0,0.353266
85,71.418526,995.039978,0.916902,0.936883,0.083333,0.0,0.664752,79048.0,0.350432
86,71.827393,1000.0,0.921411,0.939193,0.0,0.0,0.663424,86995.0,0.347079
87,72.93512,1000.0,0.919401,0.939198,0.041667,0.0,0.661828,91985.0,0.348778
88,73.517151,1000.0,0.916285,0.936868,0.083333,0.0,0.659644,92377.0,0.348548
89,74.346603,1000.0,0.918484,0.938529,0.0,0.0,0.658557,92486.0,0.348682
90,70.706863,1000.0,0.912989,0.93411,0.083333,0.0,0.657315,92007.0,0.348079
91,74.4133,1000.0,0.916932,0.934754,0.041667,0.0,0.655295,92513.0,0.34408
92,72.463966,1000.0,0.919479,0.939497,0.0,0.0,0.653877,88367.0,0.345469
93,73.483299,1000.0,0.913908,0.933196,0.041667,0.0,0.651119,92896.0,0.342622
94,75.595337,992.679993,0.912352,0.931178,0.125,0.0,0.649256,91999.0,0.338248
95,75.40287,1000.0,0.91982,0.939617,0.0,0.0,0.648565,92499.0,0.343912
96,74.63739,1000.0,0.919247,0.938904,0.0,0.0,0.647481,88309.0,0.343588
97,77.19149,1000.0,0.922271,0.940281,0.0,0.0,0.646204,88910.0,0.340351
98,74.238205,1000.0,0.917802,0.937645,0.041667,0.0,0.64469,84003.0,0.337965
99,75.669258,1000.0,0.92179,0.940111,0.0,0.0,0.643206,85956.0,0.339418
100,75.214165,996.700012,0.918246,0.939071,0.041667,0.0,0.641545,76412.0,0.339656
101,73.75946,990.940002,0.914573,0.935046,0.083333,0.0,0.639626,75261.0,0.334638
102,76.085175,996.840027,0.918745,0.938941,0.041667,0.0,0.636687,75035.0,0.335177
103,77.800194,993.549988,0.92098,0.937848,0.041667,0.0,0.634111,77270.0,0.331329
104,73.414688,1000.0,0.921227,0.940582,0.0,0.0,0.632605,84514.0,0.33585
105,77.628838,1000.0,0.924855,0.943383,0.0,0.0,0.631193,83040.0,0.33039
106,76.079834,994.640015,0.917069,0.935596,0.043478,0.0,0.62971,74938.0,0.330478
107,74.572548,992.27002,0.912009,0.933825,0.043478,0.0,0.627289,75512.0,0.333275
108,76.487045,994.380005,0.915515,0.935184,0.045455,0.0,0.625312,78142.0,0.328344
109,75.348526,1000.0,0.921323,0.943666,0.0,0.0,0.623203,85686.0,0.333987
110,75.746162,1000.0,0.924576,0.942394,0.0,0.0,0.622058,72208.0,0.330111
111,74.874321,1000.0,0.926313,0.943733,0.0,0.0,0.619675,59361.0,0.323496
112,77.867256,1000.0,0.92563,0.943932,0.0,0.0,0.617872,55669.0,0.327692
113,76.049416,1000.0,0.922731,0.944169,0.0,0.0,0.616438,79234.0,0.324142
114,77.465347,1000.0,0.921224,0.938631,0.0,0.0,0.614908,93230.0,0.330556
115,76.796616,1000.0,0.924212,0.941305,0.0,0.0,0.613368,91668.0,0.327476
116,76.680832,1000.0,0.923418,0.944038,0.0,0.0,0.612353,88495.0,0.330254
117,77.834908,1000.0,0.926896,0.945388,0.0,0.0,0.610884,76772.0,0.319182
118,77.528961,1000.0,0.924229,0.945625,0.0,0.0,0.609713,77839.0,0.326189
119,77.37117,1000.0,0.927724,0.945745,0.0,0.0,0.608521,87846.0,0.313371
120,74.691261,1000.0,0.922891,0.942841,0.0,0.0,0.60704,91843.0,0.32328
121,76.379234,1000.0,0.922642,0.942273,0.0,0.0,0.605868,91841.0,0.323677
122,75.223663,1000.0,0.92299,0.942498,0.0,0.0,0.604618,85622.0,0.326693
123,77.107712,1000.0,0.921671,0.943522,0.0,0.0,0.603299,77856.0,0.326817
124,76.044868,997.27002,0.922049,0.941537,0.041667,0.0,0.602036,81015.0,0.316475
125,77.420555,996.820007,0.917835,0.938238,0.041667,0.0,0.600561,77849.0,0.315135
126,75.838463,995.940002,0.921536,0.941612,0.041667,0.0,0.599734,82544.0,0.323028
127,78.872055,1000.0,0.925867,0.944682,0.0,0.0,0.598659,82159.0,0.32
128,77.366814,1000.0,0.925022,0.944505,0.0,0.0,0.597375,79912.0,0.318892
129,77.828735,1000.0,0.924708,0.944901,0.0,0.0,0.5959,73382.0,0.320566
130,76.515251,1000.0,0.925108,0.94471,0.0,0.0,0.594736,74943.0,0.319056
131,79.32692,1000.0,0.925303,0.946457,0.0,0.0,0.593406,83150.0,0.318647
132,76.810547,1000.0,0.924793,0.945959,0.0,0.0,0.592384,82421.0,0.318431
133,77.060364,1000.0,0.923728,0.944803,0.0,0.0,0.59075,81679.0,0.317016
134,78.543663,1000.0,0.925104,0.944474,0.041667,0.0,0.589175,69648.0,0.317314
135,78.013756,1000.0,0.926144,0.946601,0.0,0.0,0.587712,70182.0,0.314499
136,78.927933,992.469971,0.922394,0.943369,0.041667,0.0,0.585717,78138.0,0.316671
137,79.343468,1000.0,0.926102,0.945887,0.0,0.0,0.584706,87336.0,0.315414
138,77.044853,1000.0,0.924796,0.943206,0.041667,0.0,0.583143,87470.0,0.311148
139,77.39537,1000.0,0.926694,0.946754,0.0,0.0,0.581497,80704.0,0.311804
140,77.493195,1000.0,0.925462,0.945374,0.0,0.0,0.580245,81187.0,0.313591
141,79.090034,1000.0,0.925434,0.946353,0.0,0.0,0.57873,79441.0,0.313786
142,80.766502,1000.0,0.923738,0.944281,0.0,0.0,0.577576,81323.0,0.314718
143,78.817139,994.25,0.920336,0.941434,0.041667,0.0,0.576317,87631.0,0.311534
144,76.939537,1000.0,0.926672,0.94565,0.0,0.0,0.574521,80752.0,0.310602
145,79.63208,1000.0,0.924356,0.945449,0.0,0.0,0.573161,87066.0,0.312851
146,79.653679,1000.0,0.923141,0.94536,0.0,0.0,0.571486,87328.0,0.314502
147,80.419823,1000.0,0.92831,0.947203,0.0,0.0,0.569964,93276.0,0.305057
148,80.820763,1000.0,0.925055,0.94506,0.0,0.0,0.568796,90456.0,0.313012
149,78.526558,984.200012,0.914771,0.933646,0.090909,0.0,0.566759,86213.0,0.303573
