iteration,reward,episode_length,height_reward,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
0,0.098575,14.72,0.021898,-0.001235,0.652174,0.0,0.983799,28993.0
1,-0.203305,45.18,0.056115,-0.008207,10.25,0.0,0.966558,51747.0
2,-0.066878,66.32,0.089713,-0.012749,13.75,0.0,0.953163,52732.0
3,0.312298,86.599998,0.122852,-0.015365,12.416667,0.0,0.943475,49240.0
4,0.469293,98.290001,0.141101,-0.018993,13.791667,0.0,0.933602,48684.0
5,0.740191,120.410004,0.168374,-0.018369,17.75,0.0,0.922251,49110.0
6,0.956638,125.089996,0.193264,-0.019991,17.083334,0.0,0.910454,49016.0
7,1.445551,147.779999,0.219444,-0.01971,16.708334,0.0,0.900065,49920.0
8,1.427698,151.479996,0.238953,-0.022847,13.833334,0.0,0.889345,50947.0
9,1.450658,159.279999,0.254265,-0.029838,6.916667,0.0,0.880001,52009.0
10,1.793221,178.050003,0.263006,-0.030261,6.125,0.0,0.872449,45401.0
11,2.184866,176.860001,0.274059,-0.025815,7.875,0.0,0.865955,54676.0
12,2.427613,187.190002,0.305231,-0.027599,8.958334,0.0,0.860048,53991.0
13,2.943209,200.369995,0.327073,-0.030178,11.041667,0.0,0.855966,52553.0
14,3.361958,222.380005,0.35802,-0.030768,7.958333,0.0,0.848806,47207.0
15,3.451863,229.850006,0.375859,-0.034121,7.916667,0.0,0.843062,43007.0
16,3.749355,235.889999,0.400706,-0.033278,6.208333,0.0,0.836697,32334.0
17,3.956955,244.020004,0.382558,-0.037632,6.25,0.0,0.829443,32607.0
18,4.200274,246.770004,0.412535,-0.037605,7.125,0.0,0.822112,34197.0
19,4.825743,258.48999,0.416679,-0.039497,7.25,0.0,0.816851,51971.0
20,5.129448,281.160004,0.44177,-0.035893,7.0,0.0,0.810681,53793.0
21,5.347838,304.100006,0.498212,-0.04363,5.333333,0.0,0.801917,51827.0
22,7.03773,337.51001,0.527691,-0.037304,5.0,0.0,0.798361,54744.0
23,6.220071,299.910004,0.511129,-0.033886,5.083333,0.0,0.792259,53664.0
24,7.589748,353.820007,0.600644,-0.035487,5.25,0.0,0.786009,52147.0
25,6.905423,341.0,0.552709,-0.047755,5.166667,0.0,0.779639,49703.0
26,8.180626,372.350006,0.665859,-0.039345,5.541667,0.0,0.772956,51255.0
27,7.983298,343.450012,0.584881,-0.036248,4.916667,0.0,0.76598,49561.0
28,8.188223,344.890015,0.579563,-0.040165,5.333333,0.0,0.761048,49647.0
29,9.285512,369.660004,0.631809,-0.039896,5.125,0.0,0.757178,47704.0
30,9.442461,367.579987,0.673975,-0.037515,5.583333,0.0,0.752449,50412.0
31,9.606194,391.570007,0.679158,-0.039104,4.5,0.0,0.747076,49228.0
32,10.461189,406.149994,0.706935,-0.037487,5.130435,0.0,0.743231,52028.0
33,9.568016,384.920013,0.630787,-0.040433,4.375,0.0,0.738819,51057.0
34,10.075831,387.910004,0.693696,-0.04075,4.130435,0.0,0.732227,52613.0
35,12.09093,463.25,0.795491,-0.049456,4.041667,0.0,0.730121,43328.0
36,11.716903,446.149994,0.764401,-0.051322,4.375,0.0,0.726121,52566.0
37,12.809995,462.920013,0.785549,-0.03942,4.478261,0.0,0.722482,54820.0
38,12.590703,463.709991,0.81356,-0.051626,5.041667,0.0,0.715322,52491.0
39,12.155277,422.350006,0.751846,-0.040474,4.833333,0.0,0.71205,54707.0
40,14.666411,509.570007,0.887871,-0.047902,4.458333,0.0,0.708051,50986.0
41,14.630651,499.01001,0.896573,-0.044393,4.041667,0.0,0.703871,53506.0
42,13.937869,486.299988,0.828231,-0.050256,4.208333,0.0,0.701317,55053.0
43,18.002455,617.570007,1.144234,-0.042253,4.375,0.0,0.697748,55628.0
44,17.381519,594.440002,1.095371,-0.06391,3.583333,0.0,0.695334,55536.0
45,17.867506,601.150024,1.034135,-0.050201,4.208333,0.0,0.693774,53243.0
46,19.091368,636.559998,1.121041,-0.05356,3.375,0.0,0.689701,54463.0
47,22.289898,724.859985,1.248563,-0.053752,3.291667,0.0,0.688864,53684.0
48,22.52651,705.969971,1.233708,-0.044517,3.041667,0.0,0.684476,55395.0
49,20.418087,660.400024,1.098234,-0.052437,3.333333,0.0,0.683675,55247.0
50,21.176937,642.960022,1.185367,-0.032987,3.416667,0.0,0.679119,50895.0
51,19.518747,582.349976,1.032521,-0.03588,3.375,0.0,0.678112,51887.0
52,20.902843,612.51001,1.081396,-0.034401,3.0,0.0,0.675674,51302.0
53,19.424402,581.280029,1.090521,-0.046551,3.166667,0.0,0.672092,46979.0
54,23.634562,706.580017,1.265643,-0.056353,2.708333,0.0,0.670478,50444.0
55,22.975004,658.580017,1.27967,-0.050046,2.708333,0.0,0.667068,51157.0
56,22.782097,650.469971,1.215276,-0.046807,2.25,0.0,0.666038,50838.0
57,24.966339,709.090027,1.330936,-0.035128,2.166667,0.0,0.66383,49480.0
58,20.301289,572.700012,1.172001,-0.042021,2.666667,0.0,0.662215,50857.0
59,22.831118,655.140015,1.200514,-0.042915,2.166667,0.0,0.658451,48493.0
60,24.307354,670.890015,1.154095,-0.038372,2.608696,0.0,0.656576,34398.0
61,25.703598,707.559998,1.223537,-0.042305,2.25,0.0,0.654028,35669.0
62,26.891167,731.72998,1.29668,-0.042428,2.375,0.0,0.650365,34657.0
63,24.354042,655.859985,1.117106,-0.030017,1.958333,0.0,0.648565,48443.0
64,23.128975,634.340027,1.203957,-0.046425,2.916667,0.0,0.646875,51999.0
65,26.255901,692.710022,1.344086,-0.031883,1.958333,0.0,0.644341,54810.0
66,27.771824,729.27002,1.361546,-0.03815,1.833333,0.0,0.641104,53298.0
67,29.380819,774.0,1.400974,-0.044492,1.833333,0.0,0.638035,56101.0
68,28.396584,754.909973,1.262004,-0.065511,1.833333,0.0,0.636034,54420.0
69,26.602285,675.349976,1.255301,-0.033863,2.833333,0.0,0.63182,53201.0
70,31.142317,799.119995,1.466536,-0.039443,1.625,0.0,0.627488,55543.0
71,32.748276,825.130005,1.568705,-0.045096,1.173913,0.0,0.62459,54595.0
72,29.996136,756.340027,1.35062,-0.039867,2.083333,0.0,0.621088,53282.0
73,27.890606,704.309998,1.284809,-0.044193,2.173913,0.0,0.618341,55993.0
74,30.998434,767.900024,1.435738,-0.041635,1.913043,0.0,0.615746,53841.0
75,28.252987,698.659973,1.211427,-0.043929,1.75,0.0,0.612146,49525.0
76,28.90032,704.25,1.324644,-0.043413,2.086957,0.0,0.608484,51425.0
77,32.664433,792.570007,1.499035,-0.048645,1.125,0.0,0.60529,50164.0
78,33.062805,798.27002,1.412153,-0.046554,1.173913,0.0,0.602211,51910.0
79,33.051285,807.219971,1.494712,-0.055434,1.521739,0.0,0.599159,49649.0
80,33.106045,791.26001,1.538278,-0.04517,1.391304,0.0,0.595929,52362.0
81,34.068035,800.169983,1.481435,-0.041823,1.666667,0.0,0.593427,48808.0
82,34.296078,796.789978,1.470322,-0.041575,1.391304,0.0,0.591638,51300.0
83,34.883297,814.070007,1.522888,-0.042039,1.130435,0.0,0.589068,50573.0
84,34.785633,811.47998,1.440845,-0.044178,1.434783,0.0,0.585462,50471.0
85,36.921017,854.679993,1.549102,-0.040134,1.083333,0.0,0.583205,45058.0
86,38.287109,879.51001,1.664783,-0.049299,1.0,0.0,0.578489,54050.0
