iteration,reward,episode_length,height_reward,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
0,1.151786,18.040001,0.044013,-0.00168,0.666667,0.0,0.994539,43137.0
1,2.457892,45.529999,0.116082,-0.013502,8.208334,0.0,0.991419,90366.0
2,3.620999,66.099998,0.184289,-0.02298,12.083334,0.0,0.99066,78877.0
3,5.17085,88.360001,0.252741,-0.027861,11.708334,0.0,0.985967,87464.0
4,5.934426,102.849998,0.305897,-0.036824,11.25,0.0,0.981279,54700.0
5,7.229019,124.760002,0.367261,-0.041701,8.375,0.0,0.977984,55127.0
6,8.43846,139.800003,0.453749,-0.03823,7.333333,0.0,0.973736,57446.0
7,9.40803,151.800003,0.496083,-0.041897,5.708333,0.0,0.968151,57707.0
8,11.288713,178.779999,0.569901,-0.042749,3.625,0.0,0.962953,81850.0
9,12.792973,197.970001,0.667417,-0.044371,2.75,0.0,0.956873,91060.0
10,15.250216,236.029999,0.751491,-0.047803,1.833333,0.0,0.951219,72775.0
11,15.265763,240.199997,0.763612,-0.057495,1.916667,0.0,0.947537,107224.0
12,17.389868,269.929993,0.912278,-0.051051,1.0,0.0,0.941995,109928.0
13,18.985159,299.679993,0.982306,-0.074392,0.73913,0.0,0.936518,114099.0
14,20.124151,311.549988,1.052883,-0.063,0.913043,0.0,0.930899,114551.0
15,22.23336,349.440002,1.115385,-0.092386,0.583333,0.0,0.926275,111518.0
16,22.895462,362.170013,1.142026,-0.087502,0.869565,0.0,0.92126,115694.0
17,25.22323,393.579987,1.324286,-0.082237,0.347826,0.0,0.91692,113141.0
18,26.332062,413.869995,1.316409,-0.113999,0.636364,0.0,0.912262,117888.0
19,27.725698,443.25,1.397522,-0.127514,0.47619,0.0,0.906593,118002.0
20,30.65694,481.950012,1.514971,-0.130617,0.208333,0.0,0.900397,107131.0
21,31.437695,495.179993,1.601328,-0.105568,0.166667,0.0,0.894649,111759.0
22,32.827888,499.420013,1.618392,-0.103358,0.208333,0.0,0.889774,105021.0
23,33.582001,496.799988,1.657046,-0.090565,0.25,0.0,0.885667,112319.0
24,32.69841,496.309998,1.644516,-0.097918,0.166667,0.0,0.879937,113674.0
25,34.765347,498.839996,1.709905,-0.077646,0.083333,0.0,0.872378,97723.0
26,34.801659,495.980011,1.748668,-0.064597,0.083333,0.0,0.864567,101091.0
27,34.94809,500.0,1.760539,-0.059776,0.041667,0.0,0.858963,99498.0
28,35.836468,498.929993,1.793766,-0.051223,0.083333,0.0,0.851757,101351.0
29,36.308727,500.0,1.79909,-0.046824,0.041667,0.0,0.847029,97848.0
30,37.121101,497.859985,1.847214,-0.032294,0.041667,0.0,0.840767,102947.0
31,37.331669,500.0,1.864225,-0.029782,0.0,0.0,0.834982,99931.0
32,37.354294,496.899994,1.846943,-0.030193,0.041667,0.0,0.826895,100363.0
33,37.941872,500.0,1.886314,-0.021904,0.0,0.0,0.819616,102682.0
34,37.644913,496.820007,1.862894,-0.028183,0.043478,0.0,0.81065,100268.0
35,37.501442,494.5,1.860913,-0.030331,0.043478,0.0,0.803701,78706.0
36,38.139507,500.0,1.885898,-0.025083,0.0,0.0,0.796805,110447.0
37,38.203827,498.329987,1.872821,-0.025028,0.045455,0.0,0.786607,117269.0
38,38.568645,500.0,1.897496,-0.023472,0.0,0.0,0.781262,116927.0
39,38.57531,500.0,1.888393,-0.028743,0.0,0.0,0.775193,112944.0
40,38.655422,498.730011,1.903165,-0.020983,0.047619,0.0,0.768084,117783.0
41,38.919956,498.600006,1.905924,-0.021133,0.041667,0.0,0.756507,116193.0
42,39.429794,500.0,1.921308,-0.016129,0.0,0.0,0.749885,117027.0
43,39.604511,500.0,1.923083,-0.01569,0.0,0.0,0.743684,111069.0
44,39.512859,498.829987,1.921568,-0.016984,0.041667,0.0,0.734452,115868.0
45,39.77663,500.0,1.927116,-0.01596,0.0,0.0,0.726295,114408.0
46,40.10136,500.0,1.932281,-0.013741,0.0,0.0,0.717521,111096.0
47,40.030243,500.0,1.933466,-0.014863,0.0,0.0,0.711034,113425.0
48,40.205666,500.0,1.933267,-0.015486,0.0,0.0,0.705228,115053.0
49,40.492592,500.0,1.933107,-0.012528,0.041667,0.0,0.696185,114118.0
