iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
0,0.487475,15.36,0.011001,0.010779,0.916667,0.0,0.988892,27333.0,0.007276,0.01986,0.001032,0.005539,-0.001567,0.002386,8.484102
1,1.111748,43.98,0.028693,0.025074,9.541667,0.0,0.980171,44963.0,0.023364,0.066435,0.006133,0.01942,-0.00551,0.012477,8.337338
2,2.066415,67.900002,0.047165,0.043764,13.0,0.0,0.974526,47206.0,0.037134,0.10616,0.00886,0.030956,-0.008525,0.018291,8.284536
3,2.999746,86.68,0.062513,0.059087,13.833334,0.0,0.967764,46399.0,0.048572,0.142583,0.011774,0.039783,-0.010831,0.025432,8.235897
4,3.358038,96.050003,0.076088,0.072638,14.541667,0.0,0.95923,46221.0,0.060034,0.174055,0.013924,0.05004,-0.013397,0.029065,8.24703
5,4.144473,115.330002,0.09037,0.086637,11.791667,0.0,0.951822,44379.0,0.06854,0.208195,0.015649,0.05714,-0.015576,0.035663,8.20951
6,4.809986,131.899994,0.099409,0.095552,10.916667,0.0,0.945252,45105.0,0.077477,0.224742,0.017754,0.062815,-0.016965,0.038348,8.189817
7,5.48873,147.520004,0.109325,0.105289,10.166667,0.0,0.93914,45442.0,0.08385,0.245534,0.019334,0.07077,-0.019219,0.041856,8.107274
8,5.739407,151.490005,0.117559,0.113553,8.708334,0.0,0.933152,42741.0,0.090331,0.267065,0.02179,0.07584,-0.020871,0.049016,8.108765
9,6.572685,174.619995,0.132017,0.129345,6.375,0.0,0.927709,45306.0,0.102608,0.308018,0.024255,0.087431,-0.024008,0.052487,8.066594
10,7.083876,186.979996,0.140494,0.137471,4.708333,0.0,0.922988,40447.0,0.107116,0.325983,0.025416,0.084141,-0.023628,0.060657,8.01572
11,7.74366,211.039993,0.161656,0.161521,3.166667,0.0,0.916972,45766.0,0.1231,0.383264,0.02825,0.098856,-0.027468,0.06416,8.007999
