iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
0,0.498265,15.35,0.01099,0.010746,0.916667,0.0,0.989016,27802.0,0.007276,0.019873,0.001044,0.005557,-0.001571,0.002387,8.484507
1,1.186857,44.150002,0.02867,0.025107,9.541667,0.0,0.980322,45893.0,0.023255,0.067674,0.00601,0.01974,-0.0056,0.012446,8.322697
2,2.25623,66.769997,0.047571,0.044058,12.583334,0.0,0.976158,44245.0,0.036809,0.106336,0.008775,0.030274,-0.008301,0.018481,8.300386
3,3.035773,83.160004,0.06188,0.058159,13.5,0.0,0.968464,46353.0,0.047308,0.139884,0.011559,0.040315,-0.011004,0.024818,8.258329
4,3.796564,100.940002,0.07626,0.072353,13.25,0.0,0.961358,43892.0,0.058953,0.172374,0.013937,0.048923,-0.013205,0.029857,8.273826
5,4.15229,112.029999,0.084113,0.080395,12.875,0.0,0.953878,44352.0,0.065052,0.190697,0.015073,0.055312,-0.015054,0.034075,8.235497
6,4.915411,130.970001,0.099259,0.096189,9.958334,0.0,0.944286,44835.0,0.077553,0.227564,0.017891,0.061861,-0.01647,0.037885,8.209225
7,6.413781,158.889999,0.117059,0.113898,9.041667,0.0,0.939199,47095.0,0.090773,0.264751,0.020179,0.078288,-0.020854,0.043103,8.153091
8,5.934181,152.270004,0.114898,0.110923,7.833333,0.0,0.934658,47697.0,0.087241,0.26103,0.020314,0.073303,-0.020099,0.046034,8.105932
9,7.244654,181.589996,0.137114,0.134117,5.958333,0.0,0.929011,46819.0,0.106851,0.315114,0.024192,0.093252,-0.02584,0.051315,8.072062
10,7.707804,188.509995,0.154141,0.148243,4.833333,0.0,0.924447,38476.0,0.118134,0.345491,0.027867,0.093609,-0.026119,0.059074,8.03779
11,8.154289,209.570007,0.162063,0.159576,3.75,0.0,0.917563,49385.0,0.129228,0.384732,0.029432,0.111052,-0.031079,0.06377,8.03425
12,9.120995,225.690002,0.16951,0.169108,3.125,0.0,0.911864,47074.0,0.128746,0.397465,0.030454,0.10706,-0.02908,0.074782,8.003485
13,10.101045,248.75,0.178743,0.177329,2.625,0.0,0.905754,44196.0,0.135966,0.408984,0.032696,0.106712,-0.029063,0.076205,7.961238
14,11.345953,275.730011,0.207172,0.209524,1.909091,0.0,0.902171,34410.0,0.16077,0.482055,0.037795,0.127384,-0.035207,0.087734,7.943783
15,12.389176,307.160004,0.230475,0.230445,1.73913,0.0,0.898132,32412.0,0.180904,0.5321,0.040795,0.158687,-0.04397,0.086783,7.922412
16,12.921104,329.109985,0.232533,0.235384,1.652174,0.0,0.893396,33035.0,0.195187,0.562234,0.043082,0.161699,-0.045235,0.099515,7.922849
17,12.269223,333.859985,0.219221,0.219086,1.809524,0.0,0.889133,41134.0,0.179715,0.527147,0.042534,0.145743,-0.041705,0.101639,7.90753
18,13.587214,346.179993,0.254083,0.253058,1.619048,0.0,0.885638,53537.0,0.207514,0.609582,0.048055,0.188752,-0.055718,0.106918,7.890625
19,15.126111,379.440002,0.271901,0.278542,1.0,0.0,0.881819,53517.0,0.214908,0.688626,0.048053,0.172466,-0.047934,0.126663,7.852525
20,15.812448,405.160004,0.275994,0.279138,1.090909,0.0,0.878035,50346.0,0.233386,0.690087,0.05429,0.204311,-0.058841,0.131913,7.871646
21,15.732462,414.920013,0.265869,0.271654,1.363636,0.0,0.87345,51704.0,0.230282,0.680488,0.053756,0.190578,-0.055921,0.131779,7.824529
22,16.186069,450.170013,0.310325,0.325692,0.956522,0.0,0.868327,48665.0,0.266929,0.777734,0.056343,0.240111,-0.068468,0.128625,7.83756
23,17.363745,479.51001,0.31774,0.312289,1.611111,0.0,0.864503,56393.0,0.256054,0.756613,0.059571,0.221463,-0.066037,0.148565,7.80669
24,18.962082,484.619995,0.34479,0.34133,1.111111,0.0,0.860144,55712.0,0.260672,0.818351,0.063062,0.219552,-0.063464,0.157943,7.787277
25,19.843779,503.890015,0.32585,0.340952,0.842105,0.0,0.855886,50600.0,0.30836,0.862541,0.065567,0.274862,-0.080404,0.159093,7.760725
