iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
0,0.631239,20.639999,0.010831,0.010722,1.416667,0.0,0.987455,39347.0,0.00732,0.019095,0.00106,0.005542,-0.001582,0.002527,8.486607
1,1.429094,46.43,0.02928,0.025624,18.083334,0.0,0.977249,66247.0,0.023275,0.065093,0.006024,0.019231,-0.005449,0.012304,8.354467
2,2.320144,69.050003,0.046999,0.043022,23.583334,0.0,0.971493,64578.0,0.036016,0.10669,0.008921,0.030035,-0.008283,0.019598,8.281601
3,3.096066,88.540001,0.063469,0.059994,23.75,0.0,0.962966,64501.0,0.049547,0.143731,0.011406,0.040288,-0.010891,0.02403,8.257527
4,3.980875,102.550003,0.077344,0.073047,24.75,0.0,0.95497,64588.0,0.059344,0.175036,0.013822,0.050502,-0.013768,0.030318,8.226482
5,4.235754,113.879997,0.089256,0.085139,21.208334,0.0,0.946238,64213.0,0.068693,0.200288,0.015515,0.059103,-0.016237,0.03337,8.209057
6,5.065241,129.339996,0.10015,0.095998,18.916668,0.0,0.936507,65145.0,0.076979,0.224152,0.017657,0.064635,-0.017852,0.038382,8.178319
7,6.324213,156.169998,0.113032,0.108605,14.833334,0.0,0.927893,67740.0,0.086069,0.251777,0.019805,0.072001,-0.019819,0.043475,8.145178
8,6.341384,160.110001,0.118889,0.114656,12.666667,0.0,0.918501,66773.0,0.090109,0.270714,0.021494,0.076519,-0.02152,0.047502,8.102813
9,7.257955,180.710007,0.13757,0.133965,9.166667,0.0,0.91394,60473.0,0.105071,0.308546,0.024002,0.0896,-0.025116,0.054075,8.048446
10,8.347111,208.220001,0.152914,0.147757,6.041667,0.0,0.904661,46107.0,0.114801,0.346336,0.027694,0.095674,-0.027285,0.063337,8.021358
11,8.453443,208.770004,0.16137,0.157102,4.291667,0.0,0.897029,46083.0,0.127546,0.367002,0.02911,0.108997,-0.030729,0.064852,7.984109
12,9.276415,229.440002,0.174545,0.170273,4.083333,0.0,0.88968,46664.0,0.133958,0.384445,0.030896,0.114817,-0.032623,0.065303,7.950843
13,9.991098,247.289993,0.190417,0.191283,3.5,0.0,0.882061,46956.0,0.143157,0.431618,0.034626,0.118139,-0.032867,0.08025,7.907274
14,11.410057,275.380005,0.208326,0.209587,2.708333,0.0,0.873236,45217.0,0.1547,0.475509,0.036822,0.122192,-0.033993,0.088932,7.856829
15,12.193543,315.130005,0.220715,0.223986,2.130435,0.0,0.866666,48261.0,0.180911,0.515928,0.038579,0.154226,-0.043902,0.088415,7.827869
16,14.525366,358.75,0.258438,0.262158,1.791667,0.0,0.859956,46311.0,0.215324,0.598017,0.046036,0.186803,-0.053252,0.098381,7.81481
17,13.751056,357.779999,0.239106,0.243149,2.090909,0.0,0.853638,49999.0,0.203384,0.582895,0.045903,0.165161,-0.048774,0.108653,7.775145
18,16.256735,403.769989,0.281831,0.286945,1.208333,0.0,0.848448,46758.0,0.222189,0.6738,0.053923,0.18731,-0.053529,0.123598,7.753627
19,15.881864,421.899994,0.289784,0.300361,1.25,0.0,0.844637,46416.0,0.23896,0.688497,0.052187,0.2013,-0.056736,0.117956,7.735766
20,16.96221,444.290009,0.304372,0.305889,1.043478,0.0,0.838705,53100.0,0.235596,0.706938,0.055811,0.197234,-0.056777,0.126914,7.729053
21,18.51046,451.220001,0.298172,0.306256,1.181818,0.0,0.834028,68167.0,0.241251,0.729939,0.05534,0.19748,-0.057111,0.143505,7.681104
22,18.273186,477.23999,0.305685,0.308509,1.272727,0.0,0.828076,67659.0,0.256847,0.743994,0.060169,0.22015,-0.065439,0.140215,7.701538
23,19.255236,497.390015,0.334563,0.342011,1.708333,0.0,0.824893,66307.0,0.274615,0.796126,0.062896,0.243141,-0.070132,0.154356,7.663869
24,19.077145,525.130005,0.298646,0.318923,1.0,0.0,0.821155,66879.0,0.279145,0.800173,0.065748,0.239184,-0.072504,0.151391,7.647584
25,19.340923,545.539978,0.31449,0.331431,1.0,0.0,0.818047,69356.0,0.302555,0.835496,0.067279,0.273692,-0.080881,0.144046,7.619323
26,19.264935,559.23999,0.346447,0.35441,1.304348,0.0,0.815081,66559.0,0.293373,0.871515,0.06946,0.25479,-0.077005,0.157658,7.622974
