iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
0,0.588926,19.18,0.010861,0.010716,1.208333,0.0,0.988245,31580.0,0.007266,0.019035,0.001052,0.005525,-0.001565,0.002486,8.477723
1,1.269226,46.18,0.029038,0.025277,14.916667,0.0,0.978272,62405.0,0.023442,0.064952,0.006007,0.019103,-0.005434,0.011643,8.338086
2,2.271736,67.089996,0.046962,0.04281,20.291668,0.0,0.974516,63099.0,0.036563,0.105978,0.009106,0.031059,-0.008614,0.019385,8.307094
3,3.033978,86.959999,0.06249,0.059005,21.166668,0.0,0.964895,63423.0,0.048541,0.140371,0.011475,0.040105,-0.010906,0.025318,8.261127
4,3.733287,100.330002,0.074959,0.072094,21.625,0.0,0.956937,62924.0,0.058259,0.169823,0.013249,0.048081,-0.012978,0.029354,8.234191
5,4.271167,115.550003,0.088306,0.084158,21.666668,0.0,0.948798,61906.0,0.067396,0.198123,0.015928,0.057585,-0.015727,0.034725,8.18251
6,5.115993,126.419998,0.095265,0.090782,18.416668,0.0,0.941006,63882.0,0.072089,0.215461,0.017403,0.062751,-0.017482,0.038542,8.167812
7,5.542022,138.320007,0.106551,0.101904,16.25,0.0,0.935656,62773.0,0.079835,0.238114,0.019035,0.066541,-0.018499,0.041336,8.142943
8,5.902089,151.559998,0.112585,0.108266,12.0,0.0,0.927231,61750.0,0.086112,0.258456,0.02116,0.075373,-0.02123,0.047933,8.137818
9,6.884455,172.880005,0.128817,0.125763,9.041667,0.0,0.921169,62159.0,0.09966,0.290252,0.023502,0.085113,-0.023936,0.052905,8.104565
10,8.17635,193.399994,0.146453,0.143009,6.708333,0.0,0.911319,53019.0,0.108723,0.334375,0.026463,0.093128,-0.025997,0.062041,8.072466
11,7.979422,205.149994,0.154027,0.152932,4.583333,0.0,0.904002,55869.0,0.119364,0.361165,0.02839,0.100514,-0.027842,0.067061,8.052224
12,8.785375,217.889999,0.171236,0.166784,3.5,0.0,0.896314,49011.0,0.126789,0.394354,0.030045,0.102507,-0.029538,0.067632,7.979279
13,10.731345,264.480011,0.196404,0.196137,2.73913,0.0,0.887472,39301.0,0.151773,0.457349,0.037048,0.125215,-0.036141,0.085012,7.944893
14,12.127868,291.76001,0.212273,0.208619,1.666667,0.0,0.881538,41704.0,0.162613,0.484749,0.037463,0.136108,-0.038838,0.080337,7.90329
15,12.010945,296.220001,0.218066,0.215513,2.958333,0.0,0.876142,49975.0,0.175726,0.509824,0.039582,0.155612,-0.044772,0.083312,7.899274
16,14.016099,332.609985,0.239611,0.243389,2.291667,0.0,0.870939,62539.0,0.184565,0.573814,0.043534,0.156253,-0.045038,0.105638,7.873024
17,14.7064,347.890015,0.238474,0.248702,1.913043,0.0,0.864948,67093.0,0.186923,0.589594,0.043881,0.154459,-0.043477,0.112024,7.829473
18,15.351817,369.690002,0.256548,0.257921,1.521739,0.0,0.860123,67691.0,0.19955,0.608168,0.048597,0.180377,-0.051366,0.108538,7.827081
