iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.592061,15.72,0.00869,0.008961,0.5,0.041667,0.988636,41281.0,0.00648,0.020668,0.000567,0.005595,-0.001033,0.003358,7.153209,-0.1,-0.001,-0.01,-0.02,-0.2,0.006204,-6e-05,-7e-05,-0.003655,-8e-06,-0.00855,-0.002821,-0.000418,0.008802,-0.001647,-0.000623,-0.003337,-0.001441,0.008724,0.000692,-0.002956,-1.2e-05,-4e-06,4.708333,0.032199,0.124464,0.220913
1,1.170907,42.82,0.023152,0.022424,4.708333,0.0,0.978947,63537.0,0.022375,0.067507,0.003821,0.018584,-0.003601,0.008436,6.740142,-0.1,-0.001,-0.01,-0.02,-0.2,0.017962,-0.00018,-0.000242,-0.022676,-2.1e-05,-0.025448,-0.008087,-0.001097,0.024859,-0.00486,-0.001768,-0.008727,-0.004036,0.017101,0.001605,-0.008616,-0.000125,-0.00013,3.708333,0.037708,0.153315,0.514808
2,2.219048,67.290001,0.039465,0.036774,5.333333,0.0,0.974108,63900.0,0.035113,0.109758,0.006073,0.029507,-0.005573,0.015011,6.763017,-0.1,-0.001,-0.01,-0.02,-0.2,0.029801,-0.000296,-0.000517,-0.023335,-3.4e-05,-0.042114,-0.013363,-0.001827,0.041103,-0.007868,-0.002966,-0.013904,-0.006679,0.030678,0.002895,-0.014168,-0.000297,-0.000342,3.958333,0.034005,0.16748,0.516902
3,2.999273,85.980003,0.049132,0.052006,4.583333,0.0,0.965781,64324.0,0.044271,0.152144,0.007135,0.037808,-0.006755,0.020167,6.773884,-0.1,-0.001,-0.01,-0.02,-0.2,0.040506,-0.000403,-0.000784,-0.020669,-4.4e-05,-0.055973,-0.018152,-0.002586,0.053554,-0.01034,-0.003921,-0.01933,-0.008784,0.045257,0.003909,-0.018824,-0.000613,-0.000388,4.625,0.036167,0.168618,0.477716
4,4.119986,112.660004,0.065015,0.069432,3.5,0.0,0.957184,63224.0,0.060784,0.201066,0.009317,0.052124,-0.008958,0.026053,6.761906,-0.1,-0.001,-0.01,-0.02,-0.2,0.052721,-0.000522,-0.00089,-0.017694,-6e-05,-0.072647,-0.023511,-0.003431,0.073554,-0.013464,-0.005274,-0.026108,-0.012064,0.0567,0.005021,-0.024409,-0.001075,-0.000938,4.416667,0.03527,0.170766,0.456454
5,4.619382,129.570007,0.075055,0.08376,4.416667,0.0,0.947826,63035.0,0.070129,0.236165,0.010816,0.058968,-0.010245,0.029518,6.777466,-0.1,-0.001,-0.01,-0.02,-0.2,0.061937,-0.000613,-0.00118,-0.020742,-7.1e-05,-0.08378,-0.02699,-0.003992,0.085914,-0.015663,-0.006013,-0.030356,-0.014424,0.065505,0.006077,-0.028206,-0.001415,-0.001002,3.916667,0.033308,0.164629,0.458846
6,5.634116,151.339996,0.089428,0.09965,3.25,0.0,0.940504,60696.0,0.085753,0.286297,0.012713,0.071201,-0.011976,0.036149,6.767311,-0.1,-0.001,-0.01,-0.02,-0.2,0.074889,-0.000741,-0.001542,-0.01659,-8.5e-05,-0.099695,-0.032795,-0.004761,0.103798,-0.018755,-0.007322,-0.036106,-0.017282,0.077362,0.007019,-0.033605,-0.002273,-0.001975,4.291667,0.035376,0.181295,0.410967
7,7.028059,179.460007,0.100939,0.113852,2.25,0.0,0.931056,61362.0,0.100553,0.332415,0.015318,0.084876,-0.013878,0.039793,6.784645,-0.1,-0.001,-0.01,-0.02,-0.2,0.086943,-0.000846,-0.001655,-0.013957,-0.000101,-0.1141,-0.03731,-0.005609,0.124647,-0.021421,-0.008368,-0.041257,-0.020458,0.076212,0.00834,-0.038487,-0.003205,-0.002153,4.666667,0.036969,0.182989,0.363536
8,8.176298,200.710007,0.125318,0.12962,1.708333,0.0,0.922768,59086.0,0.10423,0.369628,0.014166,0.087235,-0.013733,0.043361,6.796764,-0.1,-0.001,-0.01,-0.02,-0.2,0.098482,-0.00097,-0.002065,-0.013426,-0.000106,-0.127453,-0.041223,-0.006317,0.129411,-0.023385,-0.008948,-0.046448,-0.02134,0.121085,0.009794,-0.042992,-0.005155,-0.002647,3.291667,0.032126,0.182174,0.371862
9,9.238231,220.089996,0.133658,0.152446,1.166667,0.0,0.913423,53951.0,0.119429,0.411905,0.017328,0.101164,-0.016273,0.050852,6.782096,-0.1,-0.001,-0.01,-0.02,-0.2,0.109622,-0.001076,-0.002301,-0.008479,-0.000123,-0.140372,-0.046404,-0.007106,0.151127,-0.026549,-0.010265,-0.051959,-0.024906,0.117426,0.010836,-0.047405,-0.00356,-0.003293,4.166667,0.032695,0.157317,0.279024
