iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.601894,15.54,0.008664,0.009037,0.458333,0.041667,0.988958,38611.0,0.006425,0.020621,0.000529,0.005571,-0.001016,0.003402,7.148145,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006207,-6e-05,-7.1e-05,-0.003476,-8e-06,-0.008527,-0.002815,-0.000417,0.008816,-0.00163,-0.000622,-0.003307,-0.001461,0.008834,0.000699,-0.002948,-1.2e-05,-1e-06,4.708333,0.032307,0.123687,0.216411
1,1.219066,43.279999,0.023158,0.02236,5.208333,0.0,0.977832,60193.0,0.022805,0.068275,0.003915,0.019173,-0.003771,0.008669,6.734697,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.01796,-0.00018,-0.000244,-0.022938,-2.2e-05,-0.025823,-0.008144,-0.001087,0.025537,-0.005024,-0.001785,-0.00851,-0.004166,0.01655,0.001551,-0.008737,-0.000133,-0.000166,3.708333,0.037451,0.151853,0.517067
2,2.101709,65.550003,0.037639,0.036397,4.708333,0.0,0.972274,59894.0,0.034601,0.109812,0.005769,0.028231,-0.005444,0.014471,6.797945,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.029621,-0.000294,-0.000463,-0.021777,-3.3e-05,-0.041937,-0.013293,-0.001859,0.040348,-0.007661,-0.002924,-0.014459,-0.006564,0.030497,0.0029,-0.014102,-0.000291,-0.000327,3.958333,0.03372,0.167944,0.511947
3,3.105991,88.989998,0.049578,0.055005,4.25,0.0,0.964551,61457.0,0.044505,0.153728,0.007117,0.038403,-0.006772,0.019503,6.774393,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.041305,-0.000411,-0.000875,-0.020562,-4.5e-05,-0.057324,-0.018311,-0.002653,0.05461,-0.010418,-0.004043,-0.020094,-0.008949,0.047443,0.004106,-0.019293,-0.000628,-0.000473,4.541667,0.037855,0.155619,0.472215
4,3.907426,109.089996,0.063134,0.0669,4.541667,0.0,0.954385,60591.0,0.059688,0.196684,0.00937,0.049452,-0.008536,0.025863,6.779552,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.052243,-0.000516,-0.000988,-0.020103,-5.7e-05,-0.071952,-0.023162,-0.003322,0.070715,-0.013123,-0.005083,-0.025256,-0.011595,0.05652,0.005167,-0.024157,-0.001262,-0.000881,4.5,0.036827,0.179359,0.486085
5,4.929791,130.460007,0.076314,0.084463,4.375,0.0,0.944218,59897.0,0.069054,0.238255,0.010366,0.057147,-0.009852,0.030294,6.783556,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.063015,-0.000626,-0.001349,-0.019534,-6.8e-05,-0.085323,-0.027389,-0.004009,0.083013,-0.015386,-0.006016,-0.030507,-0.014028,0.071389,0.0061,-0.028672,-0.001455,-0.000616,4.125,0.03676,0.16722,0.438333
6,5.902973,156.020004,0.08654,0.098327,3.916667,0.0,0.934583,58134.0,0.083808,0.281039,0.012882,0.070645,-0.011821,0.034715,6.767171,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.074298,-0.000736,-0.00157,-0.019339,-8.5e-05,-0.099026,-0.032236,-0.004718,0.102131,-0.017942,-0.007094,-0.035115,-0.017309,0.078928,0.007383,-0.033315,-0.003873,-0.002064,4.125,0.035914,0.171619,0.462329
7,7.450817,177.699997,0.104851,0.115405,2.708333,0.0,0.926156,59573.0,0.095316,0.32592,0.014464,0.081775,-0.013426,0.04152,6.789403,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.086338,-0.000847,-0.001778,-0.015406,-9.8e-05,-0.114214,-0.036965,-0.00556,0.12077,-0.021255,-0.008234,-0.040203,-0.020066,0.089124,0.007984,-0.038461,-0.002935,-0.002327,4.75,0.035703,0.169698,0.372556
8,8.28956,196.479996,0.128721,0.131899,1.458333,0.0,0.918223,52977.0,0.109506,0.378316,0.014294,0.09215,-0.01435,0.048689,6.773299,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.097749,-0.000972,-0.002099,-0.011694,-0.000112,-0.125993,-0.041709,-0.006347,0.133347,-0.023479,-0.009267,-0.048068,-0.022709,0.110094,0.009343,-0.042519,-0.003318,-0.001972,3.333333,0.0307,0.186738,0.324547
9,8.857635,220.039993,0.130896,0.153319,2.25,0.0,0.909677,44678.0,0.120802,0.409479,0.016781,0.100413,-0.015828,0.047789,6.786503,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.109922,-0.001085,-0.002283,-0.013708,-0.000121,-0.140809,-0.0465,-0.007079,0.14719,-0.026606,-0.010081,-0.052103,-0.024706,0.118848,0.010803,-0.04749,-0.003916,-0.003094,4.083333,0.035213,0.169484,0.343813
