iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.556769,16.77,0.008225,0.008773,0.833333,0.0,0.992712,36891.0,0.007179,0.022151,0.000602,0.005917,-0.001186,0.00275,7.209409,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006193,-5.9e-05,-4.5e-05,-0.004562,-8e-06,-0.008137,-0.002744,-0.000384,0.00934,-0.0017,-0.000605,-0.003164,-0.001501,0.006716,0.000498,-0.002848,-1.9e-05,-7e-06,4.375,0.031797,0.134695,0.246244
1,1.151907,44.48,0.024472,0.021287,7.666667,0.0,0.983365,58224.0,0.021589,0.067732,0.003873,0.017177,-0.003715,0.008513,6.807343,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.017898,-0.000178,-0.0002,-0.024164,-1.9e-05,-0.025173,-0.008072,-0.00102,0.024233,-0.004905,-0.001816,-0.008668,-0.003646,0.019003,0.001705,-0.008549,-0.000142,-0.00018,4.875,0.034806,0.180602,0.554462
2,2.336134,67.110001,0.039558,0.036053,8.0,0.0,0.97811,59911.0,0.033908,0.111843,0.006128,0.029124,-0.005796,0.015492,6.845563,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.029573,-0.000295,-0.000295,-0.026157,-3.3e-05,-0.041769,-0.013313,-0.001773,0.0408,-0.007743,-0.002933,-0.014649,-0.006478,0.030758,0.002778,-0.014064,-0.000409,-0.000362,4.708333,0.032331,0.174938,0.581552
3,2.931224,84.120003,0.05322,0.048764,6.791667,0.0,0.9683,60682.0,0.046066,0.154151,0.007915,0.040287,-0.007397,0.020088,6.84168,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.03975,-0.000396,-0.000449,-0.024199,-4.5e-05,-0.055242,-0.01766,-0.002429,0.055981,-0.010139,-0.003887,-0.018864,-0.009279,0.040471,0.00366,-0.018604,-0.000791,-0.000438,4.166667,0.030978,0.185346,0.554989
4,3.733511,108.449997,0.064999,0.063649,6.541667,0.0,0.959737,54164.0,0.058321,0.193401,0.009498,0.050424,-0.008977,0.02278,6.828744,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.050323,-0.000499,-0.000619,-0.025363,-5.9e-05,-0.069096,-0.0222,-0.00315,0.071912,-0.012572,-0.004862,-0.024688,-0.011892,0.047623,0.004821,-0.023271,-0.001185,-0.000787,3.75,0.031638,0.182982,0.554685
5,4.890827,132.350006,0.082942,0.082332,5.0,0.0,0.949214,60297.0,0.07102,0.245021,0.011386,0.059483,-0.01058,0.027529,6.838314,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.062761,-0.000621,-0.000858,-0.022332,-6.9e-05,-0.085628,-0.027472,-0.00388,0.085609,-0.015261,-0.00607,-0.03092,-0.014101,0.063814,0.005798,-0.028764,-0.001989,-0.001535,4.125,0.032078,0.171183,0.509659
6,6.068132,154.759995,0.097733,0.093736,4.333333,0.0,0.939966,59096.0,0.082453,0.287555,0.013046,0.070722,-0.012327,0.036273,6.813724,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.072619,-0.000719,-0.000912,-0.022115,-8.4e-05,-0.097841,-0.031886,-0.004607,0.103327,-0.01769,-0.00695,-0.035154,-0.016922,0.076487,0.00691,-0.032917,-0.0018,-0.001087,3.458333,0.031072,0.17957,0.495695
7,7.466084,177.470001,0.111511,0.112697,3.0,0.0,0.93087,59137.0,0.095472,0.330031,0.015815,0.087172,-0.014826,0.046419,6.822971,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.086599,-0.000853,-0.00098,-0.017975,-0.000103,-0.114971,-0.03719,-0.005465,0.126631,-0.020361,-0.008078,-0.041606,-0.021122,0.0933,0.008806,-0.038689,-0.003024,-0.002109,3.875,0.031933,0.183751,0.44525
8,8.206926,199.649994,0.123959,0.132319,2.458333,0.0,0.920905,55055.0,0.115203,0.371286,0.01678,0.099044,-0.01598,0.043467,6.816219,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.098091,-0.000971,-0.0013,-0.014084,-0.000119,-0.128027,-0.041783,-0.006147,0.142797,-0.023031,-0.009134,-0.046778,-0.023971,0.084636,0.009558,-0.043186,-0.004168,-0.003308,4.083333,0.03247,0.165277,0.373748
9,9.628083,222.389999,0.145257,0.143895,2.0,0.0,0.911635,43676.0,0.121868,0.414328,0.019204,0.109909,-0.017948,0.058309,6.848663,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.108412,-0.00107,-0.001637,-0.01497,-0.000129,-0.140691,-0.047086,-0.00682,0.158405,-0.025855,-0.010526,-0.052905,-0.02677,0.111168,0.010816,-0.047432,-0.007021,-0.00522,3.416667,0.031544,0.182944,0.378904
