iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.617183,15.17,0.009336,0.009283,0.521739,0.0,0.990183,40453.0,0.006479,0.021867,0.000537,0.005934,-0.001154,0.003735,7.211888,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006412,-6.2e-05,-5.8e-05,-0.003594,-8e-06,-0.008598,-0.002975,-0.00045,0.009214,-0.001691,-0.000651,-0.003828,-0.001424,0.010044,0.000651,-0.003001,-1.6e-05,-2e-06,4.391304,0.028986,0.136807,0.233409
1,1.474322,42.779999,0.024147,0.022258,4.0,0.0,0.98223,61431.0,0.021214,0.067507,0.003735,0.019098,-0.003818,0.011075,6.775375,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.017971,-0.000179,-0.000258,-0.018453,-2.2e-05,-0.02535,-0.008157,-0.001088,0.025969,-0.004885,-0.00183,-0.009308,-0.004204,0.0196,0.001677,-0.008585,-0.000183,-0.000169,4.833333,0.034864,0.170988,0.45699
2,2.393348,64.949997,0.03761,0.03656,3.958333,0.0,0.97615,62125.0,0.035176,0.112282,0.005747,0.029423,-0.005615,0.015651,6.83507,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.02963,-0.000291,-0.000557,-0.019154,-3.4e-05,-0.041298,-0.013209,-0.00183,0.041435,-0.007645,-0.002962,-0.015017,-0.006761,0.031681,0.002743,-0.013936,-0.000285,-0.000276,4.625,0.035959,0.173033,0.471295
3,3.384975,89.910004,0.055384,0.053039,4.75,0.0,0.966107,57907.0,0.04727,0.155828,0.008021,0.041992,-0.007759,0.022689,6.823124,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.041093,-0.000408,-0.000663,-0.020637,-4.9e-05,-0.056524,-0.018111,-0.002521,0.058345,-0.010504,-0.003973,-0.020062,-0.009852,0.043233,0.003875,-0.01905,-0.000622,-0.000565,4.833333,0.03064,0.158003,0.509033
4,4.450102,111.129997,0.069592,0.070141,4.583333,0.0,0.958422,59931.0,0.058672,0.195473,0.008854,0.050492,-0.008677,0.026397,6.830686,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.052694,-0.000523,-0.000946,-0.019315,-6e-05,-0.071406,-0.023016,-0.003318,0.072039,-0.013221,-0.004937,-0.025375,-0.011928,0.061096,0.005059,-0.024099,-0.001203,-0.001139,4.583333,0.030674,0.158242,0.473722
5,5.217576,131.360001,0.082691,0.085277,4.0,0.0,0.947987,60903.0,0.072225,0.240683,0.01102,0.061019,-0.010421,0.030853,6.838295,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.063079,-0.000627,-0.001227,-0.018182,-7.1e-05,-0.085019,-0.027793,-0.003942,0.086401,-0.01573,-0.006029,-0.030844,-0.014433,0.065913,0.005883,-0.028644,-0.001655,-0.001135,4.291667,0.030762,0.179473,0.452847
6,5.780799,147.320007,0.095002,0.098456,3.75,0.0,0.939424,59483.0,0.081646,0.278678,0.012001,0.068091,-0.01151,0.033739,6.834379,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.07344,-0.000733,-0.001435,-0.020811,-8e-05,-0.097402,-0.031712,-0.004634,0.097921,-0.01791,-0.006724,-0.035376,-0.016358,0.081157,0.00722,-0.03285,-0.002264,-0.001574,3.416667,0.030689,0.168973,0.470935
7,7.056814,175.179993,0.107289,0.119277,2.916667,0.0,0.930736,59733.0,0.097376,0.327659,0.014422,0.081754,-0.013762,0.040785,6.838764,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.08589,-0.000853,-0.00155,-0.019029,-9.5e-05,-0.112295,-0.036981,-0.005356,0.118017,-0.021091,-0.008126,-0.040949,-0.019602,0.091438,0.008288,-0.037973,-0.004088,-0.002488,3.291667,0.030065,0.173472,0.450583
8,8.023179,197.75,0.120394,0.133724,2.583333,0.0,0.923413,52780.0,0.108562,0.368317,0.015832,0.091506,-0.015208,0.044133,6.850873,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.097199,-0.000962,-0.001981,-0.016165,-0.000108,-0.125036,-0.041525,-0.006173,0.132221,-0.024038,-0.009044,-0.047789,-0.022147,0.103137,0.009415,-0.042294,-0.003609,-0.003077,3.958333,0.031832,0.172937,0.374437
9,9.509388,220.029999,0.138189,0.147106,2.333333,0.0,0.913751,44642.0,0.115397,0.412257,0.01769,0.105813,-0.017335,0.062996,6.862007,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.107009,-0.001053,-0.002014,-0.015234,-0.000126,-0.13732,-0.044822,-0.006658,0.151965,-0.025101,-0.009895,-0.052307,-0.026081,0.126376,0.010518,-0.046423,-0.005742,-0.004495,4.0,0.030789,0.166002,0.355316
10,10.031319,241.470001,0.143534,0.158943,2.333333,0.0,0.906866,34025.0,0.132873,0.458603,0.020965,0.121622,-0.019952,0.058281,6.867486,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.117463,-0.00116,-0.002452,-0.016739,-0.000143,-0.147912,-0.049615,-0.007369,0.172212,-0.028096,-0.010964,-0.056437,-0.029402,0.112025,0.011604,-0.050045,-0.004683,-0.003151,3.708333,0.03287,0.172429,0.398934
11,10.174678,245.690002,0.154582,0.166047,2.041667,0.0,0.896506,39819.0,0.138453,0.45945,0.022278,0.123103,-0.020817,0.06199,6.87562,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.121277,-0.001195,-0.002389,-0.018407,-0.000145,-0.15109,-0.050806,-0.007471,0.17616,-0.028978,-0.011102,-0.058823,-0.030498,0.117881,0.012194,-0.051166,-0.007249,-0.005996,2.916667,0.030938,0.186132,0.437338
12,11.711587,272.450012,0.17813,0.191281,2.458333,0.0,0.890679,49200.0,0.146161,0.514877,0.02208,0.124043,-0.020965,0.061561,6.896003,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.131346,-0.001293,-0.002755,-0.017791,-0.000143,-0.162909,-0.055231,-0.007939,0.180052,-0.031858,-0.012619,-0.06447,-0.029749,0.144731,0.01253,-0.05517,-0.006262,-0.007757,3.375,0.028207,0.153892,0.390036
13,12.156894,300.880005,0.18494,0.202026,1.125,0.0,0.882609,63439.0,0.175374,0.579621,0.023112,0.143218,-0.02272,0.067446,6.895617,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.14972,-0.001471,-0.003076,-0.01223,-0.000172,-0.183158,-0.062146,-0.009464,0.209679,-0.03513,-0.013428,-0.073506,-0.036238,0.133308,0.013991,-0.062068,-0.011946,-0.009263,3.0,0.030036,0.145353,0.330106
14,14.869156,326.700012,0.225948,0.23913,1.304348,0.0,0.874184,65406.0,0.172315,0.626176,0.026161,0.159619,-0.025776,0.091569,6.904931,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.163719,-0.001619,-0.003754,-0.009464,-0.000193,-0.198135,-0.067376,-0.010144,0.234422,-0.037966,-0.014972,-0.078273,-0.040168,0.199479,0.016244,-0.067146,-0.010736,-0.012277,3.608696,0.026505,0.141703,0.244865
15,16.433155,364.01001,0.231705,0.246364,0.5,0.0,0.865664,62862.0,0.190566,0.675457,0.027707,0.165075,-0.027685,0.085539,6.891778,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.175965,-0.001719,-0.00359,-0.005361,-0.000213,-0.211501,-0.071047,-0.010994,0.257492,-0.03941,-0.01583,-0.085641,-0.043767,0.190407,0.018167,-0.071726,-0.010465,-0.010161,3.958333,0.028445,0.146229,0.217589
16,18.385292,396.329987,0.266422,0.272447,0.458333,0.0,0.857591,57914.0,0.211132,0.76487,0.030732,0.192561,-0.030454,0.10785,6.915443,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.196727,-0.001904,-0.003883,-0.004004,-0.000234,-0.233484,-0.079738,-0.012296,0.286437,-0.0455,-0.01764,-0.094569,-0.048512,0.228792,0.018703,-0.079235,-0.016057,-0.015263,4.0,0.024803,0.177886,0.184925
17,18.116627,398.160004,0.258032,0.282741,0.625,0.0,0.852028,59138.0,0.205553,0.740226,0.030205,0.192346,-0.030552,0.103272,6.953905,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.197647,-0.00195,-0.004192,-0.006357,-0.000245,-0.23208,-0.079765,-0.012477,0.290022,-0.044184,-0.016993,-0.094288,-0.050247,0.232703,0.021036,-0.078701,-0.013126,-0.01143,3.166667,0.03081,0.151739,0.245991
18,19.347818,421.470001,0.304495,0.307422,0.75,0.0,0.844661,62291.0,0.236886,0.82138,0.037734,0.209385,-0.035328,0.107149,6.995646,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.2136,-0.002053,-0.004283,-0.005796,-0.00025,-0.247826,-0.086046,-0.012989,0.316839,-0.048717,-0.01929,-0.104433,-0.053382,0.219066,0.021097,-0.084222,-0.023786,-0.023427,3.583333,0.02919,0.152154,0.22226
19,20.518503,457.980011,0.280426,0.329104,0.583333,0.0,0.839038,62583.0,0.243795,0.882547,0.033155,0.207053,-0.033373,0.101873,6.995403,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.229509,-0.002232,-0.004534,-0.003704,-0.000255,-0.263358,-0.09124,-0.014202,0.315754,-0.051481,-0.020208,-0.109517,-0.05329,0.258242,0.023256,-0.089573,-0.017552,-0.014861,4.333333,0.025277,0.156634,0.192022
20,22.339249,464.429993,0.310784,0.342622,0.666667,0.0,0.834385,63701.0,0.249965,0.896934,0.038384,0.227813,-0.036795,0.124999,6.996042,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.23155,-0.002237,-0.004602,-0.005736,-0.000276,-0.262252,-0.092235,-0.01416,0.341796,-0.050903,-0.020489,-0.110447,-0.057365,0.251671,0.023563,-0.089268,-0.018817,-0.018047,3.75,0.025878,0.161437,0.228224
21,22.962439,499.369995,0.351212,0.355324,0.652174,0.0,0.828668,65862.0,0.267605,0.942706,0.040287,0.2306,-0.039132,0.12651,7.016865,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.249311,-0.002383,-0.004835,-0.006014,-0.000278,-0.280531,-0.098436,-0.015019,0.354703,-0.056801,-0.023149,-0.120011,-0.058967,0.281833,0.024515,-0.095501,-0.025258,-0.02828,3.826087,0.025495,0.152346,0.21716
22,24.019466,511.040009,0.35233,0.368655,0.521739,0.0,0.823716,65404.0,0.268994,0.970186,0.041014,0.242699,-0.038655,0.123039,7.017694,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.258223,-0.00251,-0.005642,-0.00658,-0.0003,-0.28755,-0.100723,-0.015606,0.368143,-0.056689,-0.022242,-0.119298,-0.061857,0.297364,0.026983,-0.097923,-0.025815,-0.020676,2.565217,0.031811,0.156049,0.232628
23,25.119076,537.049988,0.356046,0.385711,0.75,0.0,0.818286,64278.0,0.291853,1.048902,0.043311,0.270491,-0.044102,0.140372,7.030201,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.269408,-0.002577,-0.005077,-0.006429,-0.000329,-0.298439,-0.105715,-0.016248,0.401669,-0.059025,-0.024619,-0.130579,-0.068266,0.286102,0.027196,-0.101694,-0.027318,-0.02648,3.791667,0.027241,0.163737,0.225576
24,27.144243,571.159973,0.378805,0.415455,0.478261,0.0,0.813765,66288.0,0.31418,1.082356,0.044768,0.283131,-0.045748,0.143992,7.061141,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.282333,-0.002706,-0.00599,-0.004961,-0.000347,-0.309915,-0.109562,-0.016971,0.422222,-0.060951,-0.025128,-0.132832,-0.072105,0.289518,0.029779,-0.105618,-0.031329,-0.025194,3.652174,0.02864,0.175946,0.230808
25,27.267595,568.309998,0.409305,0.419932,1.181818,0.0,0.809237,65625.0,0.311542,1.096609,0.045766,0.286308,-0.046425,0.154484,7.071111,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.287785,-0.002773,-0.005358,-0.01019,-0.000355,-0.311099,-0.111385,-0.017292,0.427556,-0.061231,-0.025109,-0.13653,-0.074879,0.323271,0.030784,-0.106243,-0.024475,-0.026556,3.454545,0.029004,0.198398,0.263476
26,30.039633,601.630005,0.428946,0.426114,0.826087,0.0,0.804823,64332.0,0.319127,1.149882,0.052023,0.298686,-0.049139,0.170879,7.101441,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.299907,-0.002862,-0.006552,-0.007857,-0.000359,-0.322548,-0.116533,-0.017878,0.444722,-0.065748,-0.026611,-0.143588,-0.075853,0.346486,0.03132,-0.110209,-0.032463,-0.030325,3.347826,0.022378,0.180748,0.253022
27,29.67861,616.380005,0.425572,0.457515,0.958333,0.0,0.799772,63873.0,0.327226,1.166461,0.046012,0.289596,-0.047743,0.152017,7.128362,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.309425,-0.002975,-0.005937,-0.007843,-0.000361,-0.330535,-0.119361,-0.018254,0.439592,-0.068466,-0.027239,-0.146581,-0.075235,0.351476,0.031944,-0.112899,-0.02895,-0.032358,3.0,0.026441,0.195358,0.213836
28,29.133013,611.890015,0.412719,0.442478,1.625,0.0,0.795002,64187.0,0.309501,1.159108,0.042167,0.268181,-0.044076,0.157789,7.134803,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.301529,-0.002877,-0.005646,-0.012553,-0.00033,-0.317323,-0.115819,-0.017866,0.411268,-0.064823,-0.026623,-0.145082,-0.069436,0.373992,0.031467,-0.108542,-0.028199,-0.027256,3.375,0.029548,0.259827,0.264769
29,31.416546,624.530029,0.429368,0.463682,1.666667,0.0,0.791237,64153.0,0.331131,1.1847,0.0497,0.291002,-0.049498,0.16931,7.178112,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.313041,-0.002979,-0.00628,-0.013551,-0.000351,-0.325709,-0.119702,-0.01818,0.44139,-0.066686,-0.027355,-0.148051,-0.074684,0.365463,0.03351,-0.111459,-0.027707,-0.026669,3.291667,0.029105,0.208055,0.314385
30,32.077347,670.900024,0.464121,0.515224,1.5,0.0,0.787925,63304.0,0.346986,1.292052,0.048758,0.307594,-0.051255,0.179466,7.172267,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.339176,-0.003244,-0.006637,-0.012026,-0.000382,-0.351838,-0.128436,-0.019986,0.473615,-0.072651,-0.029605,-0.159844,-0.079811,0.426168,0.035729,-0.120468,-0.046976,-0.053278,3.333333,0.024007,0.240529,0.273136
31,35.875587,693.780029,0.490741,0.528641,1.391304,0.0,0.784358,63708.0,0.344982,1.314314,0.055884,0.342818,-0.057029,0.217981,7.203735,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.352048,-0.003355,-0.00672,-0.010472,-0.000434,-0.362199,-0.13296,-0.020583,0.523337,-0.073397,-0.030187,-0.163402,-0.090416,0.470709,0.039153,-0.124099,-0.04654,-0.057286,3.652174,0.029177,0.1926,0.227198
32,35.450302,696.059998,0.50457,0.509576,1.583333,0.0,0.782106,63253.0,0.355536,1.342463,0.057401,0.336946,-0.057942,0.211411,7.21699,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.34456,-0.003237,-0.006718,-0.012796,-0.000407,-0.350486,-0.131713,-0.020169,0.509281,-0.073625,-0.030673,-0.162595,-0.084351,0.417641,0.035444,-0.120266,-0.039367,-0.041905,3.083333,0.026193,0.191004,0.285572
33,36.560055,721.090027,0.504259,0.544888,1.041667,0.0,0.778445,64210.0,0.367257,1.376611,0.056016,0.335491,-0.05678,0.208339,7.258271,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.359139,-0.003397,-0.007558,-0.00953,-0.000409,-0.364645,-0.137339,-0.020891,0.513056,-0.076829,-0.032475,-0.172418,-0.086102,0.44728,0.037764,-0.125092,-0.042539,-0.042677,3.291667,0.026714,0.188604,0.249949
34,41.787811,794.150024,0.561962,0.592924,0.75,0.0,0.774219,64182.0,0.399286,1.507414,0.063572,0.377797,-0.063866,0.247532,7.267438,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.394915,-0.003687,-0.00791,-0.006238,-0.00046,-0.399379,-0.149571,-0.023159,0.57819,-0.082242,-0.035208,-0.187568,-0.095673,0.496576,0.041635,-0.137125,-0.061202,-0.056313,4.083333,0.020462,0.166637,0.213915
35,38.582672,730.51001,0.540959,0.53863,1.391304,0.0,0.76936,65058.0,0.351271,1.363934,0.056338,0.33146,-0.056803,0.226691,7.268744,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.36073,-0.003376,-0.007375,-0.014551,-0.000407,-0.358229,-0.135087,-0.021004,0.510882,-0.074034,-0.031497,-0.168529,-0.085648,0.496389,0.039683,-0.12311,-0.043878,-0.055209,3.086957,0.02328,0.258114,0.319518
36,41.505741,798.340027,0.567018,0.606655,0.913043,0.0,0.764138,67511.0,0.393021,1.521632,0.057354,0.352432,-0.060003,0.22601,7.289216,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.396195,-0.003701,-0.007416,-0.009783,-0.000435,-0.394115,-0.149773,-0.02324,0.553256,-0.083056,-0.035617,-0.18972,-0.09062,0.51223,0.042379,-0.135642,-0.041589,-0.034788,3.130435,0.024089,0.184939,0.22975
37,44.253834,838.320007,0.566585,0.611524,0.791667,0.0,0.760348,63657.0,0.40401,1.550763,0.061769,0.390192,-0.064362,0.254244,7.301699,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.408307,-0.003878,-0.009152,-0.008622,-0.000477,-0.403129,-0.15363,-0.02385,0.586921,-0.084025,-0.03536,-0.190773,-0.101433,0.529739,0.044993,-0.138631,-0.04103,-0.051416,3.708333,0.024401,0.170847,0.216514
38,47.275368,870.380005,0.641694,0.645964,0.913043,0.0,0.75609,65705.0,0.425235,1.665592,0.065442,0.415257,-0.070273,0.282939,7.299368,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.436658,-0.004136,-0.010035,-0.008062,-0.000516,-0.43019,-0.166207,-0.025595,0.630911,-0.09121,-0.038077,-0.209488,-0.107086,0.612014,0.047533,-0.147963,-0.058329,-0.060104,3.130435,0.021036,0.198533,0.231895
39,47.534111,880.5,0.659899,0.667957,0.708333,0.041667,0.751229,63096.0,0.423233,1.657623,0.063247,0.398033,-0.069621,0.278288,7.323814,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.437132,-0.004096,-0.008133,-0.006897,-0.00051,-0.42776,-0.164896,-0.025474,0.626853,-0.089955,-0.038896,-0.211426,-0.104554,0.620604,0.048103,-0.147267,-0.065468,-0.082441,3.333333,0.020302,0.157646,0.188763
40,51.175503,893.570007,0.646645,0.699869,0.625,0.0,0.746918,64295.0,0.42009,1.708328,0.070081,0.419734,-0.073535,0.331702,7.322202,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.4487,-0.004169,-0.008919,-0.00625,-0.000526,-0.437579,-0.168252,-0.02612,0.663503,-0.092908,-0.040097,-0.21396,-0.109082,0.724087,0.047984,-0.150712,-0.056835,-0.072067,3.0,0.020385,0.138113,0.192219
41,48.937679,890.380005,0.618697,0.6522,1.086957,0.0,0.74225,66281.0,0.420157,1.657289,0.069866,0.418936,-0.073398,0.304654,7.352031,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.435813,-0.004052,-0.008955,-0.012522,-0.000514,-0.419274,-0.162943,-0.024959,0.640784,-0.088639,-0.038534,-0.210293,-0.107524,0.609348,0.047299,-0.144757,-0.054555,-0.076363,2.695652,0.023357,0.215712,0.284059
42,53.189342,938.200012,0.734854,0.717251,0.833333,0.0,0.738944,65181.0,0.438569,1.788305,0.071886,0.426762,-0.07424,0.336154,7.355472,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.471799,-0.004369,-0.009942,-0.005581,-0.000516,-0.449493,-0.178121,-0.027122,0.670945,-0.096481,-0.042127,-0.223872,-0.107908,0.734954,0.051628,-0.155297,-0.059109,-0.075297,4.416667,0.021088,0.147254,0.181386
43,55.47646,960.460022,0.699925,0.738383,0.75,0.041667,0.735866,62836.0,0.445075,1.793562,0.072427,0.443507,-0.076689,0.334958,7.388391,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.47473,-0.004355,-0.008012,-0.004105,-0.00054,-0.445638,-0.174469,-0.027106,0.6863,-0.095403,-0.041692,-0.222968,-0.11377,0.719267,0.052792,-0.154086,-0.064153,-0.072836,6.458333,0.020008,0.138942,0.164141
44,54.508049,928.809998,0.707776,0.711892,0.916667,0.0,0.731966,64897.0,0.413852,1.728999,0.068912,0.410874,-0.073462,0.331263,7.386262,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.45822,-0.004186,-0.008743,-0.005978,-0.000505,-0.422911,-0.168427,-0.026017,0.652308,-0.091804,-0.040429,-0.216585,-0.105341,0.750324,0.051379,-0.146495,-0.071303,-0.073986,6.125,0.019478,0.157504,0.192296
45,55.503372,937.309998,0.714111,0.739034,0.791667,0.0,0.728451,64991.0,0.432131,1.795897,0.071335,0.435879,-0.076786,0.356373,7.400875,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.475884,-0.004394,-0.009583,-0.003864,-0.000543,-0.432926,-0.17499,-0.027185,0.687428,-0.094185,-0.041588,-0.226254,-0.113467,0.761251,0.053201,-0.150225,-0.070699,-0.082829,7.208333,0.018097,0.148453,0.167627
46,58.362755,964.299988,0.7313,0.755934,0.5,0.0,0.724593,64058.0,0.442444,1.831495,0.078212,0.468841,-0.085098,0.386989,7.406148,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.489144,-0.004459,-0.009521,-0.002119,-0.00059,-0.439022,-0.179241,-0.02772,0.740081,-0.097322,-0.042971,-0.232685,-0.121815,0.791277,0.054153,-0.15257,-0.066212,-0.088098,6.875,0.018205,0.120576,0.141919
