iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.61535,15.98,0.009223,0.009152,0.583333,0.0,0.990273,37619.0,0.007164,0.021138,0.000546,0.00554,-0.001125,0.002629,7.213249,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006199,-6e-05,-3.6e-05,-0.004064,-8e-06,-0.008255,-0.002785,-0.000406,0.009342,-0.001636,-0.000593,-0.003566,-0.001519,0.007763,0.000652,-0.002868,-1.7e-05,-1e-05,5.083333,0.027327,0.113457,0.240949
1,1.536207,43.849998,0.025253,0.023021,4.75,0.0,0.981232,66206.0,0.022264,0.068416,0.003799,0.018678,-0.003832,0.009751,6.768888,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.018002,-0.00018,-0.000272,-0.017893,-2.2e-05,-0.025335,-0.008181,-0.001083,0.026275,-0.004936,-0.001863,-0.00911,-0.004106,0.01833,0.001614,-0.008577,-0.000196,-0.000113,5.375,0.032318,0.174134,0.457836
2,2.18801,66.190002,0.041201,0.037695,4.875,0.0,0.975819,65224.0,0.034689,0.112847,0.00527,0.027759,-0.005277,0.012905,6.811487,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.029671,-0.000294,-0.000522,-0.019514,-3.3e-05,-0.041465,-0.013108,-0.001844,0.040513,-0.007662,-0.002949,-0.014672,-0.006424,0.030593,0.002693,-0.013983,-0.000466,-0.000305,5.166667,0.031063,0.169347,0.467993
3,3.308479,90.599998,0.057095,0.052372,4.583333,0.0,0.964912,66246.0,0.047976,0.164953,0.00745,0.039162,-0.00718,0.020724,6.782393,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.041684,-0.000414,-0.000743,-0.021577,-4.5e-05,-0.057915,-0.018378,-0.002521,0.057004,-0.01077,-0.00412,-0.020693,-0.009042,0.046229,0.003701,-0.019465,-0.000841,-0.000471,3.916667,0.029961,0.166922,0.525146
4,3.997377,111.419998,0.070111,0.065675,4.25,0.0,0.954563,64000.0,0.061908,0.202161,0.009696,0.051348,-0.00925,0.022748,6.780064,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.052418,-0.000522,-0.000859,-0.021115,-6.1e-05,-0.072058,-0.023091,-0.003279,0.07441,-0.013184,-0.005189,-0.025611,-0.012089,0.050344,0.00497,-0.024243,-0.001423,-0.001124,4.125,0.03142,0.18422,0.49994
5,5.02844,129.75,0.079456,0.080616,3.208333,0.0,0.944137,63741.0,0.064939,0.235949,0.009517,0.056229,-0.009604,0.034169,6.779071,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.062599,-0.000621,-0.001225,-0.017861,-6.7e-05,-0.085067,-0.026977,-0.004041,0.083405,-0.015016,-0.00602,-0.030771,-0.013447,0.083497,0.005932,-0.028615,-0.002264,-0.001295,4.416667,0.034065,0.189041,0.429748
6,6.001876,156.479996,0.090913,0.096459,3.875,0.0,0.935616,63732.0,0.086098,0.287569,0.013318,0.074746,-0.012753,0.03552,6.773313,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.074337,-0.000739,-0.00149,-0.019015,-8.7e-05,-0.099468,-0.032321,-0.004701,0.107238,-0.018375,-0.007227,-0.036292,-0.017315,0.071102,0.006977,-0.033457,-0.00242,-0.001649,4.0,0.034112,0.190842,0.449896
7,7.185433,175.259995,0.106515,0.111898,2.25,0.0,0.926668,60632.0,0.098802,0.332787,0.014372,0.08771,-0.014259,0.042809,6.776278,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.086221,-0.000854,-0.001819,-0.014979,-0.000106,-0.113373,-0.036353,-0.005627,0.127183,-0.020725,-0.008061,-0.042237,-0.021561,0.088453,0.008305,-0.038182,-0.003964,-0.002838,4.0,0.031613,0.18197,0.422224
8,8.124378,199.460007,0.129526,0.13252,2.333333,0.0,0.917751,57245.0,0.109361,0.378695,0.015652,0.089395,-0.014971,0.043841,6.780336,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.098467,-0.000969,-0.002003,-0.012387,-0.00011,-0.128545,-0.041527,-0.00625,0.13758,-0.022929,-0.009376,-0.047695,-0.022184,0.102874,0.009686,-0.043269,-0.00426,-0.002642,4.958333,0.031169,0.17336,0.359679
9,8.894032,225.419998,0.133106,0.150979,1.666667,0.0,0.909448,42152.0,0.126216,0.426608,0.017165,0.104375,-0.016957,0.052505,6.784756,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.111781,-0.001101,-0.002502,-0.012808,-0.000131,-0.145206,-0.046468,-0.007247,0.159676,-0.025468,-0.010515,-0.054944,-0.026927,0.11496,0.011145,-0.048859,-0.005021,-0.00229,3.791667,0.036724,0.162581,0.339224
10,10.96042,253.059998,0.168362,0.168375,1.291667,0.0,0.901291,38166.0,0.13626,0.467156,0.020004,0.120314,-0.019618,0.062615,6.813543,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.123034,-0.001215,-0.002649,-0.009013,-0.000144,-0.157467,-0.051395,-0.007833,0.178307,-0.028733,-0.011455,-0.0596,-0.029867,0.130388,0.012335,-0.0531,-0.005992,-0.003829,4.708333,0.027348,0.164362,0.27634
11,11.898469,269.690002,0.180527,0.183571,1.478261,0.0,0.893183,46674.0,0.140389,0.518169,0.020691,0.127674,-0.02112,0.070269,6.830625,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.13265,-0.001313,-0.002893,-0.011286,-0.000159,-0.167487,-0.054657,-0.008412,0.194177,-0.030793,-0.01238,-0.06353,-0.032936,0.164571,0.012893,-0.056446,-0.007255,-0.007127,3.869565,0.028434,0.165059,0.299545
12,12.180737,296.350006,0.188628,0.209369,0.375,0.0,0.884436,66526.0,0.162192,0.568878,0.02203,0.133638,-0.021772,0.06313,6.828714,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.146998,-0.001443,-0.003526,-0.003488,-0.000166,-0.181978,-0.0599,-0.009276,0.205842,-0.03336,-0.013726,-0.070944,-0.03379,0.1538,0.014732,-0.061499,-0.008369,-0.008432,3.916667,0.02855,0.146938,0.207501
13,13.707224,309.23999,0.193554,0.211647,0.791667,0.0,0.87521,67924.0,0.177222,0.581077,0.024409,0.151681,-0.024758,0.078535,6.823471,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.154755,-0.00154,-0.003759,-0.006962,-0.000186,-0.190188,-0.06437,-0.009852,0.226164,-0.03535,-0.014178,-0.075409,-0.037996,0.159002,0.015511,-0.064289,-0.010748,-0.008524,4.166667,0.029093,0.183151,0.22443
14,14.354455,340.769989,0.234751,0.242065,0.695652,0.0,0.869149,69856.0,0.190866,0.650343,0.026023,0.16109,-0.025403,0.078319,6.80445,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.172145,-0.001686,-0.004265,-0.004447,-0.000199,-0.210624,-0.069549,-0.010893,0.246284,-0.038242,-0.015963,-0.082871,-0.040549,0.175208,0.017373,-0.071139,-0.012667,-0.012091,4.434783,0.027013,0.166646,0.199039
15,16.997755,364.540009,0.241673,0.254895,0.625,0.0,0.860993,69459.0,0.195038,0.699634,0.029847,0.170945,-0.027865,0.096147,6.82672,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.182961,-0.001788,-0.004272,-0.00581,-0.000209,-0.219241,-0.074285,-0.011303,0.263336,-0.041163,-0.016776,-0.086067,-0.043282,0.227456,0.018458,-0.074247,-0.012348,-0.012349,4.166667,0.02936,0.195254,0.224107
16,18.214251,399.25,0.258191,0.270928,0.375,0.0,0.854361,69657.0,0.207126,0.745183,0.031305,0.182285,-0.029309,0.10226,6.836326,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.196086,-0.001907,-0.004613,-0.002369,-0.000221,-0.232903,-0.079627,-0.0124,0.281118,-0.043948,-0.018041,-0.093607,-0.045975,0.225958,0.019772,-0.078832,-0.008717,-0.011476,5.0,0.030207,0.172102,0.17085
17,19.059427,413.920013,0.275474,0.284946,0.208333,0.0,0.845848,66893.0,0.22641,0.787219,0.031343,0.186549,-0.030955,0.093313,6.825756,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.206493,-0.001983,-0.004281,-0.002599,-0.000228,-0.242553,-0.082684,-0.012722,0.296693,-0.046385,-0.019251,-0.097536,-0.046993,0.224844,0.02023,-0.082176,-0.017889,-0.016625,4.291667,0.026776,0.165055,0.168379
