iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.612039,16.16,0.009256,0.009057,0.625,0.0,0.990786,41287.0,0.007241,0.021228,0.00055,0.005591,-0.001128,0.002552,7.220083,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006198,-6e-05,-3.6e-05,-0.004193,-8e-06,-0.008254,-0.002775,-0.000411,0.009341,-0.001638,-0.00059,-0.00358,-0.001531,0.007638,0.000655,-0.00287,-2e-05,-1.1e-05,5.083333,0.027447,0.114585,0.245355
1,1.587629,43.610001,0.025404,0.022854,4.416667,0.0,0.980971,65809.0,0.021409,0.067304,0.003524,0.018122,-0.003691,0.010064,6.77252,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.018033,-0.00018,-0.000288,-0.016988,-2.1e-05,-0.025223,-0.008089,-0.001057,0.025857,-0.004868,-0.0019,-0.00885,-0.00406,0.020192,0.00168,-0.008535,-0.000157,-0.0001,5.375,0.031836,0.159028,0.452444
2,2.243444,66.279999,0.040534,0.037489,5.416667,0.0,0.975399,60130.0,0.033644,0.113405,0.005868,0.028555,-0.0057,0.015429,6.796968,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.029496,-0.000293,-0.000427,-0.020393,-3.3e-05,-0.041513,-0.01324,-0.001763,0.041394,-0.007693,-0.00297,-0.014325,-0.006559,0.032245,0.00275,-0.013985,-0.000538,-0.000295,5.125,0.030833,0.179001,0.500007
3,3.455607,87.989998,0.055067,0.051995,4.291667,0.0,0.96589,58349.0,0.046656,0.160097,0.007736,0.040665,-0.007304,0.022564,6.815614,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.041151,-0.000409,-0.00069,-0.021357,-4.6e-05,-0.057416,-0.018199,-0.0025,0.057634,-0.010684,-0.004025,-0.019959,-0.009128,0.046174,0.003589,-0.019278,-0.00091,-0.000555,3.791667,0.030907,0.186946,0.49438
4,3.823324,111.330002,0.066798,0.06459,5.333333,0.0,0.955227,61912.0,0.059945,0.204148,0.009043,0.049991,-0.008865,0.025744,6.789153,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.052521,-0.000522,-0.000854,-0.022383,-5.9e-05,-0.072587,-0.023028,-0.003294,0.07303,-0.013324,-0.005145,-0.025929,-0.011771,0.054269,0.004802,-0.024375,-0.00128,-0.000752,4.166667,0.03452,0.184488,0.49944
5,5.043697,134.679993,0.08157,0.081577,3.875,0.0,0.947168,62147.0,0.07084,0.244031,0.010786,0.060115,-0.010669,0.031263,6.784173,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.06361,-0.000636,-0.001137,-0.018711,-7.3e-05,-0.086574,-0.027554,-0.004027,0.089192,-0.015405,-0.00607,-0.030722,-0.014882,0.072023,0.006018,-0.029078,-0.001858,-0.000985,4.541667,0.033026,0.188403,0.456741
6,6.054084,153.740005,0.097543,0.099355,3.125,0.0,0.937715,62320.0,0.083749,0.29139,0.012412,0.071087,-0.012398,0.037182,6.797375,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.075408,-0.000748,-0.001454,-0.018284,-8.6e-05,-0.101314,-0.032767,-0.004854,0.106702,-0.018525,-0.007358,-0.037012,-0.016912,0.079696,0.007239,-0.034098,-0.002054,-0.001642,4.083333,0.03141,0.175437,0.427205
7,7.371196,176.690002,0.109644,0.112123,2.666667,0.0,0.929672,62263.0,0.099071,0.329082,0.014936,0.08792,-0.014553,0.041378,6.786306,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.084965,-0.000844,-0.001717,-0.01587,-0.000105,-0.112714,-0.036105,-0.005423,0.127685,-0.019952,-0.008032,-0.041056,-0.021156,0.082512,0.00841,-0.037912,-0.002929,-0.002136,4.25,0.031584,0.193079,0.380169
8,8.021022,198.559998,0.13184,0.131621,1.875,0.0,0.920559,55545.0,0.108182,0.375358,0.015543,0.090828,-0.014817,0.045045,6.788669,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.097537,-0.000968,-0.002028,-0.01116,-0.000108,-0.127558,-0.041677,-0.006229,0.135292,-0.023192,-0.009268,-0.048067,-0.021978,0.10384,0.009428,-0.042899,-0.003804,-0.002917,4.833333,0.027696,0.177093,0.328456
9,8.624848,221.850006,0.121046,0.151219,1.375,0.0,0.911368,45295.0,0.127976,0.422246,0.015975,0.104411,-0.016898,0.049084,6.799793,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.109889,-0.001081,-0.002347,-0.010827,-0.000131,-0.141986,-0.045592,-0.0071,0.157682,-0.025967,-0.010467,-0.054734,-0.026404,0.102211,0.010494,-0.04783,-0.003349,-0.003075,3.916667,0.039844,0.164055,0.296401
