iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.623864,16.16,0.00924,0.009126,0.625,0.0,0.990582,44351.0,0.00713,0.021035,0.000536,0.005604,-0.001128,0.002679,7.214943,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006198,-6e-05,-3.6e-05,-0.004193,-8e-06,-0.008242,-0.002779,-0.000409,0.009339,-0.001634,-0.00059,-0.003562,-0.00153,0.007843,0.000659,-0.002865,-1.9e-05,-1.1e-05,5.083333,0.027298,0.114209,0.2438
1,1.49455,44.299999,0.025225,0.022757,5.333333,0.0,0.981827,66776.0,0.02224,0.066649,0.003615,0.018398,-0.003796,0.009557,6.762799,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.017957,-0.000179,-0.000286,-0.019168,-2.1e-05,-0.02549,-0.008123,-0.00103,0.026013,-0.005013,-0.001855,-0.008866,-0.00411,0.018225,0.001615,-0.008613,-0.000127,-0.000129,5.333333,0.031103,0.169769,0.468191
2,2.112314,66.57,0.040281,0.038041,4.833333,0.0,0.975494,66457.0,0.035634,0.115127,0.005607,0.028914,-0.005651,0.014034,6.806707,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.02968,-0.000296,-0.000461,-0.019118,-3.4e-05,-0.041993,-0.013256,-0.001815,0.041979,-0.007568,-0.002997,-0.014772,-0.006567,0.028657,0.002792,-0.014129,-0.000535,-0.000332,5.166667,0.031285,0.173833,0.469773
3,3.2931,87.620003,0.054055,0.051492,4.791667,0.0,0.964241,66813.0,0.046444,0.153417,0.007197,0.038087,-0.007209,0.019868,6.781428,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.040176,-0.000401,-0.000746,-0.022142,-4.3e-05,-0.056035,-0.017807,-0.002442,0.055253,-0.010208,-0.003972,-0.01954,-0.008534,0.044227,0.003699,-0.018813,-0.00075,-0.00064,4.0,0.030771,0.171579,0.516791
4,3.892405,112.599998,0.064875,0.067922,4.416667,0.0,0.955356,65860.0,0.061797,0.206281,0.009933,0.052519,-0.009596,0.025562,6.794816,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.05303,-0.000524,-0.000906,-0.021099,-6.1e-05,-0.073041,-0.023416,-0.003341,0.076239,-0.01328,-0.005176,-0.02614,-0.012129,0.053996,0.004915,-0.024545,-0.001462,-0.000988,4.208333,0.035151,0.181347,0.477537
5,5.054522,135.110001,0.080987,0.079997,3.416667,0.0,0.945662,64539.0,0.07131,0.242982,0.010558,0.058159,-0.010171,0.029615,6.789408,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.06361,-0.000635,-0.001239,-0.017125,-6.9e-05,-0.086247,-0.027762,-0.004023,0.085969,-0.01578,-0.006258,-0.030937,-0.014042,0.072466,0.006111,-0.029,-0.001573,-0.000994,4.75,0.033859,0.197136,0.418316
6,6.136341,157.860001,0.099843,0.099694,2.583333,0.0,0.935522,62516.0,0.086415,0.293231,0.012957,0.074122,-0.012563,0.038706,6.771802,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.076169,-0.000751,-0.001704,-0.014672,-8.6e-05,-0.101073,-0.032901,-0.004789,0.107633,-0.018932,-0.007502,-0.038004,-0.017338,0.078783,0.006739,-0.034032,-0.002751,-0.001885,4.25,0.031197,0.188435,0.378278
7,7.393075,177.529999,0.112023,0.118264,1.875,0.0,0.925294,65554.0,0.098863,0.333961,0.014286,0.089447,-0.014442,0.041643,6.77605,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.087909,-0.000869,-0.001643,-0.012651,-0.000107,-0.11642,-0.037346,-0.005623,0.130037,-0.02113,-0.008378,-0.042951,-0.021581,0.08771,0.00852,-0.039191,-0.004598,-0.002496,4.333333,0.030262,0.185678,0.348617
8,8.432803,202.199997,0.126539,0.133679,1.791667,0.0,0.91462,56301.0,0.108041,0.375636,0.015464,0.089866,-0.014993,0.044631,6.774905,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.099511,-0.000989,-0.002093,-0.010514,-0.000113,-0.130424,-0.041851,-0.00631,0.139503,-0.023313,-0.00939,-0.047793,-0.022738,0.11209,0.009867,-0.043907,-0.003771,-0.002779,4.791667,0.03422,0.186968,0.306853
9,8.656857,219.350006,0.133456,0.14929,1.375,0.0,0.905558,44145.0,0.125747,0.422183,0.015844,0.100054,-0.016352,0.049656,6.773857,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.110026,-0.001086,-0.002491,-0.009716,-0.000124,-0.142284,-0.045968,-0.007,0.15317,-0.025373,-0.010331,-0.054571,-0.025604,0.109108,0.011083,-0.047937,-0.003329,-0.002847,3.958333,0.034095,0.164964,0.283448
