iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.616475,16.32,0.00927,0.009053,0.666667,0.0,0.990752,44488.0,0.007195,0.021098,0.000563,0.005596,-0.00113,0.00262,7.218422,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006196,-6e-05,-3.5e-05,-0.004342,-8e-06,-0.008249,-0.002781,-0.000408,0.009341,-0.001644,-0.000589,-0.00353,-0.001514,0.007732,0.00065,-0.00287,-2e-05,-1e-05,5.083333,0.027388,0.114035,0.247437
1,1.515749,44.009998,0.024979,0.022679,4.916667,0.0,0.980731,67593.0,0.02226,0.066907,0.003741,0.018702,-0.003849,0.009601,6.763898,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.017957,-0.00018,-0.000268,-0.018616,-2.2e-05,-0.025405,-0.008109,-0.001037,0.026251,-0.004986,-0.00184,-0.008763,-0.00421,0.018127,0.001651,-0.008596,-0.000118,-0.000151,5.333333,0.031776,0.173329,0.470709
2,2.218402,66.800003,0.040379,0.038363,5.666667,0.0,0.974327,67724.0,0.034976,0.110997,0.006061,0.029882,-0.005948,0.015098,6.795301,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.029773,-0.000295,-0.000478,-0.020649,-3.4e-05,-0.041752,-0.013229,-0.001791,0.04282,-0.007753,-0.002953,-0.014836,-0.006886,0.029367,0.002804,-0.014072,-0.000497,-0.000386,5.125,0.031698,0.1609,0.478806
3,3.215131,88.989998,0.055492,0.053647,3.833333,0.0,0.965384,67361.0,0.047631,0.158645,0.007156,0.039315,-0.007062,0.020753,6.791904,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.041329,-0.000412,-0.000663,-0.019183,-4.6e-05,-0.057419,-0.018129,-0.002545,0.057086,-0.010529,-0.003995,-0.019857,-0.009095,0.043346,0.00387,-0.019305,-0.000659,-0.000549,4.041667,0.030844,0.171904,0.470828
4,3.979332,109.720001,0.065665,0.063778,4.583333,0.0,0.955456,67433.0,0.057645,0.197282,0.00952,0.052104,-0.00918,0.027133,6.780117,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.051528,-0.000513,-0.000892,-0.021408,-6.1e-05,-0.070692,-0.022648,-0.003275,0.074058,-0.013085,-0.004989,-0.02568,-0.01244,0.055888,0.005023,-0.023763,-0.001131,-0.000833,4.208333,0.033073,0.183346,0.488104
5,5.058503,135.199997,0.081143,0.081195,3.375,0.0,0.945239,66262.0,0.071963,0.245404,0.010672,0.061514,-0.010529,0.030432,6.772573,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.063229,-0.000633,-0.001308,-0.01753,-7.4e-05,-0.086397,-0.027496,-0.004098,0.08931,-0.015546,-0.006129,-0.030717,-0.015115,0.066574,0.005881,-0.028999,-0.001464,-0.000905,4.625,0.03135,0.185875,0.435705
6,5.877144,155.589996,0.09273,0.100383,2.75,0.0,0.934822,66094.0,0.086415,0.292472,0.013071,0.071665,-0.012415,0.036358,6.763654,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.075534,-0.000749,-0.001661,-0.016771,-8.2e-05,-0.102217,-0.032907,-0.004758,0.105551,-0.018454,-0.00748,-0.037379,-0.016863,0.075848,0.007223,-0.034321,-0.00206,-0.001312,4.166667,0.03465,0.182784,0.40673
7,7.399079,178.75,0.105728,0.112343,2.708333,0.0,0.926416,66066.0,0.096047,0.335532,0.013838,0.087018,-0.014296,0.043365,6.778014,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.085766,-0.000852,-0.001722,-0.015015,-0.000106,-0.113985,-0.036393,-0.00557,0.126714,-0.020178,-0.008072,-0.041784,-0.021447,0.089035,0.008297,-0.038317,-0.003899,-0.00244,4.25,0.033076,0.191205,0.397591
8,8.419337,201.369995,0.12862,0.133047,1.333333,0.0,0.916052,60421.0,0.105233,0.37601,0.014546,0.090225,-0.014606,0.046636,6.802713,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.099489,-0.000989,-0.001889,-0.008476,-0.000108,-0.129828,-0.042365,-0.006448,0.136471,-0.023332,-0.00941,-0.048132,-0.021943,0.115804,0.010075,-0.043717,-0.004638,-0.002711,4.875,0.030619,0.165535,0.291935
9,8.251346,217.539993,0.125205,0.144546,1.416667,0.0,0.907241,47358.0,0.127734,0.418009,0.015237,0.094896,-0.015679,0.042227,6.776633,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.10826,-0.001065,-0.002287,-0.009407,-0.00012,-0.140076,-0.045327,-0.006965,0.148925,-0.024841,-0.010247,-0.053634,-0.024142,0.100777,0.010621,-0.047193,-0.003248,-0.003189,3.833333,0.036728,0.186488,0.320331
