iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.611291,16.15,0.009262,0.009051,0.625,0.0,0.99064,44812.0,0.007227,0.021202,0.000569,0.00557,-0.001131,0.002568,7.218349,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006197,-6e-05,-3.6e-05,-0.004231,-8e-06,-0.008259,-0.002781,-0.000409,0.009342,-0.001647,-0.00059,-0.003579,-0.00152,0.007647,0.000644,-0.002872,-2e-05,-1e-05,5.083333,0.027421,0.114192,0.246192
1,1.467207,43.48,0.024894,0.022784,4.541667,0.0,0.981459,67461.0,0.021902,0.068319,0.003608,0.018174,-0.003771,0.009137,6.762085,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.017952,-0.000179,-0.000247,-0.017624,-2.1e-05,-0.025373,-0.00812,-0.001059,0.025828,-0.004932,-0.001861,-0.009056,-0.004043,0.018944,0.00157,-0.008572,-0.000184,-0.00011,5.333333,0.03195,0.165931,0.451571
2,2.184733,66.160004,0.040913,0.037565,5.458333,0.0,0.974253,68029.0,0.034722,0.113462,0.005525,0.028692,-0.005455,0.014405,6.79045,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.02956,-0.000294,-0.000494,-0.020454,-3.3e-05,-0.041701,-0.013095,-0.001797,0.041239,-0.007671,-0.002911,-0.014455,-0.006672,0.029826,0.002816,-0.014027,-0.000425,-0.000302,5.166667,0.029934,0.173114,0.482438
3,3.347658,89.019997,0.05481,0.052538,4.833333,0.0,0.96473,66741.0,0.047442,0.158617,0.007751,0.041132,-0.007684,0.022035,6.797408,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.041286,-0.000411,-0.000606,-0.021114,-4.8e-05,-0.057401,-0.018193,-0.002569,0.0596,-0.01053,-0.00403,-0.020263,-0.009484,0.042315,0.003859,-0.019281,-0.000783,-0.000474,4.0,0.030474,0.180957,0.499458
4,3.970843,110.720001,0.064,0.065591,3.791667,0.0,0.954084,67228.0,0.059233,0.200805,0.009193,0.051273,-0.009137,0.026681,6.799911,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.052268,-0.000516,-0.000942,-0.018755,-6.2e-05,-0.071921,-0.023066,-0.003354,0.075521,-0.012954,-0.005154,-0.025843,-0.01221,0.055218,0.004947,-0.024179,-0.001247,-0.000786,4.375,0.036362,0.195118,0.457967
5,5.009978,132.410004,0.080016,0.081934,4.041667,0.0,0.9447,65615.0,0.070838,0.240868,0.010585,0.060916,-0.010533,0.031216,6.791102,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.063014,-0.00063,-0.001214,-0.019554,-7.2e-05,-0.085686,-0.027548,-0.003944,0.088243,-0.015675,-0.006098,-0.031112,-0.014075,0.070243,0.005904,-0.028799,-0.001501,-0.001141,4.625,0.03198,0.189505,0.460384
6,5.75573,151.589996,0.0985,0.100152,3.416667,0.0,0.935839,65632.0,0.083214,0.288937,0.012844,0.06865,-0.012055,0.034606,6.808212,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.074663,-0.000739,-0.001453,-0.017811,-8e-05,-0.100801,-0.032754,-0.004715,0.10298,-0.018283,-0.007325,-0.03682,-0.016296,0.079408,0.007105,-0.033894,-0.001984,-0.001436,4.166667,0.028907,0.189156,0.404693
7,7.416901,179.490005,0.110786,0.111731,2.666667,0.0,0.926636,65074.0,0.097362,0.335118,0.015519,0.085938,-0.014514,0.041191,6.794937,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.087165,-0.000856,-0.001714,-0.017215,-0.0001,-0.115594,-0.037078,-0.005517,0.1258,-0.021157,-0.008306,-0.041227,-0.020505,0.090979,0.008415,-0.038878,-0.003475,-0.002804,4.166667,0.032352,0.193039,0.415359
8,8.509941,200.679993,0.127579,0.132398,2.208333,0.0,0.917949,57508.0,0.104475,0.367703,0.015299,0.090097,-0.014732,0.047676,6.833814,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.097973,-0.000969,-0.001885,-0.012008,-0.000109,-0.127082,-0.041373,-0.006192,0.136212,-0.023047,-0.009133,-0.04679,-0.022253,0.114488,0.009576,-0.042838,-0.005162,-0.00342,4.833333,0.029869,0.17734,0.331492
9,8.71985,221.509995,0.129826,0.146421,1.5,0.0,0.908958,45422.0,0.126216,0.42136,0.015177,0.097524,-0.016001,0.047211,6.834086,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.109792,-0.001082,-0.002087,-0.010954,-0.000121,-0.141706,-0.045453,-0.007023,0.150937,-0.025487,-0.010307,-0.05372,-0.024343,0.114133,0.010844,-0.047767,-0.00372,-0.003312,3.708333,0.033641,0.180296,0.329438
