iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.616703,16.32,0.009278,0.00906,0.666667,0.0,0.990869,44121.0,0.007168,0.021049,0.000566,0.005594,-0.001135,0.002666,7.21574,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006196,-6e-05,-3.6e-05,-0.004342,-8e-06,-0.008251,-0.00278,-0.000409,0.009345,-0.001648,-0.000588,-0.003537,-0.001516,0.007764,0.000644,-0.00287,-2e-05,-1e-05,5.083333,0.027257,0.114206,0.246943
1,1.498385,44.299999,0.025007,0.022561,5.083333,0.0,0.981867,67387.0,0.0219,0.067523,0.003709,0.01826,-0.003789,0.009548,6.776625,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.018004,-0.000179,-0.000266,-0.018716,-2.1e-05,-0.025359,-0.008065,-0.001051,0.025924,-0.004899,-0.001869,-0.008921,-0.004077,0.019019,0.001664,-0.008575,-0.000136,-0.00013,5.333333,0.031625,0.164221,0.46412
2,2.266113,66.800003,0.040176,0.037946,5.0,0.0,0.975637,67822.0,0.035156,0.112731,0.005612,0.029223,-0.005679,0.014454,6.797561,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.029696,-0.000296,-0.00051,-0.019069,-3.4e-05,-0.041675,-0.013208,-0.001827,0.042145,-0.007716,-0.002925,-0.014983,-0.006718,0.028703,0.002664,-0.014039,-0.000425,-0.000331,5.125,0.032045,0.187143,0.451133
3,3.339389,88.940002,0.054574,0.050747,5.375,0.0,0.964886,67549.0,0.047419,0.157777,0.007494,0.039543,-0.007377,0.020365,6.783066,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.040816,-0.000407,-0.000698,-0.022734,-4.5e-05,-0.057386,-0.018218,-0.0025,0.056887,-0.010529,-0.004021,-0.02013,-0.009034,0.046061,0.003721,-0.01927,-0.000926,-0.000556,4.0,0.031592,0.192271,0.531718
4,3.992941,110.989998,0.065698,0.066563,4.583333,0.0,0.954113,67600.0,0.061165,0.200988,0.009879,0.0526,-0.009537,0.026001,6.789165,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.051989,-0.000513,-0.000878,-0.021634,-6.2e-05,-0.07127,-0.022628,-0.003262,0.076748,-0.013217,-0.005191,-0.025081,-0.012681,0.049537,0.004804,-0.023941,-0.001305,-0.000672,4.166667,0.032563,0.176884,0.494396
5,5.151214,131.669998,0.082248,0.082303,3.583333,0.0,0.944179,65894.0,0.068701,0.241174,0.010073,0.05942,-0.01021,0.032352,6.788595,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.062893,-0.000624,-0.001282,-0.018199,-7.1e-05,-0.085697,-0.027271,-0.004047,0.086218,-0.015299,-0.006055,-0.031421,-0.014234,0.071933,0.006099,-0.028837,-0.001649,-0.001013,4.666667,0.030777,0.184141,0.456233
6,6.442968,156.970001,0.097245,0.097278,3.166667,0.0,0.933244,66156.0,0.084273,0.291056,0.013162,0.07102,-0.012299,0.037798,6.774078,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.075396,-0.000752,-0.001445,-0.018061,-8.2e-05,-0.101082,-0.03276,-0.004695,0.104486,-0.018754,-0.00727,-0.03641,-0.01705,0.081095,0.00696,-0.034031,-0.002586,-0.001965,4.083333,0.032267,0.199143,0.439077
7,7.274882,175.839996,0.1091,0.114013,1.958333,0.0,0.923351,65499.0,0.09717,0.324192,0.014004,0.087041,-0.014078,0.043046,6.798963,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.085915,-0.000856,-0.001531,-0.013449,-0.000104,-0.113724,-0.03649,-0.005507,0.126805,-0.020154,-0.008122,-0.041159,-0.021475,0.088783,0.008382,-0.038292,-0.003098,-0.002666,4.333333,0.03244,0.174571,0.347823
8,8.3098,202.580002,0.126976,0.134439,1.125,0.0,0.914059,59767.0,0.109315,0.381785,0.014453,0.090355,-0.014402,0.044212,6.785828,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.100185,-0.000995,-0.002154,-0.008106,-0.00011,-0.130621,-0.042209,-0.006423,0.137506,-0.023223,-0.009343,-0.048786,-0.02218,0.110617,0.009825,-0.043977,-0.003887,-0.002506,4.708333,0.032874,0.17263,0.287942
9,8.516176,220.399994,0.137132,0.147056,1.208333,0.0,0.905901,46718.0,0.125334,0.428713,0.015993,0.098384,-0.015986,0.045796,6.817876,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.110296,-0.001085,-0.00218,-0.010226,-0.000121,-0.14181,-0.045845,-0.006931,0.151482,-0.025785,-0.010468,-0.053395,-0.024433,0.110935,0.010704,-0.047737,-0.003874,-0.003212,3.958333,0.030968,0.16348,0.301998
