iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.617579,15.35,0.008234,0.008944,0.25,0.041667,0.99106,39798.0,0.007307,0.021699,0.000555,0.006193,-0.001153,0.003044,7.128304,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006225,-6e-05,-6.7e-05,-0.002025,-9e-06,-0.008474,-0.002806,-0.000409,0.009811,-0.001663,-0.000649,-0.003193,-0.00167,0.006321,0.000664,-0.002934,-1.8e-05,-1e-06,5.0,0.033359,0.153758,0.209037
1,1.41078,43.459999,0.023877,0.022771,3.75,0.0,0.982068,65912.0,0.021971,0.067514,0.003122,0.017256,-0.003526,0.008595,6.713056,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.018008,-0.000177,-0.000284,-0.016183,-2e-05,-0.025342,-0.00814,-0.001115,0.024962,-0.004825,-0.001881,-0.008999,-0.003846,0.017732,0.001689,-0.008591,-0.000143,-0.000143,5.791667,0.034663,0.186284,0.422584
2,2.348312,64.220001,0.039607,0.036747,3.791667,0.0,0.975516,66380.0,0.034911,0.112495,0.006249,0.029931,-0.005943,0.015237,6.73821,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.029277,-0.000288,-0.000532,-0.019224,-3.3e-05,-0.041313,-0.013262,-0.001861,0.042322,-0.007721,-0.003025,-0.01447,-0.006327,0.029419,0.002654,-0.013923,-0.000397,-0.000352,4.125,0.031556,0.181127,0.453009
3,3.294889,86.989998,0.051781,0.053841,3.25,0.041667,0.967884,65335.0,0.044701,0.15184,0.006519,0.038507,-0.006816,0.021324,6.732793,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.041066,-0.000407,-0.000839,-0.016836,-4.5e-05,-0.056854,-0.018212,-0.002731,0.056415,-0.010112,-0.004125,-0.020088,-0.008844,0.048441,0.004169,-0.019146,-0.000624,-0.000384,4.958333,0.034371,0.168784,0.430137
4,4.023921,110.809998,0.06164,0.069796,2.833333,0.0,0.959629,60797.0,0.060755,0.2017,0.00877,0.052726,-0.008972,0.022802,6.752594,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.053012,-0.000525,-0.001114,-0.015317,-6.3e-05,-0.072684,-0.023303,-0.003491,0.075836,-0.012858,-0.005306,-0.026069,-0.012492,0.049705,0.005277,-0.024453,-0.001302,-0.000826,4.416667,0.036702,0.170878,0.399795
5,5.281974,131.800003,0.083243,0.084793,3.083333,0.0,0.951883,65261.0,0.072567,0.249156,0.011073,0.062006,-0.01055,0.031515,6.753341,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.064197,-0.000625,-0.001411,-0.016117,-7.4e-05,-0.086106,-0.02757,-0.004158,0.09189,-0.015483,-0.006285,-0.03091,-0.014701,0.067474,0.00598,-0.029039,-0.001734,-0.001313,4.583333,0.031192,0.180327,0.412767
6,6.19279,155.190002,0.08843,0.10025,2.833333,0.0,0.942243,61498.0,0.084358,0.289216,0.012542,0.075058,-0.012249,0.036954,6.755224,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.076113,-0.00075,-0.001527,-0.015035,-8.9e-05,-0.101806,-0.032239,-0.004978,0.109019,-0.017808,-0.00737,-0.035707,-0.017919,0.084538,0.007795,-0.034331,-0.002482,-0.001933,4.958333,0.035734,0.17518,0.392171
7,6.448435,178.199997,0.099999,0.116254,2.833333,0.0,0.932605,63590.0,0.104832,0.329144,0.013719,0.085675,-0.014061,0.035682,6.776326,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.086592,-0.000853,-0.001829,-0.016774,-0.000103,-0.114396,-0.037024,-0.005653,0.124705,-0.020085,-0.008543,-0.041916,-0.020409,0.078892,0.008688,-0.038578,-0.003051,-0.002287,3.958333,0.034701,0.172936,0.377701
8,8.103545,197.080002,0.122683,0.134187,2.375,0.0,0.922973,58353.0,0.10458,0.377177,0.015587,0.094631,-0.015677,0.055198,6.751104,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.098138,-0.000969,-0.002399,-0.015399,-0.000112,-0.128521,-0.04224,-0.006412,0.138492,-0.023057,-0.009576,-0.048089,-0.022706,0.118599,0.00955,-0.043378,-0.00408,-0.003307,3.916667,0.032657,0.181004,0.356124
9,9.58609,222.25,0.143875,0.147859,2.0,0.0,0.91474,51334.0,0.120759,0.419538,0.01814,0.104497,-0.017103,0.056786,6.764293,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.110539,-0.001075,-0.002444,-0.012571,-0.000122,-0.142111,-0.046988,-0.007138,0.155074,-0.025972,-0.01083,-0.052434,-0.024643,0.124755,0.010939,-0.047991,-0.004582,-0.004191,4.75,0.030838,0.178364,0.339269
10,10.452004,242.479996,0.149566,0.16325,1.875,0.0,0.906581,38646.0,0.129414,0.452224,0.021098,0.120613,-0.019687,0.065637,6.77985,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.118443,-0.001158,-0.002792,-0.014813,-0.000143,-0.150896,-0.050376,-0.007666,0.176883,-0.02703,-0.01165,-0.056655,-0.028659,0.124811,0.011954,-0.051018,-0.006434,-0.004617,4.25,0.030377,0.169343,0.369949
11,11.175229,263.429993,0.16762,0.182077,1.5,0.0,0.89854,43572.0,0.149109,0.497811,0.021112,0.126477,-0.020578,0.058342,6.778629,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.131456,-0.001272,-0.003035,-0.008491,-0.00015,-0.164555,-0.054997,-0.008461,0.18986,-0.030444,-0.012798,-0.06301,-0.030677,0.130903,0.013283,-0.055651,-0.007186,-0.007042,4.791667,0.03192,0.162493,0.304763
12,12.216517,283.769989,0.182841,0.202147,1.416667,0.0,0.891025,52985.0,0.15322,0.537217,0.020545,0.126143,-0.019937,0.063986,6.768314,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.142532,-0.001385,-0.00323,-0.009937,-0.00015,-0.176931,-0.058947,-0.009196,0.191882,-0.03234,-0.013271,-0.068699,-0.030902,0.165635,0.014659,-0.059891,-0.007083,-0.007158,4.625,0.029636,0.153654,0.297284
13,12.980852,316.880005,0.172657,0.211573,0.875,0.0,0.882521,60337.0,0.178287,0.59365,0.024429,0.152915,-0.024062,0.069397,6.745734,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.155695,-0.001533,-0.003681,-0.007577,-0.000184,-0.191418,-0.064589,-0.009987,0.22514,-0.035125,-0.014632,-0.074033,-0.037629,0.146508,0.015924,-0.064824,-0.009231,-0.006514,3.5,0.0327,0.176708,0.266168
14,14.961595,335.670013,0.216033,0.234871,0.583333,0.0,0.875045,61525.0,0.184113,0.649859,0.030824,0.173486,-0.027852,0.098699,6.77801,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.168872,-0.001625,-0.004529,-0.004624,-0.000202,-0.206456,-0.070495,-0.011022,0.254687,-0.038073,-0.015868,-0.08115,-0.041976,0.183189,0.016983,-0.069906,-0.015028,-0.011897,3.333333,0.028847,0.15975,0.209948
15,15.634288,352.950012,0.236205,0.245107,0.826087,0.0,0.866103,65162.0,0.197168,0.666474,0.0268,0.165707,-0.026459,0.078069,6.803021,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.176378,-0.001725,-0.004586,-0.007137,-0.000204,-0.211388,-0.072418,-0.011329,0.251,-0.039406,-0.016411,-0.083964,-0.041666,0.18713,0.018634,-0.071764,-0.011318,-0.009516,3.782609,0.024878,0.182334,0.24399
16,17.651928,381.549988,0.24664,0.270976,0.458333,0.0,0.859497,59077.0,0.202558,0.721905,0.030053,0.175076,-0.028448,0.094738,6.835113,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.192265,-0.001845,-0.004549,-0.003745,-0.000212,-0.228548,-0.077751,-0.012278,0.270513,-0.042304,-0.017863,-0.090649,-0.043649,0.23648,0.020393,-0.077522,-0.015391,-0.011548,3.916667,0.030209,0.159131,0.206324
17,18.470661,403.75,0.2588,0.27735,1.0,0.0,0.852996,58935.0,0.206034,0.766546,0.028848,0.176266,-0.028138,0.097671,6.834222,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.199693,-0.001949,-0.005029,-0.007563,-0.000217,-0.234534,-0.081196,-0.01272,0.271258,-0.044292,-0.018392,-0.094441,-0.044908,0.251517,0.020743,-0.079634,-0.012486,-0.012818,4.304348,0.029946,0.166916,0.228759
18,19.661371,424.690002,0.268831,0.296209,0.625,0.0,0.846646,59232.0,0.215713,0.775855,0.032131,0.196149,-0.030641,0.111741,6.827354,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.209683,-0.002025,-0.005444,-0.006261,-0.000242,-0.243472,-0.084968,-0.013477,0.299978,-0.045593,-0.019557,-0.098127,-0.049363,0.255918,0.022185,-0.082686,-0.016223,-0.019921,3.916667,0.028815,0.171996,0.239184
19,20.958595,452.619995,0.283629,0.303209,0.434783,0.0,0.841458,61409.0,0.229491,0.829133,0.034507,0.200039,-0.032541,0.116849,6.85359,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.219772,-0.002104,-0.005597,-0.005333,-0.000246,-0.252899,-0.087486,-0.013893,0.315827,-0.04694,-0.020529,-0.101138,-0.050615,0.260948,0.023693,-0.086087,-0.014301,-0.015286,3.913043,0.026074,0.176882,0.21675
20,22.118893,475.299988,0.316148,0.342131,0.666667,0.0,0.837821,62309.0,0.252164,0.893304,0.036222,0.211654,-0.033679,0.119519,6.906719,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.239429,-0.002291,-0.005778,-0.005452,-0.000255,-0.272106,-0.095732,-0.015143,0.33017,-0.052087,-0.022327,-0.111493,-0.052516,0.281669,0.025453,-0.092649,-0.01814,-0.022531,4.291667,0.027393,0.155463,0.211277
21,21.812382,493.130005,0.306286,0.339629,0.916667,0.0,0.83255,63873.0,0.256954,0.92062,0.036017,0.208064,-0.0345,0.107807,6.961979,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.245418,-0.002363,-0.005938,-0.007103,-0.000251,-0.276789,-0.099302,-0.015062,0.328678,-0.05392,-0.023066,-0.115691,-0.052271,0.299928,0.026295,-0.094349,-0.024711,-0.025524,4.083333,0.027903,0.224697,0.247682
22,23.784977,510.23999,0.327217,0.360884,1.166667,0.0,0.828699,59038.0,0.270515,0.959268,0.039695,0.238153,-0.038775,0.12662,6.98184,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.252212,-0.002429,-0.006211,-0.00804,-0.000295,-0.281118,-0.100519,-0.015826,0.365653,-0.054182,-0.023136,-0.119379,-0.06089,0.288773,0.026713,-0.095882,-0.024124,-0.020556,5.208333,0.030781,0.206554,0.244131
23,24.534702,531.039978,0.372138,0.380073,1.166667,0.0,0.824362,58535.0,0.290691,1.02075,0.042458,0.250344,-0.041028,0.137086,7.014114,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.269435,-0.002566,-0.0066,-0.007302,-0.000302,-0.299137,-0.107892,-0.016791,0.382362,-0.057689,-0.02516,-0.128783,-0.062069,0.303457,0.028287,-0.101926,-0.020257,-0.025381,4.958333,0.024193,0.210948,0.20178
24,26.436329,548.400024,0.363182,0.394394,1.0,0.0,0.820664,61612.0,0.285773,1.036608,0.046847,0.273472,-0.04456,0.164373,7.019645,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.276507,-0.002609,-0.007572,-0.00726,-0.000332,-0.303623,-0.108618,-0.017098,0.415624,-0.058439,-0.026057,-0.129565,-0.068267,0.32782,0.030118,-0.103651,-0.033049,-0.041582,4.208333,0.029285,0.196767,0.248552
25,28.615635,580.52002,0.39228,0.400964,1.086957,0.0,0.816361,63579.0,0.285606,1.067946,0.046099,0.263031,-0.042711,0.14967,7.046326,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.285039,-0.002729,-0.007153,-0.007756,-0.000321,-0.308166,-0.110937,-0.01746,0.408117,-0.05902,-0.025907,-0.130722,-0.066741,0.3702,0.031234,-0.1054,-0.021715,-0.025406,4.521739,0.027324,0.199636,0.259416
26,29.308889,607.909973,0.391563,0.440446,0.833333,0.0,0.811378,64705.0,0.29932,1.110698,0.042712,0.262019,-0.042848,0.152757,7.066555,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.299313,-0.002836,-0.007419,-0.006964,-0.00033,-0.322724,-0.115744,-0.018544,0.416593,-0.062049,-0.027214,-0.140094,-0.067961,0.383606,0.033352,-0.110351,-0.025298,-0.027016,4.375,0.025223,0.182943,0.194052
27,29.835077,604.359985,0.413059,0.434371,1.125,0.0,0.806872,61328.0,0.307059,1.130578,0.048644,0.286099,-0.046603,0.167721,7.099001,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.299475,-0.002858,-0.007736,-0.009157,-0.000352,-0.319422,-0.116682,-0.018374,0.437593,-0.062215,-0.026993,-0.137653,-0.073019,0.367144,0.032831,-0.109271,-0.023733,-0.02502,4.291667,0.024444,0.180829,0.246984
28,29.851994,600.710022,0.423253,0.43692,1.291667,0.0,0.80242,58809.0,0.308921,1.159321,0.049578,0.287151,-0.046968,0.173995,7.09903,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.308027,-0.002912,-0.00811,-0.009902,-0.000345,-0.325759,-0.119227,-0.018828,0.436923,-0.063471,-0.027378,-0.141855,-0.071792,0.408891,0.034414,-0.111524,-0.0376,-0.030213,3.5,0.021642,0.221916,0.277888
29,32.552277,650.710022,0.440177,0.470852,0.791667,0.0,0.79789,59233.0,0.327294,1.233209,0.048458,0.296508,-0.047883,0.176228,7.113384,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.328775,-0.003127,-0.008839,-0.006095,-0.000368,-0.345511,-0.126089,-0.020107,0.462608,-0.067546,-0.029374,-0.151074,-0.074947,0.428538,0.036334,-0.118544,-0.024767,-0.035177,4.0,0.023569,0.184948,0.203967
