iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.581095,16.58,0.008949,0.009037,0.75,0.0,0.989619,45131.0,0.007448,0.019927,0.000616,0.005764,-0.001178,0.002476,7.139625,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006194,-5.9e-05,-6.2e-05,-0.004513,-8e-06,-0.008382,-0.002797,-0.000399,0.009281,-0.001661,-0.00061,-0.003289,-0.001478,0.007047,0.000662,-0.002907,-1.3e-05,-1e-05,5.083333,0.029193,0.111015,0.240434
1,1.342154,44.150002,0.024056,0.022829,5.416667,0.0,0.981057,69469.0,0.02118,0.067243,0.003653,0.017485,-0.003479,0.009455,6.76222,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.017921,-0.000179,-0.000283,-0.019541,-2e-05,-0.025268,-0.008178,-0.00107,0.024387,-0.004874,-0.00187,-0.008789,-0.003917,0.019361,0.001687,-0.008561,-0.000168,-0.000137,5.375,0.03543,0.158352,0.466843
2,2.299477,66.93,0.038818,0.038568,5.625,0.0,0.975994,68811.0,0.034685,0.110747,0.005556,0.028755,-0.005384,0.014704,6.787458,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.029697,-0.000294,-0.000448,-0.020519,-3.4e-05,-0.041655,-0.013136,-0.001817,0.040852,-0.007855,-0.00297,-0.014516,-0.006556,0.030183,0.00278,-0.014022,-0.000303,-0.000287,5.166667,0.035603,0.157378,0.498678
3,3.343352,89.349998,0.053798,0.052008,5.5,0.0,0.96539,69235.0,0.047198,0.153886,0.007753,0.040349,-0.007267,0.019716,6.78667,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.040723,-0.000405,-0.000775,-0.024076,-4.6e-05,-0.056498,-0.018058,-0.002526,0.056219,-0.010625,-0.003997,-0.019328,-0.009161,0.042385,0.003987,-0.019029,-0.000957,-0.000635,3.833333,0.031368,0.171922,0.532552
4,3.733811,105.900002,0.062078,0.06508,4.304348,0.0,0.957708,70154.0,0.059523,0.198063,0.009343,0.052584,-0.008879,0.026394,6.769758,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.051408,-0.000508,-0.001006,-0.020067,-6.1e-05,-0.070033,-0.022804,-0.003295,0.073303,-0.01316,-0.005031,-0.024922,-0.012388,0.051387,0.004869,-0.023559,-0.001042,-0.00077,4.304348,0.03608,0.174604,0.466771
5,5.028693,130.979996,0.079954,0.081773,3.833333,0.0,0.94893,68187.0,0.067859,0.237224,0.009877,0.056372,-0.009431,0.030655,6.770341,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.0636,-0.000632,-0.001317,-0.018293,-6.6e-05,-0.086183,-0.027658,-0.004012,0.080896,-0.015928,-0.006154,-0.029964,-0.013336,0.07758,0.006044,-0.028967,-0.001433,-0.000872,4.708333,0.034566,0.187241,0.458514
6,5.927133,156.240005,0.087348,0.098729,3.041667,0.0,0.939155,66515.0,0.0812,0.284118,0.012436,0.068152,-0.0116,0.036396,6.777622,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.07443,-0.000737,-0.00153,-0.018093,-8.2e-05,-0.09969,-0.032414,-0.00475,0.100175,-0.018802,-0.007372,-0.035255,-0.016508,0.08474,0.006985,-0.033498,-0.002261,-0.00133,3.916667,0.038331,0.17551,0.434294
7,7.121265,176.889999,0.106954,0.113322,3.041667,0.0,0.928743,67490.0,0.095776,0.323388,0.014836,0.084428,-0.013843,0.040411,6.774708,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.084614,-0.000829,-0.00168,-0.016152,-0.0001,-0.110751,-0.035744,-0.005391,0.121241,-0.020331,-0.008041,-0.040474,-0.02039,0.087971,0.008327,-0.03736,-0.003524,-0.002834,4.333333,0.033291,0.176421,0.397837
8,8.114251,200.740005,0.116978,0.127923,2.833333,0.0,0.918494,66212.0,0.103579,0.36581,0.014435,0.086083,-0.014003,0.039751,6.795322,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.094815,-0.000939,-0.002031,-0.015353,-0.000104,-0.122819,-0.040241,-0.006165,0.126706,-0.022462,-0.008867,-0.045146,-0.021286,0.102382,0.009422,-0.041424,-0.003538,-0.001703,4.458333,0.032361,0.16783,0.382866
9,8.608278,219.070007,0.117936,0.144375,2.333333,0.0,0.908992,62490.0,0.121315,0.411463,0.016695,0.100215,-0.016307,0.05299,6.799845,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.106975,-0.00105,-0.002457,-0.014668,-0.000122,-0.137519,-0.044869,-0.006878,0.147992,-0.024806,-0.010106,-0.051786,-0.025174,0.110986,0.010437,-0.046337,-0.004995,-0.003893,3.875,0.03994,0.171775,0.378075
10,10.531409,245.179993,0.157876,0.172297,1.208333,0.0,0.898966,61039.0,0.132986,0.466737,0.019429,0.12074,-0.018786,0.0638,6.797702,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.121286,-0.001196,-0.002613,-0.009921,-0.000148,-0.153758,-0.050324,-0.007766,0.176003,-0.028144,-0.011136,-0.057604,-0.030657,0.128102,0.011925,-0.05189,-0.009145,-0.005101,4.291667,0.029467,0.156278,0.299572
11,11.663364,267.649994,0.181829,0.189831,1.375,0.0,0.888346,71254.0,0.143015,0.516537,0.018913,0.120691,-0.019175,0.066354,6.790403,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.132607,-0.001298,-0.00292,-0.009054,-0.00015,-0.166354,-0.05481,-0.008418,0.182883,-0.031161,-0.012377,-0.063111,-0.030571,0.162559,0.012388,-0.05618,-0.005533,-0.00504,4.083333,0.028343,0.165383,0.260549
12,12.164771,297.76001,0.180828,0.213595,1.043478,0.0,0.88093,70231.0,0.165401,0.575407,0.020875,0.131804,-0.020989,0.063429,6.801845,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.147791,-0.001453,-0.003214,-0.007253,-0.000162,-0.184234,-0.060809,-0.00945,0.198463,-0.033512,-0.013735,-0.07071,-0.032587,0.165265,0.014266,-0.062216,-0.009909,-0.006284,4.173913,0.033358,0.141328,0.242042
13,12.893189,306.51001,0.184522,0.21723,1.041667,0.0,0.874243,72118.0,0.166482,0.584644,0.023012,0.143896,-0.022734,0.077284,6.803878,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.155944,-0.001542,-0.003619,-0.007552,-0.000179,-0.19174,-0.064091,-0.009942,0.215946,-0.035335,-0.013851,-0.072714,-0.036627,0.17537,0.016258,-0.064683,-0.015117,-0.011308,3.916667,0.03605,0.158163,0.255759
14,14.842917,345.519989,0.227248,0.237291,0.666667,0.0,0.867291,72337.0,0.191862,0.654287,0.02628,0.160421,-0.025037,0.080723,6.824963,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.172067,-0.001668,-0.004181,-0.004664,-0.000192,-0.208988,-0.070853,-0.010891,0.238595,-0.038798,-0.016031,-0.082388,-0.038946,0.180725,0.01741,-0.070674,-0.015088,-0.011748,4.708333,0.032823,0.170634,0.203915
