iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.574791,17.91,0.008372,0.008519,0.958333,0.0,0.991592,42752.0,0.007305,0.022363,0.000691,0.006281,-0.001287,0.002988,7.207714,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006191,-6e-05,-4.6e-05,-0.004747,-9e-06,-0.008268,-0.002813,-0.000382,0.00968,-0.001745,-0.000614,-0.003016,-0.00163,0.006157,0.000588,-0.002881,-2.2e-05,-7e-06,5.0,0.032899,0.154717,0.256194
1,1.343961,44.75,0.024101,0.021431,7.5,0.0,0.983573,68386.0,0.021141,0.067153,0.003548,0.017,-0.003612,0.009171,6.803642,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.017903,-0.000179,-0.000195,-0.022421,-1.9e-05,-0.025409,-0.008129,-0.001042,0.023914,-0.004975,-0.001839,-0.008974,-0.003711,0.019156,0.001567,-0.008579,-0.000116,-0.000135,5.708333,0.034167,0.181068,0.527233
2,2.087517,66.190002,0.039006,0.035176,8.875,0.0,0.976867,71036.0,0.036,0.109845,0.006765,0.030809,-0.006283,0.014792,6.832894,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.029356,-0.00029,-0.000342,-0.027377,-3.4e-05,-0.041134,-0.013226,-0.001739,0.04239,-0.007856,-0.002962,-0.014564,-0.006644,0.027541,0.002828,-0.013892,-0.000396,-0.000391,3.916667,0.034722,0.170357,0.603354
3,3.206036,90.010002,0.052631,0.050006,9.166667,0.0,0.968718,71432.0,0.045724,0.15201,0.007849,0.03937,-0.007568,0.01964,6.839437,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.040629,-0.000403,-0.000498,-0.027134,-4.5e-05,-0.056173,-0.017931,-0.002465,0.05577,-0.010028,-0.004033,-0.019944,-0.00902,0.04451,0.004028,-0.018936,-0.00076,-0.00058,4.625,0.032974,0.177802,0.60359
4,3.865977,108.309998,0.064893,0.064853,7.333333,0.0,0.959175,70644.0,0.057487,0.191694,0.009734,0.049745,-0.009062,0.024323,6.82509,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.050416,-0.000502,-0.000558,-0.025199,-5.8e-05,-0.068939,-0.022244,-0.003113,0.070893,-0.012656,-0.004846,-0.024322,-0.012013,0.051469,0.004653,-0.02324,-0.001145,-0.000721,4.291667,0.034281,0.155806,0.551284
5,4.741671,126.849998,0.080653,0.078711,6.208333,0.0,0.949926,70618.0,0.070609,0.236972,0.012155,0.060403,-0.011126,0.031099,6.8327,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.061332,-0.000602,-0.000813,-0.02519,-7e-05,-0.082958,-0.026813,-0.003762,0.087596,-0.0154,-0.005988,-0.029823,-0.014258,0.064149,0.005794,-0.027946,-0.002495,-0.001697,3.916667,0.032962,0.166731,0.538229
6,6.323738,155.039993,0.094512,0.095871,4.75,0.0,0.940539,69198.0,0.083252,0.284701,0.01381,0.077048,-0.013262,0.038962,6.817964,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.074158,-0.000735,-0.000941,-0.019263,-8.9e-05,-0.098294,-0.032396,-0.004662,0.107996,-0.017517,-0.007204,-0.037367,-0.018473,0.076744,0.006968,-0.033197,-0.002351,-0.001785,5.125,0.033408,0.168818,0.469139
7,6.663835,170.460007,0.099545,0.109724,3.5,0.0,0.930596,69809.0,0.096516,0.319591,0.01466,0.085318,-0.01415,0.039648,6.822616,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.082664,-0.000822,-0.001111,-0.020092,-0.0001,-0.108956,-0.035363,-0.005116,0.11995,-0.019775,-0.007874,-0.039677,-0.020177,0.080159,0.007919,-0.036833,-0.003264,-0.002324,3.583333,0.034902,0.178046,0.459921
8,7.90485,192.619995,0.123538,0.124321,2.875,0.0,0.920916,68791.0,0.104949,0.362235,0.017033,0.092879,-0.016519,0.049012,6.81474,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.093456,-0.000916,-0.0013,-0.01795,-0.000111,-0.121748,-0.04012,-0.005903,0.13671,-0.021941,-0.009089,-0.045525,-0.02279,0.099692,0.00904,-0.041097,-0.005133,-0.003756,3.583333,0.029125,0.182455,0.432607
9,9.867587,218.970001,0.135538,0.150311,2.25,0.0,0.911819,62566.0,0.119311,0.415545,0.019271,0.107132,-0.017968,0.057669,6.826255,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.107705,-0.001054,-0.001385,-0.014372,-0.000126,-0.138419,-0.0459,-0.006718,0.156326,-0.025306,-0.010511,-0.052422,-0.025617,0.11911,0.010797,-0.04673,-0.006788,-0.004544,4.125,0.034874,0.15899,0.360468
10,10.685347,236.660004,0.151342,0.164974,1.875,0.0,0.903873,62052.0,0.122117,0.440097,0.020033,0.111681,-0.018861,0.06267,6.818923,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.115678,-0.001129,-0.001733,-0.013785,-0.000133,-0.147519,-0.048696,-0.007239,0.167158,-0.026338,-0.010935,-0.054765,-0.027637,0.13726,0.011734,-0.049859,-0.005145,-0.005228,3.583333,0.030572,0.165186,0.340298
11,11.331113,265.839996,0.169187,0.182685,1.333333,0.0,0.897306,74782.0,0.149574,0.509889,0.021381,0.123132,-0.020223,0.056627,6.846214,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.131366,-0.001281,-0.001813,-0.010326,-0.000149,-0.164911,-0.055159,-0.008212,0.185502,-0.030113,-0.012489,-0.064103,-0.03038,0.136468,0.012949,-0.055759,-0.008317,-0.005538,3.875,0.031325,0.144085,0.305164
12,12.428866,289.799988,0.182553,0.197967,0.75,0.0,0.888098,70809.0,0.164505,0.557029,0.022128,0.136839,-0.021842,0.060739,6.906555,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.144068,-0.001412,-0.001913,-0.006123,-0.000163,-0.178693,-0.060775,-0.009223,0.201395,-0.032812,-0.01369,-0.070723,-0.033301,0.142203,0.014637,-0.060407,-0.010105,-0.005677,4.125,0.030046,0.168876,0.251035
13,13.042377,314.369995,0.183103,0.212227,0.625,0.0,0.88088,74415.0,0.176096,0.616221,0.025623,0.155891,-0.025227,0.07509,6.893943,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.157622,-0.001551,-0.00239,-0.006321,-0.00019,-0.193592,-0.06658,-0.010021,0.228994,-0.036356,-0.014733,-0.077278,-0.04,0.155366,0.015459,-0.065658,-0.005839,-0.005189,3.291667,0.036498,0.161617,0.245052
14,15.234925,332.450012,0.218697,0.234318,0.521739,0.0,0.873773,75650.0,0.180177,0.644246,0.028071,0.171402,-0.027421,0.096927,6.880359,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.167316,-0.001632,-0.002459,-0.005174,-0.00021,-0.203435,-0.069546,-0.010666,0.253141,-0.036862,-0.01525,-0.079918,-0.042864,0.18944,0.016764,-0.068884,-0.014954,-0.01179,3.043478,0.029439,0.153954,0.233405
15,16.12331,359.079987,0.240455,0.241534,0.521739,0.0,0.866394,76397.0,0.205379,0.702983,0.028334,0.18044,-0.029243,0.088397,6.875468,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.180475,-0.001771,-0.002743,-0.00485,-0.000229,-0.217664,-0.074103,-0.011535,0.268291,-0.040317,-0.016352,-0.088637,-0.046966,0.181186,0.018214,-0.073851,-0.012875,-0.011856,3.26087,0.02769,0.157214,0.21398
