iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.582195,15.34,0.008617,0.009229,0.458333,0.041667,0.992249,35077.0,0.007101,0.02128,0.000506,0.005873,-0.001115,0.002593,7.163166,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006214,-5.9e-05,-2.8e-05,-0.002712,-8e-06,-0.008074,-0.002834,-0.000428,0.009452,-0.001592,-0.000636,-0.003465,-0.00149,0.007609,0.000696,-0.002824,-2.3e-05,-8e-06,4.458333,0.033584,0.13139,0.21982
1,1.40699,42.810001,0.023974,0.023051,5.166667,0.0,0.984423,59253.0,0.020276,0.06572,0.003956,0.017747,-0.003586,0.010709,6.750454,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.01794,-0.000178,-0.000296,-0.020826,-1.9e-05,-0.025512,-0.008145,-0.001058,0.024504,-0.0051,-0.001833,-0.008513,-0.003655,0.020986,0.001694,-0.008619,-0.000152,-0.000157,4.375,0.035726,0.157209,0.473039
2,2.194742,66.18,0.03764,0.037053,5.416667,0.0,0.979611,56608.0,0.034649,0.111321,0.006111,0.030719,-0.005754,0.016937,6.774503,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.029552,-0.000292,-0.000498,-0.021335,-3.5e-05,-0.041834,-0.013299,-0.001842,0.042503,-0.007796,-0.002996,-0.014183,-0.006804,0.031392,0.002811,-0.01409,-0.000362,-0.000395,4.916667,0.036131,0.160988,0.510901
3,3.132865,85.900002,0.053376,0.053698,5.083333,0.0,0.970976,56031.0,0.04695,0.1557,0.007919,0.039386,-0.007205,0.020176,6.770376,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.040742,-0.000404,-0.000724,-0.020879,-4.6e-05,-0.056667,-0.018271,-0.002569,0.056485,-0.010619,-0.004136,-0.019804,-0.009081,0.044086,0.00383,-0.01906,-0.000955,-0.000643,4.541667,0.032176,0.162547,0.483339
4,4.06485,110.620003,0.064372,0.06854,4.375,0.0,0.960918,59012.0,0.06052,0.201343,0.009024,0.050934,-0.008693,0.023584,6.768844,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.052296,-0.000518,-0.001079,-0.01968,-6.1e-05,-0.071554,-0.023015,-0.003347,0.072764,-0.013004,-0.00513,-0.024731,-0.012154,0.048986,0.004883,-0.024089,-0.000842,-0.000666,4.25,0.036108,0.170204,0.483913
5,5.23561,129.360001,0.080922,0.082045,3.833333,0.0,0.952623,54455.0,0.069673,0.243039,0.01095,0.062703,-0.010553,0.033064,6.765872,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.062634,-0.000621,-0.001268,-0.019886,-7.4e-05,-0.085045,-0.027386,-0.004071,0.088395,-0.015525,-0.006154,-0.03041,-0.015023,0.065139,0.006015,-0.02866,-0.00212,-0.001094,4.25,0.033603,0.181434,0.452692
6,5.801523,156.139999,0.089458,0.101841,2.75,0.0,0.945506,56344.0,0.085115,0.290557,0.012105,0.072006,-0.011782,0.035958,6.781346,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.075646,-0.000748,-0.00166,-0.016156,-8.7e-05,-0.101085,-0.032419,-0.0049,0.104451,-0.018045,-0.007241,-0.036555,-0.01752,0.080513,0.007585,-0.034053,-0.002564,-0.001347,4.208333,0.035862,0.156638,0.40217
7,6.678685,172.100006,0.101896,0.115262,2.291667,0.0,0.935508,56025.0,0.095185,0.322904,0.013871,0.083451,-0.013135,0.045177,6.787514,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.085297,-0.000836,-0.001756,-0.015878,-9.8e-05,-0.11332,-0.036631,-0.005427,0.118995,-0.02057,-0.00835,-0.04076,-0.019665,0.090373,0.008315,-0.038173,-0.003653,-0.002451,3.208333,0.035444,0.172603,0.408819
8,8.025646,197.080002,0.116858,0.129048,2.166667,0.0,0.926035,49800.0,0.11204,0.368837,0.016172,0.093516,-0.015024,0.042492,6.805544,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.097505,-0.000957,-0.002092,-0.014364,-0.000112,-0.127181,-0.041357,-0.006195,0.135857,-0.023297,-0.00944,-0.044879,-0.02282,0.0923,0.009792,-0.042927,-0.003031,-0.003478,4.0,0.034124,0.18059,0.369713
9,8.922605,218.279999,0.132275,0.149775,1.25,0.0,0.91677,56633.0,0.122643,0.414523,0.015519,0.102532,-0.015526,0.045743,6.799094,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.107423,-0.001076,-0.002502,-0.0105,-0.000129,-0.139628,-0.045449,-0.007023,0.148644,-0.025183,-0.009879,-0.05183,-0.026129,0.106467,0.010627,-0.047096,-0.006815,-0.004603,3.75,0.032692,0.15981,0.321598
10,9.63121,237.610001,0.148158,0.157229,2.0,0.0,0.907335,51153.0,0.133812,0.46497,0.018587,0.10785,-0.017472,0.054049,6.803442,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.118573,-0.001161,-0.002561,-0.012955,-0.000129,-0.151332,-0.050776,-0.007616,0.160343,-0.027759,-0.011293,-0.05759,-0.026532,0.122963,0.011221,-0.051136,-0.005612,-0.005835,4.0,0.029551,0.165572,0.364768
11,11.028435,261.269989,0.165123,0.189938,1.166667,0.0,0.898415,59885.0,0.141873,0.502322,0.018336,0.112647,-0.017657,0.058086,6.832047,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.129917,-0.001285,-0.003114,-0.009938,-0.000135,-0.164114,-0.054844,-0.008436,0.16862,-0.030398,-0.012063,-0.06248,-0.027303,0.155583,0.012923,-0.055466,-0.009228,-0.007942,3.666667,0.035348,0.14004,0.279199
12,13.00129,295.679993,0.199207,0.202713,0.73913,0.0,0.892329,62577.0,0.172139,0.56884,0.023689,0.155198,-0.023985,0.068646,6.895816,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.146153,-0.001449,-0.003271,-0.006825,-0.000194,-0.182757,-0.060922,-0.009431,0.22203,-0.033183,-0.013663,-0.071133,-0.04004,0.13015,0.014541,-0.06188,-0.009542,-0.007298,3.913043,0.027571,0.165367,0.25764
13,13.639789,321.470001,0.196446,0.220358,0.666667,0.0,0.882607,60718.0,0.167242,0.603366,0.022284,0.145049,-0.022289,0.073101,6.906728,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.159479,-0.001571,-0.003587,-0.005411,-0.00018,-0.194761,-0.064481,-0.010187,0.215608,-0.036384,-0.014506,-0.07366,-0.037051,0.182315,0.01568,-0.065992,-0.013715,-0.010276,3.958333,0.031546,0.166044,0.229237
14,14.933988,336.170013,0.213893,0.229427,0.583333,0.0,0.875745,60666.0,0.177366,0.614182,0.023372,0.158766,-0.023767,0.080589,6.905185,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.165842,-0.001636,-0.00412,-0.005683,-0.000198,-0.203727,-0.067491,-0.010573,0.23225,-0.037035,-0.014931,-0.078129,-0.040444,0.18366,0.017163,-0.068955,-0.01363,-0.010716,4.541667,0.030564,0.157852,0.22968
15,15.930461,359.76001,0.229726,0.2568,0.652174,0.0,0.868585,63459.0,0.190339,0.680981,0.026443,0.165359,-0.025582,0.08282,6.927125,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.179227,-0.001771,-0.004332,-0.006514,-0.000203,-0.217845,-0.073054,-0.011302,0.246316,-0.039728,-0.016121,-0.083017,-0.042084,0.207383,0.018674,-0.073732,-0.012148,-0.009131,3.73913,0.029225,0.168612,0.220979
16,17.41272,390.470001,0.27818,0.282101,0.565217,0.0,0.862616,63504.0,0.220244,0.745433,0.029154,0.186361,-0.029133,0.091496,6.941495,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.195795,-0.001909,-0.004482,-0.005048,-0.000228,-0.234682,-0.08037,-0.012214,0.275511,-0.043459,-0.018201,-0.094203,-0.046194,0.212301,0.01973,-0.079602,-0.018252,-0.014973,4.217391,0.027197,0.148822,0.216075
17,18.291571,407.839996,0.253554,0.294796,0.375,0.0,0.855909,60938.0,0.211585,0.76956,0.026622,0.175577,-0.026577,0.093656,6.954759,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.20296,-0.001991,-0.004884,-0.003446,-0.00022,-0.239483,-0.08159,-0.012715,0.266173,-0.044436,-0.018039,-0.094484,-0.045036,0.243413,0.021666,-0.081302,-0.015011,-0.016092,4.166667,0.030183,0.147973,0.205622
18,19.838654,429.290009,0.289634,0.312871,0.333333,0.0,0.850536,59588.0,0.224603,0.836452,0.030156,0.196027,-0.030431,0.108001,6.959183,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.216305,-0.002113,-0.005445,-0.003528,-0.000246,-0.252219,-0.086777,-0.013576,0.297037,-0.047678,-0.019444,-0.100593,-0.050508,0.270971,0.021722,-0.085688,-0.010302,-0.015821,3.291667,0.028325,0.143286,0.205268
19,20.537872,450.25,0.284789,0.322392,0.458333,0.0,0.846036,61867.0,0.235133,0.860118,0.030696,0.21272,-0.032178,0.113805,6.985367,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.22679,-0.002232,-0.005609,-0.004718,-0.000267,-0.26324,-0.090128,-0.014024,0.31622,-0.049946,-0.02035,-0.104667,-0.055011,0.270377,0.02364,-0.089459,-0.017099,-0.017614,3.166667,0.029322,0.138843,0.217187
