iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,0.597952,15.16,0.008222,0.008989,0.208333,0.041667,0.991308,43259.0,0.00732,0.021712,0.000535,0.00617,-0.001139,0.003069,7.128691,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.006226,-6e-05,-6.7e-05,-0.001889,-8e-06,-0.008463,-0.002808,-0.000412,0.009815,-0.001659,-0.000653,-0.003234,-0.001676,0.006288,9e-06,-0.002931,-1.8e-05,-1e-06,5.0,0.033404,0.154776,0.207025
1,1.367511,42.91,0.023732,0.022889,3.833333,0.0,0.982247,64567.0,0.021625,0.068684,0.003,0.01732,-0.003406,0.009302,6.701206,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.017897,-0.000176,-0.000273,-0.015719,-2e-05,-0.025305,-0.008044,-0.001114,0.024828,-0.004788,-0.001876,-0.008958,-0.003889,0.018153,1.4e-05,-0.008568,-0.000146,-0.000137,5.791667,0.034123,0.182521,0.413877
2,2.224023,65.940002,0.039704,0.037738,3.708333,0.0,0.977431,64449.0,0.035439,0.111733,0.005321,0.029145,-0.00567,0.014139,6.734177,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.029818,-0.000295,-0.000582,-0.018654,-3.4e-05,-0.041677,-0.0136,-0.001948,0.042098,-0.00761,-0.003123,-0.015213,-0.006482,0.028541,5.2e-05,-0.014069,-0.000391,-0.000311,4.083333,0.03278,0.192251,0.462524
3,3.366483,88.309998,0.053122,0.053731,3.083333,0.0,0.969516,64952.0,0.046758,0.155708,0.007155,0.040627,-0.007277,0.021381,6.730919,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.04157,-0.000409,-0.000732,-0.016325,-4.6e-05,-0.057711,-0.018378,-0.002692,0.057967,-0.010532,-0.004275,-0.020125,-0.009043,0.045508,3.6e-05,-0.019414,-0.000718,-0.000571,4.791667,0.033433,0.187001,0.414553
4,3.979039,111.540001,0.06307,0.069414,2.958333,0.0,0.962661,64852.0,0.060017,0.203192,0.009226,0.053068,-0.009075,0.02538,6.731211,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.053089,-0.000523,-0.001131,-0.015777,-6.3e-05,-0.072503,-0.023153,-0.003426,0.076993,-0.013113,-0.005158,-0.024989,-0.012403,0.052359,5.6e-05,-0.024406,-0.001177,-0.000785,4.5,0.035333,0.180224,0.394258
5,5.147238,134.220001,0.081279,0.085613,2.958333,0.0,0.953091,63727.0,0.072897,0.246812,0.010811,0.062615,-0.0108,0.032485,6.741005,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.064048,-0.000625,-0.001354,-0.016878,-7.4e-05,-0.08651,-0.027763,-0.004183,0.091987,-0.015769,-0.006393,-0.031622,-0.014663,0.065021,5e-05,-0.029166,-0.001909,-0.001514,4.416667,0.032829,0.176091,0.418388
6,6.552979,156.100006,0.090491,0.101375,2.666667,0.0,0.943559,63684.0,0.080189,0.289629,0.013142,0.076818,-0.012685,0.042582,6.74723,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.075535,-0.000743,-0.001549,-0.014132,-8.9e-05,-0.100755,-0.032613,-0.0049,0.108381,-0.01818,-0.007373,-0.036241,-0.018175,0.091603,6e-05,-0.033963,-0.003275,-0.002032,5.0,0.034989,0.183517,0.374473
7,7.15568,180.0,0.106774,0.11717,2.083333,0.0,0.935395,62773.0,0.10232,0.333998,0.014616,0.087482,-0.014342,0.039893,6.762371,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.086861,-0.000854,-0.001937,-0.013818,-0.000103,-0.11427,-0.037183,-0.005723,0.126326,-0.020489,-0.008601,-0.041836,-0.02105,0.081773,8.7e-05,-0.038535,-0.003293,-0.002149,4.208333,0.031513,0.164763,0.35538
8,7.894138,197.740005,0.125455,0.135975,2.666667,0.0,0.925351,60403.0,0.104455,0.38457,0.016186,0.097571,-0.015976,0.057786,6.74883,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.099332,-0.000981,-0.00238,-0.015281,-0.000115,-0.130007,-0.043129,-0.006589,0.141913,-0.023877,-0.009753,-0.049107,-0.022936,0.12303,6.8e-05,-0.043833,-0.004187,-0.003226,4.166667,0.031745,0.178352,0.367865
9,9.829902,226.190002,0.146473,0.155114,2.041667,0.041667,0.91686,50715.0,0.118552,0.427895,0.019035,0.109825,-0.017797,0.061124,6.784402,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.111327,-0.001081,-0.002653,-0.012746,-0.000128,-0.143803,-0.04689,-0.007175,0.160775,-0.026402,-0.010908,-0.053551,-0.026212,0.133159,8.9e-05,-0.048528,-0.006358,-0.004611,4.833333,0.029369,0.164435,0.340783
10,10.399578,235.300003,0.150853,0.154777,1.625,0.0,0.910169,38558.0,0.124944,0.447104,0.020781,0.118809,-0.019314,0.065766,6.817628,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.116118,-0.001132,-0.002831,-0.011851,-0.00014,-0.148009,-0.049132,-0.007541,0.172911,-0.027049,-0.011322,-0.055148,-0.028521,0.130615,0.000106,-0.050028,-0.006329,-0.004784,4.166667,0.029326,0.168449,0.379672
11,11.16312,269.399994,0.171669,0.184844,1.25,0.0,0.903137,42531.0,0.150641,0.52011,0.022063,0.136621,-0.021926,0.064537,6.83304,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.133672,-0.0013,-0.003081,-0.008409,-0.000161,-0.168634,-0.055562,-0.008585,0.198227,-0.03113,-0.013116,-0.064783,-0.032587,0.135457,0.000136,-0.056953,-0.009304,-0.009901,4.791667,0.029672,0.16537,0.292226
12,12.21104,291.380005,0.187211,0.200237,1.166667,0.0,0.894238,44313.0,0.163735,0.552722,0.021522,0.134305,-0.021243,0.057894,6.863912,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.143543,-0.001403,-0.003156,-0.007193,-0.00016,-0.179298,-0.059443,-0.009244,0.199188,-0.032781,-0.013765,-0.067976,-0.032466,0.139887,0.00011,-0.060645,-0.005789,-0.00645,4.791667,0.027473,0.149298,0.279853
13,12.309552,313.470001,0.17932,0.212737,1.208333,0.0,0.888193,66732.0,0.178652,0.593487,0.024677,0.15763,-0.024482,0.069775,6.887064,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.155862,-0.001551,-0.003932,-0.009675,-0.000189,-0.19249,-0.064675,-0.009956,0.225866,-0.035565,-0.014697,-0.073889,-0.03877,0.146642,0.000147,-0.0651,-0.010138,-0.009309,3.5,0.03236,0.142795,0.282671
14,14.052402,333.179993,0.215775,0.231557,0.782609,0.0,0.880977,69215.0,0.177851,0.645956,0.027529,0.165787,-0.026605,0.090049,6.894311,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.167255,-0.001614,-0.004067,-0.008203,-0.000194,-0.204636,-0.068914,-0.010763,0.244304,-0.038284,-0.015663,-0.081315,-0.040379,0.186979,0.000156,-0.069293,-0.007694,-0.012025,3.130435,0.026969,0.171361,0.280239
15,15.416301,364.609985,0.240063,0.242516,0.681818,0.0,0.875929,66728.0,0.198149,0.693625,0.027494,0.165193,-0.026754,0.07869,6.95189,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.181527,-0.001771,-0.004523,-0.006429,-0.000202,-0.219189,-0.07497,-0.011655,0.249528,-0.040437,-0.016924,-0.087142,-0.04196,0.202538,0.000168,-0.074322,-0.014234,-0.011901,4.0,0.026254,0.182395,0.226847
16,16.956573,385.570007,0.25267,0.277581,0.583333,0.0,0.868646,68536.0,0.211261,0.740283,0.0306,0.174701,-0.028844,0.089407,6.955109,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.194381,-0.001859,-0.004509,-0.005141,-0.000209,-0.232222,-0.07828,-0.012433,0.268303,-0.043118,-0.018384,-0.093645,-0.043557,0.216707,0.000154,-0.078763,-0.017167,-0.015569,3.916667,0.029345,0.167484,0.218871
17,18.365786,405.309998,0.266062,0.282575,0.458333,0.0,0.862547,66992.0,0.217152,0.801791,0.031428,0.190977,-0.031007,0.100624,6.977413,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.202593,-0.001955,-0.004907,-0.004075,-0.000229,-0.239777,-0.082628,-0.012787,0.286584,-0.0467,-0.01957,-0.098384,-0.047067,0.232863,0.00015,-0.081414,-0.016231,-0.013422,4.375,0.028865,0.166554,0.207791
18,19.228184,432.220001,0.281518,0.304181,0.958333,0.0,0.857254,67548.0,0.230692,0.835557,0.032677,0.214099,-0.034216,0.117657,6.992895,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.214781,-0.002082,-0.004964,-0.008731,-0.000262,-0.250037,-0.086737,-0.013569,0.315075,-0.048111,-0.020082,-0.102816,-0.053515,0.242839,0.000183,-0.084979,-0.019062,-0.019166,3.583333,0.02863,0.208172,0.255241
19,20.137564,451.339996,0.284936,0.319717,0.73913,0.0,0.852539,69942.0,0.233706,0.861141,0.034561,0.210322,-0.034842,0.116814,6.997751,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.224762,-0.002161,-0.005275,-0.006389,-0.000254,-0.261487,-0.090115,-0.013989,0.318443,-0.049664,-0.021134,-0.106994,-0.052057,0.270224,0.00016,-0.088909,-0.013324,-0.013906,3.826087,0.02728,0.169763,0.245642
20,21.355335,464.709991,0.315742,0.329351,1.5,0.0,0.848846,67722.0,0.256186,0.895996,0.036409,0.2312,-0.038026,0.123216,7.029899,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.230859,-0.002213,-0.005269,-0.009319,-0.000277,-0.263869,-0.092641,-0.0141,0.336029,-0.052099,-0.021837,-0.112453,-0.056849,0.244338,0.000218,-0.089825,-0.021467,-0.025828,4.666667,0.026301,0.216649,0.249549
21,21.54793,486.589996,0.314217,0.343885,1.681818,0.0,0.846019,71283.0,0.264867,0.940816,0.039245,0.236206,-0.04073,0.127393,7.096301,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.242359,-0.002331,-0.005093,-0.01043,-0.000284,-0.274958,-0.098259,-0.014888,0.349044,-0.055072,-0.023266,-0.120855,-0.058648,0.267264,0.000257,-0.093634,-0.027232,-0.033633,4.227273,0.028842,0.231149,0.269423
22,23.567331,514.590027,0.334666,0.357135,1.5,0.0,0.842407,68791.0,0.267674,1.000856,0.038301,0.24104,-0.040248,0.135288,7.073301,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.254215,-0.002436,-0.006262,-0.010192,-0.000295,-0.285969,-0.100908,-0.015742,0.361775,-0.056195,-0.023815,-0.125912,-0.060523,0.292777,0.000229,-0.097516,-0.020156,-0.02891,4.916667,0.028677,0.249772,0.259754
23,25.557621,553.099976,0.374385,0.375116,1.25,0.0,0.837792,68295.0,0.285368,1.042587,0.043279,0.257834,-0.044024,0.142886,7.09084,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.266754,-0.002537,-0.0063,-0.008008,-0.000309,-0.297314,-0.107143,-0.016334,0.384168,-0.059776,-0.025861,-0.130985,-0.06336,0.306327,0.00027,-0.101422,-0.03358,-0.03393,4.916667,0.024577,0.244642,0.21703
24,26.940529,550.929993,0.384686,0.39939,0.956522,0.0,0.834686,68710.0,0.288922,1.089769,0.044794,0.276996,-0.045675,0.164522,7.099466,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.276578,-0.002624,-0.006609,-0.007619,-0.000334,-0.306186,-0.108604,-0.016915,0.408958,-0.060575,-0.02619,-0.130955,-0.068893,0.33124,0.000249,-0.104536,-0.02726,-0.03442,4.043478,0.024077,0.220198,0.22597
25,27.471338,585.719971,0.434028,0.41354,0.916667,0.0,0.830803,68136.0,0.302939,1.142208,0.044067,0.281167,-0.047155,0.157397,7.083491,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.293674,-0.002791,-0.006259,-0.006926,-0.00034,-0.321606,-0.114946,-0.017697,0.417805,-0.065522,-0.027263,-0.144466,-0.069016,0.357116,0.000286,-0.109902,-0.028203,-0.030528,4.041667,0.024395,0.185531,0.217996
26,28.330486,603.22998,0.416678,0.440076,1.043478,0.0,0.827684,69899.0,0.311612,1.169482,0.042231,0.273595,-0.046064,0.15616,7.10522,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.298788,-0.002841,-0.007242,-0.007461,-0.000343,-0.326101,-0.116887,-0.018272,0.421171,-0.064393,-0.028208,-0.145297,-0.069795,0.360488,0.000285,-0.111432,-0.02884,-0.024782,4.434783,0.022421,0.194128,0.206349
27,29.082499,623.799988,0.423817,0.450654,0.833333,0.0,0.824057,68587.0,0.333239,1.225775,0.049032,0.307915,-0.050801,0.1689,7.141964,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.313783,-0.002972,-0.007528,-0.00575,-0.000372,-0.339376,-0.122682,-0.019324,0.456235,-0.067462,-0.029365,-0.152229,-0.076097,0.354374,0.000246,-0.116192,-0.044617,-0.037634,4.375,0.029702,0.169078,0.209183
28,30.136524,644.219971,0.461234,0.470108,0.833333,0.0,0.819712,69258.0,0.328433,1.241808,0.050948,0.309987,-0.052423,0.175621,7.144904,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.323904,-0.003074,-0.007415,-0.007757,-0.000372,-0.346912,-0.125121,-0.019303,0.460456,-0.070264,-0.029395,-0.15435,-0.077631,0.403737,0.000316,-0.118784,-0.044047,-0.045638,3.75,0.02524,0.178634,0.205447
29,32.138161,661.130005,0.4458,0.47353,0.75,0.0,0.815927,65936.0,0.322886,1.268945,0.048811,0.316551,-0.0519,0.19946,7.184911,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.330106,-0.003147,-0.009149,-0.00528,-0.000385,-0.349802,-0.128317,-0.020209,0.468957,-0.071842,-0.03076,-0.158692,-0.077833,0.447796,0.000275,-0.119972,-0.040033,-0.037111,4.208333,0.024268,0.192365,0.224169
30,32.712242,668.179993,0.488164,0.488671,1.173913,0.0,0.811109,68625.0,0.34265,1.316628,0.056954,0.3127,-0.056922,0.188979,7.198831,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.331971,-0.003084,-0.007228,-0.008912,-0.000373,-0.349812,-0.131856,-0.019559,0.476234,-0.07318,-0.032615,-0.163973,-0.076215,0.407238,0.000283,-0.120095,-0.033921,-0.046097,4.26087,0.02313,0.195636,0.23811
31,37.085732,705.48999,0.519153,0.525691,1.041667,0.0,0.806626,68690.0,0.355854,1.411521,0.05543,0.341607,-0.059956,0.221751,7.228839,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.359213,-0.003337,-0.007842,-0.006824,-0.00041,-0.377393,-0.13844,-0.021415,0.51618,-0.075664,-0.035012,-0.176188,-0.083437,0.485094,0.000346,-0.129444,-0.026687,-0.035918,3.916667,0.024404,0.20063,0.247473
32,36.675373,727.599976,0.504636,0.535543,1.130435,0.0,0.803365,69181.0,0.356285,1.406775,0.058645,0.3516,-0.060472,0.231829,7.241028,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.360295,-0.003382,-0.008054,-0.00868,-0.000413,-0.375355,-0.140457,-0.021372,0.517133,-0.079342,-0.033982,-0.175456,-0.085175,0.489602,0.000322,-0.129036,-0.056628,-0.046834,4.26087,0.023489,0.209195,0.22825
33,37.167004,725.650024,0.507681,0.530095,1.086957,0.0,0.799114,70643.0,0.351686,1.411679,0.053293,0.335406,-0.057976,0.230569,7.263691,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.35995,-0.003405,-0.008862,-0.011151,-0.000416,-0.36994,-0.139683,-0.021551,0.509301,-0.078824,-0.034097,-0.177738,-0.08387,0.502499,0.000299,-0.127444,-0.035255,-0.051064,3.521739,0.02429,0.22051,0.266196
34,39.194916,763.900024,0.562891,0.569566,0.958333,0.0,0.795187,69017.0,0.375647,1.521683,0.05767,0.34996,-0.059228,0.249096,7.271603,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.388651,-0.003651,-0.008643,-0.006199,-0.000407,-0.399029,-0.151929,-0.023124,0.520656,-0.084986,-0.036647,-0.188963,-0.08406,0.563142,0.000263,-0.137526,-0.030819,-0.065564,4.583333,0.021983,0.190417,0.206437
35,39.665485,778.289978,0.574187,0.57428,0.541667,0.0,0.790757,66741.0,0.400932,1.57713,0.060933,0.381074,-0.064811,0.252938,7.299825,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.403343,-0.00376,-0.010207,-0.004075,-0.000457,-0.411698,-0.154791,-0.023823,0.57517,-0.087394,-0.038327,-0.193912,-0.093248,0.553964,0.000317,-0.141873,-0.057914,-0.056127,3.375,0.025639,0.169719,0.162218
36,41.839371,807.650024,0.613393,0.594528,0.666667,0.0,0.786665,69171.0,0.392812,1.659286,0.061991,0.398941,-0.066864,0.271331,7.299041,-0.0002,-0.1,-0.001,-0.01,-0.02,-0.2,0.414793,-0.003915,-0.010668,-0.004895,-0.00048,-0.422715,-0.159025,-0.024733,0.585267,-0.088851,-0.038741,-0.199369,-0.09816,0.597548,0.000385,-0.145771,-0.042599,-0.053704,4.125,0.023031,0.18135,0.190642
