iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.749703,16.15,0.00926,0.00905,0.625,0.0,0.976727,44695.0,0.007232,0.021171,0.000565,0.005566,-0.001131,0.002553,7.218637,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006197,-6e-05,-3.6e-05,-0.004231,-0.00403,-0.041295,-0.002774,-0.00041,0.009344,-0.004935,-0.00118,-0.0036,-0.001532,0.007628,0.000642,-0.01436,-1.9e-05,-1e-05,5.083333,0.027455,0.114537,0.246036
1,-2.248215,44.23,0.025282,0.02274,5.208333,0.0,0.949741,67627.0,0.022208,0.067506,0.003601,0.018374,-0.003787,0.009315,6.755458,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.017991,-0.000179,-0.000262,-0.018899,-0.010601,-0.124765,-0.00808,-0.001049,0.02605,-0.014893,-0.003735,-0.008909,-0.004037,0.018138,0.001618,-0.04227,-0.000132,-0.000114,5.375,0.03136,0.167079,0.474136
2,-3.157517,66.529999,0.040191,0.039054,4.458333,0.0,0.92269,68115.0,0.03417,0.111255,0.005196,0.029054,-0.005455,0.01531,6.77138,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.029605,-0.000293,-0.000434,-0.018544,-0.017031,-0.199251,-0.013029,-0.001849,0.041991,-0.022772,-0.0059,-0.015015,-0.006821,0.030622,0.002751,-0.06747,-0.000332,-0.000262,5.125,0.031145,0.175441,0.444479
3,-3.61147,85.910004,0.054606,0.050486,4.791667,0.0,0.894265,68107.0,0.047614,0.158191,0.007294,0.038796,-0.007116,0.018822,6.734975,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.04052,-0.000399,-0.000665,-0.02203,-0.022371,-0.263174,-0.017657,-0.002485,0.056136,-0.031629,-0.007916,-0.019461,-0.009049,0.041229,0.003811,-0.0891,-0.000699,-0.00054,3.875,0.030213,0.18812,0.540659
4,-4.508569,110.580002,0.062328,0.063451,4.916667,0.0,0.874405,66405.0,0.058086,0.197682,0.009545,0.050182,-0.008947,0.027493,6.710594,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.051105,-0.000498,-0.00085,-0.022702,-0.029315,-0.321909,-0.021816,-0.003166,0.073382,-0.037971,-0.009988,-0.024682,-0.011677,0.051477,0.004629,-0.108959,-0.001306,-0.000744,4.083333,0.033921,0.185385,0.515012
5,-4.797712,132.5,0.082084,0.079159,4.0,0.0,0.850975,65676.0,0.072773,0.238711,0.010423,0.057626,-0.009973,0.027769,6.681894,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.063337,-0.000618,-0.001191,-0.019338,-0.034243,-0.382949,-0.026411,-0.003927,0.086585,-0.0461,-0.011946,-0.030324,-0.014251,0.067059,0.0061,-0.130096,-0.001591,-0.000908,4.625,0.03203,0.20326,0.478057
6,-4.647992,155.300003,0.09566,0.099929,3.791667,0.0,0.830338,66542.0,0.083209,0.283471,0.0137,0.071145,-0.012368,0.037221,6.66069,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.0745,-0.000718,-0.001382,-0.020697,-0.041392,-0.432771,-0.030941,-0.004647,0.106841,-0.053589,-0.01459,-0.035436,-0.017255,0.077832,0.007109,-0.147337,-0.002082,-0.001655,3.791667,0.032495,0.187075,0.45605
7,-4.933051,178.550003,0.109554,0.106663,2.833333,0.0,0.807101,63245.0,0.096291,0.323228,0.014482,0.079319,-0.01337,0.038473,6.645906,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.084455,-0.000804,-0.001367,-0.017452,-0.046968,-0.470033,-0.033782,-0.00526,0.121197,-0.058871,-0.016076,-0.039454,-0.019451,0.085181,0.008704,-0.160452,-0.003097,-0.001752,4.458333,0.032523,0.200931,0.421099
8,-4.513901,198.110001,0.123419,0.12492,4.125,0.0,0.783754,58749.0,0.106146,0.35593,0.016382,0.08717,-0.014712,0.045015,6.646133,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.094938,-0.000904,-0.001591,-0.017814,-0.052505,-0.509914,-0.037444,-0.005799,0.135852,-0.064779,-0.017419,-0.043341,-0.022044,0.101697,0.009992,-0.174815,-0.003041,-0.002138,4.958333,0.03143,0.174229,0.429906
9,-5.034022,212.350006,0.12219,0.136349,3.916667,0.0,0.760041,45805.0,0.119661,0.397386,0.018253,0.094678,-0.016265,0.044662,6.62787,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.103637,-0.000977,-0.00177,-0.021268,-0.057217,-0.53538,-0.040379,-0.00621,0.148794,-0.070814,-0.019426,-0.04725,-0.024099,0.100607,0.010592,-0.184094,-0.004286,-0.003064,3.875,0.031323,0.203329,0.469782
