iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-4.25147,16.309999,0.009271,0.009048,0.666667,0.0,0.979205,41651.0,0.007131,0.021112,0.000575,0.005574,-0.001139,0.002708,7.222278,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.006196,-6e-05,-3.5e-05,-0.004347,-0.016122,-0.123869,-0.002794,-0.000411,0.009345,-0.013278,-0.002949,-0.003572,-0.001505,0.007826,0.000656,-0.04309,-2e-05,-1e-05,5.083333,0.027352,0.113529,0.247904
1,-11.846981,44.119999,0.024895,0.022865,4.75,0.0,0.957645,57058.0,0.022596,0.067027,0.003634,0.018413,-0.003819,0.00949,6.775222,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.017985,-0.000179,-0.00028,-0.017652,-0.043555,-0.376022,-0.00812,-0.001075,0.026291,-0.038871,-0.009256,-0.009165,-0.004216,0.018032,0.001635,-0.127375,-0.000158,-0.000134,5.375,0.031328,0.169252,0.453348
2,-17.30361,65.629997,0.041464,0.038122,4.916667,0.0,0.945711,66894.0,0.036041,0.112735,0.005663,0.029567,-0.005729,0.014232,6.79249,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.029693,-0.000293,-0.00042,-0.018731,-0.069001,-0.60756,-0.013092,-0.001816,0.04281,-0.060375,-0.014818,-0.014809,-0.006684,0.028882,0.002762,-0.205282,-0.000513,-0.000318,5.125,0.030955,0.171263,0.468791
3,-22.498453,88.919998,0.053943,0.050554,5.25,0.0,0.933705,64452.0,0.04727,0.156058,0.007844,0.039863,-0.007445,0.020227,6.769727,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.040328,-0.0004,-0.000669,-0.022978,-0.091894,-0.8056,-0.017853,-0.00248,0.056717,-0.084401,-0.019648,-0.019875,-0.009249,0.042734,0.003577,-0.272316,-0.000769,-0.0007,3.833333,0.03106,0.174151,0.539348
4,-27.026018,110.139999,0.065468,0.064046,5.291667,0.0,0.917222,59779.0,0.060641,0.201136,0.009109,0.051485,-0.009056,0.02444,6.750627,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.051792,-0.000511,-0.000934,-0.023227,-0.120599,-1.000424,-0.022327,-0.003224,0.073605,-0.102852,-0.025091,-0.025376,-0.012134,0.050006,0.004921,-0.338673,-0.001113,-0.000696,4.0,0.033515,0.189341,0.547524
5,-31.182243,134.770004,0.084339,0.079681,4.833333,0.0,0.900375,63856.0,0.072314,0.242654,0.010444,0.05657,-0.009917,0.026537,6.738313,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.063066,-0.000619,-0.001194,-0.02115,-0.134059,-1.175838,-0.027206,-0.003985,0.084386,-0.126621,-0.030742,-0.031099,-0.013669,0.066332,0.005917,-0.400033,-0.00162,-0.001072,4.625,0.029784,0.171187,0.473962
6,-34.394798,150.960007,0.091969,0.091865,4.75,0.0,0.886805,63515.0,0.081138,0.280607,0.012937,0.06848,-0.011927,0.034481,6.704504,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.07268,-0.000708,-0.001348,-0.021298,-0.157784,-1.323871,-0.030948,-0.004552,0.100464,-0.144516,-0.036297,-0.035364,-0.01625,0.073543,0.006971,-0.451206,-0.002801,-0.00156,3.916667,0.033122,0.181317,0.518467
7,-38.162369,172.949997,0.112465,0.110889,6.625,0.0,0.872494,64725.0,0.098101,0.32959,0.015122,0.082917,-0.014323,0.037039,6.718231,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.084348,-0.000817,-0.001609,-0.024913,-0.194557,-1.487131,-0.03501,-0.005279,0.121438,-0.164822,-0.040397,-0.040691,-0.020327,0.079601,0.007935,-0.508604,-0.003593,-0.002167,4.125,0.029148,0.180736,0.545824
8,-41.804401,198.509995,0.126293,0.120755,6.666667,0.0,0.858769,57973.0,0.102944,0.367224,0.01616,0.087203,-0.014806,0.044408,6.698228,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.094519,-0.000909,-0.00167,-0.023338,-0.202869,-1.628137,-0.039006,-0.005911,0.130416,-0.180975,-0.045539,-0.045741,-0.021141,0.107335,0.009217,-0.557125,-0.004267,-0.002672,4.541667,0.028687,0.185643,0.532938
9,-42.038975,202.880005,0.125125,0.124104,7.791667,0.0,0.845719,43596.0,0.110696,0.376932,0.017527,0.095106,-0.016023,0.046874,6.68415,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.097778,-0.000941,-0.001865,-0.02786,-0.223467,-1.621296,-0.03954,-0.00598,0.140554,-0.185371,-0.046512,-0.04611,-0.023799,0.098403,0.009656,-0.55805,-0.00513,-0.003893,3.5,0.030153,0.172416,0.582042
10,-44.674911,223.940002,0.146616,0.140522,9.041667,0.0,0.830401,37088.0,0.12344,0.419753,0.019113,0.100955,-0.017269,0.049313,6.673179,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.109257,-0.001046,-0.002167,-0.027927,-0.237294,-1.774044,-0.044134,-0.0067,0.153105,-0.207594,-0.051825,-0.051854,-0.025207,0.115961,0.010871,-0.61193,-0.004973,-0.003475,4.083333,0.028752,0.167602,0.601634
11,-43.642971,222.960007,0.157114,0.144166,11.25,0.0,0.815029,42938.0,0.130384,0.448545,0.021163,0.108528,-0.01877,0.051599,6.671272,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.114527,-0.001088,-0.002269,-0.030486,-0.249867,-1.802056,-0.045501,-0.006909,0.162877,-0.218524,-0.054145,-0.053971,-0.026899,0.117851,0.011123,-0.623939,-0.006463,-0.004811,3.25,0.027378,0.175306,0.636088
12,-39.185093,210.899994,0.143802,0.14071,14.083334,0.0,0.798552,68729.0,0.124347,0.43,0.019862,0.105159,-0.017841,0.049657,6.679435,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.110633,-0.001049,-0.002195,-0.032097,-0.244195,-1.675846,-0.043422,-0.006676,0.157067,-0.207469,-0.05172,-0.051941,-0.026349,0.11561,0.010812,-0.582372,-0.007499,-0.005321,3.333333,0.028489,0.169374,0.648103
13,-40.24213,228.039993,0.145681,0.147556,17.625,0.0,0.781044,67766.0,0.126367,0.445921,0.021267,0.107133,-0.018438,0.053906,6.671566,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.1152,-0.001084,-0.002297,-0.033818,-0.248601,-1.681723,-0.044836,-0.006903,0.161397,-0.215113,-0.053661,-0.053698,-0.02746,0.126951,0.011368,-0.587725,-0.007601,-0.00504,3.083333,0.029068,0.16803,0.679324
14,-40.414494,232.860001,0.144695,0.141033,27.416668,0.0,0.765662,69228.0,0.124157,0.425199,0.021367,0.107351,-0.018206,0.051985,6.658528,-0.0002,-0.1,-0.005,-0.15,-0.16,-0.2,0.110972,-0.001035,-0.002295,-0.036135,-0.242875,-1.563419,-0.042254,-0.00654,0.159074,-0.205464,-0.051691,-0.050565,-0.026994,0.115288,0.011142,-0.54803,-0.008231,-0.00624,2.833333,0.028853,0.164161,0.702312
