iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.70556,15.35,0.008237,0.008945,0.25,0.041667,0.977206,45514.0,0.007309,0.021751,0.000554,0.006193,-0.001152,0.003043,7.127306,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006225,-6e-05,-6.8e-05,-0.002025,-0.004252,-0.042372,-0.002802,-0.000405,0.009811,-0.004997,-0.001301,-0.00318,-0.001669,0.006325,0.000654,-0.014672,-1.8e-05,-1e-06,5.0,0.033308,0.15349,0.20952
1,-2.299714,43.290001,0.023995,0.022802,3.625,0.0,0.949482,67928.0,0.021957,0.068482,0.003059,0.017351,-0.003464,0.00859,6.707058,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.018024,-0.000177,-0.000292,-0.015569,-0.010163,-0.125605,-0.008065,-0.001109,0.024988,-0.014419,-0.003784,-0.008881,-0.003862,0.017707,0.001667,-0.042594,-0.000134,-0.000143,5.791667,0.034246,0.188291,0.411338
2,-2.94629,64.400002,0.039166,0.038009,3.625,0.0,0.922134,67292.0,0.034298,0.112114,0.005466,0.02898,-0.005582,0.015003,6.700241,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.029448,-0.000287,-0.000523,-0.017398,-0.016688,-0.198226,-0.013027,-0.001889,0.042123,-0.022421,-0.006034,-0.014606,-0.006299,0.028886,0.002772,-0.067007,-0.000322,-0.0003,4.125,0.029824,0.190199,0.436853
3,-3.520532,87.279999,0.05303,0.053209,2.75,0.0,0.894353,67243.0,0.046643,0.157526,0.006848,0.039506,-0.006872,0.019592,6.66592,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.041349,-0.000401,-0.00077,-0.015569,-0.022885,-0.265826,-0.017903,-0.002713,0.057091,-0.030093,-0.008375,-0.020431,-0.008839,0.044437,0.004063,-0.090091,-0.000687,-0.000572,4.958333,0.033344,0.182591,0.411873
4,-4.079898,112.419998,0.06745,0.07062,2.375,0.0,0.872847,66024.0,0.059438,0.200873,0.009076,0.05254,-0.008959,0.02503,6.650912,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.053652,-0.000518,-0.001101,-0.013722,-0.031432,-0.334282,-0.02261,-0.003441,0.078304,-0.03785,-0.010574,-0.024531,-0.012593,0.05357,0.005522,-0.113277,-0.001222,-0.000834,4.375,0.03496,0.181272,0.386528
5,-4.530496,133.839996,0.083898,0.085311,2.5,0.0,0.84874,64791.0,0.071768,0.251536,0.010955,0.05986,-0.010282,0.030646,6.59612,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.064374,-0.000613,-0.001382,-0.014452,-0.035526,-0.385884,-0.02663,-0.004115,0.090729,-0.045404,-0.012421,-0.03126,-0.014213,0.069889,0.00609,-0.131159,-0.001763,-0.001102,4.625,0.030468,0.183061,0.398761
6,-4.450099,157.949997,0.093467,0.100786,2.291667,0.0,0.829994,64985.0,0.084364,0.295272,0.012753,0.074841,-0.012101,0.040239,6.616656,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.076752,-0.000736,-0.001572,-0.013194,-0.043986,-0.443232,-0.031477,-0.004865,0.110433,-0.053521,-0.014878,-0.035789,-0.018005,0.090485,0.007577,-0.151432,-0.002833,-0.001368,4.875,0.032918,0.184456,0.367085
7,-4.634311,175.539993,0.106238,0.115478,1.833333,0.0,0.814048,64135.0,0.100652,0.33362,0.01537,0.08696,-0.014067,0.040037,6.586136,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.087206,-0.000834,-0.001696,-0.013587,-0.051746,-0.48363,-0.035126,-0.005577,0.129554,-0.058571,-0.016839,-0.040281,-0.021291,0.082582,0.009064,-0.165119,-0.004355,-0.002144,4.125,0.032262,0.208807,0.337687
8,-5.110804,203.800003,0.125119,0.134572,3.0,0.0,0.789302,59263.0,0.111477,0.375858,0.016045,0.090167,-0.015118,0.045171,6.588687,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.098179,-0.000927,-0.001986,-0.016412,-0.054109,-0.52695,-0.039138,-0.006224,0.139448,-0.066065,-0.018836,-0.046161,-0.022184,0.102996,0.010055,-0.180815,-0.003256,-0.002609,4.291667,0.031176,0.197304,0.384581
9,-4.002264,220.929993,0.137547,0.144563,2.333333,0.0,0.765641,47652.0,0.116932,0.403768,0.019661,0.10208,-0.016975,0.054708,6.571933,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.107956,-0.001002,-0.001949,-0.01385,-0.06093,-0.557063,-0.042159,-0.006792,0.159138,-0.072199,-0.020598,-0.048546,-0.025537,0.120148,0.011494,-0.191522,-0.004792,-0.002755,4.791667,0.030704,0.176013,0.340928
