iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.834801,13.06,0.008389,0.003652,0.375,38.333336,0.977498,36207.0,0.006775,0.021899,0.000531,0.005341,-0.001126,0.003233,7.218238,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006072,-5.9e-05,-2.4e-05,-0.008129,-0.003818,-0.042217,-0.002769,-0.000386,0.008793,-0.004552,-0.001377,-0.00332,-0.001454,0.008226,0.000683,-0.014562,-1.5e-05,-4e-06,3.5,0.048648,0.123644,0.225393
1,-2.522646,39.950001,0.022979,0.005649,5.5,0.0,0.952739,65657.0,0.019665,0.060118,0.003418,0.016662,-0.003471,0.00825,6.74864,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016403,-0.000163,-0.000237,-0.02158,-0.009583,-0.114169,-0.007327,-0.000953,0.023637,-0.013489,-0.003327,-0.007857,-0.003706,0.017069,0.001544,-0.038678,-0.000118,-0.000135,4.583333,0.032007,0.18039,0.526756
2,-3.405554,59.130001,0.035849,0.009326,6.666667,0.0,0.930261,65853.0,0.031574,0.101258,0.005342,0.026788,-0.005205,0.012978,6.763065,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026603,-0.000265,-0.000357,-0.024635,-0.015573,-0.181859,-0.011667,-0.001581,0.037956,-0.020153,-0.005212,-0.012764,-0.006013,0.026306,0.002481,-0.061383,-0.000371,-0.00031,4.125,0.032168,0.176292,0.572232
3,-4.218418,80.510002,0.051962,0.013776,5.666667,0.0,0.907066,65271.0,0.044961,0.146461,0.00757,0.038276,-0.007197,0.018381,6.743088,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.038051,-0.000374,-0.000634,-0.024945,-0.02154,-0.250651,-0.016614,-0.002311,0.054922,-0.029107,-0.007636,-0.01807,-0.008512,0.037849,0.003677,-0.084642,-0.000712,-0.000544,3.416667,0.029895,0.182301,0.547958
4,-4.963374,99.160004,0.064343,0.018026,5.416667,0.0,0.880029,64600.0,0.055643,0.179796,0.00863,0.047551,-0.008544,0.022729,6.717773,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.046734,-0.000457,-0.00075,-0.021028,-0.027783,-0.296016,-0.020048,-0.002912,0.068852,-0.035082,-0.009197,-0.022887,-0.011238,0.043453,0.004332,-0.100365,-0.00113,-0.000703,4.833333,0.029668,0.169925,0.513349
5,-5.388793,119.480003,0.076943,0.020857,4.458333,0.0,0.852947,63841.0,0.063692,0.218868,0.009916,0.055329,-0.009612,0.027163,6.678059,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.057199,-0.00056,-0.001086,-0.021439,-0.03218,-0.347734,-0.024203,-0.003518,0.080803,-0.041935,-0.011055,-0.027223,-0.013187,0.058718,0.00553,-0.118232,-0.002255,-0.001178,3.75,0.028186,0.201097,0.504172
6,-6.175706,142.610001,0.088925,0.022349,4.958333,0.0,0.827261,64345.0,0.075283,0.250155,0.012115,0.062305,-0.010929,0.029868,6.663999,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.066302,-0.000639,-0.001239,-0.025326,-0.035579,-0.387762,-0.027423,-0.004026,0.092405,-0.04811,-0.012523,-0.031529,-0.014968,0.069531,0.006533,-0.131987,-0.002076,-0.001441,2.958333,0.031212,0.182545,0.553376
7,-5.761989,158.199997,0.100241,0.028963,3.958333,0.0,0.801609,62230.0,0.088751,0.29019,0.014028,0.078038,-0.013339,0.040524,6.645574,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.077175,-0.000743,-0.0015,-0.021968,-0.046246,-0.43736,-0.031468,-0.004682,0.115738,-0.053931,-0.014896,-0.035728,-0.018747,0.080414,0.007758,-0.149157,-0.002417,-0.002143,3.333333,0.030184,0.190081,0.508518
8,-6.66314,179.020004,0.10889,0.028452,4.875,0.0,0.777835,52576.0,0.09903,0.331184,0.015256,0.080503,-0.014012,0.038726,6.621906,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.087265,-0.000833,-0.001454,-0.024434,-0.049091,-0.477114,-0.034339,-0.005341,0.125762,-0.059602,-0.016063,-0.039742,-0.020285,0.089331,0.009075,-0.163417,-0.003701,-0.002298,3.083333,0.030587,0.204948,0.549903
9,-6.654943,202.309998,0.132762,0.034162,4.25,0.0,0.756112,42127.0,0.104824,0.371363,0.015567,0.081916,-0.013792,0.042815,6.585165,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.09948,-0.000946,-0.001782,-0.022587,-0.049839,-0.524978,-0.03856,-0.006005,0.133075,-0.067754,-0.018396,-0.044457,-0.021077,0.118752,0.010565,-0.179935,-0.003465,-0.002279,3.416667,0.028798,0.177217,0.532303
