iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.772466,14.2,0.008638,0.003197,0.25,38.166668,0.977532,39969.0,0.007746,0.020661,0.000509,0.005481,-0.001159,0.002398,7.119041,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006059,-6e-05,-5.5e-05,-0.008248,-0.004151,-0.041225,-0.002825,-0.000395,0.009094,-0.004874,-0.00131,-0.003426,-0.001595,0.006569,0.000652,-0.014335,-1.7e-05,-1.4e-05,4.958333,0.050848,0.152147,0.210401
1,-2.413236,40.490002,0.023053,0.006602,3.333333,0.0,0.951991,67063.0,0.020528,0.062743,0.003306,0.017566,-0.003519,0.011079,6.695965,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.017348,-0.00017,-0.000284,-0.016658,-0.01022,-0.120112,-0.007805,-0.001077,0.025474,-0.013788,-0.003625,-0.008375,-0.00385,0.018776,0.001695,-0.040722,-0.000113,-0.000161,4.5,0.03382,0.179623,0.43218
2,-3.097062,57.380001,0.034635,0.008886,4.375,0.0,0.928168,67543.0,0.030468,0.101631,0.00564,0.028048,-0.005564,0.015976,6.699838,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026846,-0.000263,-0.000566,-0.020473,-0.015772,-0.181137,-0.012127,-0.001724,0.039439,-0.020887,-0.005667,-0.012717,-0.006159,0.030317,0.002587,-0.061332,-0.000426,-0.000333,3.791667,0.033456,0.206318,0.478492
3,-4.466751,86.809998,0.051459,0.013124,2.958333,0.0,0.903318,67513.0,0.046157,0.15357,0.006997,0.039928,-0.007049,0.02057,6.681232,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.040019,-0.000391,-0.000732,-0.018686,-0.02398,-0.261853,-0.017324,-0.002595,0.057958,-0.029967,-0.00789,-0.019194,-0.00935,0.041609,0.003841,-0.088604,-0.00074,-0.000424,3.708333,0.031829,0.178721,0.459884
4,-4.478787,97.419998,0.062634,0.016154,3.916667,0.0,0.87763,66614.0,0.052003,0.18137,0.008041,0.045093,-0.008058,0.024023,6.664751,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.046848,-0.000454,-0.000983,-0.018881,-0.026882,-0.293027,-0.019933,-0.003003,0.066821,-0.033085,-0.009188,-0.022544,-0.010776,0.052078,0.004752,-0.099479,-0.001218,-0.000875,4.458333,0.028345,0.215453,0.473983
5,-5.211024,122.419998,0.075108,0.015738,3.666667,0.0,0.850057,65561.0,0.062917,0.214085,0.009837,0.057702,-0.009792,0.031485,6.631086,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.057574,-0.000556,-0.00117,-0.019082,-0.03426,-0.351087,-0.024173,-0.003777,0.084436,-0.040103,-0.011235,-0.027251,-0.013765,0.063927,0.006019,-0.11938,-0.001549,-0.001073,3.916667,0.02873,0.199635,0.454826
6,-5.918905,142.130005,0.083096,0.026301,3.666667,0.0,0.830657,62780.0,0.080307,0.271936,0.012068,0.068005,-0.011355,0.034588,6.609554,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.069912,-0.00067,-0.001274,-0.018779,-0.039139,-0.408796,-0.029521,-0.004566,0.100324,-0.049984,-0.013987,-0.033619,-0.015666,0.070545,0.006899,-0.139406,-0.002093,-0.001237,3.916667,0.033238,0.180784,0.463911
7,-6.343769,159.839996,0.097386,0.025155,2.958333,0.0,0.806126,64897.0,0.08592,0.296838,0.012202,0.068875,-0.011548,0.033389,6.61367,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.078548,-0.000752,-0.001566,-0.016189,-0.041564,-0.441633,-0.032095,-0.004962,0.10711,-0.053467,-0.014997,-0.035764,-0.016994,0.082919,0.008047,-0.150718,-0.002833,-0.001661,4.625,0.032375,0.184612,0.426025
8,-6.347399,183.520004,0.115155,0.026557,2.708333,0.0,0.78195,58442.0,0.101738,0.34995,0.014697,0.082709,-0.013481,0.039529,6.582431,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.091435,-0.000864,-0.001875,-0.015288,-0.04919,-0.493275,-0.03679,-0.005805,0.127949,-0.062173,-0.017755,-0.041998,-0.020105,0.09268,0.009177,-0.169044,-0.003325,-0.002002,4.333333,0.032298,0.211064,0.422172
9,-6.973561,211.009995,0.131847,0.036538,3.416667,0.0,0.75888,42290.0,0.117005,0.39457,0.018494,0.099696,-0.016526,0.048158,6.553362,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.103757,-0.000969,-0.002064,-0.018386,-0.057597,-0.54238,-0.04111,-0.00647,0.151155,-0.07212,-0.020232,-0.047362,-0.023795,0.102053,0.010215,-0.186258,-0.00516,-0.003262,4.25,0.029842,0.192211,0.453084
