iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.742036,14.49,0.008652,0.009094,0.5,36.625,0.976833,40032.0,0.007134,0.020326,0.000573,0.005769,-0.001257,0.003276,7.183952,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006016,-5.9e-05,-2.9e-05,-0.009402,-0.004397,-0.040727,-0.002792,-0.000418,0.009375,-0.004901,-0.001183,-0.00344,-0.001616,0.007001,0.000645,-0.014139,-1.3e-05,-5e-06,3.75,0.053345,0.134173,0.22264
1,-2.250845,41.349998,0.023247,0.020998,4.25,0.0,0.950006,66462.0,0.02084,0.063595,0.003817,0.017669,-0.003766,0.009271,6.742439,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.017366,-0.000171,-0.00026,-0.01905,-0.010358,-0.121179,-0.007655,-0.001017,0.025294,-0.013765,-0.003566,-0.007949,-0.003917,0.017407,0.001646,-0.040972,-0.000122,-0.000142,4.375,0.034086,0.167567,0.506148
2,-3.054219,60.009998,0.036083,0.034856,5.875,0.0,0.922155,66869.0,0.03323,0.105347,0.005611,0.028311,-0.005611,0.01406,6.771075,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.027143,-0.00027,-0.000402,-0.02317,-0.016791,-0.184687,-0.011969,-0.001705,0.040456,-0.020429,-0.00535,-0.013099,-0.006616,0.026265,0.002556,-0.062447,-0.000259,-0.000282,4.083333,0.032394,0.179913,0.55518
3,-3.542369,80.730003,0.050619,0.04552,5.125,0.041667,0.893477,66129.0,0.041841,0.13929,0.007631,0.036374,-0.007116,0.020271,6.722983,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036753,-0.000361,-0.000568,-0.024914,-0.020472,-0.242663,-0.015932,-0.002209,0.052221,-0.027519,-0.007141,-0.016931,-0.0086,0.039551,0.003505,-0.081929,-0.001116,-0.000604,3.291667,0.030085,0.185386,0.564284
4,-3.932813,98.739998,0.061405,0.063334,5.625,0.0,0.867813,64424.0,0.054324,0.182464,0.008814,0.044145,-0.008077,0.022582,6.723362,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.048257,-0.00047,-0.000769,-0.022831,-0.026434,-0.302125,-0.020727,-0.003009,0.066977,-0.035196,-0.009341,-0.022751,-0.010811,0.051148,0.004658,-0.102551,-0.00127,-0.000698,3.958333,0.0307,0.170468,0.536845
5,-4.174956,121.389999,0.073823,0.075064,5.625,0.0,0.840092,64261.0,0.064374,0.217469,0.010303,0.055148,-0.009839,0.030459,6.697948,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.057543,-0.000557,-0.000875,-0.024126,-0.032774,-0.346014,-0.023867,-0.003583,0.08266,-0.040972,-0.011127,-0.026411,-0.013966,0.061828,0.005789,-0.117667,-0.001659,-0.00118,3.791667,0.030822,0.173968,0.537295
6,-4.046893,146.860001,0.093134,0.091152,4.25,0.0,0.813801,65018.0,0.078323,0.265558,0.012926,0.067118,-0.01158,0.037822,6.673319,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.070171,-0.000671,-0.00104,-0.019058,-0.039641,-0.407255,-0.029,-0.004329,0.101545,-0.049304,-0.013403,-0.032504,-0.016636,0.078272,0.007098,-0.138694,-0.002383,-0.001375,4.458333,0.030844,0.172332,0.470596
7,-4.176844,154.589996,0.092293,0.105912,4.416667,0.0,0.788861,64949.0,0.084901,0.288638,0.013554,0.070167,-0.012272,0.038198,6.641073,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.076746,-0.000726,-0.001162,-0.022226,-0.042041,-0.427729,-0.030365,-0.004808,0.108767,-0.05289,-0.014335,-0.035251,-0.017767,0.084564,0.007964,-0.146236,-0.003083,-0.001676,3.583333,0.032795,0.163956,0.504617
8,-4.340626,185.289993,0.1138,0.11884,4.5,0.0,0.766823,56570.0,0.099909,0.340037,0.016132,0.081319,-0.014452,0.040377,6.638019,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.089218,-0.000845,-0.001357,-0.024405,-0.050655,-0.475353,-0.035144,-0.005564,0.129437,-0.060598,-0.016234,-0.040497,-0.021612,0.094436,0.009104,-0.162748,-0.004019,-0.002572,2.791667,0.030473,0.1846,0.546051
9,-4.546927,213.910004,0.125013,0.134702,4.375,0.0,0.745321,43841.0,0.112996,0.375359,0.017459,0.090619,-0.015487,0.04612,6.627294,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.100509,-0.000946,-0.001521,-0.021473,-0.054011,-0.51906,-0.039514,-0.006138,0.1426,-0.067298,-0.018511,-0.045244,-0.023196,0.108489,0.010696,-0.178204,-0.006626,-0.003939,3.75,0.033342,0.169714,0.480963
