iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.878368,16.809999,0.008383,0.008558,0.791667,35.541668,0.977499,37684.0,0.007321,0.022131,0.000533,0.005795,-0.00126,0.002616,7.203908,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006018,-5.9e-05,-2.9e-05,-0.01038,-0.004244,-0.03909,-0.002696,-0.000402,0.009201,-0.004977,-0.001223,-0.00345,-0.001641,0.006384,0.000554,-0.013683,-9e-06,-1.1e-05,3.958333,0.05194,0.157597,0.243561
1,-2.330283,39.060001,0.022943,0.01827,7.125,0.0,0.951184,66017.0,0.020124,0.06053,0.003817,0.01608,-0.003727,0.008952,6.757349,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.015926,-0.000157,-0.000172,-0.027215,-0.0087,-0.110738,-0.007266,-0.000889,0.022578,-0.014264,-0.003341,-0.007925,-0.003393,0.016519,0.001376,-0.037634,-9.5e-05,-0.000174,3.625,0.031436,0.199813,0.591812
2,-3.074608,61.610001,0.036849,0.03374,7.666667,0.0,0.924029,65955.0,0.031598,0.104615,0.005597,0.026201,-0.005374,0.014284,6.794595,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.027238,-0.000269,-0.000328,-0.025824,-0.014462,-0.183064,-0.012109,-0.001627,0.037345,-0.022258,-0.005365,-0.013117,-0.005808,0.029177,0.002448,-0.06202,-0.000371,-0.000417,4.125,0.031689,0.179119,0.572505
3,-3.405325,78.050003,0.049528,0.047446,6.083333,0.0,0.897963,65237.0,0.043426,0.140665,0.00719,0.037008,-0.006944,0.017424,6.746631,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036829,-0.000363,-0.000514,-0.021938,-0.021058,-0.237368,-0.016126,-0.002293,0.052973,-0.028067,-0.007161,-0.01826,-0.008666,0.035623,0.003524,-0.08073,-0.00069,-0.000439,4.666667,0.031999,0.168355,0.530291
4,-3.706549,100.720001,0.065318,0.061897,4.458333,0.0,0.869715,63584.0,0.054407,0.18835,0.008695,0.045401,-0.00827,0.024873,6.728589,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.0488,-0.000478,-0.000665,-0.01971,-0.026822,-0.301174,-0.020746,-0.003026,0.068672,-0.035852,-0.009279,-0.023603,-0.010967,0.053373,0.004618,-0.102371,-0.000992,-0.00082,4.416667,0.030621,0.198028,0.486474
5,-4.082867,119.400002,0.073552,0.072929,5.5,0.0,0.842088,62707.0,0.064077,0.220928,0.010973,0.056368,-0.010147,0.02793,6.704526,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.057489,-0.000559,-0.000744,-0.02402,-0.03237,-0.343102,-0.023913,-0.003488,0.082719,-0.042098,-0.011022,-0.026841,-0.013461,0.062142,0.005728,-0.116844,-0.001839,-0.000984,3.958333,0.031452,0.19682,0.5459
6,-4.463304,145.059998,0.092243,0.08923,5.5,0.0,0.816685,63260.0,0.076761,0.267463,0.012741,0.066341,-0.011849,0.035287,6.703592,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.07029,-0.000677,-0.000962,-0.021078,-0.039271,-0.403824,-0.028717,-0.004286,0.100852,-0.04985,-0.013137,-0.032769,-0.016218,0.076222,0.006975,-0.138043,-0.002018,-0.001414,4.708333,0.031157,0.202626,0.47062
7,-4.072953,154.850006,0.096466,0.099762,4.916667,0.0,0.79183,62528.0,0.08352,0.284908,0.012302,0.067881,-0.011827,0.034897,6.655126,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.075211,-0.000713,-0.000998,-0.021715,-0.039726,-0.413028,-0.030164,-0.004556,0.10534,-0.052907,-0.014351,-0.035884,-0.016245,0.083863,0.007781,-0.141598,-0.003614,-0.00233,4.125,0.030984,0.188197,0.502069
8,-3.789602,173.330002,0.10484,0.104173,4.75,0.0,0.768861,57604.0,0.090687,0.311325,0.015907,0.081034,-0.014114,0.044299,6.639961,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.082783,-0.000784,-0.001146,-0.021491,-0.047942,-0.437319,-0.032648,-0.004986,0.123905,-0.056345,-0.015265,-0.038458,-0.020358,0.092946,0.008706,-0.150302,-0.002983,-0.002115,4.125,0.031972,0.20961,0.502927
9,-3.638579,200.160004,0.119157,0.123899,5.416667,0.0,0.747391,42038.0,0.103727,0.360857,0.017979,0.088172,-0.015389,0.048237,6.634626,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.094649,-0.000892,-0.001393,-0.02325,-0.051102,-0.481953,-0.036844,-0.005592,0.137164,-0.0636,-0.017462,-0.043109,-0.021766,0.104471,0.009699,-0.165994,-0.003087,-0.002983,3.833333,0.031267,0.192839,0.519106
10,-4.135585,213.289993,0.13187,0.135298,5.708333,0.0,0.731945,37662.0,0.112954,0.390684,0.018262,0.086918,-0.015805,0.043695,6.617401,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.10337,-0.000971,-0.001382,-0.02677,-0.052816,-0.500732,-0.03953,-0.006092,0.143745,-0.069573,-0.018534,-0.046932,-0.022668,0.114636,0.010688,-0.173228,-0.0057,-0.003865,3.083333,0.03084,0.192499,0.577621
11,-3.399631,221.779999,0.141174,0.147522,4.875,0.0,0.718853,44035.0,0.134143,0.443026,0.022183,0.107381,-0.018963,0.046791,6.634981,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.113928,-0.001048,-0.001539,-0.024285,-0.06424,-0.53415,-0.042208,-0.006664,0.172196,-0.07475,-0.020417,-0.051155,-0.027456,0.099678,0.011586,-0.185105,-0.008097,-0.004457,3.25,0.032003,0.194429,0.507705
12,-3.279484,237.080002,0.142591,0.150006,5.625,0.0,0.706477,66052.0,0.131979,0.435618,0.022231,0.106978,-0.018422,0.051111,6.601484,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.115815,-0.001063,-0.001495,-0.02628,-0.063559,-0.526123,-0.042396,-0.006685,0.171844,-0.074057,-0.020643,-0.050259,-0.027452,0.11149,0.012556,-0.182949,-0.006573,-0.005741,3.0,0.031753,0.185082,0.56512
13,-2.689362,259.640015,0.166217,0.166793,4.208333,0.0,0.695603,67110.0,0.144834,0.474909,0.02359,0.118551,-0.020042,0.058112,6.601704,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.1281,-0.001187,-0.001966,-0.023546,-0.071086,-0.56154,-0.046564,-0.007413,0.190111,-0.081334,-0.022435,-0.05597,-0.0306,0.130887,0.013941,-0.195803,-0.009955,-0.007686,2.875,0.03049,0.191936,0.483795
14,-1.369521,274.630005,0.169695,0.175927,4.708333,0.0,0.686048,68153.0,0.140852,0.492598,0.024532,0.115871,-0.019922,0.064174,6.589662,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.131518,-0.001203,-0.00194,-0.025623,-0.068008,-0.553807,-0.046692,-0.007452,0.188658,-0.081897,-0.022506,-0.056004,-0.030076,0.158207,0.014403,-0.193707,-0.008838,-0.00577,2.666667,0.032399,0.182815,0.550737
15,-1.611396,313.609985,0.184938,0.189538,4.416667,0.0,0.676567,68842.0,0.15925,0.522889,0.027768,0.128112,-0.02191,0.065985,6.575653,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.140478,-0.001268,-0.002032,-0.022328,-0.076238,-0.576412,-0.048789,-0.007805,0.211587,-0.08541,-0.024262,-0.059223,-0.033996,0.140962,0.015655,-0.20162,-0.010906,-0.007293,3.5,0.030326,0.192585,0.460021
16,-0.780141,291.609985,0.211386,0.206943,5.375,0.0,0.667913,68708.0,0.163201,0.577763,0.028367,0.132794,-0.022584,0.071596,6.565078,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.153092,-0.001373,-0.002071,-0.024928,-0.077495,-0.615391,-0.052417,-0.008508,0.221111,-0.092162,-0.026417,-0.063191,-0.033987,0.176644,0.017352,-0.215514,-0.009177,-0.009841,3.0,0.028481,0.195987,0.502282
17,0.303128,329.149994,0.199069,0.208987,4.208333,0.0,0.660327,68346.0,0.159161,0.570694,0.028584,0.139276,-0.023503,0.078819,6.565641,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.155113,-0.001395,-0.00216,-0.023561,-0.084749,-0.597732,-0.051968,-0.008601,0.232506,-0.09275,-0.02615,-0.0645,-0.037081,0.184362,0.018349,-0.210358,-0.012935,-0.010058,2.958333,0.030594,0.204815,0.453908
18,0.018466,321.670013,0.220529,0.214242,4.291667,0.0,0.652984,66952.0,0.176268,0.591269,0.031415,0.141133,-0.024685,0.070395,6.578245,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.161425,-0.001428,-0.00219,-0.023032,-0.086656,-0.607386,-0.053815,-0.008922,0.2421,-0.094532,-0.02741,-0.067323,-0.03822,0.168123,0.020098,-0.214003,-0.013652,-0.010613,3.25,0.027564,0.182024,0.4637
19,0.516075,368.350006,0.240576,0.248537,3.958333,0.0,0.644317,68076.0,0.195574,0.682162,0.030909,0.147981,-0.024625,0.074001,6.578902,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.185485,-0.001644,-0.0025,-0.022492,-0.090795,-0.680811,-0.060671,-0.010156,0.259636,-0.105551,-0.030356,-0.076089,-0.040186,0.209373,0.022213,-0.24051,-0.015865,-0.011143,2.875,0.02974,0.182529,0.448519
