iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.940283,17.83,0.008761,0.008756,1.083333,34.791668,0.977227,40563.0,0.006917,0.020334,0.000526,0.005261,-0.001188,0.002674,7.244031,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005924,-5.8e-05,-5.6e-05,-0.01028,-0.003843,-0.038895,-0.002651,-0.000369,0.00876,-0.005279,-0.00115,-0.003332,-0.001471,0.007172,0.000563,-0.013673,-1.3e-05,-5e-06,4.875,0.046403,0.148335,0.254784
1,-2.101928,37.439999,0.023726,0.018679,9.916667,0.0,0.95077,66690.0,0.019835,0.059678,0.003892,0.016608,-0.003776,0.008576,6.791406,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016033,-0.000161,-0.000223,-0.028018,-0.009135,-0.1128,-0.007239,-0.000906,0.02311,-0.013717,-0.003114,-0.008048,-0.003519,0.016193,0.00155,-0.038357,-0.000129,-0.000141,4.041667,0.030145,0.183765,0.620281
2,-2.897799,58.34,0.03545,0.031113,11.958334,0.0,0.923694,67049.0,0.030691,0.097151,0.005777,0.02607,-0.005447,0.014626,6.822032,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026103,-0.00026,-0.000498,-0.030462,-0.014695,-0.175411,-0.011426,-0.001493,0.037252,-0.020317,-0.005026,-0.01255,-0.005844,0.027676,0.002564,-0.05935,-0.000426,-0.000284,3.666667,0.032881,0.183104,0.650907
3,-3.486802,76.949997,0.050235,0.04585,10.25,0.0,0.898066,66989.0,0.044893,0.142002,0.008332,0.037576,-0.007462,0.018352,6.794372,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.037136,-0.000364,-0.000701,-0.02966,-0.020698,-0.241772,-0.016169,-0.002161,0.054258,-0.028921,-0.007175,-0.017918,-0.008356,0.035456,0.003465,-0.08188,-0.000825,-0.000648,3.625,0.033003,0.190782,0.645382
4,-3.522899,88.790001,0.062379,0.056751,9.875,0.0,0.869966,66851.0,0.051734,0.169984,0.008938,0.042659,-0.008173,0.023302,6.777648,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.045277,-0.00044,-0.000824,-0.027984,-0.024425,-0.281427,-0.019205,-0.002697,0.064143,-0.034633,-0.008553,-0.021627,-0.009938,0.045906,0.004326,-0.09564,-0.000985,-0.000663,4.041667,0.028669,0.19499,0.608447
5,-3.826744,115.470001,0.073112,0.066082,10.125,0.0,0.852995,64496.0,0.060632,0.198089,0.01084,0.049271,-0.009418,0.026358,6.747574,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.053385,-0.000516,-0.001038,-0.029506,-0.028386,-0.320242,-0.022167,-0.003187,0.075676,-0.038708,-0.010122,-0.025418,-0.011777,0.058743,0.005431,-0.109035,-0.001373,-0.00076,3.541667,0.028953,0.204746,0.637997
6,-4.070013,128.0,0.082622,0.081024,9.333334,0.0,0.830352,64721.0,0.070804,0.242479,0.01298,0.060866,-0.011379,0.03492,6.71735,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.06428,-0.000622,-0.001168,-0.029364,-0.035416,-0.369126,-0.0261,-0.003811,0.093023,-0.045832,-0.011708,-0.029765,-0.015066,0.070863,0.006573,-0.126139,-0.001846,-0.001113,3.458333,0.031359,0.211122,0.631946
7,-3.890265,145.449997,0.102365,0.091476,7.25,0.0,0.813683,64679.0,0.079591,0.270627,0.013284,0.065232,-0.011927,0.036882,6.71468,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.072068,-0.000686,-0.001409,-0.02806,-0.03764,-0.395751,-0.028776,-0.004254,0.101914,-0.050714,-0.013054,-0.033964,-0.015747,0.078039,0.007233,-0.135689,-0.00269,-0.002331,3.125,0.027884,0.198513,0.593961
8,-3.956499,169.830002,0.106221,0.10202,7.875,0.0,0.795156,57601.0,0.087087,0.29832,0.015378,0.070535,-0.013033,0.03989,6.687881,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.078584,-0.000741,-0.00157,-0.027317,-0.040512,-0.417184,-0.031012,-0.004558,0.112216,-0.054429,-0.014527,-0.03643,-0.017275,0.089043,0.007783,-0.143254,-0.003564,-0.002854,3.541667,0.027657,0.191828,0.580744
9,-3.529464,155.75,0.110509,0.105575,7.666667,0.0,0.777519,42419.0,0.097333,0.315115,0.018375,0.083719,-0.015371,0.041832,6.69292,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.083277,-0.000783,-0.001488,-0.031015,-0.047073,-0.424433,-0.032645,-0.004793,0.127343,-0.058636,-0.015553,-0.038261,-0.020289,0.079457,0.008199,-0.146366,-0.004885,-0.003463,2.291667,0.028672,0.201129,0.634566
