iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.713941,13.06,0.008331,0.008946,0.416667,38.333336,0.977279,39918.0,0.006725,0.021941,0.00051,0.005265,-0.001121,0.003106,7.223576,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006026,-5.9e-05,-1.9e-05,-0.007955,-0.003762,-0.041947,-0.00274,-0.000377,0.008734,-0.004459,-0.001353,-0.003203,-0.001426,0.00819,0.000689,-0.014465,-1.6e-05,-2e-06,3.5,0.048256,0.127325,0.226513
1,-2.211633,39.669998,0.024665,0.020015,6.0,0.0,0.950526,64832.0,0.020576,0.062557,0.003692,0.017188,-0.003667,0.008252,6.731521,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016779,-0.000167,-0.000195,-0.022957,-0.009898,-0.117608,-0.007636,-0.000988,0.024345,-0.013682,-0.003403,-0.008228,-0.00373,0.01592,0.001609,-0.0399,-0.000115,-0.000131,4.583333,0.029744,0.183966,0.542163
2,-2.784499,57.200001,0.03554,0.032753,6.083333,0.0,0.922941,64782.0,0.03103,0.099753,0.00492,0.0259,-0.004954,0.012846,6.78195,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026316,-0.000262,-0.000411,-0.023157,-0.014769,-0.178683,-0.01156,-0.001591,0.036788,-0.020797,-0.00527,-0.012798,-0.005707,0.027824,0.002487,-0.06032,-0.000413,-0.00031,4.333333,0.030917,0.181938,0.562951
3,-3.470562,83.360001,0.054267,0.049252,6.375,0.041667,0.89453,65171.0,0.044512,0.146401,0.007313,0.036831,-0.007015,0.018976,6.722721,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.038537,-0.000378,-0.000627,-0.025324,-0.021083,-0.25114,-0.0168,-0.002362,0.053614,-0.029589,-0.007636,-0.018826,-0.008422,0.038712,0.003525,-0.084938,-0.000718,-0.000425,3.541667,0.029492,0.179693,0.553756
4,-3.994783,100.779999,0.063181,0.062706,5.875,0.0,0.874265,63538.0,0.054497,0.181456,0.008606,0.047247,-0.008421,0.023888,6.718505,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.047431,-0.000462,-0.000737,-0.021896,-0.027625,-0.297981,-0.020225,-0.002943,0.068935,-0.034752,-0.009247,-0.023226,-0.011005,0.047,0.004637,-0.101114,-0.001022,-0.000706,4.791667,0.030078,0.184301,0.500636
5,-4.453253,122.639999,0.082529,0.0766,4.916667,0.0,0.847149,63233.0,0.069848,0.231584,0.011677,0.060466,-0.010706,0.027767,6.690242,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.059723,-0.000579,-0.001123,-0.023042,-0.034303,-0.359347,-0.025486,-0.003712,0.087895,-0.04473,-0.011716,-0.029097,-0.014004,0.054257,0.005822,-0.122121,-0.002145,-0.001543,3.625,0.028137,0.192232,0.529149
6,-4.938372,147.720001,0.089583,0.089588,4.291667,0.0,0.818762,62903.0,0.076981,0.266192,0.012571,0.064239,-0.011562,0.034997,6.682772,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.069493,-0.00067,-0.001217,-0.024783,-0.037271,-0.405174,-0.028896,-0.004271,0.097171,-0.049887,-0.013195,-0.033132,-0.015461,0.07773,0.006788,-0.138043,-0.00228,-0.001553,2.833333,0.03116,0.190594,0.544821
7,-4.241339,159.300003,0.104401,0.100585,4.0,0.0,0.798448,60697.0,0.085302,0.295023,0.01333,0.073186,-0.012602,0.039069,6.659109,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.076876,-0.000731,-0.001358,-0.021929,-0.043145,-0.425794,-0.031088,-0.004776,0.110491,-0.054372,-0.014737,-0.036073,-0.017433,0.084785,0.007456,-0.145631,-0.003187,-0.002331,3.458333,0.028242,0.205828,0.505222
8,-4.47791,170.110001,0.111495,0.116749,5.083333,0.0,0.772865,54131.0,0.099406,0.328856,0.01531,0.081127,-0.013913,0.040581,6.644313,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.086675,-0.000825,-0.001572,-0.025188,-0.048072,-0.467406,-0.03452,-0.005381,0.123638,-0.06068,-0.016088,-0.040427,-0.019883,0.087789,0.008692,-0.160109,-0.003538,-0.002453,3.125,0.030372,0.189644,0.510834
9,-3.976413,188.539993,0.120182,0.118965,5.666667,0.0,0.751294,41167.0,0.10228,0.340977,0.016181,0.082402,-0.014317,0.041121,6.617817,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.090815,-0.000852,-0.001512,-0.025573,-0.048831,-0.46398,-0.0353,-0.005478,0.129816,-0.061372,-0.016745,-0.041016,-0.020775,0.095004,0.009674,-0.159663,-0.004774,-0.003255,3.458333,0.029132,0.203068,0.546974
