iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.732916,13.06,0.008393,0.009044,0.375,38.333336,0.977131,43445.0,0.006779,0.021846,0.00053,0.005336,-0.001125,0.003222,7.218978,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006072,-5.9e-05,-2.3e-05,-0.008129,-0.003832,-0.042216,-0.00277,-0.00039,0.008793,-0.004551,-0.001369,-0.003407,-0.00145,0.008208,0.00012,-0.014561,-1.5e-05,-4e-06,3.5,0.048572,0.124031,0.225163
1,-2.376808,41.009998,0.023324,0.019935,5.958333,0.0,0.951094,66193.0,0.020003,0.063271,0.003554,0.01727,-0.003661,0.008738,6.753155,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016742,-0.000167,-0.000216,-0.022165,-0.009845,-0.116518,-0.007591,-0.000997,0.024402,-0.014205,-0.003424,-0.008314,-0.003775,0.017818,0.000257,-0.03953,-0.000157,-0.000126,4.583333,0.030983,0.181133,0.533886
2,-3.045921,61.560001,0.035679,0.033623,6.083333,0.0,0.923533,66254.0,0.032247,0.104826,0.00494,0.026525,-0.004961,0.01326,6.766782,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.027119,-0.000269,-0.000365,-0.023811,-0.015297,-0.183798,-0.011914,-0.001659,0.037597,-0.021597,-0.005444,-0.013334,-0.005921,0.027411,0.000327,-0.062086,-0.000384,-0.000282,4.25,0.035036,0.170506,0.561737
3,-3.449787,78.660004,0.05152,0.045659,5.75,0.0,0.896443,65989.0,0.042806,0.137818,0.00666,0.034601,-0.006448,0.015578,6.739854,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.035893,-0.000353,-0.000572,-0.023742,-0.020109,-0.233977,-0.015745,-0.002216,0.050685,-0.027481,-0.007018,-0.017413,-0.008093,0.033408,0.000537,-0.079178,-0.000596,-0.000448,3.625,0.027869,0.191458,0.547633
4,-4.066644,104.190002,0.065782,0.066709,5.25,0.0,0.869108,66032.0,0.056715,0.189373,0.008583,0.048369,-0.008595,0.024943,6.715801,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.049586,-0.000484,-0.000812,-0.020256,-0.028544,-0.311792,-0.021144,-0.003106,0.071121,-0.036408,-0.009711,-0.024905,-0.011592,0.049195,0.00068,-0.10563,-0.001186,-0.001008,4.791667,0.031539,0.166009,0.460365
5,-4.563323,129.839996,0.080165,0.077681,4.833333,0.0,0.842706,64400.0,0.066782,0.232412,0.011113,0.056849,-0.010081,0.029979,6.690055,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.059547,-0.000575,-0.001123,-0.021871,-0.032681,-0.358216,-0.025233,-0.003635,0.08481,-0.044823,-0.011661,-0.028676,-0.013405,0.061799,0.00082,-0.121632,-0.0015,-0.001348,3.75,0.030245,0.182289,0.492443
6,-4.486306,141.0,0.084411,0.088116,4.521739,0.0,0.816707,66007.0,0.075202,0.257653,0.011404,0.059802,-0.010686,0.033167,6.672048,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.068661,-0.000661,-0.001138,-0.023567,-0.036082,-0.395419,-0.028283,-0.004244,0.093541,-0.048901,-0.01307,-0.032524,-0.014842,0.078964,0.001066,-0.135034,-0.001518,-0.001355,3.173913,0.033119,0.197345,0.527551
7,-4.524861,164.970001,0.104678,0.10169,5.083333,0.0,0.791491,64985.0,0.086985,0.297853,0.01338,0.072487,-0.012599,0.036872,6.649165,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.077545,-0.000744,-0.001514,-0.024561,-0.043223,-0.432258,-0.031478,-0.004795,0.11029,-0.055244,-0.014825,-0.037001,-0.017996,0.082132,0.001226,-0.147674,-0.002719,-0.001905,3.333333,0.027303,0.180135,0.549505
8,-4.709687,189.690002,0.116026,0.11407,3.916667,0.0,0.768887,54458.0,0.097999,0.326343,0.014175,0.077546,-0.013156,0.037252,6.633254,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.087662,-0.000829,-0.001422,-0.022433,-0.047713,-0.46614,-0.03428,-0.005382,0.123584,-0.059197,-0.015805,-0.039847,-0.019978,0.093056,0.001385,-0.159829,-0.002945,-0.002517,3.166667,0.027255,0.196316,0.519971
9,-4.496691,197.789993,0.12846,0.133061,3.666667,0.0,0.745997,43566.0,0.107386,0.362347,0.016898,0.088192,-0.015221,0.046465,6.608894,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.097741,-0.000924,-0.001774,-0.021923,-0.054352,-0.504591,-0.03759,-0.005994,0.140412,-0.06517,-0.018205,-0.044478,-0.023194,0.104199,0.001553,-0.173342,-0.005438,-0.003651,3.083333,0.027412,0.173264,0.492564
10,-4.847575,232.220001,0.143649,0.148801,3.75,0.0,0.726281,37956.0,0.127214,0.422641,0.01847,0.098455,-0.016522,0.046402,6.601628,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.112511,-0.001059,-0.001931,-0.019773,-0.059739,-0.557634,-0.04302,-0.006856,0.15789,-0.074616,-0.020415,-0.051204,-0.025139,0.11565,0.001847,-0.191911,-0.007198,-0.005089,3.708333,0.029433,0.196352,0.442413
