iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.69133,13.06,0.008393,0.009042,0.375,38.333336,0.976968,43476.0,0.006773,0.021834,0.00053,0.005337,-0.001125,0.003236,7.213149,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006072,-5.9e-05,-2.3e-05,-0.008129,-0.003817,-0.042216,-0.002777,-0.00039,0.008793,-0.004553,-0.001372,-0.003341,-0.001444,0.008223,0.002058,-0.014561,-1.5e-05,-4e-06,3.5,0.048547,0.123987,0.225589
1,-2.181382,42.439999,0.023945,0.020356,5.625,0.0,0.94985,65697.0,0.019725,0.063256,0.003413,0.017158,-0.003503,0.009244,6.741022,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.017103,-0.000171,-0.00023,-0.021969,-0.009924,-0.118979,-0.00766,-0.001014,0.024196,-0.014286,-0.003489,-0.008306,-0.003835,0.018786,0.004736,-0.040337,-0.000124,-0.000146,4.583333,0.031548,0.183061,0.541049
2,-3.01373,62.509998,0.034478,0.033203,6.166667,0.0,0.92191,64734.0,0.03113,0.101479,0.005077,0.025804,-0.005141,0.013316,6.773332,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.02664,-0.000265,-0.000396,-0.023851,-0.01505,-0.179755,-0.011805,-0.001618,0.03721,-0.020511,-0.005197,-0.013239,-0.005911,0.027853,0.007634,-0.060733,-0.000316,-0.000301,4.291667,0.034356,0.174209,0.537582
3,-3.355232,80.059998,0.051323,0.047929,6.291667,0.0,0.893377,64736.0,0.041894,0.138225,0.007411,0.035597,-0.006825,0.017745,6.738212,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036742,-0.00036,-0.000622,-0.025245,-0.020147,-0.238599,-0.015868,-0.002197,0.051882,-0.028544,-0.007184,-0.017087,-0.008188,0.037455,0.010552,-0.080682,-0.000664,-0.000429,3.666667,0.027915,0.169588,0.571494
4,-3.594936,100.720001,0.061866,0.059868,5.416667,0.0,0.867571,63970.0,0.054093,0.181384,0.008828,0.04659,-0.008358,0.022807,6.69584,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.046399,-0.000456,-0.000793,-0.021061,-0.027723,-0.292566,-0.019889,-0.002863,0.068622,-0.034194,-0.008966,-0.022652,-0.011247,0.046301,0.013553,-0.098963,-0.001245,-0.000823,4.75,0.0315,0.175852,0.505244
5,-4.373595,120.260002,0.075885,0.074354,4.833333,0.0,0.840414,61527.0,0.0692,0.217983,0.009565,0.053789,-0.009444,0.023608,6.679493,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.057974,-0.000568,-0.001145,-0.022817,-0.032127,-0.348497,-0.024353,-0.003611,0.080798,-0.04204,-0.011072,-0.028114,-0.012957,0.055284,0.017064,-0.118513,-0.001601,-0.000859,3.666667,0.030351,0.195754,0.529084
6,-4.253175,143.190002,0.086512,0.08927,4.083333,0.0,0.812295,62038.0,0.072872,0.259514,0.010803,0.060518,-0.010534,0.035289,6.659597,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.068474,-0.000664,-0.001275,-0.023454,-0.036879,-0.396216,-0.027976,-0.004283,0.093671,-0.047514,-0.012934,-0.033134,-0.015292,0.081186,0.02118,-0.13498,-0.002044,-0.001408,3.125,0.030349,0.196225,0.525768
7,-3.942993,163.169998,0.093746,0.098859,4.458333,0.0,0.797841,61712.0,0.081525,0.285537,0.012731,0.070979,-0.01222,0.040626,6.628852,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.075074,-0.000721,-0.001453,-0.023011,-0.042552,-0.418688,-0.030516,-0.00467,0.108179,-0.052912,-0.014196,-0.035704,-0.017453,0.090199,0.022518,-0.142856,-0.002495,-0.00228,3.458333,0.031381,0.182618,0.511533
8,-4.194745,181.229996,0.115047,0.118197,3.833333,0.0,0.770835,55679.0,0.101473,0.334757,0.01454,0.08029,-0.013902,0.040021,6.619189,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.089434,-0.000849,-0.001605,-0.021395,-0.049825,-0.475045,-0.034712,-0.005471,0.127592,-0.0605,-0.016553,-0.041714,-0.020471,0.095119,0.028158,-0.162844,-0.003794,-0.00233,2.958333,0.030177,0.194715,0.49645
9,-3.465054,197.229996,0.122307,0.127413,4.0,0.0,0.74979,41975.0,0.106153,0.360397,0.016537,0.086517,-0.014762,0.042495,6.592554,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.095188,-0.000892,-0.001813,-0.023219,-0.052048,-0.487022,-0.036597,-0.005773,0.136653,-0.063275,-0.017458,-0.042985,-0.021755,0.097683,0.029998,-0.167107,-0.004935,-0.002994,3.083333,0.031211,0.179245,0.48573
