iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.726701,13.06,0.008393,0.009043,0.375,38.333336,0.97712,41055.0,0.006772,0.021836,0.000528,0.005337,-0.001125,0.003232,7.220732,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006072,-5.9e-05,-2.3e-05,-0.008129,-0.003819,-0.042215,-0.002765,-0.000387,0.008793,-0.004544,-0.001371,-0.003359,-0.001453,0.008228,0.000366,-0.014561,-1.5e-05,-4e-06,3.5,0.048512,0.124,0.225407
1,-2.260747,40.630001,0.023067,0.019208,6.041667,0.0,0.950798,62260.0,0.019465,0.060658,0.003448,0.016542,-0.003579,0.008367,6.741586,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016294,-0.000161,-0.000198,-0.022372,-0.009522,-0.113449,-0.007261,-0.000974,0.023592,-0.013538,-0.003358,-0.007891,-0.003677,0.017509,0.00071,-0.038427,-0.000138,-0.000134,4.583333,0.030095,0.187441,0.548045
2,-3.075665,62.0,0.036342,0.034388,6.416667,0.0,0.923625,63696.0,0.032864,0.107612,0.005808,0.028826,-0.005769,0.014628,6.772962,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.027659,-0.000275,-0.000399,-0.02427,-0.016279,-0.187702,-0.012194,-0.001661,0.040196,-0.021735,-0.005465,-0.013354,-0.006369,0.027631,0.001154,-0.063389,-0.000456,-0.000266,4.291667,0.033524,0.162053,0.544077
3,-3.615474,85.639999,0.054073,0.050306,5.125,0.0,0.901155,62036.0,0.044513,0.150231,0.007149,0.038047,-0.007074,0.020813,6.748018,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.038856,-0.000381,-0.00056,-0.022664,-0.022314,-0.253197,-0.016776,-0.002396,0.055348,-0.029703,-0.007579,-0.018453,-0.008852,0.039658,0.00168,-0.085553,-0.000617,-0.000318,3.625,0.031022,0.166273,0.534623
4,-4.188019,103.309998,0.064996,0.063768,5.416667,0.0,0.874036,61983.0,0.055861,0.188348,0.008727,0.047826,-0.008557,0.023547,6.719522,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.04823,-0.000472,-0.000841,-0.020299,-0.028275,-0.304496,-0.02058,-0.003008,0.070097,-0.034842,-0.009292,-0.023665,-0.011618,0.047261,0.002156,-0.103208,-0.001505,-0.000619,4.875,0.029871,0.169312,0.484028
5,-4.506817,125.440002,0.076343,0.072032,6.125,0.0,0.848291,62062.0,0.0629,0.215046,0.010295,0.055307,-0.009795,0.029754,6.710507,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.056657,-0.000554,-0.001039,-0.024217,-0.03216,-0.34287,-0.023775,-0.003473,0.081206,-0.04065,-0.010726,-0.026361,-0.013263,0.059287,0.002482,-0.116648,-0.002037,-0.001174,3.875,0.030309,0.189202,0.562121
6,-4.716614,137.360001,0.078136,0.081986,4.75,0.0,0.82177,63408.0,0.072199,0.242846,0.010944,0.057557,-0.010167,0.029803,6.67063,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.063929,-0.000616,-0.001184,-0.025048,-0.033611,-0.37117,-0.026115,-0.003926,0.087479,-0.045119,-0.012128,-0.030072,-0.01393,0.068341,0.00297,-0.12657,-0.001983,-0.00172,2.916667,0.033261,0.199699,0.582141
7,-4.023982,151.110001,0.106491,0.104073,5.0,0.0,0.794407,62031.0,0.088088,0.296214,0.014379,0.076872,-0.013364,0.039772,6.65985,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.078888,-0.000757,-0.001462,-0.02322,-0.045458,-0.442131,-0.032042,-0.004804,0.115494,-0.055987,-0.015075,-0.036377,-0.018683,0.087331,0.003799,-0.150986,-0.003895,-0.002612,3.5,0.02975,0.195553,0.513741
8,-4.251944,174.389999,0.109999,0.110359,5.125,0.0,0.784028,57918.0,0.095528,0.322083,0.014995,0.078105,-0.013893,0.039153,6.639046,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.085688,-0.000815,-0.001444,-0.026118,-0.046244,-0.457922,-0.034106,-0.005183,0.121788,-0.059181,-0.016126,-0.03952,-0.019208,0.089346,0.004105,-0.157184,-0.002573,-0.002244,2.708333,0.029881,0.183577,0.583634
9,-4.453574,191.830002,0.12549,0.125611,5.291667,0.0,0.759747,45568.0,0.102501,0.352885,0.016542,0.083925,-0.014714,0.043097,6.638921,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.093847,-0.00089,-0.001683,-0.025519,-0.050734,-0.486679,-0.036479,-0.005667,0.13298,-0.063084,-0.017293,-0.043391,-0.021396,0.102279,0.004671,-0.167225,-0.002745,-0.003091,3.25,0.027305,0.180454,0.544665
10,-4.369178,224.539993,0.150709,0.145565,3.666667,0.0,0.740613,35947.0,0.122145,0.41045,0.019461,0.100254,-0.017265,0.050925,6.613736,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.110076,-0.001036,-0.002091,-0.020309,-0.061992,-0.549853,-0.042058,-0.006624,0.160973,-0.071798,-0.01995,-0.050002,-0.025816,0.113756,0.005717,-0.189483,-0.004832,-0.004277,3.583333,0.027551,0.190806,0.436786
11,-3.614998,228.279999,0.135112,0.149894,4.958333,0.0,0.723933,40525.0,0.124302,0.419308,0.019207,0.10142,-0.016905,0.05092,6.592683,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.11099,-0.001039,-0.00193,-0.024223,-0.061408,-0.528401,-0.041598,-0.006661,0.16136,-0.073395,-0.019607,-0.049991,-0.026251,0.120854,0.005514,-0.182794,-0.006041,-0.00461,3.25,0.032525,0.177788,0.516997
12,-3.327067,256.540009,0.166084,0.166312,3.875,0.0,0.710911,64893.0,0.140093,0.48939,0.023547,0.121594,-0.020384,0.061096,6.582952,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.128876,-0.001203,-0.002466,-0.021773,-0.073881,-0.596789,-0.047843,-0.007619,0.192325,-0.081772,-0.022995,-0.057717,-0.031713,0.135812,0.006209,-0.20671,-0.010967,-0.005376,3.25,0.029339,0.190412,0.478437
13,-2.978258,260.690002,0.17201,0.178852,4.458333,0.0,0.697044,66263.0,0.149035,0.496613,0.024164,0.12042,-0.020885,0.059073,6.578648,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.13227,-0.001208,-0.002288,-0.023394,-0.074854,-0.590815,-0.047777,-0.007715,0.19945,-0.083062,-0.023796,-0.058091,-0.031808,0.127577,0.006865,-0.205307,-0.006495,-0.005679,3.375,0.028836,0.183021,0.492079
14,-2.783854,280.290009,0.18899,0.18559,4.541667,0.0,0.684971,66765.0,0.150273,0.539299,0.023752,0.123266,-0.020338,0.063023,6.549959,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.140686,-0.001291,-0.002629,-0.023295,-0.074962,-0.610664,-0.050012,-0.008067,0.201391,-0.088567,-0.02494,-0.06065,-0.032325,0.155218,0.006844,-0.212566,-0.007234,-0.005932,3.25,0.029041,0.184311,0.515202
15,-2.372181,288.029999,0.184386,0.196271,4.083333,0.0,0.673069,67016.0,0.154764,0.529698,0.024339,0.123006,-0.020635,0.059051,6.539657,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.142093,-0.001306,-0.002709,-0.02213,-0.076162,-0.596006,-0.049125,-0.008091,0.204456,-0.086616,-0.023715,-0.060327,-0.033238,0.152252,0.007851,-0.208057,-0.00848,-0.007205,3.208333,0.029388,0.175388,0.482663
16,-1.410789,320.640015,0.198989,0.205201,4.041667,0.0,0.662695,66427.0,0.17319,0.567563,0.02712,0.133126,-0.022265,0.067882,6.511222,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.154844,-0.001397,-0.002914,-0.022458,-0.08112,-0.624388,-0.052923,-0.008633,0.223738,-0.091762,-0.026679,-0.064606,-0.035847,0.160263,0.008724,-0.218564,-0.006709,-0.008115,2.958333,0.030283,0.175274,0.468616
17,-1.251578,329.25,0.222197,0.2227,4.0,0.0,0.654456,63740.0,0.179783,0.603315,0.029514,0.145014,-0.024637,0.075144,6.529424,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.16163,-0.001454,-0.003007,-0.02307,-0.086888,-0.638634,-0.055678,-0.009123,0.239872,-0.097612,-0.028363,-0.069779,-0.037847,0.169578,0.009015,-0.224053,-0.014899,-0.011636,3.208333,0.027487,0.17347,0.462443
18,-0.003545,361.75,0.246968,0.257238,2.416667,0.0,0.646995,65499.0,0.203637,0.673196,0.032079,0.155752,-0.026432,0.081898,6.518149,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.181539,-0.001618,-0.003355,-0.017314,-0.094734,-0.707175,-0.062576,-0.010189,0.264603,-0.111978,-0.032462,-0.078181,-0.040945,0.20499,0.009609,-0.248216,-0.010197,-0.00833,2.75,0.028265,0.169676,0.382778
19,0.247764,401.690002,0.267002,0.272583,2.416667,0.0,0.637891,66272.0,0.220218,0.745392,0.038027,0.186474,-0.030327,0.102185,6.518272,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.200462,-0.001784,-0.004116,-0.016037,-0.112571,-0.767781,-0.067177,-0.011227,0.307924,-0.117632,-0.034034,-0.083116,-0.049325,0.213477,0.010947,-0.269719,-0.016158,-0.014262,3.5,0.026539,0.182976,0.379981
20,1.592546,421.190002,0.278602,0.282461,2.083333,0.0,0.630023,67515.0,0.212215,0.751239,0.036914,0.185362,-0.029975,0.113539,6.52754,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.205382,-0.001845,-0.004357,-0.01729,-0.112381,-0.759276,-0.067479,-0.011507,0.307016,-0.117566,-0.034076,-0.08276,-0.049169,0.266209,0.011868,-0.267936,-0.016222,-0.019182,2.916667,0.026748,0.17987,0.384671
21,1.334337,435.369995,0.298157,0.295418,1.75,0.0,0.621619,66793.0,0.233151,0.80501,0.040835,0.186712,-0.0314,0.09555,6.508849,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.213511,-0.001862,-0.004264,-0.017323,-0.1105,-0.775232,-0.071414,-0.011789,0.317324,-0.124142,-0.037678,-0.088602,-0.04883,0.212978,0.011371,-0.273535,-0.012276,-0.013887,2.75,0.024241,0.174884,0.421833
22,2.220784,471.839996,0.329521,0.333245,1.521739,0.0,0.614648,68278.0,0.255306,0.892605,0.041522,0.195725,-0.031961,0.114015,6.520677,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.241913,-0.002119,-0.005376,-0.012781,-0.11576,-0.865734,-0.079701,-0.013214,0.340224,-0.139828,-0.041606,-0.098105,-0.051815,0.293998,0.01431,-0.305665,-0.015124,-0.017024,3.347826,0.028818,0.15835,0.289452
23,3.399753,496.089996,0.339097,0.34451,1.086957,0.0,0.605555,64603.0,0.254356,0.927794,0.047086,0.222017,-0.036921,0.13702,6.517793,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.247513,-0.002181,-0.005365,-0.010613,-0.133837,-0.867343,-0.080465,-0.013562,0.377477,-0.137938,-0.042077,-0.101597,-0.059018,0.315933,0.015111,-0.306983,-0.021214,-0.020031,2.956522,0.026495,0.188875,0.294851
24,4.064115,533.090027,0.369945,0.378174,1.0,0.0,0.598326,68271.0,0.285794,0.992109,0.050921,0.227934,-0.038255,0.133095,6.515331,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.269095,-0.002292,-0.005819,-0.009896,-0.13798,-0.926888,-0.085796,-0.014655,0.401271,-0.149632,-0.046294,-0.108895,-0.061516,0.310295,0.014801,-0.328222,-0.037661,-0.03122,3.217391,0.02663,0.173734,0.272016
25,5.083271,575.630005,0.400176,0.417771,0.5,0.0,0.593109,67574.0,0.307518,1.079669,0.050818,0.237323,-0.038559,0.1272,6.523189,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.29043,-0.002477,-0.005344,-0.0075,-0.142351,-0.987082,-0.089624,-0.01553,0.420223,-0.156038,-0.049079,-0.113616,-0.063246,0.338947,0.016993,-0.3499,-0.01864,-0.024881,2.75,0.028029,0.168582,0.238198
26,5.412571,558.419983,0.363187,0.387603,0.913043,0.0,0.585466,68340.0,0.28968,1.015684,0.048223,0.250836,-0.039347,0.135922,6.515653,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.274894,-0.002435,-0.006452,-0.01041,-0.159556,-0.900679,-0.083656,-0.014928,0.42917,-0.142292,-0.04371,-0.10912,-0.071559,0.301472,0.016653,-0.32043,-0.021046,-0.019213,2.73913,0.028894,0.161757,0.286529
