iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.622071,13.06,0.00839,0.009045,0.375,38.333336,0.976715,43892.0,0.006758,0.021913,0.000528,0.005337,-0.001126,0.003239,7.220796,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006072,-5.9e-05,-2.4e-05,-0.008129,-0.003819,-0.042216,-0.002775,-0.000387,0.008796,-0.004548,-0.001377,-0.003382,-0.001446,0.008233,0.005481,-0.014561,-1.5e-05,-4e-06,3.5,0.048623,0.123124,0.225553
1,-1.898374,40.93,0.02353,0.019535,5.541667,0.0,0.949158,66423.0,0.019752,0.060606,0.003489,0.017002,-0.003517,0.008807,6.749859,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016623,-0.000166,-0.000211,-0.021946,-0.009827,-0.115398,-0.007493,-0.000984,0.023792,-0.013697,-0.003366,-0.008125,-0.00382,0.017794,0.012731,-0.039094,-0.000108,-0.000139,4.583333,0.030837,0.185246,0.530232
2,-2.510817,58.349998,0.03513,0.033169,5.875,0.0,0.919997,66915.0,0.031149,0.102637,0.004939,0.025622,-0.00511,0.013177,6.772722,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026617,-0.000263,-0.000388,-0.02316,-0.014804,-0.180499,-0.011693,-0.001613,0.036981,-0.020906,-0.005327,-0.013191,-0.005746,0.028519,0.019269,-0.061044,-0.000399,-0.000215,4.291667,0.033251,0.163571,0.54022
3,-2.946381,83.860001,0.052062,0.047819,6.125,0.0,0.890617,66411.0,0.044785,0.142932,0.007545,0.037028,-0.007076,0.017802,6.73361,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.037321,-0.000366,-0.000659,-0.024837,-0.020972,-0.242075,-0.016378,-0.002305,0.053693,-0.028802,-0.007472,-0.018353,-0.008478,0.035285,0.028219,-0.081904,-0.000667,-0.000535,3.791667,0.027311,0.181181,0.561151
4,-3.39997,107.839996,0.064343,0.065669,5.041667,0.0,0.869427,65242.0,0.056691,0.188124,0.008712,0.049219,-0.008634,0.02533,6.70134,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.049293,-0.000485,-0.000833,-0.020746,-0.02936,-0.310664,-0.021088,-0.003095,0.071805,-0.036101,-0.009503,-0.023595,-0.011826,0.048271,0.039492,-0.10505,-0.001313,-0.000895,4.833333,0.031159,0.17568,0.487361
5,-3.345665,124.5,0.081434,0.077834,4.625,0.0,0.838846,64190.0,0.066521,0.226794,0.010466,0.056652,-0.010024,0.03028,6.692014,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.060338,-0.000584,-0.001143,-0.021229,-0.033135,-0.361855,-0.025235,-0.00371,0.085307,-0.042426,-0.011608,-0.028707,-0.01345,0.065984,0.048791,-0.122791,-0.001533,-0.001174,3.916667,0.027939,0.192389,0.494353
6,-3.484496,141.869995,0.087539,0.084558,5.125,0.0,0.82427,64548.0,0.07528,0.249275,0.011781,0.06094,-0.010689,0.032936,6.670203,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.066751,-0.000642,-0.00129,-0.025137,-0.035472,-0.386842,-0.027262,-0.004065,0.092686,-0.046375,-0.012704,-0.030879,-0.014578,0.072044,0.056897,-0.131791,-0.00172,-0.001166,3.125,0.029339,0.203487,0.546688
7,-3.314759,157.899994,0.099527,0.099567,4.416667,0.0,0.797603,63845.0,0.081775,0.275444,0.012233,0.066829,-0.011791,0.034624,6.645329,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.073506,-0.000707,-0.00132,-0.023021,-0.042007,-0.410635,-0.029544,-0.00451,0.106122,-0.050001,-0.013967,-0.034357,-0.016937,0.081028,0.061446,-0.14002,-0.002799,-0.002033,3.375,0.026264,0.172405,0.505011
8,-2.977601,178.050003,0.10878,0.113251,3.666667,0.0,0.774215,57535.0,0.099239,0.315094,0.013979,0.075815,-0.012718,0.034656,6.61558,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.087321,-0.000833,-0.001571,-0.022434,-0.046561,-0.468728,-0.033795,-0.005305,0.120948,-0.05585,-0.015937,-0.038728,-0.019306,0.088672,0.080895,-0.160212,-0.003876,-0.003348,3.0,0.032287,0.184923,0.502157
9,-2.405467,197.839996,0.130379,0.126656,3.625,0.0,0.753397,43934.0,0.105548,0.357872,0.015453,0.077968,-0.013498,0.039237,6.614761,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.095988,-0.000891,-0.001613,-0.020908,-0.046732,-0.495593,-0.036986,-0.005729,0.129065,-0.061977,-0.017977,-0.043278,-0.019543,0.107596,0.08334,-0.169757,-0.005451,-0.002774,3.208333,0.026596,0.191643,0.480499
10,-2.356339,228.600006,0.152898,0.153278,3.333333,0.0,0.737159,38192.0,0.129378,0.421024,0.019654,0.101975,-0.017418,0.050754,6.57495,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.114517,-0.001074,-0.002243,-0.018452,-0.062002,-0.573809,-0.043888,-0.006934,0.164005,-0.07301,-0.020862,-0.052109,-0.026111,0.119183,0.102605,-0.196883,-0.006979,-0.004923,3.875,0.02789,0.203507,0.403366
11,-1.335116,250.020004,0.149272,0.169087,1.791667,0.0,0.722762,43550.0,0.128485,0.450062,0.017831,0.100104,-0.016008,0.058721,6.561842,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.124204,-0.00116,-0.002368,-0.012004,-0.063083,-0.600043,-0.045958,-0.007403,0.169655,-0.077115,-0.021882,-0.054942,-0.026657,0.15617,0.115043,-0.206465,-0.005645,-0.00393,3.5,0.032091,0.180763,0.319088
12,-1.106449,267.790009,0.170392,0.162975,2.0,0.0,0.70924,64054.0,0.144933,0.466593,0.023971,0.120566,-0.020591,0.057867,6.55164,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.126275,-0.001163,-0.002404,-0.016901,-0.073025,-0.594037,-0.047018,-0.007524,0.194503,-0.075831,-0.023139,-0.056496,-0.031452,0.11631,0.118207,-0.204643,-0.007064,-0.005434,3.208333,0.028006,0.20892,0.405552
