iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.562163,13.06,0.008394,0.009044,0.375,38.333336,0.976515,43181.0,0.006774,0.02185,0.000531,0.005336,-0.001124,0.003224,7.21751,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006072,-5.9e-05,-2.3e-05,-0.008129,-0.003836,-0.042215,-0.002765,-0.000385,0.008794,-0.004543,-0.001373,-0.003343,-0.00145,0.008216,0.008329,-0.014561,-1.5e-05,-4e-06,3.5,0.048525,0.123706,0.225472
1,-1.704961,39.349998,0.023128,0.019309,5.791667,0.0,0.947772,64365.0,0.019298,0.060122,0.003522,0.016972,-0.003545,0.008684,6.739557,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016355,-0.000162,-0.000207,-0.022075,-0.009734,-0.113617,-0.007356,-0.000976,0.023791,-0.01338,-0.003338,-0.007928,-0.003752,0.017578,0.020559,-0.038501,-0.000152,-0.000141,4.583333,0.029843,0.187921,0.539138
2,-2.236027,60.619999,0.035531,0.033865,5.75,0.0,0.918666,66356.0,0.032925,0.101815,0.005469,0.026946,-0.005281,0.01316,6.773479,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.027466,-0.000272,-0.000446,-0.022714,-0.015349,-0.186475,-0.011972,-0.001649,0.038401,-0.02099,-0.005368,-0.013235,-0.006028,0.027015,0.034838,-0.062975,-0.000525,-0.000275,4.25,0.034214,0.179684,0.530539
3,-2.41697,77.43,0.051814,0.046599,5.333333,0.0,0.890193,65466.0,0.043208,0.14063,0.00684,0.034921,-0.006648,0.016941,6.737922,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036117,-0.000355,-0.000582,-0.023684,-0.02011,-0.235968,-0.015843,-0.002247,0.050911,-0.027289,-0.007184,-0.017877,-0.008109,0.035251,0.045388,-0.079733,-0.000476,-0.000435,3.666667,0.028184,0.169043,0.549986
4,-2.836149,103.169998,0.066246,0.066187,5.041667,0.0,0.861184,58666.0,0.056685,0.18962,0.008928,0.048547,-0.008716,0.024374,6.705936,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.049721,-0.000487,-0.000866,-0.01923,-0.029432,-0.313991,-0.02129,-0.003135,0.072147,-0.035652,-0.009645,-0.024365,-0.011745,0.050947,0.064057,-0.106223,-0.001516,-0.000738,5.0,0.028692,0.174216,0.482403
5,-2.679361,122.870003,0.079964,0.077075,4.833333,0.0,0.845094,64925.0,0.06799,0.222655,0.010683,0.056217,-0.009985,0.025965,6.685439,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.058777,-0.000572,-0.001066,-0.022352,-0.032985,-0.353532,-0.02461,-0.003576,0.083683,-0.041393,-0.011337,-0.027624,-0.013493,0.056082,0.076909,-0.119932,-0.001862,-0.001111,3.708333,0.029638,0.187991,0.51483
6,-2.538854,139.979996,0.092516,0.090915,4.458333,0.0,0.82146,64423.0,0.076428,0.25476,0.011972,0.063226,-0.010974,0.035295,6.656551,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.068706,-0.000665,-0.001352,-0.023026,-0.037164,-0.397913,-0.028224,-0.004158,0.096121,-0.047658,-0.012998,-0.032388,-0.015172,0.077605,0.090343,-0.135519,-0.002941,-0.001644,3.0,0.028911,0.194415,0.517505
7,-2.405743,164.369995,0.104514,0.106011,4.291667,0.0,0.799025,62688.0,0.092723,0.296054,0.014079,0.077609,-0.013228,0.037935,6.625008,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.079663,-0.000766,-0.001471,-0.022476,-0.047215,-0.442226,-0.032193,-0.004921,0.118366,-0.053925,-0.015223,-0.037363,-0.018998,0.079633,0.108097,-0.150962,-0.003075,-0.002212,3.541667,0.030753,0.186627,0.505857
8,-1.726663,170.880005,0.102176,0.111325,4.666667,0.0,0.775444,56772.0,0.09138,0.304608,0.014459,0.079117,-0.013508,0.040626,6.628028,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.082367,-0.000785,-0.001498,-0.024437,-0.048684,-0.440864,-0.032131,-0.005049,0.122024,-0.053081,-0.015159,-0.037804,-0.02004,0.08559,0.116012,-0.150994,-0.003301,-0.002177,3.041667,0.033232,0.203324,0.543483
9,-1.601398,197.660004,0.118201,0.125299,4.25,0.0,0.754624,40927.0,0.102884,0.344122,0.015839,0.084199,-0.014451,0.042365,6.610488,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.09425,-0.00089,-0.001675,-0.022416,-0.052645,-0.485675,-0.03589,-0.005666,0.135818,-0.059177,-0.017021,-0.042251,-0.021941,0.099625,0.137138,-0.166559,-0.00469,-0.003414,3.333333,0.030441,0.187459,0.501251
