iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.588476,14.2,0.008638,0.008941,0.25,38.166668,0.976784,41022.0,0.007744,0.020665,0.000509,0.005479,-0.001158,0.002398,7.121343,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006059,-6e-05,-5.5e-05,-0.008248,-0.004151,-0.041226,-0.002825,-0.000395,0.009097,-0.004899,-0.001317,-0.003442,-0.001583,0.006573,0.003226,-0.014335,-1.6e-05,-1.4e-05,4.958333,0.05079,0.152728,0.210994
1,-1.831241,39.700001,0.022549,0.022113,3.25,0.0,0.949057,67633.0,0.020503,0.061408,0.003289,0.017556,-0.003475,0.010432,6.698593,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.017194,-0.000169,-0.00027,-0.016925,-0.010179,-0.11928,-0.007793,-0.001066,0.025002,-0.013617,-0.003594,-0.008536,-0.003842,0.018743,0.008721,-0.040436,-8.2e-05,-0.00015,4.541667,0.034307,0.175952,0.45058
2,-2.53885,61.700001,0.035754,0.035953,3.541667,0.0,0.920458,67801.0,0.031284,0.105957,0.005189,0.028152,-0.005149,0.016466,6.705624,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.027837,-0.000273,-0.000556,-0.019006,-0.016178,-0.188282,-0.012245,-0.001741,0.040088,-0.021171,-0.005762,-0.013091,-0.006272,0.031867,0.013619,-0.063619,-0.000395,-0.000404,3.791667,0.032857,0.168427,0.481311
3,-3.130619,82.0,0.048447,0.047929,4.166667,0.0,0.892052,67209.0,0.042754,0.142855,0.006652,0.03681,-0.006799,0.020107,6.678898,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.037506,-0.000366,-0.000774,-0.02207,-0.021127,-0.243075,-0.016426,-0.002411,0.053437,-0.02811,-0.007641,-0.017831,-0.008248,0.038666,0.018302,-0.082481,-0.000555,-0.000407,3.458333,0.031371,0.183948,0.522846
4,-3.402755,105.050003,0.062749,0.064671,2.958333,0.0,0.864473,67480.0,0.05742,0.191406,0.008178,0.048981,-0.008351,0.023866,6.633342,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.049723,-0.00048,-0.001045,-0.016016,-0.029223,-0.309314,-0.021014,-0.003275,0.072162,-0.034918,-0.009913,-0.024142,-0.011503,0.049715,0.023868,-0.104866,-0.000987,-0.000681,4.541667,0.031653,0.195854,0.407966
5,-3.379847,121.330002,0.07486,0.072567,3.5,0.0,0.841001,64691.0,0.063826,0.218224,0.010248,0.056378,-0.009819,0.031326,6.610475,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.058781,-0.000564,-0.0013,-0.019268,-0.033019,-0.353538,-0.024519,-0.003803,0.084005,-0.040828,-0.011547,-0.027351,-0.013196,0.068462,0.030516,-0.12008,-0.00149,-0.001351,3.916667,0.031156,0.208352,0.471628
6,-3.824797,150.710007,0.087191,0.099663,2.5,0.0,0.818462,61207.0,0.083569,0.279916,0.013239,0.068105,-0.012063,0.034585,6.60185,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.073677,-0.000698,-0.001451,-0.017682,-0.039254,-0.425465,-0.030603,-0.004655,0.10465,-0.05163,-0.014762,-0.034015,-0.016135,0.075298,0.036534,-0.144662,-0.002005,-0.001041,3.791667,0.032899,0.180803,0.398883
7,-3.33372,162.699997,0.103852,0.106193,2.583333,0.0,0.796934,64888.0,0.0888,0.301615,0.014319,0.076965,-0.013294,0.038928,6.576934,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.080757,-0.000767,-0.001642,-0.015195,-0.045742,-0.445709,-0.032643,-0.005088,0.1178,-0.054721,-0.015376,-0.037273,-0.018945,0.086026,0.043596,-0.152299,-0.003537,-0.002032,4.375,0.028386,0.199447,0.421774
8,-3.745152,192.169998,0.108928,0.117138,2.875,0.0,0.774127,55122.0,0.105124,0.340671,0.015382,0.085198,-0.014018,0.038848,6.576889,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.091933,-0.000867,-0.001751,-0.016226,-0.052439,-0.485182,-0.036125,-0.005784,0.133976,-0.060092,-0.017306,-0.041582,-0.021394,0.088712,0.050504,-0.166495,-0.002803,-0.00215,4.333333,0.033039,0.212505,0.404584
9,-3.213867,199.600006,0.128217,0.136,3.0,0.0,0.752316,45341.0,0.115748,0.37789,0.01863,0.095373,-0.016237,0.044529,6.550416,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.101047,-0.000932,-0.001974,-0.016709,-0.057135,-0.516355,-0.039667,-0.006388,0.1505,-0.066001,-0.019497,-0.045673,-0.023703,0.098745,0.054198,-0.177538,-0.003766,-0.002727,4.25,0.028706,0.202313,0.385575
