iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.662836,13.06,0.008392,0.009048,0.375,38.333336,0.976875,43499.0,0.006768,0.021913,0.000527,0.005337,-0.001125,0.003234,7.21943,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006072,-5.9e-05,-2.3e-05,-0.008129,-0.003804,-0.042216,-0.002778,-0.000385,0.008796,-0.004564,-0.001382,-0.003382,-0.00143,0.008222,0.003458,-0.014561,-1.7e-05,-4e-06,3.5,0.048596,0.123287,0.224569
1,-2.056732,40.689999,0.02384,0.019749,5.541667,0.0,0.949177,66485.0,0.019413,0.062352,0.003513,0.017177,-0.003553,0.009149,6.750378,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016712,-0.000166,-0.000207,-0.021914,-0.00985,-0.117021,-0.00747,-0.000991,0.024142,-0.01354,-0.003439,-0.007923,-0.003747,0.018803,0.008161,-0.039592,-0.000171,-0.000131,4.583333,0.029675,0.17838,0.529689
2,-2.647759,60.970001,0.035026,0.033885,5.208333,0.0,0.921008,66006.0,0.031291,0.104085,0.005298,0.02673,-0.00521,0.013964,6.762164,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.027077,-0.000269,-0.000406,-0.02241,-0.015932,-0.183951,-0.011845,-0.001633,0.038577,-0.020996,-0.005285,-0.01316,-0.006223,0.028103,0.012511,-0.062051,-0.000434,-0.000314,4.291667,0.033347,0.159709,0.542821
3,-3.022744,83.669998,0.053416,0.050106,5.333333,0.0,0.892886,63199.0,0.043649,0.145561,0.007318,0.037794,-0.007099,0.021177,6.740175,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.03851,-0.000379,-0.000619,-0.023165,-0.021917,-0.250187,-0.016769,-0.002391,0.054759,-0.02847,-0.0076,-0.018984,-0.008825,0.042827,0.01966,-0.084703,-0.000873,-0.000691,3.583333,0.028863,0.177875,0.538459
4,-3.56112,104.440002,0.064293,0.062405,5.25,0.0,0.866586,63891.0,0.053379,0.184071,0.008311,0.047033,-0.008549,0.02593,6.700274,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.047309,-0.000464,-0.000776,-0.020565,-0.027757,-0.29686,-0.020406,-0.002977,0.069172,-0.035166,-0.009342,-0.023557,-0.011253,0.050068,0.022666,-0.100627,-0.001518,-0.001027,4.791667,0.03062,0.187211,0.474755
5,-3.779434,120.629997,0.077125,0.074945,4.958333,0.0,0.839763,64554.0,0.065559,0.222254,0.009581,0.054083,-0.009252,0.026028,6.671964,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.05759,-0.000561,-0.00103,-0.02188,-0.031458,-0.345426,-0.024247,-0.003591,0.080199,-0.041453,-0.01106,-0.027844,-0.013001,0.057818,0.027264,-0.117546,-0.00249,-0.001173,3.791667,0.030108,0.193084,0.517469
6,-3.385862,132.619995,0.085659,0.088777,3.958333,0.0,0.813195,62067.0,0.072673,0.256635,0.011672,0.062404,-0.0109,0.035199,6.671543,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.067843,-0.000658,-0.001204,-0.022213,-0.036423,-0.3886,-0.028067,-0.004184,0.094317,-0.048545,-0.012774,-0.032287,-0.015341,0.082948,0.03525,-0.132583,-0.002124,-0.001249,3.125,0.031346,0.188834,0.499724
7,-3.694475,163.279999,0.106479,0.105464,4.208333,0.0,0.789231,61715.0,0.08818,0.294757,0.014214,0.075568,-0.013345,0.039047,6.638108,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.078847,-0.000757,-0.001347,-0.022183,-0.045039,-0.438496,-0.03194,-0.004843,0.115448,-0.055542,-0.014856,-0.036773,-0.018604,0.088345,0.039981,-0.149692,-0.003622,-0.001994,3.333333,0.026485,0.181579,0.496074
8,-3.521369,183.580002,0.11019,0.112585,3.333333,0.0,0.766374,57822.0,0.094766,0.32246,0.015244,0.077005,-0.013577,0.037793,6.606166,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.086865,-0.00083,-0.00162,-0.021816,-0.047785,-0.464547,-0.033847,-0.005281,0.124151,-0.05757,-0.015804,-0.038689,-0.020101,0.090138,0.047534,-0.159032,-0.002877,-0.001696,2.875,0.032253,0.195896,0.48673
9,-3.180074,202.570007,0.124436,0.128001,2.875,0.0,0.744039,42629.0,0.107363,0.354724,0.017222,0.087735,-0.015261,0.040857,6.595612,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.095253,-0.000899,-0.001617,-0.019533,-0.053594,-0.48558,-0.036942,-0.005795,0.139306,-0.063581,-0.0177,-0.043376,-0.022847,0.093617,0.051146,-0.166842,-0.00394,-0.003776,3.25,0.030573,0.158659,0.465397
