iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.663958,13.06,0.0084,0.00905,0.375,38.333336,0.976839,44146.0,0.006766,0.021859,0.000526,0.005336,-0.001128,0.003234,7.215838,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.006072,-5.9e-05,-2.3e-05,-0.008129,-0.003813,-0.042217,-0.002781,-0.000387,0.008799,-0.004542,-0.001373,-0.003396,-0.001441,0.008222,0.003453,-0.014562,-3.3e-05,-4e-06,3.5,0.048569,0.123571,0.224215
1,-1.937925,40.68,0.02475,0.020338,5.708333,0.0,0.949124,66758.0,0.02025,0.062067,0.003592,0.017606,-0.003629,0.009259,6.75516,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.017021,-0.000169,-0.000207,-0.021238,-0.010032,-0.117583,-0.007636,-0.001006,0.024631,-0.013873,-0.003425,-0.008169,-0.00381,0.017538,0.008388,-0.039913,-0.000337,-0.000162,4.583333,0.029204,0.168241,0.531996
2,-2.820959,59.689999,0.035379,0.033234,6.208333,0.0,0.919816,66450.0,0.032122,0.099378,0.004957,0.025741,-0.004991,0.012462,6.775878,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.026766,-0.000267,-0.000433,-0.024126,-0.014851,-0.182676,-0.011868,-0.001629,0.036934,-0.020958,-0.00537,-0.012926,-0.005845,0.026218,0.012875,-0.061648,-0.001,-0.000326,4.166667,0.033561,0.185599,0.565845
3,-3.278488,82.25,0.053254,0.047077,5.875,0.0,0.894174,66703.0,0.043309,0.1462,0.00718,0.036416,-0.006982,0.018835,6.746933,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.037528,-0.000368,-0.000702,-0.024059,-0.020694,-0.244951,-0.016359,-0.002313,0.052964,-0.02909,-0.007432,-0.018524,-0.008281,0.038443,0.017929,-0.082795,-0.001489,-0.000476,3.541667,0.027708,0.172726,0.564876
4,-3.474646,105.300003,0.064298,0.064949,4.5,0.0,0.866657,66256.0,0.055794,0.189039,0.008971,0.048298,-0.008612,0.025348,6.70569,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.049102,-0.000479,-0.000845,-0.01922,-0.028675,-0.308165,-0.020698,-0.003012,0.071443,-0.036038,-0.009622,-0.023067,-0.011593,0.051419,0.02403,-0.104375,-0.002431,-0.000652,4.875,0.03245,0.180063,0.465343
5,-4.045808,118.910004,0.08055,0.07634,4.666667,0.0,0.838707,64905.0,0.069131,0.22278,0.010554,0.056127,-0.00976,0.025385,6.67428,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.058979,-0.000572,-0.001011,-0.021964,-0.032733,-0.356209,-0.024586,-0.003609,0.083838,-0.043461,-0.011462,-0.027594,-0.013437,0.054359,0.028565,-0.120792,-0.003706,-0.001724,3.75,0.028562,0.192001,0.502212
6,-3.851564,127.970001,0.078188,0.079353,5.625,0.0,0.817084,64980.0,0.069385,0.236994,0.012035,0.058635,-0.010652,0.031959,6.668353,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.062499,-0.000602,-0.001183,-0.026292,-0.033101,-0.360855,-0.025897,-0.003834,0.088032,-0.04448,-0.012073,-0.029149,-0.013677,0.068588,0.031847,-0.122902,-0.004368,-0.0017,3.0,0.031394,0.187153,0.566121
7,-3.843948,164.5,0.106027,0.104976,3.875,0.0,0.791933,65025.0,0.089526,0.300392,0.013703,0.075868,-0.013193,0.040342,6.628834,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.080687,-0.000775,-0.001413,-0.020591,-0.046257,-0.447698,-0.032513,-0.004941,0.117498,-0.05498,-0.015144,-0.037987,-0.019112,0.08996,0.041526,-0.15293,-0.006037,-0.002429,3.458333,0.030196,0.192436,0.48561
8,-3.399085,173.660004,0.110586,0.11342,3.291667,0.0,0.769688,58101.0,0.098837,0.319958,0.014814,0.079507,-0.013829,0.037192,6.623031,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.086397,-0.000813,-0.001334,-0.021323,-0.048681,-0.458577,-0.033632,-0.00537,0.125671,-0.057218,-0.016065,-0.039949,-0.020409,0.0822,0.046226,-0.15719,-0.006466,-0.003078,2.958333,0.029654,0.2121,0.496056
9,-3.703786,200.860001,0.126909,0.131186,3.458333,0.0,0.748032,44423.0,0.111857,0.370876,0.016608,0.084733,-0.014715,0.03834,6.588965,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.098356,-0.000927,-0.001717,-0.021322,-0.05299,-0.507265,-0.03754,-0.005903,0.139695,-0.063416,-0.017926,-0.044114,-0.022258,0.098138,0.053506,-0.174044,-0.009275,-0.002647,3.333333,0.031536,0.178212,0.511976
10,-3.38905,218.740005,0.142481,0.143989,3.0,0.0,0.729211,38794.0,0.123232,0.404491,0.019146,0.099326,-0.017017,0.050696,6.58826,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.108971,-0.001021,-0.002058,-0.01676,-0.060785,-0.541114,-0.041852,-0.006603,0.159839,-0.071719,-0.020136,-0.049844,-0.025274,0.112342,0.059803,-0.186202,-0.010794,-0.00436,4.041667,0.029429,0.223165,0.379523
11,-2.752352,239.380005,0.142529,0.160575,2.75,0.0,0.715466,43395.0,0.125186,0.428096,0.017519,0.095474,-0.015735,0.051408,6.550447,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.116991,-0.001094,-0.002129,-0.018888,-0.05943,-0.558955,-0.043385,-0.006999,0.159613,-0.072472,-0.02003,-0.052573,-0.025375,0.140189,0.067105,-0.192771,-0.013242,-0.004816,3.125,0.031226,0.20671,0.404911
12,-1.787838,259.399994,0.17089,0.170713,3.041667,0.0,0.703947,62630.0,0.136471,0.477546,0.02347,0.112781,-0.019589,0.058841,6.559553,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.128816,-0.001192,-0.002326,-0.019944,-0.067493,-0.594213,-0.048058,-0.007573,0.185942,-0.081497,-0.02334,-0.056888,-0.029498,0.147376,0.071595,-0.205428,-0.022036,-0.006558,3.208333,0.028786,0.1862,0.453888
13,-2.050356,274.549988,0.169548,0.176909,3.625,0.0,0.6927,68065.0,0.153467,0.513484,0.025904,0.123075,-0.021589,0.057526,6.537887,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.13549,-0.001236,-0.002499,-0.021154,-0.077083,-0.604282,-0.049122,-0.007874,0.205992,-0.083151,-0.024338,-0.058661,-0.032823,0.130019,0.077455,-0.209328,-0.016517,-0.006898,3.458333,0.030953,0.222824,0.47655
