iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.661238,13.05,0.008338,0.008938,0.416667,38.333336,0.977043,41087.0,0.006741,0.02201,0.000516,0.005261,-0.001126,0.003129,7.221381,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.00602,-5.9e-05,-1.9e-05,-0.008041,-0.003752,-0.041871,-0.002762,-0.000384,0.008729,-0.004537,-0.001361,-0.003341,-0.001391,0.00819,0.003396,-0.014442,-1.7e-05,-6e-06,3.5,0.048406,0.126777,0.228119
1,-2.053316,39.720001,0.023698,0.019381,6.458333,0.0,0.949438,62618.0,0.020006,0.060407,0.003693,0.016575,-0.003569,0.008152,6.752447,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016383,-0.000163,-0.000171,-0.023427,-0.009556,-0.113955,-0.007374,-0.000962,0.023801,-0.013489,-0.003323,-0.007925,-0.003646,0.016015,0.007819,-0.038649,-0.000124,-0.000516,4.583333,0.030276,0.184374,0.554451
2,-2.968509,64.010002,0.036436,0.034521,5.25,0.0,0.921605,62563.0,0.033126,0.104546,0.005045,0.026838,-0.005232,0.012513,6.777098,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.027527,-0.000273,-0.000443,-0.022128,-0.015576,-0.186999,-0.012089,-0.001676,0.038355,-0.021311,-0.00541,-0.013624,-0.006008,0.027614,0.013246,-0.063105,-0.000537,-0.001083,4.291667,0.033922,0.176341,0.533587
3,-2.856667,76.589996,0.051263,0.047518,6.041667,0.0,0.892618,58446.0,0.040952,0.13761,0.006772,0.03568,-0.006687,0.020685,6.745547,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036682,-0.000361,-0.000611,-0.024453,-0.020716,-0.239219,-0.015873,-0.002261,0.051979,-0.028177,-0.00707,-0.017642,-0.008284,0.03929,0.017842,-0.080966,-0.000857,-0.001689,3.708333,0.028871,0.174973,0.550434
4,-3.853198,103.449997,0.065669,0.063089,6.041667,0.0,0.865697,59311.0,0.05543,0.18495,0.008817,0.047354,-0.008642,0.023726,6.705952,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.047959,-0.00047,-0.000843,-0.022493,-0.027747,-0.301831,-0.020724,-0.00299,0.069337,-0.035806,-0.009257,-0.023404,-0.01118,0.046502,0.022349,-0.102226,-0.001198,-0.002239,4.583333,0.030247,0.175749,0.50542
5,-3.943285,118.82,0.074645,0.075003,5.333333,0.0,0.837042,62845.0,0.067691,0.221687,0.010548,0.056636,-0.009843,0.025431,6.675212,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.057996,-0.000564,-0.001008,-0.023741,-0.033192,-0.350149,-0.024211,-0.003565,0.083754,-0.042711,-0.011052,-0.027192,-0.013577,0.054672,0.02854,-0.118982,-0.001838,-0.004055,3.708333,0.030026,0.183861,0.541101
6,-3.627327,135.020004,0.081335,0.084515,4.208333,0.0,0.820118,62975.0,0.067783,0.243254,0.010054,0.055836,-0.009637,0.030677,6.659213,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.064883,-0.000625,-0.001207,-0.023436,-0.032889,-0.376146,-0.026417,-0.003983,0.086227,-0.045561,-0.012334,-0.030306,-0.013645,0.080002,0.034285,-0.128147,-0.001767,-0.003007,2.958333,0.032381,0.188941,0.524392
7,-3.623637,163.369995,0.103335,0.103532,4.291667,0.0,0.796855,62129.0,0.087481,0.294029,0.01372,0.074775,-0.012922,0.037326,6.631905,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.077105,-0.00074,-0.001606,-0.022277,-0.044864,-0.432098,-0.031215,-0.004728,0.113672,-0.053483,-0.014577,-0.036252,-0.018577,0.080162,0.03922,-0.147516,-0.00253,-0.005814,3.5,0.028447,0.178557,0.504211
8,-4.305962,192.009995,0.107347,0.117312,3.083333,0.0,0.774997,51061.0,0.103361,0.341367,0.015797,0.085205,-0.014689,0.039021,6.610826,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.091243,-0.000872,-0.001904,-0.021455,-0.051828,-0.490372,-0.036047,-0.005636,0.132167,-0.060226,-0.016674,-0.042018,-0.021318,0.091531,0.048775,-0.167956,-0.006131,-0.010419,2.958333,0.032995,0.196775,0.475062
9,-3.867293,205.240005,0.130298,0.131698,3.291667,0.0,0.752846,41559.0,0.108596,0.363027,0.016661,0.084266,-0.014844,0.040182,6.606085,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.097282,-0.000914,-0.00185,-0.020596,-0.051507,-0.501296,-0.038001,-0.005873,0.137879,-0.064109,-0.017908,-0.044545,-0.02144,0.109229,0.052211,-0.17227,-0.006337,-0.014533,3.291667,0.026634,0.184256,0.47822
10,-3.010097,223.869995,0.149427,0.143718,2.875,0.0,0.732505,38174.0,0.121474,0.402402,0.018878,0.100299,-0.016575,0.051015,6.570638,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.109667,-0.00103,-0.002181,-0.016432,-0.060451,-0.545773,-0.041201,-0.006631,0.157984,-0.069754,-0.019526,-0.048326,-0.025188,0.116439,0.061119,-0.18757,-0.006152,-0.016683,3.791667,0.026615,0.204983,0.395766
11,-2.68758,250.410004,0.15191,0.161928,2.833333,0.0,0.718584,48531.0,0.131868,0.456865,0.019763,0.106479,-0.017809,0.059913,6.573649,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.12253,-0.001139,-0.002311,-0.019417,-0.064709,-0.587831,-0.04544,-0.007289,0.172839,-0.07738,-0.021673,-0.054397,-0.027123,0.146179,0.068089,-0.202851,-0.005281,-0.016308,3.291667,0.031218,0.196212,0.432783
12,-2.085697,268.910004,0.175719,0.176908,2.333333,0.0,0.705968,60041.0,0.143798,0.497891,0.023752,0.119181,-0.020333,0.066442,6.550569,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.133199,-0.001225,-0.002668,-0.016706,-0.071081,-0.614035,-0.049759,-0.007852,0.195305,-0.083705,-0.024478,-0.059897,-0.030397,0.14978,0.076386,-0.212333,-0.007027,-0.017614,3.375,0.028668,0.180344,0.415857
13,-1.936876,270.640015,0.182069,0.183264,3.208333,0.0,0.694574,60891.0,0.151064,0.507379,0.025065,0.1204,-0.020934,0.057389,6.573844,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.137541,-0.001261,-0.002594,-0.017503,-0.076856,-0.619924,-0.05013,-0.008088,0.205128,-0.084035,-0.024651,-0.060351,-0.032929,0.142114,0.078952,-0.214749,-0.006091,-0.016509,3.5,0.029092,0.200969,0.39782
14,-1.500174,298.179993,0.193539,0.204329,2.375,0.0,0.68439,59214.0,0.15965,0.557647,0.026148,0.136584,-0.022213,0.073898,6.572491,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.150745,-0.001382,-0.002996,-0.01548,-0.085673,-0.657815,-0.052963,-0.008856,0.223504,-0.087761,-0.025689,-0.064591,-0.036322,0.166636,0.090924,-0.228371,-0.009262,-0.024207,3.708333,0.029856,0.203481,0.346971
15,-1.023805,329.690002,0.213682,0.224049,2.416667,0.0,0.675076,63088.0,0.176843,0.585022,0.02675,0.133229,-0.022496,0.06456,6.558561,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.162303,-0.001471,-0.003023,-0.016524,-0.083751,-0.683631,-0.055656,-0.009319,0.23161,-0.093144,-0.027891,-0.067923,-0.035784,0.176564,0.101027,-0.237807,-0.009083,-0.017396,3.125,0.031764,0.192062,0.397917
16,-0.158539,335.75,0.230261,0.228096,2.458333,0.0,0.666054,62682.0,0.185574,0.600318,0.030469,0.155885,-0.025523,0.087804,6.562611,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.170427,-0.001528,-0.003353,-0.018527,-0.094299,-0.705837,-0.058558,-0.009809,0.258464,-0.097013,-0.029425,-0.071644,-0.040366,0.195523,0.108849,-0.245994,-0.016045,-0.035044,2.75,0.025137,0.197221,0.385518
17,0.72211,376.540009,0.260526,0.272548,1.875,0.0,0.658462,63527.0,0.211817,0.703589,0.035858,0.170609,-0.029155,0.09066,6.548801,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.193336,-0.001742,-0.003716,-0.01179,-0.107102,-0.786233,-0.066694,-0.01113,0.293936,-0.109606,-0.033347,-0.082425,-0.046455,0.21859,0.122874,-0.274284,-0.011388,-0.030885,3.458333,0.027307,0.173154,0.31615
18,0.884834,387.429993,0.252551,0.273068,1.791667,0.0,0.650709,60350.0,0.213946,0.70184,0.036402,0.176674,-0.02991,0.098734,6.558992,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.195174,-0.00173,-0.004008,-0.014546,-0.108035,-0.772822,-0.06658,-0.011134,0.29918,-0.111819,-0.034515,-0.083291,-0.045901,0.215141,0.12296,-0.270009,-0.017722,-0.062944,2.833333,0.029964,0.196273,0.324958
19,2.698469,423.200012,0.279342,0.288449,1.208333,0.0,0.644072,59236.0,0.217861,0.726754,0.037104,0.177038,-0.029156,0.09703,6.526634,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.20515,-0.001806,-0.0041,-0.010287,-0.108916,-0.787603,-0.06894,-0.011678,0.305175,-0.112433,-0.035295,-0.085585,-0.045788,0.234492,0.135382,-0.275999,-0.011477,-0.037365,3.791667,0.023982,0.168332,0.25576
20,3.641409,448.149994,0.286078,0.296891,1.541667,0.0,0.637379,62555.0,0.232826,0.772587,0.037917,0.192099,-0.031178,0.104405,6.539726,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.221535,-0.001998,-0.004454,-0.012386,-0.119048,-0.831663,-0.073252,-0.012537,0.327789,-0.118482,-0.036571,-0.090166,-0.051997,0.258742,0.151176,-0.29187,-0.017197,-0.052756,3.541667,0.028024,0.206639,0.316929
21,2.561964,464.059998,0.302233,0.310041,1.208333,0.0,0.629564,64034.0,0.2546,0.82463,0.041942,0.201469,-0.03363,0.105303,6.531919,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.229416,-0.002011,-0.004696,-0.010687,-0.121919,-0.854742,-0.076508,-0.012876,0.344797,-0.126029,-0.040088,-0.096092,-0.05275,0.236514,0.149071,-0.299957,-0.014607,-0.053401,3.125,0.029337,0.204276,0.302722
22,4.791957,478.660004,0.337754,0.330031,1.333333,0.0,0.623689,62705.0,0.248455,0.861055,0.038664,0.192808,-0.031004,0.113887,6.562302,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.248059,-0.002194,-0.005006,-0.009735,-0.117427,-0.903132,-0.080974,-0.013972,0.34588,-0.129237,-0.041658,-0.100305,-0.051036,0.324277,0.178452,-0.317084,-0.014524,-0.047132,3.5,0.027007,0.22775,0.261192
23,5.538092,523.650024,0.35553,0.355912,0.75,0.0,0.616463,62220.0,0.26557,0.900178,0.046793,0.226576,-0.038006,0.133071,6.534835,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.255109,-0.002259,-0.005273,-0.009333,-0.138272,-0.907196,-0.083839,-0.01426,0.39037,-0.133046,-0.043341,-0.104025,-0.060723,0.309128,0.175069,-0.319558,-0.024522,-0.081787,3.125,0.027456,0.194336,0.287238
24,5.859536,537.48999,0.362901,0.379283,0.75,0.0,0.609664,60206.0,0.283872,0.951076,0.048109,0.224864,-0.037678,0.125555,6.536765,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.268094,-0.002287,-0.005187,-0.008167,-0.136465,-0.934091,-0.086984,-0.014832,0.398382,-0.142605,-0.046106,-0.109975,-0.058668,0.30698,0.179573,-0.329486,-0.02184,-0.067974,3.083333,0.028424,0.169003,0.249518
25,7.456546,511.640015,0.364391,0.363993,1.291667,0.0,0.603347,65274.0,0.273992,0.932526,0.052241,0.237932,-0.03907,0.145469,6.568198,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.263888,-0.002251,-0.005795,-0.012258,-0.144932,-0.897557,-0.082424,-0.014406,0.413181,-0.13162,-0.044742,-0.102544,-0.063001,0.322884,0.187823,-0.317369,-0.025404,-0.085832,2.833333,0.024371,0.179943,0.298101
26,8.32468,594.849976,0.399573,0.417397,0.521739,0.0,0.597572,68517.0,0.300965,1.016504,0.049697,0.253352,-0.040261,0.142249,6.551617,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.294306,-0.002585,-0.006624,-0.005623,-0.160079,-0.996122,-0.090462,-0.01614,0.448043,-0.143487,-0.047114,-0.115745,-0.069978,0.341505,0.224384,-0.352311,-0.021758,-0.087534,3.173913,0.026373,0.176202,0.210608
27,8.960307,599.51001,0.397077,0.404021,0.916667,0.0,0.591227,67406.0,0.292321,1.004138,0.048604,0.226411,-0.036908,0.130746,6.532442,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.296283,-0.00257,-0.006404,-0.008254,-0.145692,-0.979886,-0.089252,-0.015825,0.423069,-0.142635,-0.047581,-0.111387,-0.063849,0.394481,0.229502,-0.347297,-0.020531,-0.078979,3.208333,0.026992,0.172042,0.232837
28,10.017606,619.140015,0.409333,0.445364,0.5,0.0,0.584443,69390.0,0.317872,1.094934,0.051548,0.259641,-0.041066,0.152361,6.533161,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.316305,-0.002781,-0.007195,-0.004894,-0.164819,-1.033419,-0.09517,-0.017084,0.465901,-0.149709,-0.050509,-0.120416,-0.072229,0.409665,0.241159,-0.366374,-0.017891,-0.074612,3.045455,0.034232,0.201059,0.207215
29,12.167678,667.460022,0.454916,0.487236,0.416667,0.0,0.578094,64074.0,0.348465,1.157888,0.058406,0.272516,-0.042992,0.147709,6.549716,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.336547,-0.002877,-0.007062,-0.004,-0.166042,-1.086975,-0.100532,-0.017997,0.492075,-0.159046,-0.054679,-0.127395,-0.072906,0.405779,0.264136,-0.38549,-0.017078,-0.095964,3.25,0.025733,0.194122,0.193322
30,11.845477,689.97998,0.452754,0.487877,0.454545,0.0,0.571054,68136.0,0.349882,1.1668,0.057687,0.272871,-0.042863,0.15198,6.553392,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.347411,-0.002974,-0.008137,-0.004424,-0.172773,-1.100466,-0.101667,-0.018695,0.504877,-0.157803,-0.055287,-0.129794,-0.075407,0.409623,0.285405,-0.391009,-0.021922,-0.094701,3.181818,0.023737,0.20536,0.176055
31,12.716868,730.590027,0.532888,0.55004,0.217391,0.0,0.56504,64857.0,0.386942,1.287872,0.06656,0.292863,-0.048898,0.164718,6.535472,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.375335,-0.003135,-0.007757,-0.002422,-0.182767,-1.17722,-0.112872,-0.020216,0.552492,-0.180563,-0.063603,-0.144186,-0.080031,0.448441,0.293398,-0.418449,-0.036145,-0.150534,3.0,0.020406,0.184132,0.13976
32,15.68601,745.099976,0.510254,0.52177,0.434783,0.0,0.558403,69565.0,0.375964,1.252539,0.073992,0.305619,-0.051833,0.184115,6.542675,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.368693,-0.003096,-0.00802,-0.005754,-0.188394,-1.124412,-0.110247,-0.019361,0.561466,-0.173267,-0.060912,-0.137578,-0.084651,0.451529,0.296898,-0.400567,-0.025592,-0.093185,3.304348,0.024805,0.178689,0.186774
33,17.047573,781.880005,0.556051,0.533852,0.166667,0.0,0.552068,66727.0,0.375124,1.280994,0.070861,0.302033,-0.050061,0.186208,6.531744,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.381213,-0.003207,-0.009527,-0.002833,-0.194402,-1.164059,-0.110685,-0.020164,0.573018,-0.174164,-0.061498,-0.141334,-0.08592,0.486503,0.315963,-0.414431,-0.023514,-0.100491,3.958333,0.029103,0.2034,0.138656
34,18.437191,811.659973,0.547018,0.599225,0.095238,0.0,0.546866,73593.0,0.410589,1.352572,0.077497,0.357515,-0.054006,0.224479,6.517617,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.412005,-0.003556,-0.010062,-0.001333,-0.22269,-1.249245,-0.11696,-0.021595,0.637708,-0.183338,-0.064552,-0.146897,-0.098539,0.496656,0.35253,-0.444992,-0.027678,-0.133229,2.333333,0.028848,0.224796,0.107656
35,20.647833,827.320007,0.581149,0.588628,0.238095,0.0,0.541138,73870.0,0.417779,1.38971,0.080663,0.357223,-0.058311,0.22054,6.517848,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.418429,-0.003478,-0.009573,-0.002048,-0.223572,-1.242981,-0.119708,-0.021711,0.650008,-0.184834,-0.068186,-0.15291,-0.098773,0.530044,0.359146,-0.443653,-0.024827,-0.095833,3.285714,0.028594,0.174724,0.118764
