iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.664371,13.28,0.008385,0.008945,0.458333,38.333336,0.976972,41669.0,0.006727,0.021917,0.000541,0.005289,-0.001129,0.003254,7.22506,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.006018,-5.9e-05,-1.9e-05,-0.008208,-0.003781,-0.041811,-0.00275,-0.000381,0.008753,-0.004533,-0.001356,-0.003323,-0.001434,0.008151,0.003488,-0.01442,-3.3e-05,-2.5e-05,3.5,0.048267,0.12666,0.227733
1,-2.172676,41.310001,0.023252,0.019636,6.333333,0.0,0.948633,61629.0,0.02003,0.060966,0.003633,0.01674,-0.003579,0.008348,6.746467,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.01647,-0.000164,-0.000215,-0.02328,-0.00961,-0.114016,-0.00743,-0.000953,0.023688,-0.013844,-0.003339,-0.007682,-0.003641,0.015925,0.007741,-0.038695,-0.000297,-0.000464,4.583333,0.031865,0.187433,0.541004
2,-2.65092,54.450001,0.033612,0.032259,7.166667,0.0,0.920382,62286.0,0.030563,0.096781,0.004881,0.025161,-0.004829,0.012469,6.76054,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.025746,-0.000255,-0.000407,-0.025032,-0.014522,-0.173308,-0.011254,-0.001579,0.036172,-0.019676,-0.005057,-0.012656,-0.005727,0.025502,0.012464,-0.058545,-0.000896,-0.001297,4.291667,0.032864,0.186112,0.569374
3,-3.090647,84.139999,0.05034,0.04906,4.666667,0.0,0.89237,61880.0,0.041055,0.143719,0.007232,0.035866,-0.006561,0.020849,6.729808,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.038204,-0.000376,-0.000651,-0.022403,-0.020556,-0.249838,-0.016609,-0.002333,0.052684,-0.028755,-0.007489,-0.018521,-0.00853,0.04571,0.019008,-0.084286,-0.001534,-0.001529,3.708333,0.032657,0.185142,0.522781
4,-3.388761,102.050003,0.067003,0.063494,5.25,0.0,0.866591,63040.0,0.05526,0.185059,0.008639,0.048593,-0.008661,0.025495,6.706264,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.048175,-0.000471,-0.000796,-0.020609,-0.028332,-0.303135,-0.020616,-0.002994,0.070799,-0.035374,-0.009363,-0.0232,-0.011382,0.049447,0.023428,-0.1027,-0.002463,-0.002307,5.041667,0.027743,0.181208,0.486408
5,-4.033641,124.349998,0.075519,0.075545,4.833333,0.0,0.839165,64114.0,0.067561,0.222479,0.010338,0.054952,-0.009758,0.026656,6.694621,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.058446,-0.000568,-0.001118,-0.022235,-0.03288,-0.352135,-0.024405,-0.003597,0.083116,-0.042364,-0.0111,-0.028099,-0.013397,0.058197,0.028523,-0.119484,-0.003427,-0.003885,3.708333,0.030897,0.188558,0.503735
6,-3.844079,142.490005,0.087877,0.08906,3.833333,0.0,0.812936,63384.0,0.073286,0.25691,0.012293,0.06454,-0.011262,0.036605,6.663517,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.068336,-0.000656,-0.001244,-0.023388,-0.037882,-0.394414,-0.027722,-0.004206,0.096883,-0.048457,-0.012889,-0.031653,-0.01549,0.079547,0.034433,-0.134264,-0.004467,-0.003912,2.875,0.031914,0.191814,0.511132
7,-3.962016,168.559998,0.106537,0.10515,4.583333,0.0,0.787953,63909.0,0.091941,0.297494,0.014158,0.076104,-0.013176,0.036573,6.639803,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.08027,-0.000767,-0.001476,-0.023253,-0.045489,-0.445799,-0.032612,-0.004925,0.116962,-0.055462,-0.015408,-0.037323,-0.018695,0.082137,0.042382,-0.152099,-0.005622,-0.008121,3.291667,0.028915,0.187391,0.511673
8,-3.418855,184.869995,0.110177,0.114033,3.125,0.0,0.765248,57527.0,0.098573,0.326336,0.014857,0.080064,-0.013667,0.039554,6.612607,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.088039,-0.000836,-0.001643,-0.020283,-0.049383,-0.468569,-0.034277,-0.005354,0.126957,-0.058159,-0.015959,-0.039902,-0.020816,0.092095,0.047162,-0.160416,-0.005546,-0.006782,3.125,0.031333,0.203661,0.478138
9,-3.595967,204.25,0.122393,0.128145,3.75,0.0,0.744866,42114.0,0.108872,0.357341,0.016511,0.086686,-0.014891,0.042313,6.601972,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.096464,-0.000908,-0.001835,-0.020939,-0.054954,-0.494233,-0.036625,-0.005794,0.141392,-0.061878,-0.017421,-0.043196,-0.022939,0.102132,0.053117,-0.169741,-0.010982,-0.011882,3.291667,0.031395,0.180919,0.468882
10,-2.997687,207.020004,0.134365,0.138127,2.916667,0.0,0.729675,38145.0,0.120926,0.397197,0.018398,0.096023,-0.016251,0.049858,6.584349,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.106343,-0.001001,-0.002009,-0.016892,-0.058335,-0.52591,-0.040398,-0.006422,0.153494,-0.067776,-0.01947,-0.04782,-0.024138,0.113614,0.058583,-0.180863,-0.011801,-0.015678,3.833333,0.03288,0.199905,0.405478
11,-3.123579,256.359985,0.149965,0.16259,2.608696,0.0,0.717009,44364.0,0.135207,0.459547,0.020908,0.106229,-0.018115,0.054586,6.574655,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.123335,-0.001142,-0.002227,-0.017006,-0.066366,-0.587188,-0.045478,-0.007254,0.177188,-0.07781,-0.021826,-0.054503,-0.028195,0.135429,0.067262,-0.202267,-0.011088,-0.015208,3.391304,0.030787,0.197487,0.38322
12,-2.913958,261.380005,0.157044,0.158028,3.166667,0.0,0.704567,66669.0,0.138815,0.457255,0.020867,0.10669,-0.017978,0.049366,6.569385,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.4,0.122488,-0.001135,-0.002204,-0.021709,-0.064046,-0.559402,-0.045378,-0.007242,0.173791,-0.0764,-0.022006,-0.053564,-0.027279,0.122076,0.068117,-0.193681,-0.01168,-0.015242,3.25,0.031384,0.212325,0.447189
