iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.605092,14.39,0.008645,0.008953,0.291667,38.166668,0.976798,42191.0,0.007768,0.020705,0.000502,0.005503,-0.001162,0.002342,7.122081,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006057,-6e-05,-5.3e-05,-0.008447,-0.004132,-0.041213,-0.002811,-0.000392,0.009106,-0.004935,-0.00131,-0.003371,-0.001594,0.00649,0.003258,-0.014328,-1.7e-05,-1.6e-05,4.958333,0.050847,0.151684,0.21381
1,-1.840033,40.490002,0.023224,0.022365,3.125,0.0,0.948878,63204.0,0.020503,0.062,0.003266,0.017642,-0.003425,0.010776,6.70516,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.017512,-0.000172,-0.000285,-0.016518,-0.010277,-0.120395,-0.007919,-0.001088,0.025166,-0.013984,-0.003698,-0.008621,-0.003848,0.020022,0.008846,-0.040876,-0.000101,-0.000163,4.5,0.033074,0.168433,0.437294
2,-2.406699,58.57,0.033331,0.033755,2.958333,0.0,0.920872,64099.0,0.030211,0.101769,0.004823,0.02712,-0.005057,0.014953,6.691732,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026615,-0.000262,-0.000567,-0.018052,-0.015964,-0.177948,-0.011692,-0.001688,0.039128,-0.019806,-0.005523,-0.012558,-0.006216,0.030281,0.013341,-0.060211,-0.000364,-0.000237,3.666667,0.033322,0.197501,0.46558
3,-3.324146,83.669998,0.052022,0.049832,3.041667,0.0,0.891716,60711.0,0.046651,0.144239,0.007291,0.038797,-0.007109,0.017932,6.669038,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.038912,-0.000379,-0.000696,-0.019008,-0.022341,-0.252721,-0.016973,-0.002514,0.056231,-0.029079,-0.007866,-0.018419,-0.008771,0.037146,0.019013,-0.08554,-0.000948,-0.000485,3.666667,0.029894,0.194321,0.474324
4,-3.409071,100.580002,0.060881,0.061143,3.791667,0.0,0.868827,64622.0,0.054109,0.185874,0.008185,0.045541,-0.008003,0.023607,6.645172,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.047436,-0.000459,-0.001023,-0.018689,-0.026797,-0.294654,-0.02018,-0.003048,0.067385,-0.034141,-0.009371,-0.022538,-0.010657,0.05114,0.022511,-0.100016,-0.001443,-0.000784,4.583333,0.03052,0.177318,0.466761
5,-3.207459,119.370003,0.078708,0.073317,3.291667,0.0,0.841802,61141.0,0.063632,0.221474,0.010185,0.05522,-0.009522,0.02918,6.617986,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.058107,-0.00056,-0.001228,-0.017749,-0.032249,-0.347814,-0.024264,-0.003758,0.082748,-0.0401,-0.011257,-0.027068,-0.013273,0.065394,0.02975,-0.118313,-0.001668,-0.001532,3.958333,0.028103,0.202446,0.442202
6,-3.74206,139.639999,0.082507,0.090264,2.75,0.0,0.817692,62168.0,0.075588,0.261352,0.01215,0.063399,-0.010944,0.032644,6.60753,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.068376,-0.000649,-0.001359,-0.017026,-0.037643,-0.393022,-0.028052,-0.004352,0.097549,-0.046643,-0.013425,-0.031208,-0.015453,0.074185,0.033875,-0.133957,-0.002286,-0.001243,3.875,0.033394,0.177325,0.432669
7,-4.032257,178.449997,0.106442,0.112617,2.041667,0.0,0.79135,61807.0,0.096658,0.323256,0.014733,0.080792,-0.013456,0.036718,6.589702,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.0856,-0.000818,-0.001925,-0.012569,-0.048245,-0.474415,-0.034624,-0.005452,0.123658,-0.057205,-0.016097,-0.039312,-0.019914,0.085207,0.044622,-0.162272,-0.003568,-0.002106,4.541667,0.031851,0.192151,0.371142
8,-3.511512,187.25,0.112412,0.118269,2.625,0.0,0.772197,54744.0,0.101612,0.348035,0.014445,0.080514,-0.013433,0.038629,6.574321,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.092618,-0.000869,-0.001836,-0.014495,-0.050872,-0.490275,-0.035947,-0.00585,0.131119,-0.059271,-0.017689,-0.04175,-0.02091,0.097805,0.051377,-0.168339,-0.004394,-0.002673,4.458333,0.031768,0.202017,0.392963
9,-3.634944,224.25,0.139054,0.141636,2.875,0.0,0.748615,43204.0,0.123018,0.397587,0.019525,0.105705,-0.017449,0.049198,6.547197,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.107079,-0.000998,-0.002245,-0.016519,-0.062167,-0.546442,-0.041726,-0.006616,0.161548,-0.07026,-0.020343,-0.048072,-0.025988,0.098622,0.059672,-0.187939,-0.00528,-0.004294,4.375,0.028927,0.192961,0.405252
