iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.875301,15.25,0.008052,0.007865,1.347826,39.304348,0.976915,38184.0,0.006468,0.020117,0.00083,0.005608,-0.001414,0.002914,7.214338,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005684,-5.7e-05,-2.5e-05,-0.012459,-0.003998,-0.038747,-0.002597,-0.000334,0.008897,-0.004904,-0.001141,-0.003207,-0.00155,0.006257,0.00304,-0.01352,-1.8e-05,-3.4e-05,4.0,0.050053,0.127543,0.294448
1,-2.195122,37.619999,0.022734,0.018394,10.875,0.0,0.947663,62173.0,0.019707,0.060001,0.004073,0.016253,-0.003799,0.008431,6.803865,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.01571,-0.000158,-0.000133,-0.030848,-0.008828,-0.11195,-0.00725,-0.000872,0.022366,-0.01388,-0.003176,-0.00747,-0.003401,0.015413,0.007029,-0.037959,-0.000118,-0.000482,3.25,0.030276,0.128868,0.660831
2,-2.823644,61.119999,0.036035,0.033177,10.625,0.0,0.918195,62878.0,0.031111,0.099026,0.005953,0.025308,-0.005347,0.013586,6.813622,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026267,-0.00026,-0.000283,-0.029485,-0.014203,-0.179556,-0.011687,-0.001517,0.036412,-0.020281,-0.005239,-0.012545,-0.005701,0.027161,0.012603,-0.06059,-0.000393,-0.001076,3.875,0.031747,0.136737,0.640546
3,-3.069555,79.160004,0.04933,0.050317,8.541667,0.0,0.892585,63534.0,0.043396,0.141858,0.007707,0.037937,-0.007389,0.021002,6.790695,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.037159,-0.000363,-0.00051,-0.026581,-0.02168,-0.241173,-0.016086,-0.002211,0.054476,-0.02793,-0.007381,-0.017909,-0.008877,0.037052,0.017526,-0.08155,-0.000749,-0.001589,4.5,0.033143,0.124246,0.591762
4,-3.541129,96.639999,0.056953,0.060208,7.541667,0.0,0.862195,62819.0,0.050756,0.170945,0.009254,0.043913,-0.008418,0.024257,6.739395,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.044888,-0.000439,-0.00058,-0.027792,-0.025679,-0.281634,-0.018957,-0.002665,0.064675,-0.032425,-0.00857,-0.020914,-0.010507,0.047179,0.021727,-0.095356,-0.001084,-0.002734,3.333333,0.033136,0.137319,0.609557
5,-4.071263,122.480003,0.067623,0.079168,6.208333,0.0,0.849103,61471.0,0.062794,0.216052,0.009911,0.050704,-0.009087,0.025265,6.6907,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.056682,-0.000551,-0.000756,-0.024536,-0.029872,-0.341416,-0.023717,-0.003453,0.076878,-0.040541,-0.010698,-0.02722,-0.012128,0.061012,0.027865,-0.115896,-0.001972,-0.003387,3.583333,0.036173,0.127666,0.556442
6,-3.932836,140.300003,0.082502,0.089858,7.083333,0.0,0.822828,60446.0,0.072288,0.243308,0.01235,0.060642,-0.011006,0.031916,6.683885,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.064249,-0.000616,-0.000862,-0.026354,-0.035676,-0.370114,-0.026172,-0.003855,0.092179,-0.044778,-0.012027,-0.030022,-0.014789,0.068568,0.032743,-0.125886,-0.001963,-0.004097,3.625,0.032492,0.130824,0.592932
7,-3.744457,162.839996,0.09827,0.106442,5.125,0.0,0.7962,65548.0,0.085284,0.285115,0.013951,0.071116,-0.012561,0.034869,6.662816,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.077135,-0.000741,-0.00109,-0.024176,-0.04275,-0.430909,-0.030889,-0.00467,0.109265,-0.051451,-0.014127,-0.034944,-0.01784,0.08196,0.041898,-0.146711,-0.003105,-0.00574,3.208333,0.032323,0.131641,0.533613
8,-3.223265,179.100006,0.11539,0.12658,5.041667,0.0,0.772546,55311.0,0.097537,0.324337,0.016292,0.080759,-0.014434,0.042617,6.639965,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.087793,-0.000833,-0.001235,-0.025229,-0.047993,-0.471944,-0.035325,-0.005285,0.126361,-0.058921,-0.01621,-0.040606,-0.020029,0.094692,0.047864,-0.161267,-0.003824,-0.009765,3.0,0.031256,0.130205,0.545076
9,-3.132003,192.710007,0.124162,0.140113,4.416667,0.0,0.753376,42535.0,0.10913,0.355935,0.018109,0.087498,-0.015404,0.041143,6.641916,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.09672,-0.000907,-0.001345,-0.022423,-0.050749,-0.499834,-0.037651,-0.005731,0.137273,-0.062387,-0.017781,-0.044343,-0.021464,0.100117,0.052789,-0.171189,-0.005947,-0.014914,3.041667,0.030305,0.118828,0.486252
10,-2.421749,215.669998,0.138085,0.14869,3.125,0.0,0.73664,37813.0,0.114665,0.390535,0.019476,0.097454,-0.016819,0.055238,6.595057,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.104555,-0.000975,-0.001467,-0.021446,-0.059004,-0.518428,-0.039492,-0.006202,0.154428,-0.066033,-0.018955,-0.04692,-0.024805,0.115817,0.058635,-0.178229,-0.004105,-0.010845,2.666667,0.028799,0.136693,0.483014
11,-2.855499,238.289993,0.152273,0.165114,3.875,0.0,0.724271,40331.0,0.126657,0.425903,0.021572,0.101183,-0.017989,0.04988,6.600051,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.114583,-0.00106,-0.001542,-0.022128,-0.059133,-0.551923,-0.043253,-0.006717,0.163193,-0.072512,-0.020832,-0.050103,-0.025296,0.118653,0.064347,-0.190136,-0.005923,-0.015294,3.25,0.030352,0.152353,0.475
