iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.653942,12.91,0.008199,0.008832,0.416667,38.291668,0.976809,41749.0,0.006595,0.021626,0.000515,0.005166,-0.001107,0.003089,7.220562,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005977,-5.8e-05,-1.6e-05,-0.007722,-0.003697,-0.041289,-0.002719,-0.000396,0.008659,-0.004497,-0.001355,-0.003337,-0.001403,0.008124,0.003304,-0.014252,-1.6e-05,-2e-05,3.5,0.048357,0.123331,0.226797
1,-2.185575,42.07,0.023795,0.020793,6.375,0.0,0.94921,61692.0,0.019832,0.062166,0.003547,0.017229,-0.003651,0.009589,6.744471,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016793,-0.000168,-0.000248,-0.023463,-0.009905,-0.117035,-0.007628,-0.000989,0.024024,-0.01425,-0.003396,-0.008481,-0.003813,0.0181,0.007702,-0.039619,-0.000176,-0.000874,4.583333,0.031191,0.129273,0.552931
2,-2.81918,62.07,0.036664,0.036744,5.458333,0.0,0.920832,61805.0,0.033319,0.104991,0.0053,0.027702,-0.005199,0.013223,6.764345,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.028012,-0.000278,-0.000376,-0.022616,-0.016309,-0.189804,-0.012034,-0.001668,0.039407,-0.020948,-0.005417,-0.013512,-0.006411,0.026685,0.013655,-0.064076,-0.000422,-0.002843,4.291667,0.033665,0.117537,0.523576
3,-2.969396,79.419998,0.052656,0.050375,4.583333,0.0,0.890942,61758.0,0.042871,0.143035,0.006778,0.0351,-0.006576,0.01795,6.740696,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.037533,-0.000372,-0.000724,-0.022762,-0.020156,-0.24402,-0.016395,-0.00228,0.051152,-0.028239,-0.007368,-0.017782,-0.008264,0.039654,0.018661,-0.082509,-0.000772,-0.003417,3.666667,0.028093,0.147969,0.54016
4,-3.658605,108.279999,0.066005,0.071002,4.291667,0.0,0.869807,61390.0,0.056538,0.190392,0.008711,0.048071,-0.008473,0.024323,6.692304,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.049567,-0.000485,-0.000828,-0.018215,-0.028193,-0.31212,-0.021225,-0.003132,0.070569,-0.036722,-0.009751,-0.024784,-0.011525,0.049688,0.023661,-0.105618,-0.001516,-0.005485,5.0,0.030632,0.129134,0.431691
5,-4.167121,127.489998,0.080698,0.086193,3.625,0.0,0.84054,59901.0,0.069423,0.237839,0.010767,0.058405,-0.010152,0.03046,6.663302,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.06128,-0.000595,-0.001126,-0.018224,-0.034087,-0.367475,-0.025862,-0.003804,0.087632,-0.045074,-0.011957,-0.029187,-0.013935,0.062114,0.028979,-0.124992,-0.002058,-0.008096,3.916667,0.031728,0.151124,0.459695
6,-4.1243,143.759995,0.086571,0.094807,3.5,0.0,0.823301,59688.0,0.07818,0.256502,0.011762,0.063428,-0.010954,0.031813,6.639792,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.067432,-0.000649,-0.001097,-0.021795,-0.036937,-0.390379,-0.027774,-0.004152,0.095556,-0.047633,-0.01307,-0.031969,-0.015226,0.068312,0.034392,-0.132856,-0.001761,-0.01012,2.916667,0.032444,0.137577,0.488551
7,-3.394139,153.320007,0.10592,0.106482,4.291667,0.0,0.798384,58660.0,0.087082,0.284751,0.013018,0.072536,-0.012775,0.037182,6.625946,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.075439,-0.000724,-0.001331,-0.022777,-0.042824,-0.42175,-0.031056,-0.004641,0.109789,-0.05348,-0.014676,-0.035766,-0.017586,0.081552,0.038936,-0.143946,-0.003065,-0.015812,3.541667,0.026762,0.136019,0.505728
8,-3.545599,168.990005,0.101617,0.121292,3.625,0.0,0.774747,51703.0,0.095232,0.314447,0.012926,0.074998,-0.012582,0.036838,6.585591,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.084464,-0.000803,-0.001464,-0.021181,-0.046506,-0.448877,-0.032717,-0.00517,0.118387,-0.055078,-0.015416,-0.038874,-0.019239,0.086088,0.044524,-0.154093,-0.004235,-0.017997,2.875,0.032738,0.14553,0.474001
9,-3.55132,205.339996,0.140226,0.151237,3.416667,0.0,0.756771,39844.0,0.115574,0.373242,0.016514,0.089272,-0.01488,0.04211,6.568943,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.102298,-0.000968,-0.001885,-0.021082,-0.054226,-0.525618,-0.039187,-0.006187,0.141628,-0.06784,-0.018844,-0.045714,-0.022682,0.108117,0.056847,-0.180535,-0.00451,-0.021968,3.25,0.027329,0.127857,0.464302
