iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.636649,13.56,0.008837,0.00904,0.375,35.583336,0.976503,37733.0,0.006768,0.020581,0.000417,0.005092,-0.001143,0.003162,7.200914,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006057,-5.9e-05,-5e-05,-0.008525,-0.003816,-0.040901,-0.002752,-0.000406,0.008846,-0.004556,-0.00121,-0.003543,-0.00142,0.007756,0.003667,-0.014223,-1.5e-05,-2.2e-05,3.958333,0.048796,0.157025,0.225878
1,-2.075123,41.73,0.024195,0.021309,6.041667,0.0,0.949079,66507.0,0.019934,0.062914,0.003824,0.01731,-0.00379,0.009586,6.726856,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016825,-0.000168,-0.000216,-0.023646,-0.009548,-0.118628,-0.007641,-0.00099,0.024233,-0.01359,-0.003467,-0.008438,-0.003678,0.018001,0.007586,-0.040148,-0.000181,-0.000712,3.916667,0.028845,0.142832,0.545602
2,-2.319523,58.66,0.035891,0.034277,5.583333,0.0,0.920703,66841.0,0.030319,0.097091,0.006107,0.026741,-0.00565,0.014882,6.732979,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026909,-0.000265,-0.000381,-0.024718,-0.014757,-0.181559,-0.011859,-0.001592,0.038787,-0.020393,-0.005498,-0.012716,-0.005856,0.030351,0.013199,-0.06145,-0.000443,-0.002088,3.541667,0.032089,0.137228,0.549406
3,-3.153359,85.559998,0.049163,0.050082,6.083333,0.0,0.894719,66614.0,0.039581,0.139068,0.007225,0.036227,-0.007033,0.020763,6.722029,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.037085,-0.000363,-0.000564,-0.023913,-0.021186,-0.242248,-0.015953,-0.002285,0.053778,-0.02703,-0.00731,-0.017726,-0.008479,0.04241,0.018257,-0.081878,-0.001003,-0.00419,4.083333,0.030914,0.132414,0.527844
4,-3.445849,105.980003,0.065739,0.067185,4.166667,0.0,0.867016,63743.0,0.053458,0.180724,0.009055,0.047779,-0.008591,0.026399,6.692184,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.049827,-0.000488,-0.000706,-0.019425,-0.028249,-0.312595,-0.020862,-0.003101,0.070981,-0.034116,-0.00943,-0.02345,-0.01161,0.055566,0.027312,-0.105831,-0.001691,-0.006496,3.916667,0.032766,0.148665,0.484915
5,-3.820112,122.139999,0.078128,0.083746,4.708333,0.0,0.838931,62262.0,0.065429,0.216873,0.010525,0.05337,-0.009593,0.026442,6.69037,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.058871,-0.00057,-0.000779,-0.02106,-0.031079,-0.353658,-0.024575,-0.003623,0.081688,-0.041261,-0.011187,-0.028098,-0.013061,0.064261,0.030302,-0.120181,-0.002056,-0.007148,4.25,0.02929,0.131416,0.494266
6,-3.147859,131.570007,0.089984,0.091795,4.625,0.0,0.821682,64229.0,0.068939,0.237612,0.012581,0.063549,-0.011538,0.038624,6.665155,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.064967,-0.000621,-0.001036,-0.023347,-0.036613,-0.374712,-0.026797,-0.004027,0.096032,-0.045518,-0.012576,-0.030539,-0.015093,0.076899,0.033056,-0.127624,-0.004005,-0.014033,3.458333,0.026412,0.141901,0.544055
7,-3.378661,158.029999,0.100314,0.105563,4.083333,0.0,0.794899,61356.0,0.078162,0.27382,0.012822,0.066049,-0.011724,0.040061,6.627086,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.075137,-0.000718,-0.001355,-0.022636,-0.03919,-0.416417,-0.030107,-0.004653,0.105005,-0.05064,-0.014016,-0.034669,-0.016404,0.098056,0.039966,-0.142219,-0.003093,-0.01305,3.416667,0.029404,0.153009,0.506445
8,-3.697362,190.990005,0.115089,0.135272,3.041667,0.0,0.771556,53203.0,0.096677,0.347142,0.017097,0.085361,-0.014908,0.049929,6.615503,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.094338,-0.000896,-0.001416,-0.021277,-0.050992,-0.504302,-0.036861,-0.005683,0.134806,-0.060656,-0.017321,-0.042538,-0.021439,0.116111,0.053284,-0.172784,-0.005155,-0.025883,3.25,0.032468,0.124411,0.475253
9,-2.908026,194.029999,0.136706,0.137834,3.5,0.0,0.754529,42130.0,0.10553,0.355169,0.018684,0.091243,-0.015769,0.048032,6.59507,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.097832,-0.000912,-0.001527,-0.019529,-0.054089,-0.499883,-0.037818,-0.005968,0.144026,-0.063266,-0.018298,-0.044454,-0.023075,0.106663,0.054733,-0.171628,-0.004837,-0.028719,3.875,0.02508,0.144784,0.486553
10,-3.406032,231.789993,0.154917,0.167142,2.0,0.0,0.741371,38437.0,0.132144,0.418834,0.022305,0.108479,-0.018682,0.055651,6.582424,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.116444,-0.001061,-0.001687,-0.017483,-0.063099,-0.585185,-0.044362,-0.006982,0.173335,-0.073533,-0.021544,-0.052857,-0.026718,0.119834,0.066423,-0.200789,-0.009695,-0.042295,2.916667,0.028375,0.129906,0.396401
11,-2.162532,238.009995,0.157012,0.168722,3.5,0.0,0.726956,49901.0,0.119392,0.412363,0.02074,0.102679,-0.017171,0.060478,6.572473,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.114991,-0.001052,-0.001727,-0.020792,-0.061792,-0.549783,-0.04216,-0.006882,0.167038,-0.071014,-0.020741,-0.050314,-0.026044,0.143957,0.068941,-0.189608,-0.008063,-0.039049,3.416667,0.02766,0.145497,0.464778
12,-1.640038,253.190002,0.160133,0.183073,3.416667,0.0,0.715622,65340.0,0.134913,0.440789,0.02274,0.116207,-0.018855,0.061437,6.562488,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.124173,-0.001141,-0.001946,-0.018556,-0.070295,-0.572774,-0.044949,-0.007356,0.187481,-0.073799,-0.02211,-0.052911,-0.029929,0.137569,0.076599,-0.198242,-0.012627,-0.053539,3.791667,0.030329,0.146942,0.431425
13,-2.036972,276.399994,0.177172,0.199699,2.583333,0.0,0.706184,70410.0,0.150666,0.49152,0.02525,0.130413,-0.021336,0.068038,6.543106,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.138842,-0.001293,-0.002125,-0.020795,-0.07977,-0.62707,-0.049605,-0.008142,0.209285,-0.081001,-0.023811,-0.058357,-0.034428,0.148708,0.08544,-0.217261,-0.007193,-0.031394,2.791667,0.031128,0.145008,0.412782
14,-0.944854,280.619995,0.195894,0.209031,3.375,0.0,0.697657,69984.0,0.150863,0.521557,0.025995,0.125993,-0.021197,0.070384,6.553471,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.14456,-0.001317,-0.00223,-0.021212,-0.074932,-0.631375,-0.052182,-0.008483,0.207327,-0.086021,-0.025836,-0.062586,-0.032739,0.179435,0.085401,-0.219097,-0.010663,-0.054716,2.958333,0.030292,0.13592,0.440471
15,-1.085868,324.269989,0.207556,0.246114,2.25,0.0,0.688087,71211.0,0.182545,0.5951,0.030433,0.15223,-0.0247,0.079284,6.568769,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.166056,-0.001507,-0.002673,-0.013814,-0.092242,-0.711428,-0.058346,-0.009766,0.251041,-0.094272,-0.028947,-0.07047,-0.039798,0.169809,0.102376,-0.246953,-0.015452,-0.060436,3.708333,0.032541,0.153187,0.310819
16,0.032642,351.089996,0.205363,0.257941,2.125,0.0,0.67843,69884.0,0.178089,0.602344,0.028961,0.136479,-0.023088,0.0758,6.542097,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.173617,-0.001569,-0.003132,-0.015958,-0.082706,-0.724117,-0.059701,-0.009911,0.239364,-0.099178,-0.030224,-0.07031,-0.035867,0.226496,0.11197,-0.252492,-0.011475,-0.056753,3.041667,0.033716,0.141433,0.367188
17,1.112998,381.369995,0.229087,0.284931,1.541667,0.0,0.669033,70912.0,0.196834,0.651964,0.032886,0.167271,-0.026987,0.090714,6.566614,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.186193,-0.001694,-0.003377,-0.013514,-0.103362,-0.760261,-0.064463,-0.010943,0.281033,-0.104783,-0.03264,-0.077079,-0.045126,0.218751,0.120192,-0.265374,-0.016617,-0.054787,3.083333,0.031993,0.122761,0.328198
