iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.641544,14.86,0.008711,0.00904,0.652174,36.913044,0.977118,40572.0,0.006738,0.021894,0.000751,0.005823,-0.001308,0.003373,7.228796,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006179,-6.1e-05,-5.1e-05,-0.009172,-0.00413,-0.041041,-0.002836,-0.0004,0.009194,-0.005102,-0.001216,-0.003377,-0.001514,0.008158,0.003018,-0.014335,-8e-06,-2.1e-05,3.913043,0.048995,0.132644,0.238179
1,-1.963307,40.529999,0.023904,0.020407,6.958333,0.0,0.948994,66791.0,0.019473,0.060747,0.003943,0.017017,-0.003985,0.008753,6.768528,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016197,-0.000161,-0.000181,-0.026007,-0.009426,-0.112175,-0.0073,-0.000907,0.023842,-0.013689,-0.003327,-0.007861,-0.003616,0.016745,0.007102,-0.038139,-0.000128,-0.000771,3.875,0.029884,0.136252,0.574157
2,-2.52884,57.450001,0.037189,0.035045,7.291667,0.0,0.920596,67547.0,0.031006,0.101926,0.005776,0.027654,-0.005621,0.01467,6.771205,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026852,-0.000267,-0.00036,-0.025153,-0.015399,-0.179433,-0.011838,-0.00156,0.038688,-0.021433,-0.005224,-0.012757,-0.006245,0.027522,0.011814,-0.060761,-0.000296,-0.002021,4.041667,0.030537,0.148198,0.558131
3,-3.091124,77.239998,0.049357,0.048609,6.875,0.0,0.894704,66405.0,0.041935,0.140616,0.007971,0.037525,-0.007469,0.019014,6.74542,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036682,-0.000362,-0.000521,-0.026679,-0.020953,-0.235709,-0.015905,-0.002162,0.053433,-0.028156,-0.007134,-0.017443,-0.008429,0.03752,0.017384,-0.080031,-0.000721,-0.002729,3.291667,0.028952,0.159027,0.585994
4,-3.351187,102.769997,0.064464,0.06646,7.333333,0.0,0.866634,66688.0,0.051857,0.18013,0.009301,0.046607,-0.008656,0.025495,6.7292,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.047329,-0.000466,-0.000744,-0.025674,-0.026912,-0.293435,-0.020112,-0.002871,0.068033,-0.034392,-0.008974,-0.023176,-0.010954,0.052323,0.022886,-0.099726,-0.000932,-0.003892,4.083333,0.029479,0.129085,0.557057
5,-3.221181,122.18,0.077453,0.079365,6.541667,0.0,0.839936,63534.0,0.064398,0.220514,0.0118,0.060302,-0.010786,0.032177,6.68784,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.057486,-0.000556,-0.000814,-0.024443,-0.034154,-0.340326,-0.023765,-0.003455,0.086732,-0.04139,-0.010875,-0.027142,-0.0141,0.061632,0.0282,-0.115975,-0.001951,-0.008487,4.291667,0.029071,0.143816,0.544512
6,-3.293417,132.139999,0.089877,0.090118,6.833333,0.0,0.814153,64840.0,0.073071,0.243277,0.013431,0.062599,-0.011838,0.033208,6.663177,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.064934,-0.000621,-0.000952,-0.026221,-0.035525,-0.369508,-0.026552,-0.003866,0.094344,-0.046201,-0.012543,-0.030571,-0.014887,0.071662,0.032583,-0.126428,-0.002186,-0.01004,3.583333,0.025944,0.160564,0.560905
7,-3.251458,157.789993,0.100576,0.108507,4.666667,0.0,0.789974,65431.0,0.084072,0.289785,0.014958,0.072028,-0.012813,0.039816,6.63972,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.077496,-0.000739,-0.001198,-0.022175,-0.041899,-0.42486,-0.031008,-0.004596,0.110476,-0.052422,-0.014172,-0.035968,-0.017758,0.091417,0.040857,-0.145649,-0.003919,-0.014904,3.625,0.02961,0.148165,0.497752
8,-3.261762,178.050003,0.119791,0.126271,5.166667,0.0,0.767862,53867.0,0.097776,0.331201,0.016481,0.082886,-0.01448,0.042191,6.629919,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.089173,-0.000846,-0.001406,-0.021831,-0.048992,-0.468304,-0.035049,-0.005316,0.128822,-0.060412,-0.016178,-0.041474,-0.020602,0.097899,0.047509,-0.160892,-0.00429,-0.020034,4.166667,0.028659,0.128503,0.487346
9,-2.628652,193.779999,0.123305,0.137502,4.208333,0.0,0.751545,65205.0,0.102432,0.352495,0.017948,0.084603,-0.014869,0.047287,6.604654,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.094172,-0.000893,-0.001555,-0.023514,-0.050247,-0.475699,-0.036793,-0.005523,0.133713,-0.061536,-0.01709,-0.042779,-0.021374,0.11036,0.050303,-0.163904,-0.004381,-0.018497,3.083333,0.030458,0.140845,0.501642
10,-2.783772,213.070007,0.137733,0.152788,3.625,0.0,0.738299,60005.0,0.117595,0.400355,0.020525,0.099276,-0.017362,0.053553,6.586997,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.1071,-0.000998,-0.001751,-0.020275,-0.058444,-0.524816,-0.040701,-0.006295,0.156104,-0.068371,-0.019351,-0.048014,-0.025047,0.117052,0.058272,-0.181074,-0.00486,-0.028497,3.333333,0.029444,0.151787,0.459713
11,-1.723758,229.360001,0.14969,0.165515,3.708333,0.0,0.726889,69707.0,0.123646,0.426421,0.021603,0.106565,-0.018148,0.059599,6.601289,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.114074,-0.001053,-0.001945,-0.020379,-0.062369,-0.532501,-0.042059,-0.00661,0.168104,-0.071195,-0.020485,-0.050127,-0.025956,0.128226,0.063373,-0.184407,-0.008223,-0.027656,3.5,0.031543,0.153635,0.428736
12,-1.469492,261.559998,0.160103,0.183902,4.75,0.0,0.714683,69877.0,0.136167,0.465447,0.025923,0.115076,-0.020044,0.060977,6.600599,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.124754,-0.001138,-0.002064,-0.022438,-0.067402,-0.569353,-0.045145,-0.00713,0.186327,-0.077959,-0.021993,-0.053397,-0.029301,0.135614,0.069025,-0.197621,-0.005949,-0.027982,3.666667,0.030903,0.13808,0.481995
13,-2.047573,277.720001,0.17442,0.199438,4.583333,0.0,0.703401,66923.0,0.147968,0.504817,0.026514,0.12254,-0.021455,0.05866,6.585616,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.136355,-0.001258,-0.002243,-0.023348,-0.074148,-0.60068,-0.049467,-0.007794,0.201063,-0.081782,-0.023486,-0.057407,-0.032073,0.14436,0.078222,-0.209019,-0.007412,-0.031789,2.875,0.029919,0.144168,0.504672
14,-0.245779,256.190002,0.160734,0.182217,4.416667,0.0,0.693748,67921.0,0.133029,0.454218,0.025336,0.117442,-0.019901,0.064946,6.574228,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.126116,-0.001156,-0.002241,-0.024867,-0.069293,-0.532905,-0.044142,-0.007082,0.188592,-0.073566,-0.021344,-0.051568,-0.030621,0.147398,0.076121,-0.18618,-0.008767,-0.043598,2.791667,0.032326,0.153041,0.533525
