iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.673673,14.66,0.008379,0.008856,0.652174,36.913044,0.976909,40397.0,0.007269,0.020981,0.00058,0.005652,-0.001229,0.002801,7.147859,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006102,-6e-05,-5.9e-05,-0.009312,-0.004137,-0.04079,-0.002779,-0.00041,0.009055,-0.004928,-0.001222,-0.003174,-0.001549,0.007386,0.003195,-0.014178,-8e-06,-2.4e-05,3.913043,0.050822,0.130801,0.253991
1,-2.070174,39.41,0.021868,0.020402,4.708333,0.0,0.948702,53649.0,0.019568,0.060561,0.003412,0.016479,-0.003516,0.008822,6.717965,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016444,-0.000163,-0.000221,-0.022725,-0.009513,-0.114284,-0.007406,-0.000984,0.023438,-0.013585,-0.003492,-0.007763,-0.003615,0.016283,0.007615,-0.038813,-0.000135,-0.00049,3.875,0.0344,0.140089,0.557216
2,-2.562668,63.73,0.037068,0.037084,4.833333,0.0,0.919312,54074.0,0.032548,0.105996,0.00605,0.030297,-0.006002,0.015793,6.733265,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.02832,-0.000282,-0.000474,-0.0214,-0.017333,-0.190642,-0.012538,-0.001745,0.042168,-0.022001,-0.005654,-0.013463,-0.007025,0.028226,0.014096,-0.064403,-0.000308,-0.001704,4.166667,0.032292,0.140786,0.510473
3,-3.166158,81.0,0.046466,0.053056,3.625,0.0,0.893674,58129.0,0.041862,0.14923,0.006492,0.036422,-0.006532,0.018414,6.703527,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.037793,-0.000373,-0.000632,-0.020421,-0.022208,-0.24783,-0.016222,-0.002389,0.05404,-0.026737,-0.007329,-0.018014,-0.008864,0.041437,0.017536,-0.083854,-0.000559,-0.002371,3.458333,0.03563,0.126683,0.496331
4,-3.261357,101.309998,0.060689,0.066634,4.625,0.0,0.86522,60418.0,0.051756,0.180777,0.008557,0.045913,-0.008141,0.024593,6.689149,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.048636,-0.000477,-0.000868,-0.021852,-0.027911,-0.303163,-0.020665,-0.003092,0.068057,-0.034417,-0.009389,-0.022326,-0.011297,0.057922,0.024679,-0.102706,-0.000948,-0.004891,4.125,0.033085,0.138178,0.512626
5,-3.487276,127.470001,0.077197,0.086494,4.083333,0.0,0.836977,58933.0,0.069922,0.235759,0.011281,0.063534,-0.010774,0.032903,6.65287,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.061893,-0.000597,-0.001098,-0.019074,-0.037939,-0.370148,-0.025656,-0.003934,0.092611,-0.042632,-0.011829,-0.028985,-0.01546,0.064746,0.031701,-0.125685,-0.001968,-0.008412,4.458333,0.030443,0.136735,0.457773
6,-3.674659,142.529999,0.089832,0.098515,2.958333,0.0,0.8152,60453.0,0.074775,0.265323,0.011246,0.06147,-0.010767,0.034432,6.622498,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.070508,-0.000675,-0.001163,-0.017869,-0.037741,-0.405191,-0.028575,-0.004495,0.097086,-0.048565,-0.013314,-0.032212,-0.015437,0.084335,0.035722,-0.138051,-0.002621,-0.009415,3.708333,0.030601,0.132413,0.450116
7,-3.438661,160.600006,0.101425,0.110735,3.958333,0.0,0.789737,57960.0,0.0877,0.291265,0.013632,0.073831,-0.012576,0.038202,6.617667,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.077239,-0.000732,-0.001276,-0.019514,-0.043527,-0.424521,-0.031356,-0.004848,0.112233,-0.052725,-0.014577,-0.035543,-0.018372,0.080641,0.040245,-0.145045,-0.002978,-0.017443,3.958333,0.029054,0.127917,0.468588
8,-3.372466,183.759995,0.112636,0.123496,3.5,0.0,0.767443,50495.0,0.095492,0.325231,0.014766,0.079399,-0.013233,0.040363,6.615311,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.089,-0.000841,-0.001574,-0.016756,-0.047628,-0.471594,-0.034932,-0.005588,0.124413,-0.058229,-0.01648,-0.040027,-0.01995,0.102265,0.048767,-0.161681,-0.003495,-0.017955,4.5,0.030841,0.150584,0.424899
9,-3.036367,199.559998,0.129461,0.147171,2.958333,0.0,0.746507,41046.0,0.11006,0.377497,0.017911,0.094703,-0.01556,0.050648,6.576829,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.100559,-0.000942,-0.001598,-0.017909,-0.05739,-0.51461,-0.038793,-0.006198,0.147673,-0.064539,-0.018633,-0.044474,-0.024329,0.111418,0.053599,-0.176583,-0.005264,-0.024193,3.75,0.030385,0.135372,0.426823
