iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.681112,14.24,0.008735,0.00856,0.625,35.583336,0.976641,42923.0,0.006795,0.020431,0.000498,0.004966,-0.001155,0.002785,7.195179,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005814,-5.7e-05,-4.4e-05,-0.010589,-0.003763,-0.039954,-0.002692,-0.000392,0.0086,-0.00476,-0.001168,-0.003425,-0.001411,0.00727,0.002863,-0.013861,-5e-06,-1.1e-05,3.958333,0.0469,0.131944,0.24244
1,-2.165033,40.060001,0.024422,0.020493,6.5,0.0,0.948567,66654.0,0.020265,0.064526,0.003828,0.016145,-0.003696,0.008647,6.727625,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016558,-0.000165,-0.000199,-0.025211,-0.008978,-0.116967,-0.0075,-0.000962,0.023404,-0.0138,-0.003535,-0.008098,-0.003458,0.017033,0.007828,-0.039648,-9.5e-05,-0.000314,3.791667,0.029362,0.146307,0.568931
2,-2.624968,60.080002,0.037877,0.034692,6.041667,0.041667,0.920092,67001.0,0.030476,0.104716,0.00564,0.025837,-0.005457,0.015996,6.754107,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.027151,-0.000268,-0.000382,-0.025051,-0.015011,-0.185314,-0.011982,-0.0016,0.038183,-0.021109,-0.00543,-0.013291,-0.006072,0.032612,0.012392,-0.062526,-0.000279,-0.000972,3.666667,0.029914,0.14206,0.570027
3,-3.13042,80.099998,0.048937,0.050134,6.541667,0.0,0.890117,66522.0,0.040774,0.140364,0.006901,0.035788,-0.006687,0.018993,6.721439,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036498,-0.00036,-0.000455,-0.024704,-0.020565,-0.237477,-0.015689,-0.002204,0.052126,-0.026853,-0.007163,-0.01711,-0.00819,0.039419,0.017779,-0.080392,-0.000595,-0.001781,4.125,0.03095,0.135801,0.556372
4,-3.473245,100.519997,0.061963,0.066258,5.333333,0.0,0.867979,66394.0,0.055339,0.18482,0.009463,0.047463,-0.008689,0.024269,6.691555,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.048349,-0.000473,-0.000785,-0.023102,-0.027556,-0.302205,-0.020593,-0.003001,0.069867,-0.034939,-0.009394,-0.023005,-0.011262,0.048606,0.023591,-0.102519,-0.001072,-0.002362,3.75,0.032357,0.13724,0.507885
5,-3.533342,114.519997,0.076304,0.078813,5.708333,0.0,0.844159,63289.0,0.06474,0.21852,0.010907,0.054142,-0.009946,0.02757,6.673723,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.056805,-0.000546,-0.000755,-0.022258,-0.031818,-0.341825,-0.023676,-0.003491,0.082548,-0.039784,-0.010858,-0.02711,-0.013132,0.055418,0.0284,-0.116058,-0.00134,-0.003097,4.333333,0.030515,0.150367,0.508313
6,-3.43041,141.25,0.084072,0.090264,5.333333,0.0,0.822595,63960.0,0.073214,0.25046,0.012751,0.06263,-0.011247,0.034458,6.64052,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.065023,-0.00062,-0.000916,-0.024824,-0.035962,-0.373365,-0.026505,-0.003929,0.095614,-0.046359,-0.012716,-0.029915,-0.015024,0.070001,0.031617,-0.127327,-0.000913,-0.002505,3.416667,0.030812,0.148606,0.548742
7,-3.59602,158.550003,0.101877,0.107507,4.208333,0.0,0.800556,63690.0,0.086318,0.288712,0.013509,0.068573,-0.011936,0.033142,6.625442,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.07521,-0.000719,-0.001191,-0.022873,-0.040222,-0.420323,-0.029868,-0.004628,0.106175,-0.049827,-0.014151,-0.034694,-0.017045,0.076113,0.039106,-0.143484,-0.001794,-0.005537,3.25,0.029328,0.147763,0.517284
8,-3.304398,171.0,0.109364,0.116068,4.708333,0.0,0.780743,58198.0,0.093823,0.311379,0.01493,0.075493,-0.013074,0.039134,6.620436,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.082838,-0.000778,-0.001244,-0.025497,-0.044469,-0.440741,-0.032283,-0.004935,0.118812,-0.05472,-0.015658,-0.036675,-0.018589,0.080303,0.045457,-0.150876,-0.002422,-0.006633,3.25,0.027,0.153921,0.549694
9,-2.981283,205.039993,0.141175,0.145075,3.708333,0.0,0.757192,62104.0,0.110943,0.373821,0.017514,0.089006,-0.015265,0.047972,6.601306,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.10036,-0.000941,-0.001617,-0.01937,-0.052619,-0.518517,-0.039192,-0.006044,0.142309,-0.064828,-0.0191,-0.0453,-0.022134,0.108955,0.054839,-0.177721,-0.004662,-0.010408,3.916667,0.027264,0.135386,0.434762
