iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.661983,14.1,0.007982,0.008624,0.652174,37.695652,0.976488,44873.0,0.006417,0.020914,0.000577,0.00532,-0.001238,0.002493,7.165467,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005833,-5.7e-05,-3.5e-05,-0.011202,-0.003998,-0.039847,-0.00274,-0.000409,0.008519,-0.004994,-0.00113,-0.003622,-0.001532,0.008405,0.002821,-0.013898,-9e-06,-9e-06,4.086957,0.053121,0.119146,0.271269
1,-2.168147,42.5,0.021953,0.021799,5.708333,0.0,0.948241,64554.0,0.019437,0.062578,0.003686,0.017849,-0.003745,0.009928,6.734321,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016699,-0.000166,-0.000248,-0.024384,-0.010076,-0.116087,-0.007568,-0.000993,0.023954,-0.014087,-0.003539,-0.008142,-0.003858,0.018293,0.007909,-0.039445,-0.000117,-0.000289,4.083333,0.033311,0.131084,0.544197
2,-2.582693,60.459999,0.03676,0.036192,4.75,0.0,0.919744,68407.0,0.032299,0.10601,0.00567,0.028575,-0.005515,0.014567,6.744599,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.027636,-0.000273,-0.000368,-0.024145,-0.01586,-0.186342,-0.012123,-0.001628,0.038468,-0.020911,-0.005405,-0.012596,-0.006311,0.028356,0.013131,-0.062991,-0.000387,-0.000479,3.333333,0.030592,0.130075,0.521547
3,-2.989596,82.529999,0.046126,0.052198,5.375,0.0,0.890961,68866.0,0.044984,0.142835,0.007304,0.038465,-0.00713,0.017762,6.71975,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.038322,-0.000376,-0.000552,-0.022915,-0.022319,-0.243964,-0.016494,-0.002403,0.054256,-0.028299,-0.007306,-0.018118,-0.009049,0.03599,0.01916,-0.082914,-0.000482,-0.000986,4.208333,0.034795,0.124876,0.527865
4,-3.211632,100.339996,0.061194,0.069454,4.875,0.0,0.86377,67557.0,0.054173,0.183754,0.008206,0.044597,-0.008076,0.021507,6.701793,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.048322,-0.000469,-0.000755,-0.021432,-0.026341,-0.299385,-0.02027,-0.003068,0.06549,-0.034954,-0.009132,-0.02229,-0.010697,0.053848,0.024123,-0.101628,-0.000921,-0.001467,4.208333,0.032723,0.133226,0.469074
5,-3.722697,124.809998,0.075667,0.079955,3.708333,0.0,0.836772,66354.0,0.067606,0.22306,0.009603,0.053174,-0.009117,0.022958,6.680793,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.058163,-0.000565,-0.000991,-0.020473,-0.032227,-0.345119,-0.024084,-0.003668,0.079349,-0.040751,-0.010807,-0.027188,-0.013415,0.057807,0.030221,-0.117588,-0.001767,-0.001887,3.75,0.030918,0.128647,0.488285
6,-3.389297,146.190002,0.09277,0.101589,3.916667,0.0,0.810888,65569.0,0.07716,0.264237,0.012273,0.066859,-0.011314,0.035358,6.662645,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.070411,-0.000676,-0.001189,-0.021928,-0.03924,-0.400581,-0.029151,-0.004426,0.097964,-0.049003,-0.013393,-0.032546,-0.01673,0.07837,0.035573,-0.136749,-0.002452,-0.004087,3.333333,0.031179,0.117734,0.48368
7,-2.914274,161.199997,0.104577,0.114041,3.75,0.0,0.785748,64863.0,0.081827,0.296993,0.012704,0.067651,-0.011516,0.038837,6.632534,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.077762,-0.00073,-0.001157,-0.021484,-0.03947,-0.422364,-0.031275,-0.004832,0.103987,-0.05321,-0.014894,-0.035905,-0.016612,0.095248,0.039637,-0.144768,-0.002383,-0.005768,3.333333,0.028787,0.144966,0.458505
8,-3.614059,187.949997,0.112216,0.13591,2.958333,0.0,0.763859,57520.0,0.107202,0.346392,0.016208,0.092173,-0.015123,0.045498,6.620259,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.0917,-0.000871,-0.001435,-0.017836,-0.05429,-0.484339,-0.035867,-0.00565,0.134518,-0.059836,-0.016736,-0.041422,-0.022811,0.089722,0.048215,-0.166363,-0.004506,-0.005753,3.75,0.031448,0.126765,0.440476
9,-3.300631,207.529999,0.120993,0.147281,3.0,0.0,0.74591,46770.0,0.103525,0.386053,0.01598,0.086254,-0.014546,0.048942,6.621103,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.101683,-0.000946,-0.00141,-0.01949,-0.052099,-0.511681,-0.039587,-0.006252,0.136732,-0.066563,-0.018944,-0.046594,-0.021908,0.133101,0.052932,-0.176303,-0.007215,-0.008663,3.125,0.032922,0.130014,0.446928
