iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.678641,14.2,0.008751,0.008821,0.708333,35.583336,0.976407,44394.0,0.006847,0.020795,0.00046,0.005138,-0.001087,0.002612,7.159465,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005869,-5.7e-05,-4.1e-05,-0.011007,-0.003656,-0.039981,-0.002745,-0.000414,0.008287,-0.004782,-0.001187,-0.003244,-0.001321,0.006906,0.003228,-0.013908,-9e-06,-1e-05,3.958333,0.048516,0.133196,0.246554
1,-2.037205,37.529999,0.022712,0.02033,5.083333,0.0,0.946604,67711.0,0.019108,0.060119,0.003166,0.015145,-0.003258,0.007558,6.735803,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.015766,-0.000157,-0.000231,-0.021515,-0.008497,-0.109444,-0.007119,-0.000943,0.021304,-0.012707,-0.00322,-0.007365,-0.00328,0.017013,0.007108,-0.037161,-7.7e-05,-7.7e-05,3.75,0.031821,0.133162,0.499308
2,-2.37827,60.52,0.035766,0.036033,4.791667,0.0,0.918112,59662.0,0.030047,0.104204,0.005368,0.026368,-0.005133,0.015371,6.746753,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026889,-0.000263,-0.000335,-0.023307,-0.015026,-0.180123,-0.011856,-0.001637,0.037037,-0.020618,-0.005438,-0.012533,-0.006045,0.032434,0.01242,-0.061004,-0.000297,-0.000331,3.708333,0.033354,0.127387,0.538623
3,-3.076955,84.629997,0.049546,0.055777,4.333333,0.0,0.88964,58420.0,0.044159,0.146387,0.006889,0.039299,-0.006857,0.019879,6.711433,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.038959,-0.000382,-0.000517,-0.020218,-0.023042,-0.248575,-0.016581,-0.002441,0.055145,-0.028354,-0.007367,-0.018218,-0.009425,0.040063,0.019661,-0.084306,-0.000442,-0.000452,4.083333,0.032977,0.11678,0.478422
4,-3.297318,98.269997,0.058381,0.065894,5.333333,0.0,0.862143,61014.0,0.052615,0.183118,0.008464,0.043748,-0.007853,0.022559,6.694283,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.047281,-0.000463,-0.000733,-0.022796,-0.026356,-0.291474,-0.020124,-0.002967,0.064708,-0.034595,-0.008978,-0.022054,-0.010932,0.051113,0.022432,-0.098956,-0.000546,-0.000462,3.958333,0.034815,0.129789,0.520691
5,-3.554338,115.059998,0.067739,0.076606,4.708333,0.0,0.835168,63350.0,0.062246,0.208928,0.009503,0.051645,-0.008915,0.025246,6.676481,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.055703,-0.000538,-0.00078,-0.020855,-0.030724,-0.332316,-0.023067,-0.003501,0.076404,-0.038466,-0.010355,-0.026094,-0.012839,0.056756,0.028428,-0.113047,-0.001077,-0.000913,4.291667,0.035033,0.138638,0.484865
6,-3.447125,143.929993,0.088352,0.102399,3.375,0.0,0.809663,64213.0,0.082462,0.270504,0.012173,0.067885,-0.011635,0.030197,6.644575,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.071178,-0.000684,-0.001087,-0.019853,-0.041149,-0.405121,-0.029391,-0.004542,0.102215,-0.048757,-0.013083,-0.034268,-0.016747,0.073003,0.03674,-0.138218,-0.001937,-0.001461,3.458333,0.031722,0.126698,0.455685
7,-3.445488,166.570007,0.093775,0.112044,3.416667,0.0,0.784822,62561.0,0.085435,0.29103,0.011605,0.066082,-0.010965,0.030886,6.619953,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.076079,-0.000728,-0.001208,-0.021043,-0.039822,-0.412634,-0.030182,-0.004724,0.100899,-0.050851,-0.013636,-0.034727,-0.016658,0.081411,0.039147,-0.141174,-0.001674,-0.001302,3.416667,0.032361,0.114117,0.466835
8,-2.913687,171.25,0.102503,0.123818,2.75,0.0,0.762655,56932.0,0.101288,0.329156,0.014857,0.085581,-0.014109,0.035211,6.610878,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.084263,-0.000796,-0.001208,-0.020013,-0.051667,-0.438328,-0.032935,-0.005223,0.126709,-0.054897,-0.015347,-0.037722,-0.021737,0.064529,0.045789,-0.150588,-0.002036,-0.00228,3.041667,0.035844,0.135292,0.46267
9,-2.739791,205.270004,0.135326,0.15137,2.375,0.0,0.741607,43618.0,0.118335,0.377757,0.016182,0.091814,-0.014559,0.04536,6.613766,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.103648,-0.000969,-0.001464,-0.014875,-0.056399,-0.524998,-0.039498,-0.006377,0.144063,-0.06504,-0.018591,-0.045227,-0.023753,0.103561,0.058544,-0.180548,-0.002536,-0.002111,3.666667,0.029547,0.13068,0.348553
