iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.811075,15.78,0.008488,0.008755,1.0,39.409092,0.976492,45850.0,0.006566,0.021643,0.000586,0.005309,-0.001262,0.002429,7.1914,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005897,-5.9e-05,-2.9e-05,-0.010979,-0.004007,-0.041718,-0.002699,-0.000369,0.00869,-0.004867,-0.001204,-0.003483,-0.001571,0.007964,0.002932,-0.014394,-1.7e-05,-1.3e-05,4.272727,0.050118,0.11933,0.257992
1,-2.035301,41.830002,0.023409,0.020451,6.5,0.0,0.948406,68969.0,0.019492,0.062333,0.003834,0.017152,-0.00353,0.010561,6.733343,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016705,-0.000167,-0.000217,-0.025092,-0.009585,-0.117457,-0.007472,-0.000956,0.02388,-0.013845,-0.00341,-0.007639,-0.00371,0.018752,0.008195,-0.039749,-0.000159,-0.000272,4.125,0.031777,0.132283,0.557245
2,-2.788767,60.889999,0.033862,0.032452,7.166667,0.0,0.920198,68841.0,0.030289,0.09796,0.005672,0.025023,-0.005321,0.013171,6.753568,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.025665,-0.000255,-0.000317,-0.027094,-0.014232,-0.175202,-0.011392,-0.001502,0.036774,-0.020207,-0.005115,-0.012272,-0.005622,0.026901,0.012163,-0.059033,-0.000358,-0.000488,3.5,0.032097,0.153988,0.603135
3,-3.52742,86.059998,0.049041,0.050432,6.208333,0.0,0.891047,67952.0,0.045478,0.140255,0.007204,0.037992,-0.006952,0.016428,6.742225,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.037548,-0.00037,-0.000543,-0.023914,-0.021791,-0.244922,-0.016304,-0.002292,0.054861,-0.028136,-0.007204,-0.017791,-0.008629,0.031345,0.018114,-0.082796,-0.000705,-0.001017,4.458333,0.03175,0.133066,0.541957
4,-3.385287,98.589996,0.060373,0.063567,6.0,0.0,0.869309,68288.0,0.050727,0.174151,0.007974,0.040296,-0.007598,0.021383,6.68712,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.046673,-0.000455,-0.00072,-0.023659,-0.024,-0.290971,-0.019413,-0.002841,0.062312,-0.032523,-0.008793,-0.021547,-0.00982,0.054983,0.023252,-0.098455,-0.000899,-0.001518,4.083333,0.030861,0.135137,0.537263
5,-3.462071,119.959999,0.079119,0.082407,5.208333,0.0,0.844777,66937.0,0.065364,0.218203,0.011508,0.057336,-0.010399,0.029823,6.686821,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.058835,-0.000571,-0.000879,-0.023261,-0.033224,-0.355339,-0.024768,-0.003616,0.08573,-0.041259,-0.011453,-0.027812,-0.013746,0.062401,0.030013,-0.120577,-0.001964,-0.003062,3.625,0.028501,0.13767,0.519106
6,-3.417202,137.139999,0.087424,0.092647,5.291667,0.0,0.823236,65298.0,0.069656,0.247671,0.011607,0.058605,-0.010599,0.032747,6.654354,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.066108,-0.000637,-0.000956,-0.024332,-0.034509,-0.380853,-0.027282,-0.00405,0.091443,-0.046049,-0.012639,-0.031441,-0.014566,0.079985,0.034136,-0.129771,-0.002429,-0.004055,3.458333,0.029958,0.137558,0.520831
7,-3.412935,165.279999,0.107968,0.110876,5.208333,0.0,0.801422,66244.0,0.083148,0.293162,0.014353,0.071184,-0.012574,0.039522,6.640815,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.077937,-0.00074,-0.001294,-0.024716,-0.041459,-0.43134,-0.031044,-0.004752,0.110313,-0.052511,-0.014679,-0.035562,-0.017436,0.089446,0.041062,-0.147257,-0.003381,-0.004099,3.291667,0.027294,0.147488,0.53897
8,-3.57313,179.289993,0.114179,0.122554,5.541667,0.0,0.782045,60957.0,0.093118,0.317241,0.015925,0.080642,-0.014104,0.042913,6.632125,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.085963,-0.000813,-0.001366,-0.024159,-0.047868,-0.457299,-0.033563,-0.005233,0.125885,-0.056664,-0.015971,-0.039081,-0.020102,0.09703,0.046498,-0.156396,-0.004189,-0.006445,3.625,0.029546,0.140045,0.510649
9,-2.667463,193.059998,0.12241,0.12926,5.625,0.0,0.759952,64593.0,0.095787,0.334958,0.016555,0.077973,-0.014238,0.043183,6.620452,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.090684,-0.00085,-0.001452,-0.02672,-0.047653,-0.465006,-0.034953,-0.005435,0.128152,-0.059287,-0.016947,-0.041111,-0.020274,0.107863,0.048999,-0.159849,-0.003796,-0.0069,2.833333,0.027788,0.141788,0.554783
