iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.686291,14.72,0.008671,0.008605,0.791667,35.583336,0.976617,42183.0,0.006562,0.019999,0.000603,0.00531,-0.00124,0.003789,7.197365,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005898,-5.8e-05,-4e-05,-0.010885,-0.004001,-0.040946,-0.002734,-0.000404,0.008934,-0.004672,-0.001188,-0.003491,-0.001469,0.007675,0.00356,-0.014157,-1.2e-05,-3.6e-05,3.958333,0.045869,0.134124,0.25029
1,-2.076339,39.779999,0.023805,0.020518,5.916667,0.0,0.948552,67939.0,0.020403,0.061848,0.00356,0.016124,-0.00353,0.008239,6.723039,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016644,-0.000166,-0.000208,-0.023586,-0.009145,-0.11627,-0.007396,-0.000948,0.023367,-0.013299,-0.003347,-0.007922,-0.003527,0.017865,0.008277,-0.039357,-0.000167,-0.000403,3.916667,0.030449,0.140537,0.545187
2,-2.792174,62.540001,0.037959,0.035327,6.75,0.0,0.920353,67501.0,0.032452,0.099905,0.005746,0.026076,-0.005457,0.013892,6.7536,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.027464,-0.000271,-0.000386,-0.025797,-0.014739,-0.187177,-0.012062,-0.001604,0.038651,-0.020567,-0.005437,-0.013152,-0.005828,0.02788,0.013946,-0.063166,-0.000322,-0.001134,3.75,0.030159,0.12998,0.557424
3,-3.101696,80.480003,0.051345,0.050926,6.416667,0.0,0.894326,68031.0,0.041993,0.145621,0.00718,0.035545,-0.006809,0.020187,6.711861,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.037462,-0.000367,-0.000572,-0.024149,-0.020249,-0.245975,-0.016228,-0.002275,0.052435,-0.028413,-0.007443,-0.017975,-0.008233,0.040396,0.01701,-0.083111,-0.000713,-0.001877,4.041667,0.029857,0.137737,0.536442
4,-3.431111,97.199997,0.063415,0.063001,5.416667,0.0,0.866601,67682.0,0.053641,0.179357,0.009259,0.04526,-0.008545,0.025516,6.71114,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.047082,-0.00046,-0.000745,-0.023541,-0.025842,-0.297413,-0.020183,-0.002903,0.067287,-0.033324,-0.009248,-0.02266,-0.010568,0.051498,0.023502,-0.100701,-0.001346,-0.001975,3.833333,0.030462,0.153446,0.547994
5,-3.487434,117.300003,0.07678,0.080124,5.0,0.0,0.838189,64630.0,0.064251,0.219875,0.011175,0.054673,-0.010145,0.029782,6.679456,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.058412,-0.000564,-0.000914,-0.021617,-0.031809,-0.352565,-0.024517,-0.003613,0.083289,-0.040835,-0.011198,-0.027883,-0.013117,0.062972,0.029416,-0.119604,-0.001587,-0.00326,4.166667,0.031962,0.140519,0.514843
6,-3.300297,130.910004,0.086709,0.091202,5.666667,0.0,0.816602,64595.0,0.072534,0.244525,0.012563,0.061895,-0.011198,0.032747,6.662302,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.065776,-0.00063,-0.001091,-0.025255,-0.036292,-0.378212,-0.026797,-0.004034,0.095337,-0.045063,-0.012498,-0.030552,-0.015138,0.069802,0.034308,-0.128795,-0.002788,-0.004698,3.375,0.028458,0.13911,0.55945
7,-3.28231,159.279999,0.09976,0.110102,3.958333,0.0,0.789518,66046.0,0.087265,0.28032,0.012998,0.067617,-0.011844,0.032853,6.629807,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.076658,-0.000731,-0.001162,-0.021231,-0.040585,-0.423395,-0.030156,-0.004653,0.107182,-0.050598,-0.014172,-0.035124,-0.017114,0.081487,0.0408,-0.144468,-0.00233,-0.006733,3.5,0.030404,0.133248,0.499213
8,-3.568374,172.729996,0.107921,0.11944,3.666667,0.0,0.767503,58619.0,0.095909,0.317847,0.015023,0.08202,-0.014029,0.040761,6.587611,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.085198,-0.00081,-0.001309,-0.022988,-0.049966,-0.453091,-0.033417,-0.005288,0.126641,-0.054169,-0.015518,-0.040059,-0.020738,0.084262,0.048101,-0.155039,-0.004241,-0.009915,3.0,0.029679,0.137355,0.511619
9,-3.075129,201.330002,0.125111,0.137176,4.166667,0.0,0.74838,46781.0,0.108539,0.360879,0.016658,0.082953,-0.0143,0.04205,6.591363,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.096726,-0.000904,-0.001493,-0.021898,-0.0491,-0.495443,-0.037504,-0.005798,0.134928,-0.06269,-0.017731,-0.044011,-0.020722,0.098986,0.052762,-0.169823,-0.003982,-0.008521,3.666667,0.030021,0.130249,0.47866
