iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.719175,14.93,0.008756,0.008641,0.791667,35.583336,0.976488,43336.0,0.006937,0.020565,0.000648,0.005449,-0.001282,0.003683,7.196458,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005953,-5.9e-05,-3.5e-05,-0.010893,-0.004053,-0.041502,-0.002745,-0.000402,0.009118,-0.004709,-0.001206,-0.003477,-0.001476,0.0072,0.003557,-0.014352,-1.2e-05,-2.4e-05,3.958333,0.045995,0.131936,0.251532
1,-2.041896,38.990002,0.024638,0.021127,5.791667,0.0,0.948497,67342.0,0.020377,0.061964,0.003682,0.016539,-0.0036,0.008423,6.735042,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016756,-0.000167,-0.000196,-0.023039,-0.009289,-0.117688,-0.007515,-0.000975,0.023775,-0.013322,-0.003313,-0.007989,-0.003545,0.017808,0.007946,-0.039823,-0.000171,-0.000329,3.916667,0.030006,0.151115,0.527882
2,-2.534968,58.810001,0.037513,0.03471,6.458333,0.0,0.919501,68286.0,0.031097,0.100248,0.00568,0.026777,-0.005407,0.014864,6.749126,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026782,-0.000263,-0.000359,-0.02482,-0.015254,-0.181628,-0.011705,-0.00161,0.038945,-0.020094,-0.00535,-0.013049,-0.006087,0.028537,0.013024,-0.061346,-0.000333,-0.001381,3.666667,0.030405,0.132605,0.56434
3,-3.029604,81.620003,0.048465,0.049277,5.916667,0.0,0.893188,65339.0,0.041122,0.133831,0.006964,0.035565,-0.006699,0.019844,6.717098,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036153,-0.000355,-0.000571,-0.023524,-0.020589,-0.232188,-0.015459,-0.002207,0.051987,-0.026766,-0.007031,-0.017208,-0.008392,0.03956,0.017167,-0.078517,-0.000645,-0.001654,4.083333,0.029765,0.139757,0.542672
4,-3.562672,102.599998,0.062449,0.065441,5.375,0.0,0.865128,58357.0,0.054043,0.184936,0.009203,0.044676,-0.008468,0.023467,6.675617,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.048841,-0.000475,-0.000775,-0.02275,-0.02698,-0.307274,-0.020525,-0.002992,0.069361,-0.034944,-0.009434,-0.023376,-0.011012,0.053763,0.02453,-0.103773,-0.000915,-0.002165,3.75,0.031587,0.137056,0.542425
5,-3.691962,119.160004,0.073898,0.078586,5.0,0.0,0.839318,61862.0,0.062548,0.211236,0.010614,0.051626,-0.009622,0.027744,6.667423,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.056588,-0.000543,-0.000875,-0.023151,-0.029754,-0.339927,-0.023539,-0.003447,0.079396,-0.040128,-0.010954,-0.026994,-0.012484,0.06336,0.029055,-0.115558,-0.002073,-0.003137,3.916667,0.031299,0.13839,0.519929
6,-3.680403,143.259995,0.09111,0.095626,4.0,0.0,0.813265,60144.0,0.076923,0.248452,0.013242,0.066007,-0.012087,0.0354,6.618782,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.068671,-0.000657,-0.001088,-0.022298,-0.039095,-0.395631,-0.028085,-0.004205,0.101668,-0.047172,-0.013331,-0.032116,-0.01635,0.075302,0.036503,-0.1347,-0.002958,-0.005753,3.25,0.028734,0.144217,0.509563
7,-3.196955,162.470001,0.101693,0.110796,3.208333,0.0,0.788001,61679.0,0.083518,0.279795,0.012734,0.066415,-0.011463,0.035332,6.607124,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.077542,-0.000738,-0.00131,-0.019913,-0.03963,-0.427921,-0.030665,-0.004783,0.106165,-0.051208,-0.014362,-0.035682,-0.016302,0.093328,0.044905,-0.146031,-0.002914,-0.006038,3.291667,0.030024,0.134973,0.472327
8,-3.457613,185.0,0.104343,0.130494,2.666667,0.0,0.765853,56938.0,0.09897,0.341795,0.016179,0.088846,-0.014958,0.045934,6.588078,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.091282,-0.000871,-0.001492,-0.019366,-0.053102,-0.485078,-0.035311,-0.0056,0.135792,-0.058026,-0.016185,-0.041582,-0.022373,0.096253,0.050121,-0.16594,-0.004696,-0.009171,3.041667,0.034925,0.135873,0.443452
9,-3.195405,208.929993,0.137866,0.149328,3.166667,0.0,0.745341,46723.0,0.113786,0.377307,0.018118,0.090294,-0.015479,0.044469,6.571918,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.103149,-0.000965,-0.001738,-0.017961,-0.052583,-0.530102,-0.040191,-0.006308,0.144421,-0.065587,-0.019528,-0.04697,-0.022333,0.10911,0.057641,-0.181797,-0.004407,-0.010875,3.666667,0.027602,0.138043,0.428496
