iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.702017,15.39,0.008681,0.008567,0.583333,37.041668,0.97671,34069.0,0.006642,0.021793,0.00072,0.005605,-0.001301,0.002664,7.23143,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005989,-6e-05,-3.1e-05,-0.012069,-0.003921,-0.041434,-0.002746,-0.00037,0.008874,-0.005182,-0.001275,-0.003259,-0.00146,0.007646,0.002684,-0.014346,-1.4e-05,-4.6e-05,4.708333,0.050987,0.139331,0.281537
1,-2.152075,39.080002,0.021833,0.018498,11.666667,0.0,0.947943,65068.0,0.018649,0.059111,0.004171,0.01681,-0.003864,0.009822,6.811305,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.015978,-0.00016,-0.000135,-0.029721,-0.009124,-0.113549,-0.007246,-0.000881,0.023037,-0.013579,-0.003205,-0.007688,-0.003504,0.019159,0.007661,-0.038443,-0.000196,-0.000809,3.75,0.034457,0.133024,0.646058
2,-2.823393,62.349998,0.033955,0.03272,11.166667,0.0,0.919009,64381.0,0.02943,0.095189,0.005761,0.026511,-0.005435,0.015352,6.853788,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.025804,-0.000257,-0.000301,-0.029866,-0.014731,-0.17573,-0.011465,-0.001511,0.036772,-0.02047,-0.004989,-0.012486,-0.005877,0.028628,0.012334,-0.059355,-0.000461,-0.001878,3.833333,0.033625,0.133812,0.649009
3,-3.260576,80.169998,0.048633,0.046882,10.208334,0.0,0.889375,64912.0,0.040908,0.137598,0.007512,0.03469,-0.006947,0.01819,6.791636,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.035848,-0.000355,-0.000432,-0.030801,-0.019684,-0.234173,-0.01575,-0.002115,0.049721,-0.026967,-0.006837,-0.017034,-0.007888,0.039699,0.017441,-0.079217,-0.001018,-0.003389,3.041667,0.032059,0.125657,0.647515
4,-3.257171,101.129997,0.060183,0.064218,7.458333,0.0,0.872209,64475.0,0.051416,0.176453,0.008958,0.045318,-0.008458,0.025697,6.753536,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.047295,-0.000466,-0.000662,-0.028092,-0.026379,-0.295173,-0.020037,-0.002868,0.066189,-0.034363,-0.008908,-0.022366,-0.010923,0.053887,0.023131,-0.099859,-0.001396,-0.005098,3.166667,0.033586,0.125709,0.599139
5,-3.810915,118.32,0.073304,0.074597,7.166667,0.0,0.847513,61693.0,0.061637,0.203835,0.01105,0.052759,-0.009624,0.02807,6.730666,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.055032,-0.000534,-0.000747,-0.02635,-0.030237,-0.331558,-0.023157,-0.00332,0.077991,-0.039375,-0.01053,-0.025575,-0.012531,0.059751,0.02752,-0.112571,-0.002021,-0.008823,3.916667,0.03051,0.132719,0.580688
6,-4.050569,143.0,0.08191,0.090132,7.75,0.0,0.826656,62267.0,0.067881,0.239606,0.011669,0.061263,-0.01119,0.032678,6.695596,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.064217,-0.000627,-0.000855,-0.027626,-0.036578,-0.372693,-0.026437,-0.003862,0.092396,-0.043596,-0.011888,-0.029692,-0.015216,0.073891,0.033036,-0.126925,-0.002907,-0.014371,3.458333,0.032511,0.142654,0.603779
7,-3.620097,159.259995,0.098001,0.106126,5.791667,0.0,0.805038,58370.0,0.079856,0.281539,0.015256,0.068728,-0.013119,0.03916,6.690406,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.074615,-0.000711,-0.000887,-0.025778,-0.042385,-0.414719,-0.030389,-0.004457,0.110135,-0.051028,-0.013726,-0.034371,-0.017664,0.088345,0.039867,-0.141834,-0.003608,-0.016712,3.541667,0.030194,0.131131,0.551302
8,-3.422892,168.369995,0.109447,0.117797,6.375,0.0,0.782854,55351.0,0.0876,0.307242,0.016238,0.078479,-0.013888,0.046389,6.67628,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.083038,-0.000785,-0.001125,-0.026778,-0.045476,-0.445465,-0.032847,-0.004858,0.119656,-0.055069,-0.01553,-0.037422,-0.019017,0.100672,0.04487,-0.152628,-0.004087,-0.019646,3.166667,0.029374,0.146273,0.577793
9,-2.889639,192.520004,0.124254,0.128432,5.708333,0.0,0.76151,42959.0,0.096551,0.338493,0.018623,0.088818,-0.015694,0.051282,6.647748,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.091211,-0.000861,-0.001353,-0.024116,-0.05268,-0.471005,-0.036142,-0.005434,0.137422,-0.059841,-0.016764,-0.040842,-0.022351,0.108808,0.049005,-0.16162,-0.00696,-0.026335,3.708333,0.028919,0.137884,0.530125
10,-3.423908,207.759995,0.12348,0.143928,5.958333,0.0,0.744879,35268.0,0.105821,0.366755,0.018334,0.087097,-0.015257,0.047631,6.653245,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.098447,-0.00092,-0.001256,-0.025328,-0.051051,-0.490477,-0.037824,-0.005741,0.13874,-0.063171,-0.018065,-0.043239,-0.021855,0.113998,0.054875,-0.168926,-0.006204,-0.029607,2.916667,0.030725,0.13739,0.512267
11,-2.131294,213.860001,0.138065,0.146517,3.958333,0.0,0.730533,42106.0,0.105786,0.365058,0.018219,0.089101,-0.015659,0.050815,6.665018,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.102365,-0.000947,-0.001304,-0.025284,-0.054467,-0.487776,-0.037968,-0.00601,0.145568,-0.063599,-0.017926,-0.045036,-0.02345,0.128043,0.059914,-0.168298,-0.006472,-0.029262,2.666667,0.027328,0.154741,0.557987
12,-2.357371,235.589996,0.13988,0.171026,5.291667,0.0,0.716839,63539.0,0.121958,0.419528,0.021999,0.107242,-0.018106,0.060052,6.624957,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.116143,-0.001094,-0.00172,-0.026576,-0.065105,-0.541576,-0.042992,-0.006715,0.171331,-0.070135,-0.019978,-0.049224,-0.027824,0.135673,0.069739,-0.1874,-0.011456,-0.039136,2.708333,0.031436,0.131511,0.533351
