iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.828,16.35,0.00875,0.008474,0.916667,36.25,0.976448,35551.0,0.006756,0.021188,0.000543,0.006173,-0.001289,0.00316,7.122831,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.00592,-6.1e-05,-3.5e-05,-0.013877,-0.004456,-0.039925,-0.002633,-0.000381,0.009019,-0.005197,-0.001285,-0.003107,-0.001721,0.007378,0.003026,-0.013978,-1.8e-05,-5.1e-05,4.125,0.049918,0.124541,0.271182
1,-2.267356,41.299999,0.022519,0.02047,8.166667,0.0,0.948968,59162.0,0.019893,0.061586,0.003467,0.017048,-0.003481,0.00847,6.67284,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016537,-0.000168,-0.000217,-0.024667,-0.009651,-0.114404,-0.007177,-0.000928,0.023196,-0.013208,-0.003401,-0.007443,-0.003941,0.017623,0.007835,-0.038824,-0.000149,-0.000813,4.75,0.033368,0.128236,0.567153
2,-2.733253,61.189999,0.034284,0.033793,10.458334,0.0,0.92123,59611.0,0.029926,0.098344,0.005578,0.026173,-0.005248,0.0144,6.694288,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026361,-0.000265,-0.000381,-0.028299,-0.014243,-0.177762,-0.011324,-0.001488,0.036312,-0.019898,-0.005482,-0.011756,-0.006,0.029875,0.01349,-0.060117,-0.000463,-0.00179,4.333333,0.033873,0.123629,0.616395
3,-3.238926,81.279999,0.047946,0.047634,8.958334,0.0,0.892609,60525.0,0.041132,0.131929,0.007234,0.035784,-0.006849,0.018196,6.653496,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.035546,-0.000353,-0.0006,-0.028689,-0.020145,-0.229978,-0.014939,-0.002064,0.050238,-0.026056,-0.007088,-0.016206,-0.00875,0.037466,0.017981,-0.077951,-0.000941,-0.003766,3.541667,0.030548,0.135429,0.606861
4,-3.367261,100.220001,0.055321,0.057675,9.875,0.0,0.86509,57928.0,0.04784,0.161002,0.008987,0.040776,-0.007906,0.020505,6.632265,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.043188,-0.000424,-0.000615,-0.028973,-0.022562,-0.268426,-0.018135,-0.002499,0.059836,-0.030915,-0.008565,-0.019481,-0.009915,0.047816,0.022017,-0.091258,-0.001356,-0.00471,3.583333,0.031401,0.131061,0.632593
5,-3.285232,118.32,0.068924,0.074575,7.5,0.0,0.838527,57057.0,0.061434,0.201946,0.010977,0.054203,-0.009974,0.027795,6.605524,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.054844,-0.000543,-0.000773,-0.026025,-0.030343,-0.326176,-0.022465,-0.003203,0.078343,-0.038501,-0.010652,-0.024624,-0.013375,0.058988,0.028375,-0.111162,-0.001843,-0.008202,3.875,0.031164,0.13948,0.589382
6,-3.32754,132.169998,0.080185,0.089909,7.083333,0.0,0.812115,59185.0,0.072828,0.235502,0.012827,0.060874,-0.01118,0.029323,6.571678,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.063956,-0.00062,-0.000916,-0.027608,-0.033853,-0.364717,-0.025906,-0.003691,0.090594,-0.044528,-0.01258,-0.028263,-0.015098,0.064486,0.033692,-0.124596,-0.002081,-0.009455,3.458333,0.030506,0.131034,0.583286
7,-3.138208,152.240005,0.094355,0.102388,5.958333,0.0,0.79345,54376.0,0.081112,0.269455,0.014347,0.073418,-0.01256,0.037616,6.564488,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.073952,-0.000718,-0.001042,-0.025976,-0.04226,-0.403898,-0.028661,-0.004241,0.108899,-0.048095,-0.013978,-0.031723,-0.018991,0.080915,0.041553,-0.138233,-0.003377,-0.014589,3.125,0.029211,0.135535,0.542969
8,-2.993176,168.649994,0.101781,0.113054,5.5,0.0,0.769572,47992.0,0.08399,0.296649,0.015114,0.073582,-0.012987,0.04081,6.548249,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.080329,-0.000778,-0.001191,-0.026851,-0.043193,-0.419355,-0.030603,-0.004542,0.113969,-0.051105,-0.015195,-0.034048,-0.019845,0.095433,0.046157,-0.14413,-0.003483,-0.016543,3.0,0.031926,0.152346,0.571272
9,-2.041191,173.970001,0.106763,0.120744,6.416667,0.0,0.748696,39356.0,0.089031,0.307086,0.016302,0.07941,-0.013832,0.047984,6.534063,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.086605,-0.000828,-0.001211,-0.026887,-0.046256,-0.435871,-0.031966,-0.004984,0.12353,-0.053384,-0.016487,-0.036297,-0.021476,0.110949,0.052474,-0.150082,-0.00542,-0.018305,2.916667,0.032786,0.142343,0.578605
