iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.685587,13.95,0.008944,0.009014,0.521739,36.56522,0.976998,38994.0,0.007061,0.021241,0.000649,0.005845,-0.00133,0.003214,7.271852,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.006137,-6.1e-05,-3.3e-05,-0.009872,-0.004272,-0.042377,-0.002817,-0.000419,0.009513,-0.004949,-0.001262,-0.003728,-0.001587,0.007879,0.002976,-0.014656,-1.2e-05,-3.7e-05,3.652174,0.051734,0.130506,0.229492
1,-2.163737,40.630001,0.0236,0.020981,7.625,0.0,0.948777,63291.0,0.020335,0.06426,0.003691,0.017177,-0.003798,0.008519,6.796659,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016542,-0.000166,-0.000194,-0.025695,-0.009653,-0.115238,-0.007544,-0.00094,0.024009,-0.014516,-0.00338,-0.008483,-0.003759,0.017245,0.006938,-0.039267,-0.000187,-0.000771,4.125,0.02896,0.131107,0.57386
2,-2.683059,60.299999,0.038006,0.035272,9.208334,0.0,0.920244,62752.0,0.030342,0.103021,0.005747,0.026805,-0.005555,0.015463,6.836132,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026775,-0.000265,-0.000339,-0.02813,-0.015218,-0.180085,-0.011758,-0.001568,0.037974,-0.021014,-0.005281,-0.01321,-0.006091,0.029229,0.012256,-0.060937,-0.000559,-0.002606,3.833333,0.028474,0.132857,0.591352
3,-3.241453,82.010002,0.049117,0.049542,7.625,0.0,0.892031,62301.0,0.042172,0.138247,0.007722,0.03577,-0.007205,0.017778,6.807654,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036469,-0.000362,-0.000471,-0.026875,-0.020265,-0.237968,-0.015967,-0.002134,0.051901,-0.027765,-0.00698,-0.018049,-0.008238,0.035614,0.017631,-0.080666,-0.001142,-0.004154,3.875,0.030102,0.131736,0.583418
4,-3.221802,101.779999,0.061904,0.063728,7.75,0.0,0.864634,62273.0,0.05428,0.173895,0.00938,0.047559,-0.00891,0.024874,6.786063,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.046765,-0.000459,-0.00066,-0.026708,-0.027813,-0.290566,-0.019733,-0.002795,0.069504,-0.034586,-0.008864,-0.02263,-0.011228,0.046936,0.023072,-0.098545,-0.00156,-0.005832,3.875,0.030888,0.135094,0.581314
5,-3.271367,117.989998,0.079571,0.07963,6.166667,0.0,0.839446,61919.0,0.06218,0.214826,0.010664,0.053862,-0.00992,0.030516,6.756505,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.057322,-0.000557,-0.00087,-0.023958,-0.031284,-0.342648,-0.023909,-0.003449,0.08105,-0.040852,-0.010879,-0.02745,-0.012795,0.065421,0.028798,-0.116597,-0.00225,-0.008402,3.833333,0.027582,0.132509,0.532091
6,-3.637405,144.970001,0.085282,0.094174,5.083333,0.0,0.813709,60448.0,0.07326,0.247474,0.012703,0.062718,-0.011264,0.033332,6.71448,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.065947,-0.000635,-0.00094,-0.024927,-0.037827,-0.379647,-0.026526,-0.003938,0.096566,-0.046048,-0.011953,-0.030762,-0.015653,0.070154,0.033208,-0.129254,-0.003059,-0.012317,3.333333,0.029377,0.127323,0.537661
7,-3.140924,150.520004,0.102994,0.107641,6.166667,0.0,0.788706,60238.0,0.080896,0.283656,0.014923,0.072713,-0.012875,0.042179,6.679335,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.075603,-0.000733,-0.001103,-0.024792,-0.042542,-0.416234,-0.030691,-0.004475,0.109911,-0.052567,-0.01383,-0.035141,-0.017762,0.089266,0.039434,-0.142209,-0.0045,-0.017292,3.666667,0.029503,0.128383,0.547717
8,-3.390507,170.289993,0.110095,0.119936,5.416667,0.0,0.764913,54779.0,0.092353,0.314998,0.014728,0.075889,-0.013348,0.041852,6.660118,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.084833,-0.000815,-0.001338,-0.02569,-0.046362,-0.450487,-0.033275,-0.005052,0.119997,-0.056941,-0.015384,-0.039627,-0.019235,0.098952,0.044935,-0.154445,-0.004142,-0.019247,3.083333,0.030254,0.141689,0.565816
9,-2.71288,204.009995,0.135368,0.144414,3.791667,0.0,0.745067,41051.0,0.107938,0.367729,0.018556,0.091949,-0.015663,0.051858,6.667577,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.100618,-0.000948,-0.001534,-0.021119,-0.05367,-0.510595,-0.038882,-0.005856,0.144203,-0.065592,-0.018315,-0.046402,-0.022601,0.112948,0.056465,-0.175734,-0.006051,-0.026423,3.375,0.027802,0.132147,0.470699
